userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
063868356,2805,51,230010,144,80,1419,2328,41609,T
799110385,123,1,7503,144,138,1419,1944,41223,F
555363773,2914,43,285572,144,295,567,1702,41191,T
138207719,115,1,7705,144,207,1135,1544,40999,F
840292354,2758,63,204092,144,831,567,2607,41494,T
716863496,82,1,5822,144,156,1135,1383,40942,F
774531853,4,1,348,144,146,851,2469,40814,T
126597055,61,1,4453,144,92,283,2896,41610,F
527320477,2772,79,72072,144,676,283,1462,41442,T
355742170,161,9,15134,144,144,567,2096,41212,F
866289882,2975,38,77350,144,257,283,2878,41014,T
088758788,218,1,7412,144,329,283,2803,41045,F
608437051,2886,29,181818,144,167,567,3191,41518,T
560453538,34,1,1666,144,105,851,3224,41057,F
960949638,2770,41,58170,144,391,851,1923,41081,T
721414521,158,1,6794,144,134,1135,1825,41682,F
141823061,81,12,4779,144,144,283,1809,41619,F
928446110,2779,42,255668,144,176,1135,2409,41553,T
724029416,2957,52,130108,144,137,1419,2727,41215,T
153745223,127,1,6985,144,112,851,1205,41519,F
806752070,2906,30,281882,144,98,283,1095,41351,T
918487228,207,4,15939,144,137,567,1112,41009,F
172642023,1375,1,48125,144,135,1419,3040,40880,T
367924354,82,1,4756,144,100,851,2343,41616,F
811523298,1447,1,34728,144,321,1419,1676,41644,T
596399491,218,1,4578,144,150,851,2075,40968,F
410359504,105,22,2310,144,140,283,1399,40937,F
325340631,1411,4,47974,144,136,1135,2393,41202,T
948004244,3018,51,123738,144,107,283,2468,40859,T
902460029,202,18,16766,144,199,283,2122,40745,F
217099787,17,3,986,144,81,851,2593,41217,T
429733251,31,11,2077,144,207,283,1142,41564,F
522992437,2768,75,110720,144,185,567,3147,41722,T
824638953,61,20,3843,144,187,283,1487,41545,F
738548693,3006,23,288576,144,3628,851,1414,41519,T
174919810,136,1,4760,144,82,567,2536,41269,F
291141861,3011,60,219803,144,362,851,1584,41722,T
773795636,84,1,7896,144,125,567,1973,41322,F
492451655,2837,60,113480,144,119,567,2757,41436,T
022323546,207,1,9936,144,175,851,2959,40767,F
545334350,214,1,18190,144,108,567,3113,40801,F
527679967,1404,8,63180,144,907,1135,1994,41380,T
109905501,172,1,12728,144,82,1419,1801,41055,F
608811178,16,5,480,144,218,283,1320,40786,T
342226077,2818,88,112720,144,125,851,2549,41115,T
277680208,177,16,5664,144,191,283,1323,40976,F
149093049,3006,78,222444,144,166,567,1489,40811,T
917982895,148,1,5476,144,341,283,2196,40922,F
089356705,2982,69,110334,144,321,283,2620,41335,T
553033566,55,19,4235,144,307,283,1115,40902,F
812489615,188,8,4136,144,1330,283,2595,41164,F
250029672,8,8,752,144,88,567,2548,40831,T
143421765,2977,73,65494,144,688,851,2782,40982,T
301568957,42,5,1764,144,128,1135,1126,41140,F
772458700,1358,18,51604,144,88,1135,3193,41463,T
870384613,82,1,6232,144,161,851,2053,41397,F
620611570,134,1,3216,144,469,283,2581,41021,F
555403113,2793,75,184338,144,160,567,2813,40867,T
988899303,2778,67,105564,144,103,283,2445,40990,T
836690719,128,1,9088,144,90,567,1915,41225,F
743456917,2906,63,110428,144,107,283,1930,40834,T
988933900,152,2,13376,144,140,567,2115,41303,F
662508138,2937,49,114543,144,505,851,2894,41343,T
622467731,131,1,12183,144,570,567,2392,41106,F
897577020,2908,70,165756,144,82,1419,3029,41451,T
668586795,192,1,13248,144,688,567,1798,41172,F
600023039,2942,80,217708,144,82,1135,2077,41425,T
191159655,11,29,462,144,140,283,1216,41357,F
657917960,2996,81,242676,144,511,283,2288,41501,T
597792223,73,1,6716,144,2851,851,2006,41654,F
764578331,2800,70,92400,144,128,567,1379,40764,T
912077529,5,26,465,144,155,283,1582,41001,F
976910872,2792,26,279200,144,7982,851,3252,41006,T
494035268,151,4,3926,144,80,1135,2267,40781,F
890622547,2826,21,197820,144,115,1419,2440,41685,T
415357392,156,8,10608,144,1995,851,1415,41280,F
159519774,2810,44,216370,144,1050,567,2875,41097,T
583209392,131,1,6681,144,578,567,2063,41647,F
173059674,2905,32,281785,144,453,283,1953,41543,T
741270309,207,1,9108,144,191,567,2328,41336,F
341332542,2866,47,174826,144,86,1135,2717,41567,T
470276323,55,1,2970,144,237,851,1939,41242,F
975922393,2995,55,182695,144,293,851,2146,40808,T
830814177,176,1,11968,144,85,1135,2895,41383,F
386228063,171,1,12654,144,273,851,2955,40915,F
879209257,20,5,1440,144,206,851,2820,41053,T
390135996,2891,45,257299,144,155,283,1619,41560,T
112099276,56,1,4200,144,498,567,2955,41592,F
439888699,2908,75,78516,144,81,283,2062,40740,T
461491334,156,1,12324,144,145,1135,2670,41226,F
447233156,2776,20,255392,144,532,851,1996,41397,T
747786315,76,1,6840,144,214,567,1770,41050,F
496764039,155,1,12555,144,91,1135,2148,41210,F
953175378,2774,54,255208,144,443,1135,2758,41457,T
049559660,2998,77,86942,144,359,851,2425,41259,T
689810146,182,1,16562,144,94,283,2222,41105,F
319104389,33,2,1914,144,86,851,2200,40888,F
685546234,2857,75,128565,144,486,567,1657,41385,T
211199002,10,1,790,144,712,1135,2280,40799,T
911979154,221,1,6851,144,831,283,1478,40825,F
