userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
759876038,2633,526,652984,1085,14042,2055,7143,455200,T
994496814,3282,110,45948,2095,8597,822,6364,455440,T
071952672,2639,502,150423,3600,13589,1233,4660,455572,T
930823109,1912,1,164432,877,6105,822,8172,454796,T
524038338,1976,1,405080,1515,5470,822,4893,455705,T
211655198,3283,145,472752,873,30090,822,4583,455458,F
248705576,3317,145,696570,2301,60180,822,5084,454947,T
491124516,2056,17,207656,923,35105,1644,4295,454958,T
580605247,3151,115,519915,1123,14526,822,4156,455414,F
226258339,2075,22,510450,972,9361,411,6710,455308,T
816146502,2574,523,241956,2380,15602,822,4635,454768,T
315597997,1980,18,122760,1235,4898,2055,4833,455130,T
473178456,3215,119,514400,4212,8425,1233,4146,454927,T
179941411,2569,495,536921,1207,4388,411,6404,455575,T
507252817,2084,22,31260,3510,60180,1644,8304,455109,T
684323401,2019,24,327078,1432,21063,822,9030,455703,T
579312638,1971,1,277911,4842,60180,1644,4557,455420,T
656257791,2001,2,122061,981,4212,822,4397,454940,T
751470256,3322,138,441826,1691,5265,411,4915,455311,T
113551075,1977,1,460641,1210,8776,411,6462,455494,T
354350077,2625,526,645750,1614,7801,2055,4748,455564,T
156411907,1988,1,226632,1042,10030,1233,8980,455140,T
587313473,3233,137,633668,1712,14042,1233,4932,454808,T
353930307,1983,19,368838,2085,6287,822,8707,454854,T
266385601,3185,110,703885,2138,26328,1233,7069,455173,T
842373447,2622,524,521778,1831,52657,1233,6422,455642,T
397941931,2043,4,269676,1543,4898,2055,8810,454762,T
264949264,1974,28,108570,1029,6382,822,4429,455201,T
631289234,2063,29,109339,972,84252,411,4099,455281,T
258482079,1954,31,218848,1135,10531,822,6898,455388,T
700429160,2500,511,380000,2649,24780,411,4830,455728,T
662498600,2516,524,223924,1462,23403,411,4065,455243,T
505933028,2074,2,327692,1200,35105,2055,8348,455077,T
407038444,1966,10,351914,1418,9361,1644,8325,454939,T
619816076,3239,119,699624,1308,6287,822,6412,455323,T
052762070,2064,1,39216,1250,4255,822,6242,454808,T
521805341,1923,15,407676,1923,12765,822,6379,455381,T
235112106,2590,496,536130,2632,6287,1644,6636,455660,T
324706067,2536,501,560456,1839,5015,1233,4939,455604,T
403091086,2617,529,295721,2717,6018,2055,4879,454973,T
655548599,2495,516,94810,1154,4255,1233,4369,455554,T
542665582,2526,493,143982,2683,10030,411,4814,455753,T
697200818,2057,8,454597,944,8425,822,8561,455397,T
769869913,1975,22,294275,2289,6686,1644,4680,455178,T
485002388,2098,15,285328,938,22171,2055,8429,455143,T
217717925,2588,491,134576,1160,5332,1644,6147,455142,T
488298858,1906,7,20966,1024,4956,411,9141,454865,T
618644646,2018,26,324898,849,5015,822,4529,455250,T
322720878,2652,508,204204,2194,4212,1644,4654,455121,T
