userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
207002896,2651,502,212080,1108,3631,1644,5076,455762,T
532243785,3381,134,114954,1108,2149,1644,4105,455352,F
936075471,3303,144,274149,1108,5265,1233,4855,455689,F
224009585,2095,11,192740,1108,8597,1233,8271,454792,T
823175287,1967,42,180964,1108,3424,1644,6317,454942,T
110467839,3365,115,141330,1108,1304,822,6206,454851,F
987525571,3390,110,315270,1108,883,822,4878,455417,F
726976929,2079,32,195426,1108,1423,2055,8246,454980,T
612643109,2536,513,149624,1108,4481,1233,7070,455056,T
776473782,3228,175,83928,1108,849,1644,4261,454939,F
455520677,2195,62,184380,1108,2366,2055,6208,455686,T
226582701,3318,172,189126,1108,26328,411,4799,455669,F
162332071,2009,55,140630,1108,1074,1233,8183,455426,T
531369929,3440,133,323360,1108,7390,411,4478,455534,F
176744562,1974,57,69090,1108,845,2055,6485,454859,T
617503242,3361,118,164689,1108,2700,1233,4571,455268,F
083117781,2173,9,134726,1108,2380,1644,6813,455012,T
541128425,3301,136,323498,1108,927,1644,4286,455728,F
350784159,2494,518,92278,1108,2846,1644,5074,455683,T
874359015,3141,124,232434,1108,5265,411,4467,455428,F
269234379,2184,23,63336,1108,6480,1644,6329,455046,T
993873093,3391,170,240761,1108,1399,1233,4321,455407,F
549056539,2656,548,98272,1108,1423,1233,4811,454941,T
336069065,3181,168,162231,1108,1272,1233,4383,455125,F
943847911,2199,4,48378,1108,946,1233,8853,454787,T
744563395,3427,157,315284,1108,1037,822,4131,454866,F
807526899,3238,158,236374,1108,2217,822,4083,455669,F
186569515,2141,8,128460,1108,1705,411,6410,455281,T
771565377,2518,536,153598,1108,852,2055,4816,454808,T
536697938,3339,149,96831,1108,1665,411,6436,455077,F
600902513,2125,8,48875,1108,3452,411,4993,454795,T
891690534,3207,170,131487,1108,1408,822,6167,455554,F
045881081,3355,173,107360,1108,1906,1233,6202,454784,F
567360539,2676,560,203376,1108,4212,822,4172,455682,T
553250550,2087,39,64697,1108,9157,411,6272,454905,T
509192369,3182,128,295926,1108,905,1644,4253,455514,F
917090281,2757,535,275700,1108,1404,411,7010,455489,T
778021416,3382,167,246886,1108,3663,411,6123,454925,F
608535551,2127,41,157398,1108,2683,411,6542,455025,T
437932210,3415,128,102450,1108,1058,411,6265,454988,F
255654747,2152,5,163552,1108,3030,411,6925,454957,T
119605762,3319,175,66380,1108,3974,411,6528,455103,F
009774809,3281,160,282166,1108,1691,822,6515,455595,F
246075845,2045,47,100205,1108,4012,1233,4618,454981,T
162000677,2607,553,117315,1108,8776,2055,6322,454771,T
507718103,3380,140,219700,1108,1284,411,4077,455199,F
106334256,2029,51,107537,1108,4787,1644,8379,455071,T
061921039,3371,148,94388,1108,2327,822,5101,454956,F
948369410,2752,554,228416,1108,1042,822,4862,455182,T
588221811,3253,164,243975,1108,1658,822,4972,455072,F
730168935,2177,8,104496,1108,6287,411,6750,455730,T
282616977,3146,122,232804,1108,1324,1644,4288,455093,F
647090187,2728,523,188232,1108,1932,1644,6283,454762,T
822288137,3346,176,234220,1108,2846,411,4696,455255,F
197649324,2124,18,174168,1108,2240,2055,8412,455410,T
022046327,3270,149,114450,1108,991,1644,4844,455193,F
621349273,3353,126,308476,1108,1027,822,4562,455576,F
826988968,2585,561,214555,1108,7948,2055,4493,455266,T
583716580,3412,166,337788,1108,1381,411,4291,455342,F
799976379,2556,526,74124,1108,1320,411,4677,455695,T
959240525,2521,532,176470,1108,2138,411,4692,455209,T
911538085,3260,146,71720,1108,1800,822,4801,455109,F
815634587,1933,7,38660,1108,2435,2055,8733,455156,T
197698158,3247,136,74681,1108,3215,822,4503,455126,F
079649679,2057,40,135762,1108,1069,2055,5003,455222,T
438209603,3179,167,238425,1108,6905,1233,6295,454918,F
456255580,3437,137,340263,1108,986,1644,4824,454839,F
695510936,1940,2,131920,1108,6018,822,8862,455676,T
666005132,1972,34,143956,1108,5200,822,8448,455406,T
913100851,3388,172,213444,1108,2160,1233,4593,455640,F
296804490,2704,501,194688,1108,3974,1644,4142,455164,T
542542253,3191,120,118067,1108,1705,1233,6298,455154,F
928138683,1989,31,190944,1108,7801,2055,8869,455669,T
532524112,3313,173,304796,1108,1296,822,4100,455436,F
530150661,2607,492,75603,1108,1923,1233,6817,454792,T
584743446,3246,169,227220,1108,1173,411,4219,455602,F
292388546,3351,166,294888,1108,4130,1644,4389,455094,F
902651948,2665,557,61295,1108,7263,822,6664,455408,T
