userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
000660166,1997,23,125811,1727,50955,1706,3296,575068,T
362913596,2549,134,50980,4246,22154,426,3112,575166,T
213466301,2321,307,164791,1670,7961,1280,3129,575491,T
940224011,2232,342,95976,3245,24264,1706,4611,574929,T
548666830,1174,40,112704,2006,9614,426,5727,574956,T
976820528,2375,344,472625,6532,11580,1280,3509,575192,T
041252943,4336,128,572352,2945,10191,426,4191,575273,T
008072361,2213,332,121715,2895,6290,1706,3272,574759,T
819675089,2580,142,126420,1787,22154,426,3408,575378,T
244804124,2373,334,548163,1721,10841,2133,3397,575251,T
484191395,1952,23,165920,1066,6139,2133,3968,575570,F
318525708,1230,26,305040,3490,7176,426,5993,574987,T
210615909,1983,8,456090,4718,15441,1280,2819,575251,T
279223107,2618,163,337722,1142,18198,426,3143,574657,T
027923330,2283,324,456600,1472,6532,853,3390,574914,T
898922474,1151,41,252069,3831,14986,426,4802,575539,T
368373471,1925,29,211750,1498,5147,1706,3430,574654,T
861089517,2307,322,357585,1873,28308,1706,5876,575237,T
571599901,2002,33,34034,5199,18198,2133,5374,575167,F
577459488,4427,137,690612,1597,12428,853,2729,575514,T
169318109,2564,161,174352,1107,6980,426,3982,575371,T
860557257,2371,344,588008,1095,17570,1706,5706,575112,T
390342888,1983,36,388668,4044,8636,853,3000,575230,T
210314831,2310,346,147840,2962,9099,426,3365,575539,T
698051820,2045,1,460125,1880,6450,2133,5983,575348,F
559629597,4433,131,957528,3225,25477,1706,3249,574863,T
854293139,2551,135,153060,1839,7839,426,5124,575277,T
756334957,2203,331,182849,1264,5925,426,4263,574620,T
119680678,1113,20,23373,1110,6980,426,2913,575099,T
880488449,1920,21,336000,2140,36396,1280,2910,574943,T
049100337,2030,32,326830,1348,5095,2133,3095,575167,F
629941201,1979,23,41559,2613,7384,426,4671,574634,T
492352619,2324,316,234724,3490,13409,853,4059,575590,T
450698606,4451,119,890200,3563,6214,1280,5406,574828,T
318816141,2225,341,536225,1377,6794,853,2516,574892,T
198675641,2296,315,493640,1692,8636,2133,4542,575038,T
365718398,2233,321,125048,4281,14154,853,5414,575597,T
282656870,1117,38,88243,2205,10841,426,2607,575193,T
458579096,2213,338,438174,6532,8785,853,5838,575182,T
299874500,2240,329,302400,3184,13771,2133,4758,575132,T
035889209,1913,24,78433,1320,5199,853,3314,575220,T
519510258,1121,35,218595,2177,14986,426,3068,575257,T
078280550,4371,139,808635,1944,11323,853,2694,574783,T
165534925,2345,343,105525,1070,10399,426,3818,575057,T
003228302,1879,16,170989,1110,8218,1706,3215,575152,T
195959203,2617,155,159637,1320,28308,426,5663,574774,T
561552979,1993,35,127552,1937,16437,2133,5580,574918,F
562300672,4416,103,1024512,2522,15923,853,4359,575360,T
983946481,1912,31,288712,1435,56617,2133,5284,574773,F
297044209,1134,33,141750,1029,11850,426,5962,574880,T
063821617,2523,132,40368,1443,19598,426,2571,574600,T
005639412,2359,339,344414,2225,8492,2133,4500,575125,T
837337347,2353,312,115297,1021,42462,853,5524,575217,T
234293609,2354,307,155364,1377,14558,1706,5318,575070,T
039812644,1990,34,398000,2846,11077,1280,4829,575111,T
826065142,1900,18,440800,4211,28308,1280,4153,575229,T
918465250,1122,39,90882,1027,7839,426,2792,575019,T
550138302,2363,336,467874,1435,5307,1280,2966,575386,T
360194139,2220,311,477300,1392,15441,1706,6115,575354,T
057331073,1878,4,394380,1975,8218,1280,4305,575226,T
412578050,2380,338,449820,1145,7961,853,4030,574906,T
777807135,1972,2,356932,3950,20382,1706,4235,574727,T
634880857,2198,317,85722,6980,8088,1280,5411,575348,T
800396400,1875,11,315000,1819,36396,1706,4678,574905,T
459635330,2192,319,63568,1323,23161,2133,3389,575009,T
270746809,1878,37,221604,4807,26818,1706,6069,574646,T
917482425,4443,132,1101864,1035,9991,853,4249,575439,T
593439204,1996,10,97804,3069,7605,853,5855,574677,T
593498028,1948,39,233760,1057,13409,2133,5576,574867,F
596133504,2226,325,158046,1139,72793,2133,5612,575065,T
281462562,2274,307,495732,5095,11850,1280,6036,574713,T
407358761,1900,20,199500,1261,6139,853,5908,575519,T
673539036,2570,151,141350,421,28270,405,1598,170813,T
311031455,1091,32,163650,4899,14154,853,4369,574984,T
797149306,2007,22,166581,1597,19598,1280,4300,575251,T
341544103,1905,18,396240,2264,23161,853,5761,574932,T
066614190,4413,131,639885,4469,8492,1706,3231,575425,T
283758133,1941,22,64053,1127,63694,1706,3923,575295,T
534752787,1869,1,454167,1975,11323,1706,2720,575346,T
012121802,1948,27,303888,1158,11077,1706,5414,574679,T
581510778,2354,334,169488,2485,14558,1280,3508,575296,T
033913791,2233,329,158543,1340,6617,2133,4062,574786,T
728352559,2047,1,390977,1794,6066,1280,3152,575196,T
538243099,2227,311,432038,1643,10191,853,3411,574859,T
119365151,2585,139,250745,2205,16985,426,4565,574814,T
134367437,2197,337,195533,1751,8353,426,2644,574759,T
423652844,4431,128,939372,2599,11850,426,4570,574681,T
948042774,2344,312,194552,1204,8492,853,3317,575195,T
630100010,2241,311,378729,3051,6980,1280,2976,574746,T
000696879,1882,25,178790,1915,31847,1280,4644,575195,T
213898174,2344,325,180488,1530,17570,853,6046,575281,T
218111304,1858,28,353020,4142,10191,2133,5808,575048,F
377609032,4308,125,1042536,1248,5147,853,2547,574639,T
464331159,1149,28,205671,2626,20382,426,4123,575360,T
025658312,2310,345,43890,1248,5199,1706,3894,575503,T
309506665,2365,332,517935,1460,5307,426,2709,574752,T
312935320,1891,30,26474,3889,11850,1280,4075,575122,T
755517309,4467,110,1036344,1213,18198,426,5971,574951,T
048051936,2022,26,361938,1166,11580,426,3035,574687,T
879141283,1129,45,66611,6704,50955,853,4224,574735,T
206005427,1934,37,44482,3588,5725,2133,5864,575275,F
662679184,1998,25,199800,2710,6139,853,4745,575447,T
376331118,1989,7,272493,4632,5790,1280,5504,574971,T
571306451,2381,336,590488,1088,5538,2133,5618,574788,T
042844259,2254,335,162288,1715,13065,853,3438,575102,T
988974929,2266,329,491722,1998,14558,853,5539,574692,T
227353348,2361,337,103884,3330,5856,426,2650,574875,T
925177422,1192,16,19072,3538,42462,853,2899,574633,T
683585488,4372,131,826308,5790,25477,2133,4259,575058,T
358852298,1930,1,303010,6704,19598,2133,4314,575394,F
969718740,1904,9,226576,1093,8785,2133,6110,575516,F
989468210,2269,323,487835,1233,8088,1706,5627,575143,T
778143257,2604,154,499968,1901,12428,426,3105,575538,T
428186928,1887,22,67932,1846,19598,2133,3839,575464,F
797312005,2380,307,276080,3069,26818,426,4264,574769,T
229973758,1205,24,18075,1399,10399,426,5249,574782,T
761851227,2661,158,260778,2739,20382,426,4702,575061,T
974900637,2221,329,326487,2046,7493,853,4809,574742,T
581158007,2227,329,162571,1258,8218,1280,3210,575019,T
939423127,2041,3,306150,1158,9264,1706,5900,574712,T
899197895,1912,19,49712,2681,56617,1706,4290,575063,T
124162537,4476,119,926532,3774,28308,1706,4670,575182,T
615547662,2035,27,396825,1852,7493,853,4369,575027,T
170102122,1177,36,129470,2205,50955,853,4743,575119,T
264224500,2251,325,69781,1296,7384,853,5211,575120,T
708517142,2238,345,461028,1577,7720,2133,4439,575125,T
129838431,1982,2,19820,1037,15441,2133,4024,575135,F
148355229,1094,34,68922,1255,5599,426,2780,574609,T
342953460,2646,166,55566,2403,9264,853,2978,575218,F
871909127,1875,28,350625,2159,50955,1280,2777,574806,T
252530986,2215,314,104105,2079,7176,2133,3420,575212,T
563355060,2292,318,325464,1255,5420,426,5697,574762,T
926622210,2334,328,553158,2667,6450,1706,2514,575550,T
013003632,1229,23,129045,3831,6290,426,5151,575087,T
724839715,1939,29,327691,1086,6290,1706,3791,575248,T
126777528,2316,329,220020,1681,7176,2133,5831,574965,T
620067415,2333,306,244965,1704,26818,853,3075,574672,T
443938844,2043,36,273762,1190,36396,853,3170,575077,T
082776650,1851,22,142527,2168,5925,1280,5831,575218,T
533572343,1889,10,58559,3538,5253,2133,3391,574651,F
720955206,1860,14,372000,2088,8636,1706,6037,575016,T
580280762,1115,14,259795,1423,10191,426,3892,575076,T
117410501,4447,128,796013,2337,11580,426,5614,575430,T
131732031,2350,329,495850,1160,7279,1706,4732,574588,T
153455430,2246,324,285242,1530,10399,426,3940,574857,T
051945667,1927,26,42394,3919,39196,1706,5635,575220,T
224310508,1089,23,20691,1042,10615,426,5278,574916,T
021548956,2355,327,541650,4549,36396,1706,5687,575244,T
878663579,2364,322,444432,1757,5994,853,2654,575175,T
517177958,2318,324,484462,3613,21231,426,5584,575347,T
