userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
008406652,2441,316,126932,1348,18872,1706,5722,575404,T
640154296,1869,7,143913,1348,2754,2133,5389,574643,F
841019998,1970,48,177300,1348,6980,426,4216,574873,T
323871008,2085,13,68805,1348,1160,2133,2534,575433,F
062215988,2077,35,139159,1348,1681,853,5366,574977,T
219607720,1959,1,95991,1348,84925,2133,2874,575179,F
910942246,2262,334,79170,1348,1158,853,5828,574854,T
097495422,1900,26,190000,1348,6980,2133,2834,575387,F
276860019,1853,68,98209,1348,6369,1280,4120,575339,T
694812532,2089,33,106539,1348,1548,2133,4159,575287,F
770340358,2004,21,164328,1348,2962,426,3134,575213,T
328479419,1918,9,46032,1348,1044,2133,2914,575005,F
643796387,2123,39,165594,1348,2096,853,2746,574662,T
751609447,2036,3,166952,1348,1676,2133,4555,575350,F
002894050,2249,366,121446,1348,1602,1280,4314,575002,T
629785067,2113,24,147910,1348,2215,2133,3010,574925,F
139405207,2301,360,98943,1348,7720,1706,2951,575262,T
457447312,2046,64,157542,1348,1476,2133,2513,574603,F
882607180,1358,49,31234,1348,1721,426,2713,575001,T
341317913,2004,34,146292,1348,1937,2133,3524,575547,F
146822586,2639,163,79170,1348,1306,853,2638,575410,F
139206995,2223,331,186732,1348,13065,1706,3086,574713,T
644824049,2096,3,163488,1348,1794,853,3093,574912,T
784614065,1956,13,54768,1348,1057,2133,4181,574667,F
784694723,2470,327,66690,1348,2123,2133,4308,574611,T
668497171,1895,17,85275,1348,3287,2133,4351,575414,F
789770672,2054,57,156104,1348,1196,1280,3170,575424,T
229455010,2109,3,132867,1348,2911,2133,3346,575123,F
240180615,1152,18,27648,1348,4109,426,4798,574723,T
265211009,2037,38,169071,1348,1086,2133,2769,575419,F
659942845,2451,365,220590,1348,1826,1280,2637,575354,T
179855154,1914,64,93786,1348,1602,2133,3995,575267,F
375421367,2650,134,137800,1348,1145,426,3347,575021,T
159988236,1864,59,182672,1348,2186,2133,4265,575070,F
463179998,2052,26,164160,1348,1659,1706,6050,574668,T
304330999,1906,19,80052,1348,1982,2133,5910,574788,F
339857164,2666,150,178622,1348,1306,426,4311,575096,T
853148368,2057,26,189244,1348,2381,2133,5542,574660,F
390867111,2015,3,181350,1348,3719,1280,3555,575533,T
818323419,1889,22,128452,1348,1388,2133,6024,574918,F
991882669,2203,351,129977,1348,1207,1706,2731,575328,T
820799716,1966,4,80606,1348,2186,2133,3957,574912,F
221048147,1300,51,106600,1348,1787,426,3025,575070,T
543012529,1934,52,104436,1348,1204,2133,6106,574668,F
924447961,2436,364,51156,1348,1160,853,5874,574985,T
658643057,2048,37,129024,1348,1859,2133,5458,575172,F
341929952,1881,1,43263,1348,2769,2133,4108,574616,F
213360479,2306,333,219070,1348,1704,1280,5529,574737,T
423113086,2396,312,110216,1348,1832,2133,5451,575547,T
134454741,2632,169,173712,1348,1255,853,2537,575586,F
281001415,1144,17,85800,1348,1193,426,3008,574973,T
578625446,1881,52,154242,1348,1763,2133,3446,575576,F
042336278,2381,330,107145,1348,1204,2133,4429,574881,T
949919391,1955,34,181815,1348,2547,2133,5885,574758,F
411629899,2464,306,71456,1348,3245,1280,4167,574806,T
028449640,2106,41,202176,1348,2244,2133,5269,575042,F
405279030,2038,51,75406,1348,1025,1280,3494,575491,T
867499397,1894,37,83336,1348,2449,2133,2828,575055,F
695383865,2368,348,118400,1348,22154,426,4799,574839,T
220175415,1964,67,141408,1348,2348,2133,5135,575365,F
774841462,2377,309,85572,1348,20382,1280,4314,575337,T
377327133,2024,34,167992,1348,4995,2133,5397,574715,F
866460594,2106,1,193752,1348,1800,426,2945,575399,T
149747969,2123,44,65813,1348,1063,2133,4630,575031,F
666470101,2243,313,201870,1348,3889,853,2883,575215,T
988412015,1913,10,168344,1348,2114,2133,5086,575105,F
057703449,1861,23,61413,1348,17570,853,3441,574927,T
559013365,1972,57,84796,1348,1369,2133,4779,575127,F
293475805,2344,368,194552,1348,1922,853,3061,574749,T
742976704,2724,159,62652,1348,2030,853,2588,575170,F
522899024,2728,198,147312,1348,3051,426,5096,575594,T
555225245,2134,42,121638,1348,5095,2133,4639,574847,F
724288692,2635,168,123845,1348,20382,426,2714,574896,T
914100392,2061,3,103050,1348,3033,2133,3926,575384,F
577085253,2515,137,171020,1348,2681,426,2952,574738,T
668154969,2072,1,167832,1348,2438,2133,5981,575077,F
955506041,1224,6,68544,1348,1072,426,5559,575484,T
559193735,1880,10,118440,1348,3184,2133,5828,575287,F
746216865,2309,334,191647,1348,5599,853,4742,575148,T
988385446,2069,22,144830,1348,1270,2133,4360,575496,F
718549536,1104,23,105984,1348,1763,426,4208,575122,T
379339649,2012,38,201200,1348,6214,2133,3806,575026,F
655173963,1914,8,151206,1348,13409,2133,3393,574859,F
741063758,1973,69,165732,1348,2878,853,3096,574612,T
195434184,1901,20,142575,1348,1638,2133,4449,575514,F
341114905,1876,16,125692,1348,1757,853,4680,575196,T
540149924,2268,314,133812,1348,4762,1280,2536,575435,T
925766072,1944,28,184680,1348,1193,2133,2843,574944,F
057700873,2269,351,45380,1348,1558,1280,4825,574705,T
001963735,2095,66,123605,1348,9991,2133,4507,574918,F
692253385,2207,334,72831,1348,2895,853,5434,575499,T
149391570,1865,25,102575,1348,1204,2133,4672,575179,F
792583921,2201,338,173879,1348,31847,1706,5571,574948,T
599977361,2024,5,113344,1348,11850,2133,2624,575164,F
886386397,1855,46,37100,1348,3719,1280,3305,575464,T
819042236,2052,59,77976,1348,2449,2133,5805,574639,F
225030961,1907,56,95350,1348,9436,1280,5168,574740,T
738780063,1919,49,124735,1348,8492,2133,4702,575596,F
891550564,2220,342,210900,1348,2461,1280,4604,575534,T
227633696,2094,12,50256,1348,4392,2133,3493,574650,F
