userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
547960864,3977,289,767561,1037,4123,1622,9555,376093,T
078453416,3909,299,105543,2532,26805,1622,6964,376319,T
403579019,2756,41,336232,837,11488,2703,7033,376350,T
036901897,4687,88,262472,948,5188,2162,7301,375985,F
408189730,2146,30,77256,908,3971,2703,8908,376290,T
685364596,3971,306,385187,1624,10722,540,9154,375982,T
821382019,3938,280,271722,691,8464,2162,4439,376270,T
225930912,4828,59,429692,1120,3534,540,4448,376701,T
741588670,2139,44,134757,932,5273,1081,6779,376028,T
110904393,3906,282,437472,644,3249,1622,9258,376265,T
053459844,4841,75,798765,1173,6844,1622,9168,376936,F
025216814,2205,26,57330,1120,4177,1081,5077,376630,F
507474780,4771,73,310115,771,12866,1081,6916,376192,F
222972891,2699,55,62077,2493,12866,2162,9465,376242,T
028364642,2293,1,531976,4123,5956,1081,9027,376960,T
659837796,3792,286,860784,954,11092,1081,9007,376883,T
756699027,3908,318,722980,2035,17870,540,4927,376002,T
181126276,4785,67,86130,1576,7148,2162,6607,376888,T
481675476,3854,312,863296,3282,4467,540,9641,376062,T
706806329,2227,14,445400,2474,10722,1622,7472,376254,T
414018777,2186,40,50278,739,10052,2162,5204,376063,T
327357695,3858,282,748452,1380,3655,540,8717,376483,T
354898203,3951,294,63216,883,24743,1622,9168,376770,T
344268486,3938,306,417428,3316,7658,540,8695,376542,T
782913058,2117,20,465740,1075,3458,2703,6858,376807,F
476951963,3906,288,285138,1173,5643,1622,7382,376179,T
740807180,2253,3,439335,731,9747,540,9317,376723,F
881857079,4723,53,396732,1482,18921,1081,6724,376385,T
325246502,3881,306,73739,1386,6992,2703,7208,376288,T
363538885,4741,91,175417,901,5452,2703,8643,376509,F
795943313,2115,1,336285,2314,5848,540,4959,376489,T
622737980,2756,40,173628,796,18921,2162,7116,376968,T
299210582,4839,79,430671,1368,9460,2703,7124,376900,T
971578012,3856,286,404880,1086,5105,1622,9501,376080,T
504334659,2202,1,233412,3574,5026,1081,6572,376596,T
304959345,4815,73,1040040,812,3614,540,6523,376033,F
372489144,4755,83,760800,767,5643,2703,8926,376872,F
666538126,2813,68,323495,829,21444,2703,6823,376018,T
976608752,4689,82,375120,2330,7148,2162,4955,376586,T
196987545,3830,294,934520,2116,3829,540,7461,376693,T
593801260,2757,66,82710,816,15317,1081,7249,376909,T
707473132,2728,53,199144,2703,13402,1622,6644,376628,T
064430723,4778,92,1027270,786,4801,540,4422,376331,F
959747848,2174,18,404364,1191,4948,1081,4903,376644,T
888680939,4775,56,682825,1807,16083,1622,4912,376083,T
370900480,3807,317,285525,2749,8464,2703,5155,376248,T
201611514,3899,312,584850,2297,4467,2162,6914,376380,T
825722643,3888,288,633744,655,22976,1081,8727,376963,T
378590107,3956,302,379776,2418,8935,2703,6508,376003,T
260653728,4765,66,829110,705,3971,540,8658,376596,F
712958575,3924,293,392400,804,18921,1622,8954,376827,T
974446890,2260,1,248600,656,6433,1081,4709,376806,F
237351101,2194,1,30716,2418,26805,1081,7329,376036,T
190466962,4798,78,997984,643,3829,540,4403,376874,F
963290791,4815,61,1073745,664,5105,2703,4674,376765,F
440806255,3928,286,518496,932,9747,1081,9219,376014,T
629666759,3902,295,218512,864,13985,2162,4511,376681,T
476183757,4801,74,892986,977,9747,540,9469,376236,F
473154506,2210,3,411060,1468,5848,1622,4388,376410,T
899238761,2840,57,235720,780,3282,2703,8971,376777,T
901317069,4665,87,877020,1807,8935,1081,6941,376672,T
307564395,4760,74,409360,888,5188,2162,5008,376747,F
448158673,2811,76,73086,3971,5744,2162,8761,376919,T
871485129,4792,87,613376,1738,7310,1622,8816,376094,T
371972406,2196,1,287676,705,9747,540,6740,376609,F
884095363,2105,15,484150,1047,8935,1622,9423,376561,F
392861646,2135,3,392840,710,9190,1622,4893,376792,F
405043821,4764,78,190560,1386,3282,540,8683,375976,T
143352331,4655,84,809970,711,4346,2162,5228,376968,F
045516588,4676,71,1150296,3385,13985,1081,9557,376306,T
250224980,3822,310,378378,2418,5546,2162,8883,376887,T
497921968,2097,31,230670,3875,9460,2162,6692,376488,T
146465562,3943,316,650595,4071,4020,2162,8986,376137,T
756291909,2188,26,260372,960,7658,1081,7065,376150,F
470655319,3969,293,623133,1429,3534,1081,9508,376198,T
747592702,2779,46,372386,2203,7658,1622,9182,376679,T
722597080,4729,86,269553,3316,6069,1081,9189,376594,T
772751706,3784,308,832480,1692,5361,540,9375,376139,T
437255953,4828,92,989740,3006,3829,2703,9639,376752,T
071666648,2114,9,325556,1037,5188,2703,6706,376393,F
910410344,3953,297,707587,2218,3614,1622,7220,376206,T
272577913,2684,36,185196,1113,6433,2162,9013,376302,T
354751042,3913,281,559559,687,3655,1622,9383,376423,T
314710255,3968,303,55552,1051,12866,540,5111,376003,T
262491274,3850,302,238700,647,8464,2703,8821,376721,T
