userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
805904128,3857,305,285418,696,13402,2703,4533,376319,T
291901653,4693,70,220571,696,1312,1622,7442,376753,F
649600798,4720,112,146320,696,948,540,5249,376634,F
581683737,2701,90,137751,696,794,2162,6496,376777,T
527590331,2238,63,120852,696,8935,2162,4549,376743,T
184619723,4817,79,178229,696,2594,2703,6613,376813,F
803779504,2753,94,134897,696,8247,2703,6560,376700,T
284098063,4668,89,107364,696,1246,540,8849,376242,F
328256489,2095,30,121510,696,998,2162,7174,376264,T
760052342,4810,102,394420,696,2203,1081,7020,376474,F
729402707,4063,300,178772,696,1666,1622,9215,376119,T
472247522,4912,89,442080,696,729,1622,4333,376957,F
304570566,3911,306,242482,696,1462,540,4351,376122,T
653763101,4770,104,286200,696,773,540,8657,376561,F
624160274,2968,97,97944,696,1937,2162,8963,376900,T
482496349,4702,93,456094,696,1429,2162,5257,376063,F
427442822,2266,50,65714,696,1061,1622,9426,376301,T
557906333,4854,104,165036,696,668,1622,6856,376384,F
529321339,4020,323,289440,696,1191,1081,8913,376335,T
648602757,4800,114,393600,696,3422,2703,9089,376593,F
555760834,2137,26,47014,696,2330,540,7333,376270,T
304157781,2179,11,209184,696,8935,540,4600,376469,F
195681867,4674,69,168264,696,3458,2703,5242,376145,F
730931378,4029,309,149073,696,671,1081,4905,376506,T
874914172,4863,103,189657,696,1357,1081,9040,376568,F
689716291,2957,90,212904,696,671,2162,8836,375975,T
843646240,3850,284,281050,696,734,2703,4675,376889,T
721664003,4654,79,158236,696,7480,540,6922,376731,F
433143925,2396,1,138968,696,1340,1081,5016,376163,F
364045397,3802,293,125466,696,1002,540,5217,376298,T
411753223,2106,23,42120,696,896,540,5069,376964,T
285720288,4852,95,412420,696,1318,1081,7443,376507,F
069824306,2101,56,84040,696,1232,540,5042,375965,T
284069556,4652,76,334944,696,2924,1081,4995,376274,F
431535952,2191,14,46011,696,1442,1622,6853,376952,T
652127266,4782,108,425598,696,937,2162,4559,376400,F
316756199,4828,79,482800,696,1034,2162,4844,376421,F
473727006,4909,60,481082,696,826,2162,5117,376791,T
735827678,4856,59,169960,696,5956,1622,4318,376169,T
548814505,4894,91,381732,696,1363,540,9535,376076,F
035748198,2288,12,162448,696,2658,540,7109,376475,T
372233342,4696,84,206624,696,802,1081,4863,376685,F
246083253,2234,46,172018,696,1083,2703,6564,376645,T
685262064,4893,81,415905,696,995,2703,6963,376942,F
042569390,2919,85,256872,696,2218,2162,9355,376726,T
816149276,4818,86,351714,696,1291,2703,5231,375996,F
547897888,4017,319,124527,696,672,2703,4459,376130,T
266208165,4793,110,230064,696,2552,1622,9004,375994,F
886184799,2225,45,126825,696,2680,540,4802,376750,F
316252235,3839,298,314798,696,1152,2703,6697,376955,T
069125253,2293,28,71083,696,749,2703,7213,376298,T
721282090,4818,114,255354,696,919,1081,9613,376050,F
702568975,2096,54,140432,696,3184,2703,7229,376393,T
850379077,4835,62,468995,696,684,540,8814,376112,F
793863225,4905,61,470880,696,714,2703,6553,376796,F
809985769,3989,290,295186,696,1120,1081,7353,376645,T
431945404,4767,58,452865,696,924,540,6793,376947,T
935445993,4707,92,235350,696,1838,540,4988,375972,F
829052330,2921,65,248285,696,995,2162,5228,376478,T
826543523,4680,114,243360,696,1937,1622,8715,376961,F
038616080,3797,301,379700,696,1608,2703,4704,376727,T
072514201,4671,123,406377,696,749,1622,9288,376814,F
108998685,4798,94,254294,696,2455,2703,6738,376614,F
603625967,3884,279,306836,696,8935,540,6687,376521,T
361347795,2125,74,170000,696,782,540,9321,376513,T
986685829,4952,65,123800,696,3829,2162,6935,376022,F
847852078,2166,40,138624,696,697,2162,6675,376827,T
304950651,4874,74,229078,696,983,2162,6458,376153,F
910797978,2165,67,106085,696,3534,540,4892,376911,T
040456288,4661,96,340253,696,4873,1622,4588,376563,F
072650818,3947,280,110516,696,1386,2162,9549,376417,T
612461285,4920,118,482160,696,1037,2162,6479,375975,F
062759493,2142,66,81396,696,1191,1622,4402,376765,T
692642401,4697,119,187880,696,665,1622,7015,376507,F
485834733,2145,10,156585,696,4467,1081,4690,376897,F
827669031,4737,57,312642,696,5956,1622,4407,376100,T
694258240,4067,294,252154,696,2658,2703,6550,376759,T
262545885,4901,69,107822,696,737,1081,9097,376639,F
778451279,3928,340,106056,696,924,1622,7272,376649,T
747281570,2294,20,174344,696,667,1081,4949,376077,F
753205618,3925,312,192325,696,1090,1622,9319,376301,T
480731893,4918,88,226228,696,748,1622,4455,376959,F
944033007,4694,118,168984,696,778,1622,5097,376201,F
826637452,2943,75,147150,696,1323,2162,9481,376393,T
277894689,4025,292,225400,696,1061,1622,6673,376916,T
273645336,2232,1,223200,696,1204,1081,9519,376101,F
162561276,3951,334,114579,696,3614,2162,4363,376840,T
761332284,4663,106,125901,696,2680,540,5203,376809,F
448114903,3904,320,78080,696,1173,1622,7454,376736,T
075241544,4949,72,361277,696,667,2703,8807,375979,F
072460033,2339,73,215188,696,2347,540,6953,376317,T
625322230,4754,77,418352,696,3829,1081,8808,376169,F
737444019,2146,60,105154,696,960,1081,5109,376875,T
465377554,4885,100,420110,696,916,1081,9452,376497,F
503431662,3965,280,317200,696,775,2703,8609,376383,T
727970523,2264,19,165272,696,6307,1081,5193,376143,F
012925074,3915,318,125280,696,671,2162,6789,376848,T
028248967,4891,104,220095,696,3422,2162,4940,376966,F
177950116,4808,53,466376,696,908,2162,6904,376341,T
027318510,4940,84,306280,696,1054,1081,7341,376587,F
