userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
173955643,3314,10,510356,1125,7163,477,5243,517556,T
785149347,3163,9,736979,3048,6228,2389,9890,517744,T
621369888,3507,253,729456,4572,5808,1433,5075,517338,T
776818109,3244,27,739632,878,14820,1433,10382,516968,T
170631529,3252,3,796740,1110,12640,1433,5563,517541,T
352784547,3104,1,152096,1476,9995,1433,10129,517010,T
342791191,3588,285,864708,1128,12279,955,9895,516863,F
251040766,3320,11,371840,1238,4341,1433,8148,517266,T
165787114,3537,285,311256,1476,4524,477,9915,517358,F
996637155,3595,283,395450,1193,9144,477,7744,517006,F
543305104,3203,39,163353,864,11020,477,10269,516962,T
856207201,3226,36,700042,3803,5372,1911,7573,517405,T
075125988,3226,3,635522,1698,6822,1911,9695,517409,T
621274012,3513,262,551541,1404,12279,477,10439,517475,F
219406596,3474,283,642690,4722,11020,477,7275,517522,T
341708115,3324,4,299160,999,17908,955,9981,517223,T
520884915,3174,9,276138,2923,4829,1911,10195,517164,T
624998237,3140,35,496120,1110,5306,477,4863,517543,T
999827541,3179,17,79475,3705,33060,1911,5508,517334,T
086634234,3641,265,837430,1077,14326,477,5023,516839,F
793510224,3178,37,518014,1876,4341,1911,9827,517747,T
602134899,3584,281,741888,1227,30699,955,9513,517628,F
129845629,3329,25,725722,1001,61398,955,5306,517172,T
879556009,3215,29,131815,3705,9550,477,9520,517520,T
523450205,3198,3,70356,1203,9144,1911,5531,517411,T
751078176,3111,31,342210,1518,11938,1433,8119,516896,T
926885148,3579,262,622746,1609,5730,477,7744,517725,T
057451288,3606,253,645474,1726,8771,1433,5696,517543,T
251716784,3138,33,128658,4524,5372,477,10452,517391,T
402209503,3227,13,477596,952,47754,477,7261,516902,T
603122957,3347,25,274454,1069,17191,955,9779,516930,T
954652325,3243,1,197823,1082,4385,1433,8140,517351,T
653423665,3244,30,145980,3552,6228,2389,10004,516995,T
593273993,3593,268,477869,4722,5808,955,8001,517313,T
654383885,3506,287,750284,1050,9995,1433,5150,517673,F
528362136,3244,25,567700,1058,5808,2389,9924,517795,T
277018974,3252,15,526824,870,20466,955,9691,516927,T
174517158,3316,23,527244,1621,12640,2389,4852,517782,T
886279779,3286,25,788640,2374,4524,1911,10547,516980,T
930260073,3129,2,707154,4940,26862,1433,7618,516994,T
269690494,3245,35,165495,1860,6715,955,10248,517315,T
510771982,3174,25,549102,1338,5372,1433,7846,517265,T
472325768,3165,33,465255,3642,14820,1911,5324,517540,T
712707956,3162,17,480624,4940,5969,1433,4973,517678,T
345375759,3224,26,635128,2008,25281,1433,10367,516909,T
681899639,3190,38,628430,2558,8265,1911,9597,517827,T
148810060,3205,16,365370,868,5241,1433,9968,516904,T
803766010,3212,15,234476,1253,7045,477,5426,517770,T
299080741,3350,3,308200,1733,5887,2389,10016,517635,T
463201909,3267,9,58806,990,33060,1433,7792,517261,T
758696592,3215,7,456530,4132,6320,955,4778,517647,T
808384030,3249,1,523089,4054,11020,955,8063,517133,T
069531742,3170,1,326510,4940,5116,2389,8119,517729,T
370684897,3214,31,372824,1167,85958,1911,7736,517486,T
890481297,3188,5,191280,1646,4297,2389,5710,517280,T
139375917,3564,270,345708,1513,4775,955,10408,517525,F
936330664,3199,38,505442,1043,22620,1911,10335,516944,T
774090592,3222,7,695952,1290,47754,1911,5163,517701,T
305341969,3131,3,663772,1418,9144,1433,9710,517152,T
769874372,3333,31,319968,877,4884,1911,7919,517052,T
859481565,3352,27,750848,1456,47754,1911,7444,517425,T
813199859,3190,1,746460,2361,5655,477,5627,516836,T
509683292,3170,1,342360,1562,20466,955,10359,517576,T
021274775,3635,292,657935,4132,5241,477,10394,517228,T
876147261,3172,1,228384,4213,4722,1911,10546,517412,T
116853719,3206,20,109004,3280,5440,2389,5588,517645,T
479142059,3477,270,267729,2964,13431,477,10260,517571,T
416974929,3216,19,701088,2056,5440,1433,10456,517238,T
770657001,3292,37,743992,1016,9768,1911,8146,517156,T
205450396,3301,32,306993,3306,11938,2389,10223,517231,T
395587942,3258,24,746082,1016,4430,1433,7335,517030,T
576745914,3270,39,330270,2414,6139,1433,10544,517471,T
700228038,3182,9,665038,955,4430,477,9829,517444,T
041351309,3206,3,516166,2984,14820,955,7791,517118,T
351804808,3624,253,616080,2455,4997,955,5625,517265,T
874962201,3104,2,772896,5887,8954,955,7859,517392,T
373924113,3288,25,489912,1733,14326,477,7927,517145,T
348055259,3317,11,281945,918,4297,955,4865,517400,T
001969298,3314,1,222038,1355,15349,477,10376,517461,T
813473901,3500,264,763000,2923,5372,477,7492,517139,T
095564352,3233,34,465552,2192,4997,955,4872,517236,T
522463610,3267,26,297297,1231,47754,1911,5508,517584,T
011988329,3211,40,362843,1768,6715,477,8044,517826,T
388424449,3267,15,52272,2027,28652,1433,8161,517792,T
812433765,3276,14,805896,994,9995,2389,5615,517353,T
116346751,3195,7,284355,5887,7163,477,5431,517662,T
955614261,3355,30,587125,1377,20466,2389,9638,517527,T
517865962,3142,5,656678,1936,6612,1433,4809,517547,T
014426683,3195,16,54315,1217,7540,477,7934,516834,T
750286773,3273,25,749517,1174,7284,1911,9555,517035,T
452147620,3291,37,88857,1621,4297,477,5305,516983,T
870110304,3291,33,246825,1190,61398,477,9881,517130,T
315241272,3600,282,360000,1529,11938,955,5064,517258,F
161783565,3233,34,665998,2589,6715,1911,7173,517151,T
575774479,3210,19,452610,1386,5969,1433,9749,517623,T
419211944,3300,6,49500,965,7814,1433,7138,517480,T
304098089,3308,8,433348,1187,6822,955,7758,517129,T
346627631,3590,273,800570,912,12640,477,9620,517481,F
579223230,3346,39,341292,3306,6715,1911,7242,517538,T
212017436,3194,11,47910,950,5116,1433,7673,517514,T
142611186,3587,275,570333,1119,8771,955,7393,517186,F
407331750,3202,33,521926,1224,6512,477,9929,517075,T
627445236,3207,23,724782,1235,11310,1433,10344,517612,T
117262481,3616,267,578560,922,8265,477,5326,517315,F
069729881,3252,35,149592,1409,18686,955,10274,517806,T
760861823,3220,25,650440,899,22620,1433,7834,517251,T
716329833,3283,31,341432,4997,6139,477,7834,517557,T
774165792,3168,14,494208,2127,33060,1433,4910,517314,T
954295612,3156,23,309288,906,6414,477,10079,517764,T
261819422,3234,33,249018,891,10744,955,7818,517156,T
427587902,3109,35,749269,868,16530,1911,7919,516997,T
479353027,3134,25,495172,1471,15918,477,10090,517229,T
493583472,3540,273,527460,1885,7045,477,7819,517143,T
571191880,3187,31,529042,1568,11310,955,7773,517733,T
308063022,3126,7,753366,5241,4829,1433,7445,517470,T
663153305,3229,7,571533,1203,47754,1911,7693,517003,T
695108945,3328,28,109824,1314,28652,1433,7309,517355,T
716993608,3230,13,691220,4940,5581,1911,7383,517260,T
432102788,3211,30,423852,1821,10744,477,10120,517778,T
066995094,3522,293,443772,1016,9768,477,10138,517390,F
431291767,3551,261,355100,1852,11616,477,9661,517291,T
585411288,3257,38,719797,2348,21489,955,10516,517621,T
556086723,3259,16,290051,1227,10482,2389,5036,517572,T
273321305,3167,29,373706,981,13024,2389,7806,517367,T
890768075,3265,35,176310,4884,11616,2389,5610,517556,T
817179427,3290,1,184240,2036,4341,477,7752,517302,T
669034329,3201,35,701019,1286,47754,1433,10328,516899,T
648787875,3215,17,257200,1128,8109,1911,7889,517487,T
791580459,3649,282,864813,3466,5887,955,10514,517276,T
190548176,3212,2,301928,1001,9995,1911,9634,517471,T
833943831,3315,14,663000,4884,21489,955,5499,517480,T
558362413,3287,18,157776,2755,5241,2389,9994,517050,T
475506878,3167,30,218523,1286,12279,1433,10001,516845,T
626984278,3276,26,710892,4341,4621,477,4865,517263,T
772831550,3644,280,415416,2036,11310,477,9960,517825,T
533800326,3119,13,155950,2484,7163,1911,10423,517021,T
567897467,3119,21,402351,1980,4775,477,9893,517208,T
