userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
215368606,3265,29,133865,1082,863,477,9824,516915,T
264525403,3687,264,365013,1082,897,955,4814,517526,F
812951975,3385,36,216640,1082,1119,955,7253,516951,T
694770658,3516,323,344568,1082,930,477,4974,516844,F
198190704,3366,11,245718,1082,3494,2389,7836,517475,T
121196527,3642,291,342348,1082,1476,477,7650,517151,F
036161803,3332,41,253232,1082,1562,2389,10199,517311,T
719138744,3532,271,339072,1082,1409,477,10397,516933,F
521269706,3634,275,363400,1082,1719,955,5143,517168,F
770638416,3315,27,198900,1082,965,1911,5560,517029,T
249558866,3359,15,251925,1082,3705,477,7235,517720,T
237594442,3563,274,313544,1082,899,477,5376,517705,F
225794068,3426,32,119910,1082,9995,1433,4848,517452,T
119096335,3696,283,328944,1082,1798,477,4891,516898,F
125754544,3221,39,67641,1082,888,477,7193,517144,T
317415839,3713,277,326744,1082,1540,477,4840,517146,F
876812407,3220,16,315560,1082,4940,1911,5609,517160,T
518739239,3655,282,365500,1082,1322,477,7274,517097,F
748725525,3155,3,211385,1082,1557,477,10360,516826,T
028809467,3469,321,333024,1082,13864,477,5402,517822,F
138642647,3397,69,264966,1082,1953,477,5104,517043,T
446020881,3728,281,301968,1082,6139,477,5041,517386,F
326862376,3199,38,185542,1082,1343,477,4869,517613,T
142382218,3691,320,298971,1082,918,477,9694,517717,F
980370249,3291,32,273153,1082,2943,1433,7928,517422,T
898021503,3598,268,316624,1082,4884,477,10256,516834,F
114914688,3445,42,86125,1082,1754,1911,4768,517555,T
132218160,3748,318,314832,1082,10233,477,5499,517275,F
344562388,3264,55,110976,1082,1733,2389,4903,517725,T
857335256,3476,280,347600,1082,1373,477,9649,517467,F
610371931,3329,68,93212,1082,1018,955,7466,517095,T
347551714,3513,294,309144,1082,6139,477,9671,516837,F
554925220,3321,67,295569,1082,1574,477,5729,517376,T
111719646,3689,308,346766,1082,2298,477,4835,517520,F
298525637,3412,63,232016,1082,2027,1433,5427,517739,T
619068987,3503,274,129611,1082,39072,477,5233,517626,F
455467787,3288,57,200568,1082,4172,1433,10181,517447,T
983034164,3669,306,326541,1082,1140,955,4789,517579,F
673808745,3230,54,109820,1082,1665,1433,10346,517804,T
829803689,3751,291,367598,1082,1712,477,9893,517686,F
358669729,3338,61,150210,1082,906,2389,7664,517214,T
249119886,3508,309,333260,1082,1368,477,4816,517424,F
711960291,3189,32,229608,1082,1813,1911,7392,517446,T
299406278,3704,297,325952,1082,1740,477,7995,517117,F
733332806,3311,31,225148,1082,1158,2389,10186,517055,T
877041341,3704,279,288912,1082,6512,477,10154,517460,F
654208766,3264,22,231744,1082,950,2389,10267,517771,T
783955912,3666,281,333606,1082,1282,477,7192,517109,F
631388852,3530,262,254160,1082,11616,477,9877,517820,F
818932572,3173,16,228456,1082,1971,1433,10274,517449,T
808622665,3251,14,81275,1082,1418,1433,5188,517167,T
332067796,3683,273,305689,1082,875,477,10047,517628,F
936945166,3213,31,237762,1082,871,955,9531,517416,T
524716107,3489,276,237252,1082,17191,477,5262,517183,F
992337455,3128,8,203320,1082,1050,955,7182,517509,T
052964335,3590,291,337460,1082,1071,955,4901,517119,F
971042823,3409,34,235221,1082,1452,2389,10182,517730,T
956607698,3588,321,333684,1082,2755,477,5232,517607,F
070993353,3277,22,140911,1082,1423,2389,7317,517562,T
229809930,3567,293,349566,1082,1343,477,5246,517745,F
024603605,3350,30,318250,1082,1399,955,5243,516983,T
753379028,3518,295,341246,1082,1013,477,10252,517102,F
867334893,3345,26,173940,1082,5306,477,5135,517320,T
941792180,3491,279,265316,1082,9995,477,9721,517030,F
974913863,3382,64,179246,1082,8771,955,7201,517046,T
725263867,3728,275,350432,1082,2250,477,7785,517651,F
904065373,3213,37,138159,1082,3737,477,8075,517663,T
196612574,3545,292,297780,1082,4572,477,7974,516918,F
879635981,3405,11,303045,1082,17908,955,7956,517390,T
250923522,3658,295,358484,1082,1768,477,7816,517261,F
528004259,3143,4,213724,1082,1207,477,10505,516918,T
638274974,3592,320,308912,1082,2159,477,9861,517641,F
557911178,3296,31,260384,1082,1456,1433,10078,517664,T
552567933,3607,268,284953,1082,9144,477,7765,517271,F
704530722,3374,18,185570,1082,2755,2389,7992,517325,T
057789619,3685,286,331650,1082,920,477,7466,517115,F
291554565,3395,18,251230,1082,42979,1911,7808,517535,T
967655388,3507,312,231462,1082,14820,477,7311,517122,F
405793743,3409,55,204540,1082,3979,1433,7387,517514,T
479817999,3526,264,338496,1082,6053,477,5034,517298,F
695843192,3341,43,190437,1082,1071,955,7317,517091,T
593197069,3633,315,359667,1082,3183,477,10437,517515,F
631719250,3194,2,102208,1082,999,477,10190,517528,T
640796165,3642,288,364200,1082,1634,477,9747,516835,F
759098697,3412,51,286608,1082,1119,1433,7955,517011,T
874194577,3647,316,335524,1082,4477,477,5700,517359,F
394861711,3133,65,234975,1082,1061,955,7231,517370,T
647757613,3509,281,210540,1082,19536,477,5113,517124,F
820119905,3306,17,181830,1082,1119,1433,10469,517301,T
856511578,3567,308,345999,1082,1071,477,10148,517318,F
687058991,3271,66,294390,1082,1063,955,10542,516846,T
763856773,3670,275,367000,1082,1207,477,10507,517718,F
141650515,3366,71,87516,1082,1351,1911,4891,517051,T
249782399,3505,289,329470,1082,2964,477,4992,517831,F
627772203,3146,56,204490,1082,1487,955,9905,517019,T
522558699,3589,273,355311,1082,3280,477,7755,516887,F
879137411,3167,33,209022,1082,1461,1433,9970,517129,T
311834718,3519,287,337824,1082,1546,477,7744,517778,F
027155216,3423,68,328608,1082,8954,2389,10251,516823,T
543974182,3621,268,343995,1082,948,477,9919,517570,F
