userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
415998441,201,27,36381,964,8088,2510,2520,494589,T
687454075,3797,125,527783,1539,9357,2008,2261,494907,T
810534996,3817,104,545831,1155,10846,502,1734,494347,T
036829644,249,14,40089,1333,19885,1004,2258,494706,T
678858453,186,30,19344,1141,12558,2008,2018,494635,T
625072009,3854,120,928814,3535,7342,1004,1460,494473,T
419145818,3065,23,456685,3671,4869,1506,1516,495055,T
501252774,221,3,13260,1046,31816,2510,2520,494820,T
886703479,3789,91,503937,1450,9739,502,2963,494721,T
672921721,3857,119,809970,1539,15908,2008,2329,494964,T
757413038,3912,93,262104,1787,6118,502,1940,495130,T
086940536,93,22,17298,1279,5023,502,2093,494956,T
405258593,97,1,14744,1774,20749,1506,1516,494762,T
213335788,261,1,18009,1680,17044,2008,2831,494541,T
905900263,3848,120,250120,1058,7456,1004,1014,494222,T
170132571,160,16,5920,1564,9739,1506,1516,494926,T
064462568,262,16,29344,1161,5187,1004,2352,494853,T
172016875,3909,130,85998,2607,25117,1004,1572,494808,T
599613376,3202,12,233746,4223,9739,502,1250,495106,T
791465710,3820,111,122240,3314,5023,502,2668,494193,T
325806943,3142,36,166526,4920,10154,2008,2543,494723,T
807819286,158,9,16274,1446,4920,502,1064,494677,T
977252643,3835,94,115050,960,4869,1506,2521,494889,T
674939399,3161,47,161211,3671,5077,1004,1941,494174,T
129505572,3936,107,149568,4633,13635,502,2270,494573,T
118075445,3874,128,821288,2013,7342,2510,2994,494923,T
029985264,3902,110,50726,1575,8088,1506,2131,494563,T
721292895,3814,108,911546,1391,23862,2008,2018,494641,T
293516719,3919,91,799476,1988,19885,2510,2520,494455,T
404814562,3957,123,292818,1017,79540,2008,2106,494653,T
387547816,144,28,30672,1355,5244,502,1978,494567,T
269742540,132,1,6204,1375,16456,1506,2447,494255,T
274819462,3967,95,658522,1205,14913,1004,2471,495045,T
599615091,267,21,33642,1645,14913,1506,1516,494368,T
467849551,3165,12,376635,3433,6279,1004,1576,494842,T
149876376,3825,90,921825,2593,10846,1004,1762,495006,T
695635244,3936,93,417216,2774,8677,502,1689,495053,T
468978611,3868,123,943792,1539,25117,2008,2110,494221,T
615694382,3927,114,671517,2651,4869,502,2183,494772,T
330286803,3794,112,800534,2579,7823,1004,2268,494506,T
507185663,3807,90,609120,1835,11098,1004,2788,494172,T
009372337,194,22,15326,1878,9357,502,1936,495011,T
798561133,3115,15,610540,4149,7954,502,2939,494242,T
130834814,3970,121,539920,1800,5077,1004,1391,494924,T
605138769,3892,115,311360,1835,7954,2510,2520,495096,T
972623051,119,30,11305,1155,5681,1506,2454,494253,T
116777042,239,18,59272,1722,6197,502,1833,494243,T
525401901,140,17,9660,2102,5077,502,2186,494501,T
485429781,3039,34,440655,5187,4920,2510,2520,494780,T
449375390,170,29,10370,1344,11931,1004,1733,494256,T
573669945,3808,105,906304,1371,5891,2008,2018,494444,T
794672633,124,2,19592,1172,39770,2008,2018,494689,T
648933433,270,2,49410,1011,12558,2008,2460,495073,T
614560391,3826,114,723114,3588,8677,502,2025,494343,T
976246246,3228,40,303432,2362,7823,1506,2664,494738,F
130283630,140,24,12320,1355,5244,1004,2792,495115,T
152333322,89,21,1869,1015,5187,502,1096,494682,T
698733468,3947,128,836764,1279,11362,1004,1715,494637,T
331400051,90,19,20430,1893,5681,1506,1933,494732,T
672983586,113,26,26668,971,7018,502,1841,494942,T
176797176,3895,98,747840,1092,14913,2510,2520,494165,T
659733757,3898,124,292350,1446,47724,1004,2255,494456,T
639459414,3951,100,379296,4502,9739,2008,2018,495021,T
571296867,3850,98,346500,3337,8088,2510,2520,495133,T
917931626,3934,101,342258,4971,20749,502,2519,494227,T
394581039,3826,98,474424,3020,5485,1004,1847,494495,T
780570794,3061,38,131623,3224,34088,1506,2682,494882,T
480028145,3812,94,228720,1510,7018,1506,2307,494791,T
072278492,113,16,5763,1367,10154,2510,2520,494656,T
248633940,3072,46,221184,2774,5023,502,1692,494367,T
839857539,102,9,8874,1580,7823,1004,1461,494509,T
762866940,174,1,10440,2149,5820,2008,2984,494577,T
918255848,3884,129,256344,1420,5187,2510,2520,494412,T
799051679,209,1,48906,1336,9177,1004,1804,494720,T
689458983,3205,12,96150,5614,5614,2510,2520,494493,T
686414862,3057,40,61140,2240,6279,2008,2291,494682,F
025945923,170,1,13430,1136,5891,2510,2863,494609,T
551717424,3853,105,816836,1716,11098,2008,2121,494421,T
863302527,3217,16,768863,2945,5362,1004,1178,494869,T
621479595,3841,104,952568,1044,68177,1004,2179,494533,T
903029459,3138,28,536598,2511,4920,502,1530,494710,T
426492900,3850,109,92400,1282,4971,1004,1190,494877,T
635786739,156,3,27144,2607,11098,502,1260,494978,T
895430982,3950,126,604350,1549,5423,1004,1572,494696,T
775266325,3957,127,799314,1082,11098,502,2952,494992,T
803967212,3934,125,688450,1420,4869,2510,2520,495127,T
303632374,155,17,22940,1282,6279,502,2439,494274,T
759151608,174,20,8526,1940,6537,502,2506,494194,T
041573838,100,1,23100,2422,6041,1506,1914,494600,T
964756401,192,14,29376,1980,36710,1004,2552,494613,T
741817625,281,6,5901,1175,6118,502,1683,494841,T
540281001,3919,92,819071,2874,16456,502,2076,495056,T
128132373,3059,49,168245,5131,5302,2008,2018,494794,T
313233217,3109,35,497440,3337,5820,1506,1752,494958,T
735046627,3079,33,246320,1407,5077,1004,1879,494397,F
134575627,3872,94,503360,1133,7954,1506,1629,494303,T
489752955,3147,12,97557,2074,10154,1004,2716,494299,F
779459255,118,28,7316,1640,9544,1506,1792,494558,T
540395652,120,24,9240,2039,4971,1506,2468,494399,T
805586360,3815,127,270865,1908,5549,1004,1014,494456,T
929921754,206,1,29870,1524,7456,2510,2520,494616,T
158681195,3148,32,34628,2892,12236,502,1727,494641,T
470641886,116,8,25404,1668,19885,2008,2018,494310,T
681681740,3978,108,779688,2179,6817,1004,2311,494707,T
786333230,3038,39,385826,2622,7823,502,2411,494888,T
999193181,3795,95,937365,1152,34088,1506,2053,494318,T
204565971,97,16,23377,2422,79540,1004,2977,494862,T
377218807,132,3,12540,2159,5423,2510,2729,494933,T
430838556,3874,90,945256,1924,6197,502,2427,494976,T
129178494,3969,103,436590,3119,9942,2510,2870,494174,T
581706266,3862,124,907570,1761,6449,502,1826,494162,T
286687079,3959,119,783882,4460,6449,2510,2520,494933,T
723284095,269,18,43040,1379,9004,2510,2520,495080,T
792406897,3185,13,449085,2607,5131,502,2843,494337,T
751439188,100,1,6800,1463,15394,502,965,494897,T
145007396,226,1,15142,2140,5362,502,2505,494610,T
563101693,215,18,33755,1601,13635,502,2113,494769,T
684194388,194,6,24444,1657,4869,1004,1819,494616,T
557715484,3944,101,390456,2328,6916,502,2260,494386,T
254298517,3913,122,923468,2189,12898,1004,1890,495071,T
156392885,3172,13,301340,1996,12898,1506,2576,494622,F
109185671,3210,44,32100,3977,8522,1004,1870,494525,T
542644455,3149,46,91321,5485,8837,1004,2330,494328,T
283087016,213,1,24495,1024,5187,2510,2520,494522,T
770829431,3910,91,152490,2982,5891,2008,2021,494580,T
432543065,3201,22,230472,2294,19089,502,1623,494379,F
769916984,3971,123,420926,1692,5302,1506,2759,494628,T
087376669,180,15,12240,2593,5485,1506,2750,494436,T
541732729,3893,90,416551,1871,26513,1004,1737,494513,T
606801992,3952,106,213408,2305,7954,1506,2969,495084,T
574713196,3912,124,668952,1300,59655,2008,2642,494506,T
304989245,3175,34,292100,1842,5362,2510,2945,494853,F
527631470,226,9,22600,968,7697,2510,2520,494316,T
730096768,3853,91,604921,1348,11098,1004,2224,494755,T
067594795,106,7,23532,968,6041,2008,2044,495073,T
534971431,3114,26,613458,4820,5614,1506,1520,494629,T
872493918,3789,114,106092,1754,6628,1506,2004,495003,T
650602068,3939,98,827190,1058,9942,2510,2520,494636,T
387177785,3975,127,214650,5485,5131,1506,1729,494856,T
262236331,3979,113,624703,2945,12558,1506,2700,495005,T
396635907,164,22,34932,1901,6537,2008,2323,494679,T
215174668,3796,90,880672,988,5362,502,2251,494894,T
439237342,244,14,12688,1585,13256,1506,2799,494501,T
434524156,3810,111,727710,3848,7456,502,2149,494934,T
589536509,3815,94,110635,2093,28072,1004,1211,494850,T
254098285,3939,123,476619,3671,7456,2008,2018,495080,T
275240146,176,1,27280,1741,12236,1004,1537,494286,T
899797846,87,2,15051,1051,43385,2510,2520,494169,T
405640463,3929,99,314320,1391,7575,1004,2038,494971,T
176830250,3092,16,714252,2823,6817,1004,2456,494801,T
570689349,3937,108,421259,3535,14036,1004,1736,494856,T
020276283,3894,129,693132,2927,5023,2510,2520,495063,T
499937732,3807,102,350244,2636,6817,2008,2703,494505,T
965272884,3890,108,73910,1348,12558,2008,2156,494413,T
662461749,3811,128,788877,1279,95448,1506,2504,494979,T
342147737,279,3,57753,2111,12898,1004,1516,494640,T
718379834,3832,115,398528,964,19089,2008,2018,494716,T
783160814,212,1,19504,2230,43385,2008,2173,495110,T
748270110,3038,26,683550,4186,5749,1506,2466,494491,T
142296131,234,10,18018,1099,22725,2510,2520,494186,T
188736538,3963,128,237780,1172,7823,1506,2354,494781,T
839049807,3946,90,398546,5485,8372,1004,1087,494393,T
608753069,3893,122,739670,1202,11931,2510,2520,494456,T
066361768,121,9,4477,2283,39770,1004,1981,494735,T
919214102,3787,97,791483,986,4920,1506,2228,494194,T
021283125,3832,104,417688,1601,10846,2510,2520,494942,T
361531282,148,28,17612,1704,4772,2008,2352,494370,T
003811492,3786,94,299094,1026,5023,502,1699,495008,T
572312237,3973,105,675410,2447,9544,2510,2520,494458,T
120861497,3882,120,415374,962,19089,2008,2175,494717,T
321455069,3963,105,91149,1871,9177,2008,2018,494506,T
743430904,269,24,19099,1549,5549,2008,2073,494521,T
794269262,3872,111,406560,2240,6197,2008,2035,494152,T
