userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
208352316,3921,151,247023,986,2084,1004,2168,494798,T
749686071,3109,25,279810,986,1293,1004,1528,494904,F
848310975,3803,142,270013,986,1729,1004,1437,494947,T
762068131,3097,15,213693,986,1524,2008,1083,494383,F
102454906,3784,142,234608,986,1575,502,2495,494890,T
606997154,3225,34,251550,986,2964,1004,1540,495006,F
123521785,293,1,12306,986,1293,502,1263,494855,T
779009215,3099,25,210732,986,1205,2008,1359,494933,F
536147600,328,1,25256,986,2636,1004,1514,494151,T
536943369,3183,31,248274,986,1133,1004,1198,494974,F
461336952,187,56,13090,986,1293,2510,1053,494698,T
166886275,3133,37,216177,986,2982,1506,1573,494499,F
436921869,3951,144,79020,986,12236,1004,1905,494983,T
942039614,3043,31,301257,986,2305,502,1473,494819,F
921218980,272,35,23120,986,1344,1506,1935,494419,T
053638169,3061,30,79586,986,2964,1506,1723,495069,F
933094705,3921,159,231339,986,1680,2008,1596,494799,T
396863176,3111,29,127551,986,5131,1506,1614,495104,F
499601543,3874,109,174330,986,1187,2008,2489,494471,T
983818389,3121,31,177897,986,3483,2008,1136,494668,F
537552401,3903,121,81963,986,9739,502,2371,494321,T
889265313,3186,14,264438,986,960,1506,1488,494829,F
839645645,105,29,9660,986,8372,2008,2151,494545,T
236015635,3189,30,102048,986,1089,502,1189,494429,F
512078610,129,3,7095,986,1158,1506,2221,494793,T
611792944,3089,21,256387,986,1109,2510,1371,494322,F
131636130,3817,137,91608,986,2565,1506,2174,494350,T
370729771,3294,17,299754,986,1575,502,1571,494714,F
713056531,3863,133,216328,986,1015,1004,2584,494633,T
120142107,3190,23,86130,986,1651,1004,1165,494293,F
038108006,3973,134,166866,986,1249,1506,1911,494696,T
502841402,3112,16,308088,986,1399,502,1710,494493,F
707902365,334,1,23380,986,34088,1004,1977,495062,T
824530770,3043,13,252569,986,2696,1506,1065,494442,F
981211645,3994,160,155766,986,2374,1004,1487,495020,T
580857485,3296,28,313120,986,1741,1004,1214,494931,F
016551864,136,41,11424,986,1564,1004,1930,494891,T
671046734,3284,22,213460,986,4261,2008,962,494574,F
575240017,4028,137,382660,986,1122,1004,1782,494715,T
504270933,3124,24,249920,986,966,502,1497,494180,F
556249405,346,28,24912,986,1399,2008,1490,494750,T
032695363,3057,13,247617,986,986,2008,1615,494155,F
723918798,4011,130,324891,986,1383,2008,1776,494447,T
517150101,3162,17,297228,986,1612,502,1323,494268,F
829970224,3954,134,257010,986,1686,502,2946,494487,T
601776254,3040,38,148960,986,1149,1506,1516,494207,F
275620435,335,45,19430,986,1459,1004,1326,494199,T
519220114,3094,32,163982,986,1006,2008,1860,494620,F
708596315,3906,121,93744,986,1055,502,1770,494589,T
032461752,3315,28,86190,986,7697,502,1022,494886,F
090200581,259,26,5180,986,2350,1506,1688,495105,T
620951556,3111,21,214659,986,2593,2008,1620,494554,F
301229882,228,26,14136,986,1463,1506,1883,494981,T
182707432,3090,36,86520,986,1617,1506,1463,494915,F
710866427,4046,118,242760,986,1017,1506,2427,494715,T
539878414,3093,13,83511,986,1246,502,1296,495010,F
947302458,3821,98,347711,986,2149,2510,2207,494301,T
321725683,3198,26,316602,986,1099,2510,971,494807,F
700452280,3979,156,230782,986,1255,502,2402,495040,T
610613073,3041,27,237198,986,960,502,1576,495002,F
480422093,362,27,19548,986,1748,2008,1559,494902,T
267356167,3225,38,293475,986,2485,1004,1140,494713,F
375899495,3916,131,281952,986,3671,502,2740,494615,T
480462872,3202,41,166504,986,3615,2510,1229,494839,F
253736850,3081,29,243399,986,1657,1506,1683,494194,F
305276780,241,3,5784,986,1067,502,1972,494183,T
664502391,334,5,31396,986,1500,2510,1578,494841,T
010823504,3140,15,292020,986,1500,1506,1834,495082,F
175864556,3851,92,354292,986,2362,502,2350,494384,T
228545258,3047,21,280324,986,1008,2510,1731,494150,F
977536087,3797,143,265790,986,2283,2510,2360,494470,T
794679341,3129,29,168966,986,6916,1004,1301,494555,F
746581543,3907,131,230513,986,1236,2008,1758,495071,T
354018157,3167,32,82342,986,1800,2008,1441,494511,F
528305147,4019,145,309463,986,1147,502,2353,494335,T
827360076,3226,12,74198,986,1002,502,1496,494765,F
836198481,103,27,9888,986,9177,2008,1946,494788,T
803341546,3117,22,112212,986,3483,1506,1524,494260,F
198178296,4001,120,164041,986,1835,1506,1643,495000,T
730301494,3131,25,228563,986,5077,502,1298,494235,F
243068136,3208,30,109072,986,2328,1506,1498,494470,F
393404106,312,1,29016,986,1539,2008,2401,494161,T
345934938,4028,138,149036,986,4186,1506,2125,494700,T
435678765,3142,24,191662,986,1117,502,1476,494317,F
569386857,4064,105,101600,986,1107,1506,2178,494278,T
250220465,3039,17,279588,986,2447,502,1636,494573,F
246064449,3178,34,146188,986,1030,502,1125,494431,F
236195108,3882,100,120342,986,26513,2008,2086,494600,T
427757649,178,21,7120,986,2945,1506,1743,494834,T
686186201,3273,24,193107,986,962,1506,1546,494925,F
628962953,3983,144,227031,986,2074,2008,2632,494573,T
735418543,3300,15,145200,986,1996,2510,1231,494568,F
869754444,4016,145,244976,986,2790,1004,2413,494254,T
068285711,3200,31,240000,986,6363,502,959,494453,F
494707759,3936,141,350304,986,1265,1004,1885,494808,T
403938500,3144,38,160344,986,4338,2510,1137,494319,F
266381833,284,14,6248,986,3848,2008,2128,494681,T
326355476,3317,12,255409,986,1032,1506,1136,494274,F
243162998,3851,98,219507,986,1428,1004,1566,494403,T
098703741,3094,15,114478,986,2681,502,1555,494647,F
