userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
140899711,4096,35,790528,1343,11159,447,2866,262012,T
805330871,849,8,168951,875,2592,1343,2613,261832,T
920870642,4163,26,83260,569,4010,2238,4313,261934,T
118369218,927,1,172422,542,3092,1791,1960,261358,T
715258484,3006,36,111222,675,7777,1791,1930,261197,F
065057250,3984,21,358560,855,51332,2238,3563,262035,T
002047495,3127,43,150096,1666,6754,895,2238,261087,T
044395266,3056,56,605088,1565,8020,1791,2274,261482,T
983467026,3996,33,183816,1614,3019,895,3656,261673,T
185859498,806,7,52390,1711,7777,447,2560,261304,T
592474640,1786,135,148238,670,51332,1791,3383,261715,T
413818845,871,9,87100,566,8555,1791,1807,261327,T
725562146,3132,70,325728,555,3830,1791,1976,261699,F
571332075,3000,71,192000,1006,3422,447,2657,261545,T
989305556,4025,42,370300,1887,3168,2238,2432,261298,T
949356294,3979,24,39790,671,2916,2238,4404,261946,T
583946341,3978,20,632502,812,3774,1791,2036,261664,T
050452847,4085,38,608665,2950,5703,895,3024,261117,T
118634700,601,1,140033,571,4074,895,2637,261067,T
209162514,4030,40,983320,1177,2730,1791,2140,262060,T
182671241,4138,38,943464,546,4277,2238,2248,261415,T
690974838,829,1,193986,1410,36666,447,4035,261663,T
205071243,3975,51,822825,675,2701,2238,2248,261957,T
682917801,4049,21,392753,2020,3092,895,1829,261304,T
152500001,4059,47,961983,1022,4350,1791,4339,262058,T
544601186,4065,22,987795,1509,8279,2238,2853,261955,T
987579030,785,8,158570,1101,6111,447,2747,261546,T
772501564,4066,23,951444,2175,3422,1343,2751,261794,T
085735079,917,23,133882,875,12222,447,2001,261664,T
835322173,773,4,29374,602,5133,895,1850,261222,T
233273841,3085,61,166590,768,3422,1343,1766,261662,F
221988840,3084,35,493440,1859,5968,447,2474,261350,T
798474733,3002,69,405270,594,4074,895,2198,261846,F
908337011,621,1,146556,536,4350,447,1764,261940,T
917180603,3121,72,689741,2883,23332,1343,1929,261788,T
444015267,3141,49,75384,3290,3468,895,2602,261954,T
934950859,4009,52,192432,1115,12833,2238,2248,261726,T
299729863,4086,37,731394,775,2883,1791,2688,261577,T
835964321,3134,56,197442,699,4207,1343,1823,261268,F
416657531,3033,61,142551,1216,7129,1791,2095,261247,T
695684576,4051,32,413202,1565,3468,895,2983,261081,T
057812975,571,3,52532,626,17110,2238,2248,261826,T
792104651,3002,52,744496,572,6754,895,1776,261857,F
389490417,4052,20,1008948,3468,2984,1343,3895,261822,T
451518913,3196,47,735080,964,2984,1343,1925,262023,T
893519359,3984,29,338640,648,9166,2238,2312,261738,T
354520435,819,1,81900,1807,4842,895,2630,261138,T
516482799,772,9,46320,3092,25666,447,2085,261837,T
122572135,4110,40,193170,684,25666,895,3106,261195,T
476957913,3012,39,677700,1130,18333,447,1818,261828,T
290870414,867,4,64158,825,2646,895,2857,261224,T
021869355,3121,49,265285,1974,18333,1791,2712,261361,T
365432554,4093,15,695810,1441,2673,895,2294,261786,T
529200575,743,6,52753,722,4666,1791,1919,262058,T
868912728,827,17,99240,1387,7333,447,3262,261232,T
032838810,852,16,69864,555,15097,2238,2248,261184,T
941154684,4119,24,943251,847,4935,895,2644,262062,T
835531401,462,1,27720,538,2701,1343,1813,261990,T
232257139,775,22,28675,1323,2984,447,3431,261964,T
196783017,909,17,101808,2175,15097,447,3486,261210,T
702156049,4034,31,601066,1418,2759,447,2720,261266,T
197185272,3021,42,172197,710,5238,447,2339,261510,F
474204407,3067,56,236159,1245,5347,447,3406,261245,T
135913133,4126,28,301198,947,14259,447,4376,261484,T
403258758,1793,133,143440,2212,51332,1343,3852,261608,T
348553213,733,1,134139,1518,2646,447,4044,262002,T
804537707,4132,30,698308,679,5579,2238,4062,261681,T
670566449,4066,25,805068,603,2984,1791,3729,261871,T
397220110,4169,13,921349,614,2851,1343,4507,261314,T
214741809,1696,155,162816,666,51332,1791,3404,261951,T
570554485,925,26,136900,750,7548,447,2790,261400,T
702695701,809,1,54203,975,9871,1791,2305,261260,T
907327496,4152,39,203448,1130,2673,447,3597,261083,T
938601301,590,1,19470,632,2916,447,2592,261087,T
209602048,3080,64,73920,2759,5968,1343,2417,261821,T
232659230,3100,53,248000,1107,6200,462,1011,256174,T
461839946,4165,27,991270,1677,5968,1343,1835,261595,T
555713566,3181,51,448521,528,3614,447,2211,261389,F
