userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
061271847,4206,59,201888,585,814,447,3975,261157,T
845309502,3211,90,202293,585,1039,447,2159,261228,F
559912016,4127,34,392065,585,1757,447,3254,261278,T
955673697,3111,74,164883,585,1026,447,1828,262040,F
656826647,4018,35,353584,585,4935,895,3608,261456,T
235600855,3204,75,253116,585,916,895,1946,262075,F
645327396,3157,58,312543,585,6754,447,2974,261972,F
685982332,4036,61,395528,585,1527,2238,3833,262003,T
769326570,758,20,68978,585,794,1343,2179,261232,T
821253100,3022,90,99726,585,1078,447,2158,261092,F
976738891,4232,53,160816,585,957,895,3111,261820,T
244603391,3059,98,113183,585,733,447,2725,261926,F
476911476,4268,35,320100,585,641,447,4437,261537,T
560769684,3110,84,202150,585,1082,447,2538,261343,F
299436702,4225,66,223925,585,1509,1343,2591,261698,T
887341877,3132,70,93960,585,1604,2238,1764,261848,F
793870362,512,20,27136,585,1441,895,1972,261829,T
910330411,3010,84,78260,585,16041,1343,2251,261643,F
103056578,4120,68,206000,585,1115,2238,3347,261590,T
885866410,3108,72,220668,585,42777,447,2628,261992,F
503893756,4223,42,405408,585,5133,895,3863,261577,T
003279283,3210,86,295320,585,555,2238,1835,261094,F
564697222,914,26,69464,585,695,447,2719,261688,T
471965190,3036,68,124476,585,2398,1343,2213,261787,F
234050578,4113,34,213876,585,2673,447,4338,261719,T
589478293,3109,62,102597,585,615,895,2090,262052,F
977500778,3142,78,97402,585,571,447,2911,261848,F
919896186,4079,46,126449,585,2820,2238,3977,261943,T
065639608,862,1,61202,585,910,447,2032,262036,T
074848203,3055,82,238290,585,2312,1791,2064,261549,F
083290431,4179,61,359394,585,804,1343,3911,261672,T
790649508,3091,64,98912,585,750,447,1866,261978,F
706995000,4177,64,87717,585,697,1343,2924,261947,T
461194644,3175,96,139700,585,599,895,1886,261310,F
499350152,579,1,32424,585,1171,447,4465,261919,T
031954765,3249,59,142956,585,7129,2238,1881,261636,F
621859486,4044,70,266904,585,1101,1791,2513,262002,T
257205273,3128,70,81328,585,570,1343,2025,261619,F
311397716,4246,23,208054,585,534,1791,3012,262047,T
448232257,3156,89,160956,585,514,447,2107,262072,F
918429564,3151,48,258382,585,940,895,1997,261658,F
624713298,4084,70,142940,585,3130,2238,2868,261655,T
091216563,830,1,60590,585,17110,895,2315,261376,T
414047228,3099,38,182841,585,802,447,2203,261902,F
610848781,4078,37,248758,585,1302,2238,2657,261451,T
719393651,3209,99,125151,585,524,447,2518,261617,F
887719420,4232,28,330096,585,1302,895,3854,261781,T
679660445,3175,82,247650,585,1043,895,1981,261122,F
429528126,908,34,71732,585,4207,895,1763,261427,T
858875659,3042,78,127764,585,722,1343,2079,261201,F
899342420,4179,14,83580,585,588,895,3405,261893,T
792706881,3255,64,299460,585,529,2238,1873,261887,F
011946868,3122,68,202930,585,641,1791,2179,261371,F
606269910,4086,67,273762,585,900,1791,4284,261324,T
211580064,4231,48,330018,585,519,2238,3110,261425,T
828497187,3200,59,240000,585,919,447,2649,261844,F
345671406,4241,52,241737,585,1092,895,3551,261872,T
084156322,3229,49,280923,585,968,2238,1890,261131,F
324607471,876,12,20148,585,2333,1791,1782,261591,T
375413980,3105,97,189405,585,7333,447,1785,261350,F
769234371,638,1,20416,585,2333,1343,2426,261348,T
889868164,3144,77,279816,585,1450,1791,1770,261935,F
036910207,3989,72,215406,585,638,1791,3216,261395,T
251190828,3029,61,133276,585,5238,447,2238,261610,F
788225284,3062,36,134728,585,582,2238,1756,261536,F
296534403,4089,58,257607,585,2271,1343,2400,261288,T
694323431,3184,69,312032,585,1536,1791,1996,261916,F
807249845,634,1,62132,585,2592,1343,2242,261531,T
421542018,870,1,56550,585,1316,447,3367,261444,T
294439265,3219,73,99789,585,994,2238,2088,261319,F
671891944,3035,88,100155,585,588,447,2119,261190,F
213837073,3983,20,330589,585,1974,895,3922,261422,T
090633752,4163,49,403811,585,919,895,2130,261478,T
335149107,3020,51,132880,585,3333,447,2501,261449,F
372918444,4052,36,340368,585,897,1791,4283,261659,T
465034062,3211,86,247247,585,1466,447,2761,261218,F
328060795,4266,37,123714,585,559,1343,2831,261486,T
601596354,3176,84,308072,585,632,2238,1793,261684,F
471093366,3136,48,275968,585,2516,1343,2019,261522,F
351909338,4154,76,294934,585,1929,2238,3659,261812,T
860311921,4156,83,207800,585,557,1343,2693,261445,T
847485814,3300,79,267300,585,5833,1791,1834,261275,F
475018030,845,18,38025,585,1283,895,2303,261605,T
079411745,3231,85,77544,585,615,447,2630,261787,F
885601133,3290,49,200690,585,525,447,1742,261774,F
136471480,4225,39,270400,585,2271,895,2520,261583,T
166930310,4192,38,142528,585,8555,2238,1835,261710,T
036886056,3082,35,89378,585,10694,447,2259,261766,F
695829078,764,1,62648,585,641,447,3545,261159,T
341287833,3011,67,129473,585,679,1791,1923,261944,F
640729679,855,1,63270,585,3666,1343,1896,261811,T
593587411,3101,60,241878,585,763,447,2890,261870,F
898195917,3158,84,116846,585,566,1791,2099,261921,F
824808166,674,1,43136,585,1120,447,3574,261923,T
212060862,916,4,88852,585,1458,895,2357,261459,T
006322248,3102,100,124080,585,1252,1791,2004,261557,F
556975935,4088,17,175784,585,618,2238,3838,261568,T
001137334,3275,95,144100,585,897,447,2449,261837,F
532649465,536,1,15008,585,725,2238,1831,261099,T
234826114,3101,39,279090,585,658,447,2530,261228,F
