userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
891097137,4776,35,339096,2724,7379,1606,11441,639402,T
483270091,2158,18,155376,3200,6250,1606,5785,638751,T
036226004,4323,74,860277,2168,10217,535,8549,639357,F
846419453,1984,36,474176,1305,11068,2142,11256,638834,T
436593824,1987,25,236453,3935,6037,535,11302,638867,T
984138963,2913,86,617556,2299,5534,2142,11544,639646,T
093950995,4333,81,862267,2075,6899,1071,11702,638957,F
431944246,4760,37,1128120,2320,29516,2142,5643,639385,T
503272739,4701,51,258555,1274,12355,1071,11123,638852,T
783560190,2825,69,384200,1851,24149,535,11293,638829,T
510616006,4756,67,366212,2856,6037,535,10972,639247,T
188253881,2074,32,74664,1331,6990,1071,5367,639349,T
539167399,4387,55,785273,6177,40868,535,10980,638808,T
743518643,2052,32,352944,2027,9004,1606,8136,639005,T
959662828,2916,82,96228,3794,88548,535,6020,638762,T
200142468,2074,31,350506,1765,6250,1071,9012,639048,T
589711825,4855,45,48550,2241,7277,2142,6068,639701,T
777520860,2070,1,120060,1111,10024,535,11374,639445,F
069104402,4458,76,1078836,2142,5312,1606,8498,639456,F
346720172,2821,82,409045,1172,8173,2142,8153,639530,T
894394860,2021,4,375906,1128,53128,1071,8014,638745,F
553633569,2078,21,182864,1590,19677,2142,8207,638740,T
022491920,4856,42,1175152,1697,6725,535,8445,639672,T
060265233,2881,69,573319,1649,16099,2678,11630,639633,T
331524795,4834,37,444728,5012,26564,1606,8293,639206,T
174738683,2069,1,49656,1455,16099,1071,8248,639473,T
876882068,2774,64,221920,1120,9320,2142,11144,639076,T
621223545,4755,42,461235,5158,5592,1071,8198,639379,T
827241642,2061,3,162819,4319,6250,2142,8900,639639,T
158025788,4353,70,1009896,1713,7589,1071,5744,639546,F
740578446,2066,27,326428,7482,48298,1071,8911,639128,T
568887205,4795,53,1093260,1455,6401,535,8131,639719,T
421764759,2134,20,145112,1736,6899,1606,11636,639616,T
524593972,4367,56,799161,6990,24149,2142,8985,638927,T
014281537,2890,70,161840,6479,29516,1071,11648,639212,T
658119829,2045,1,206545,1535,18974,1071,11592,639709,T
150061242,2143,24,347166,3181,19677,2142,5800,639225,T
070812467,2122,14,350130,1238,13282,535,8310,639335,F
898229714,4797,43,897039,1432,14758,535,8294,639391,T
168296478,4404,89,827952,1154,7179,1071,10669,639675,F
315387759,2831,69,543552,4216,7482,2678,5829,639367,T
139927604,4680,58,299520,1140,5534,2142,8105,639107,F
581856829,2023,9,155771,2781,29516,2678,5759,639265,T
920763977,4362,67,929106,1844,6250,1606,8507,639375,F
935611611,4366,72,1087134,3035,15626,1071,8150,639431,F
338523568,4788,64,387828,2108,37949,1606,11065,638810,T
809770750,2104,18,296664,1104,7813,1606,11122,638887,F
783011604,4814,29,789496,2871,11806,1606,5885,639013,T
749163517,4740,50,426600,1939,40868,2142,11463,638744,T
574459964,4412,86,586796,2968,7589,535,10878,639132,F
842351139,4450,68,462800,6037,6401,1606,6037,639204,T
334983304,2778,81,105564,1178,53128,2678,8119,639717,T
