userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
619194919,2103,28,166137,1193,1258,535,10991,639506,F
627088055,4938,55,172830,1193,2414,535,6199,639539,T
538676975,2894,72,237308,1193,1250,2678,8866,638843,T
945287358,2015,16,106795,1193,24149,535,8452,639177,F
306611123,2186,1,96184,1193,4965,535,5606,639094,F
016961995,4885,87,131895,1193,11549,2142,6325,638770,T
878048587,3922,321,78440,1193,2683,2142,5847,639425,T
506859444,1998,64,165834,1193,5366,1606,11231,639417,F
663452797,4762,47,100002,1193,4390,535,8222,639588,T
164814081,2039,25,157003,1193,7379,1071,10720,638736,F
739886221,4862,71,150722,1193,5260,1606,8863,639377,T
836406947,2163,39,192507,1193,1149,2142,11031,639644,F
633343678,2034,50,189162,1193,1605,1071,11338,639058,F
017544885,2970,75,225720,1193,8709,2142,11705,639339,T
414338488,4715,82,334765,1193,1082,1071,8920,639550,T
357860870,2141,62,177703,1193,1416,2142,5454,639239,F
714423646,2126,32,208348,1193,1099,1606,5318,638805,F
272841544,4691,66,328370,1193,3341,535,5635,639184,T
060281959,1983,53,188385,1193,6401,2142,11666,639387,F
240754040,4693,90,337896,1193,1897,535,10705,639689,T
680092114,4955,45,218020,1193,2099,535,8714,639475,T
905574282,2155,42,204725,1193,1351,2678,5425,639257,F
586775780,4671,95,144801,1193,6324,1071,5860,639684,T
994852663,2118,37,57186,1193,10625,1071,5476,639238,F
732744034,2052,25,53352,1193,1670,1071,11069,639044,F
814127054,4663,28,312421,1193,2935,2678,6222,639258,T
387251931,2736,93,147744,1193,8709,2678,10872,639721,T
356731260,2024,50,145728,1193,2195,2142,5324,639241,F
383909799,2253,47,186999,1193,1118,2142,5310,639552,F
493355907,2920,66,283240,1193,1215,2678,6191,639385,T
421857638,2170,12,106330,1193,4319,535,11387,639611,F
618960711,4845,84,421515,1193,1420,1606,8624,638825,T
361995633,4958,74,456136,1193,2951,2142,5347,639276,T
067608226,2046,39,202554,1193,1123,2142,6165,639223,F
154305978,3017,98,153867,1193,1261,2678,8744,639148,T
291342647,2157,40,200601,1193,1558,1071,8470,639214,F
195613161,4843,45,290580,1193,1079,1071,8849,638960,T
067826057,2011,39,62341,1193,23099,2142,5700,638804,F
081195646,2243,7,103178,1193,1535,2142,5317,638754,F
798309129,4915,47,201515,1193,1794,2142,8184,638752,T
677585590,2055,60,125355,1193,1844,535,8077,639214,F
033688466,4894,48,205548,1193,1459,535,6202,638807,T
284797942,4756,79,285360,1193,19677,535,11683,639632,T
239225758,2200,45,143000,1193,8301,1071,8355,639128,F
999681201,4682,43,280920,1193,1298,2142,5530,638807,T
197207013,2008,6,184736,1193,35419,535,5441,639424,F
063673845,3004,99,252336,1193,1178,2142,11637,639479,T
197635058,2135,32,211365,1193,1113,1071,8579,639724,F
530471168,2009,32,164738,1193,3239,535,5553,639684,F
853857597,4934,49,138152,1193,4580,535,8663,639534,T
188045608,4875,62,316875,1193,7589,1071,11538,639310,T
478512422,2218,56,64322,1193,3614,1606,8607,639733,F
757862238,4669,37,98049,1193,1960,1071,5558,638752,T
449210012,2196,45,48312,1193,3689,1606,8772,639628,F
886658072,2192,26,175360,1193,2856,2142,11080,638813,F
081534445,4731,61,468369,1193,12958,2142,8577,639128,T
839713943,2223,4,117819,1193,2448,535,8802,638779,F
723970130,1577,53,45733,1193,1147,535,5982,639247,T
759330032,2870,123,175070,1193,2630,2678,5682,639350,T
797980456,2120,43,163240,1193,6479,1606,11606,639701,F
076311222,2140,23,143380,1193,2871,1071,8779,638817,F
696962550,3004,97,63084,1193,2984,2142,8648,638815,T
533835700,2211,37,216678,1193,1244,2142,8148,638852,F
258209967,4816,28,178192,1193,4502,2142,6286,639049,T
511809251,4902,27,485298,1193,5208,535,8535,639698,T
055342003,2067,36,101283,1193,4150,535,8405,638905,F
136199064,4849,28,344279,1193,2027,2678,5350,639084,T
684912141,2244,33,197472,1193,4150,1071,5376,638739,F
869420299,4804,84,110492,1193,6324,1071,5735,639152,T
007118141,2248,65,67440,1193,2669,2678,5411,639489,F
658643011,2172,1,136836,1193,1605,2142,8053,638993,F
779998143,4852,32,465792,1193,1471,1606,8939,638860,T
615358499,2762,95,71812,1193,37949,2678,5363,639539,T
710081122,2029,25,188697,1193,1345,1071,6126,638740,F
226570626,4797,71,182286,1193,1084,535,11170,639400,T
756183209,2118,42,50832,1193,1488,1071,10678,638914,F
415024804,2263,61,174251,1193,20434,1071,11078,638748,F
280940762,4864,44,306432,1193,2059,535,10842,639698,T
814410892,2215,23,46515,1193,1147,2678,5324,639478,F
210439374,2963,77,160002,1193,1160,1606,11658,639108,T
198845565,4730,69,198660,1193,1401,1606,5491,639039,T
202663787,2078,41,76886,1193,1372,1606,11255,639514,F
076053556,2272,1,154496,1193,1702,1606,8013,639136,F
