userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
884511476,4282,15,980578,1021,10619,786,912,503344,T
361725140,4237,18,114399,989,6457,786,1136,502831,T
361180691,4182,44,644028,1048,7240,524,632,502849,T
203043185,4164,17,891096,6126,6126,524,1267,503163,T
417502206,4106,42,270996,3207,6546,1048,1489,503315,T
215803613,4185,33,117180,1137,36760,1048,1253,503072,T
999263175,4112,20,970432,1479,95577,524,1293,502694,T
081018356,4288,18,720384,2583,59736,1310,1508,503204,T
580487868,4105,10,1009830,3341,9956,1048,1305,503297,T
416962088,4209,15,361974,3389,11655,524,871,502612,T
097415531,4199,23,587860,3083,39824,524,1569,502715,T
564253937,4174,65,217048,6126,4827,1048,1675,503156,F
506364427,4244,29,526256,1116,22756,1048,1690,503496,T
540608489,4235,29,830060,1327,18380,524,1092,503184,T
926444922,3689,45,918561,2778,8849,1048,1844,503257,T
786754567,4137,13,897729,2438,5757,786,1363,503289,T
127500394,4180,16,915420,1006,16478,786,1870,503518,T
957912139,4233,17,931260,989,5369,262,1334,502691,T
644467267,4252,18,999220,1206,5492,1310,1441,503146,T
204171181,4228,23,228312,2243,11378,786,1205,502775,T
906808189,3625,54,808375,1036,7707,1310,1627,503237,F
095926873,4136,44,736208,1277,6637,262,1418,503166,T
847078239,4219,12,185636,1116,11947,1310,1316,502704,T
737596202,4176,16,279792,1078,8099,786,1106,503442,T
880461728,4228,9,97244,2105,11947,262,1203,503348,T
555134004,4229,21,308717,1174,8533,262,1247,503088,T
175696587,4143,38,58002,1456,9752,1310,1320,502672,T
252744761,4195,39,348185,2182,11113,1310,1320,502641,T
664479813,4231,63,473872,5899,12915,786,1044,502769,F
547396068,4207,37,765674,2611,7467,786,1581,503478,T
842021054,4211,5,387412,1264,9190,786,1638,503477,T
212507948,3707,48,804419,4876,4926,1310,1685,502645,T
048888638,4253,26,429553,6457,8533,524,1262,502721,T
465323328,4118,14,654762,2222,15929,262,1036,502791,T
361882397,4239,10,661284,1234,6546,1310,1320,502701,T
953816037,4206,14,214506,1389,5083,786,1060,502753,T
713952335,4105,35,311980,1418,4876,262,488,502856,T
431576218,4274,26,961650,2133,39824,1310,1320,503239,T
050884667,4150,6,385950,1700,14481,1048,1221,502785,T
619808446,3676,51,907972,1050,7352,1048,1522,503210,F
979938841,4331,68,407114,5369,7585,1048,1058,502888,F
946960023,4105,8,923625,1225,11655,786,949,503419,T
216493701,4131,26,326349,1021,7585,524,1351,503179,T
267490663,4277,27,1026480,955,6925,786,796,502930,T
136072304,4252,7,977960,2778,79648,1048,1305,503301,T
795388457,4176,58,931248,4731,7834,1048,1331,503029,F
843898956,4279,42,761662,1327,5194,786,1665,503037,T
784869866,4172,10,475608,1106,5757,262,1256,502655,T
200483088,4146,45,700674,975,14934,1310,1889,503458,T
987683365,4094,19,45034,1174,12576,1310,1390,502870,T
529300298,4231,26,884279,2114,10861,1048,1408,502977,T
463823890,4102,5,512750,1763,7707,262,1926,502980,T
826512929,4257,33,1059993,1712,11378,786,1894,503266,T
987684221,4104,45,525312,3853,9557,262,1741,503516,T
543674056,4193,13,272545,1008,7467,1048,1787,502832,T
262388162,4259,38,924203,4049,19115,524,1251,503147,T
630656911,4116,44,991956,3620,4876,1048,1058,503471,T
764093818,4120,24,943480,5827,9016,524,1395,503300,T
504590570,4214,6,337120,1479,5194,1048,1341,503549,T
187053710,4172,39,191912,967,6288,1310,1320,502973,T
