userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
835852593,4818,165,794970,292,25509,308,3653,130877,T
295314085,3738,30,814884,321,11595,925,2622,131436,F
413279687,794,15,79400,430,2500,1542,3038,131208,T
191850911,697,16,132430,759,6073,925,3270,130730,T
780934666,1284,1,170772,822,1875,1542,4679,131065,T
242908804,4807,157,389367,839,2898,617,5167,131230,T
565089811,4638,169,667872,937,4398,1234,5834,131027,T
840005928,4727,180,765774,531,1518,617,4318,131359,T
896373822,4682,159,51502,255,2362,1234,4992,131569,T
001573635,797,18,141866,332,2125,925,3946,131547,T
045514124,3895,27,965960,1483,1656,925,4922,131488,T
056268553,4798,182,292678,708,2966,925,3909,131058,T
280786291,743,1,153801,381,4555,1542,2626,131411,T
737875236,4752,179,441936,263,1992,925,3921,130945,T
767172802,729,28,93312,1433,2713,617,4335,130868,T
736041564,1230,25,153750,420,9811,308,3863,131379,T
810511731,3852,43,338976,631,6377,617,3861,130998,T
424641011,714,2,150654,782,1822,925,2916,131549,T
512567353,621,7,52785,430,2199,617,2975,130583,T
095942560,655,24,51090,449,1747,1234,5832,130790,T
992985094,4776,170,291336,640,2362,1542,2647,131305,T
551075432,4667,188,65338,856,1500,925,2517,131328,T
549710011,4679,187,556801,258,1275,617,4288,131012,T
439747423,3778,23,90672,390,9811,1234,2632,131246,T
624945908,4624,158,221952,257,2319,1234,5667,131203,T
192741481,2374,237,453434,1444,28339,670,1475,484188,T
268217622,3911,27,809577,266,5101,617,5931,130999,F
869374505,1332,1,230436,650,4251,308,3319,131157,T
202792165,737,1,30954,312,4251,1542,3435,131286,T
493559664,2401,253,422576,496,1275,308,3880,131412,F
660959900,3874,15,348660,257,3865,1542,3197,130658,F
608189109,2344,241,248464,1483,2657,308,2826,131559,T
850570453,4822,152,988510,398,1771,308,3921,130999,T
093417467,3773,9,486717,425,1483,1234,2767,131161,T
403841859,3811,17,682169,759,2500,617,4302,131126,T
136658671,660,7,26400,492,2500,308,5406,131357,T
532935446,806,11,126542,1536,3270,925,4278,130625,T
068393495,3740,40,123420,397,5314,617,4525,131563,T
204435631,4785,164,1019205,844,3985,925,2891,131322,T
760599485,682,11,27962,1574,1903,617,4639,131533,T
960212384,3738,32,930762,506,1848,925,3103,131135,T
029686459,789,1,31560,566,1723,1542,4985,130717,T
709761094,695,10,157765,308,1401,925,3151,131035,T
986131676,3800,25,923400,574,2657,1234,2975,130828,T
132553378,4676,163,626584,381,2898,1234,3684,131205,T
873840351,4807,178,499928,430,1301,925,4688,130859,T
132918011,3884,34,423356,1796,1635,925,4329,130680,T
884301000,4633,155,1074856,271,2500,1234,5704,131166,T
189357978,4746,184,389172,276,2090,617,3715,130935,T
429446070,1289,19,309360,631,1288,617,5608,130703,T
686011680,4758,180,1175226,527,1314,308,2524,130922,T
