userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
656291397,798,33,47880,426,2090,1234,5317,130648,T
469310976,2425,255,196425,426,383,308,2722,131400,F
729241370,4680,204,257400,426,545,308,5544,130890,T
802669264,2340,259,105300,426,305,308,2876,131024,F
891988044,4632,216,440040,426,5545,617,3339,130675,T
385078117,2395,274,107775,426,444,308,2487,131249,F
298339865,845,25,67600,426,2834,925,4387,130748,T
978147719,2518,230,163670,426,287,617,2512,130887,F
526968363,3928,63,200328,426,331,308,4401,131104,T
335960140,2493,268,149580,426,291,617,2858,130958,F
300876117,860,25,54180,426,270,925,5483,131308,T
506940112,2315,258,217610,426,279,308,2684,131075,F
435032280,669,38,64224,426,297,925,5733,130778,T
747629254,2341,244,126414,426,596,308,2913,130928,F
644444779,720,4,24480,426,295,1234,5574,131091,T
653817051,2402,233,230592,426,257,308,2505,131411,F
480354946,772,22,38600,426,1747,925,5487,130756,T
320491804,2465,240,172550,426,406,617,3010,131313,F
921993706,2274,244,97782,426,1328,617,2954,130762,F
355888883,4841,195,198481,426,355,308,5679,131074,T
714345395,766,52,19150,426,640,925,5749,130727,T
301041319,2344,273,112512,426,1214,308,2665,130637,F
657902813,799,2,63121,426,435,308,5427,131394,T
577261178,2377,262,171144,426,14172,617,3292,130698,F
037783564,3796,49,265720,426,266,925,2802,131276,T
297285818,2563,239,169158,426,587,308,2805,130723,F
627482924,4784,169,377936,426,911,1234,4032,130796,T
213240387,2406,285,105864,426,861,617,2642,130808,F
869060202,666,46,61272,426,416,308,2573,130898,T
601218641,2415,272,222180,426,593,308,2590,131553,F
806002487,899,42,61132,426,372,617,3172,131246,T
132368106,2349,261,223155,426,535,617,2598,130791,F
855835953,4730,201,118250,426,327,308,2876,131411,T
614750348,2550,222,224400,426,14172,925,2879,130842,F
390418523,3739,39,340249,426,3751,308,2690,131165,T
654881034,2287,260,116637,426,885,617,2918,131106,F
119763409,4714,156,263984,426,569,1542,5353,131375,T
451036169,2276,239,198012,426,321,308,2812,131155,F
036716241,821,37,49260,426,467,308,3847,130874,T
765159158,2411,251,216990,426,435,308,3106,131068,F
438372853,4656,184,172272,426,257,308,3071,130802,T
879576477,2453,284,130009,426,9811,308,3433,131499,F
867389888,4829,157,299398,426,1962,1234,4903,131190,T
445315459,2297,240,121741,426,1028,308,2924,131460,F
621248958,696,23,33408,426,262,617,4244,131251,T
709963716,2374,251,135318,426,873,617,2661,131244,F
128212951,4912,203,402784,426,1678,925,4994,130951,T
719549637,2308,237,143096,426,429,308,2590,131080,F
954446040,648,3,23976,426,346,1234,2671,131424,T
184719957,2412,243,190548,426,4905,308,3369,131009,F
329342613,910,1,30940,426,4724,925,5846,131369,T
564347051,2336,245,196224,426,1203,308,2571,131264,F
906793112,898,1,74534,426,347,1542,5293,130595,T
420454079,2376,278,97416,426,390,617,2772,131575,F
938138436,765,55,17595,426,1118,617,2932,131433,T
520064028,2357,251,47140,426,481,617,2878,131157,F
560959406,3841,53,376418,426,393,617,2951,130903,T
137443780,2542,263,249116,426,455,308,2952,130606,F
185890372,626,14,49454,426,538,1542,2573,130625,T
485103548,2541,263,71148,426,288,617,2628,130703,F
987726164,4786,211,215370,426,11595,308,2655,131018,T
923191022,2323,231,181194,426,354,308,3141,130590,F
311003550,716,10,62292,426,6377,925,3315,131091,T
832566374,2571,257,141405,426,966,617,2729,130765,F
388682952,4729,155,241179,426,1386,1542,2896,131138,T
307704087,2559,240,207279,426,415,308,2926,131470,F
192457573,654,4,14388,426,287,617,5306,131092,T
888589408,2444,237,112424,426,18221,617,2950,131504,F
510464831,2321,262,120692,426,314,617,2838,130668,F
620532085,3851,28,134785,426,354,617,4201,131048,T
620922887,4642,167,306372,426,350,1234,4619,130692,T
099554132,2345,285,119595,426,317,617,2520,130968,F
304472292,4807,178,144210,426,1181,308,2531,130745,T
107814151,2420,274,106480,426,271,617,2608,131423,F
223039617,4730,149,397320,426,750,1542,4165,130567,T
470301381,2465,260,241570,426,1747,617,2573,131383,F
571181340,653,37,36568,426,644,1234,5776,131138,T
692134619,2310,264,191730,426,1992,308,2992,131570,F
439778496,2497,287,72413,426,1992,617,2889,131102,F
559851101,4668,195,177384,426,340,617,2958,131140,T
070856822,881,58,88100,426,293,308,2727,131358,T
167964327,2315,275,215295,426,5545,308,2991,131083,F
049342314,4748,196,237400,426,1449,617,3197,130580,T
050580046,2430,255,51030,426,634,617,2763,130643,F
994520475,3742,19,310586,426,1226,925,4604,130637,T
064977013,2294,239,213342,426,401,617,3060,131070,F
016464911,3881,26,163002,426,873,617,2646,131261,T
510398078,2574,253,234234,426,257,617,3135,130592,F
973550257,695,43,41700,426,318,925,4378,131112,T
672561947,2373,282,142380,426,1004,617,2735,131309,F
585802641,904,57,64184,426,308,308,4354,130928,T
146452809,2554,269,219644,426,2161,308,2726,131058,F
745261768,3909,10,355719,426,438,617,3189,131211,T
074284037,2302,242,214086,426,375,617,2450,131288,F
012633529,692,46,58128,426,314,1542,3242,131107,T
930735398,2371,281,111437,426,21258,308,4416,130837,F
561551125,4879,170,253708,426,1012,617,3976,130986,T
311849995,2343,270,231957,426,1192,617,3264,130635,F
366157821,4702,156,441988,426,593,1542,3958,130961,T
699823574,2450,231,137200,426,552,308,2866,131175,F
