userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
683543838,3905,9,78100,1238,6162,457,9938,489645,T
365118625,3795,2,68310,2333,17803,2288,9148,489632,T
085800015,3772,2,414920,1235,6676,2288,4736,490473,T
933871646,4410,69,859950,1063,96138,457,5112,490006,T
768067022,3829,6,61264,969,4905,915,9120,490387,T
590916656,3828,19,761772,4578,24034,457,7111,489615,T
161330824,3906,21,488250,1962,43699,457,7381,490484,T
688972546,1499,85,283311,1735,26705,2288,4856,490164,T
156866224,3810,15,300990,2490,7283,1830,9390,490482,T
609343293,4448,127,1054176,1232,19227,2288,4748,490307,T
412456576,1562,97,76538,1369,53410,1372,7007,489850,T
358320878,4454,136,142528,2762,48069,2288,9741,489543,T
578016011,3787,24,810418,3669,7630,2288,4563,490053,T
862907461,3804,38,140748,1051,7510,2288,7221,489797,T
079878676,1440,1,50400,1602,5791,457,5391,489692,F
209390994,3727,1,600047,1226,28275,2288,9663,489605,T
139338863,1498,20,98868,2556,96138,457,4666,489540,T
424915977,4286,138,450030,1327,96138,1372,6839,489713,T
321245020,4376,47,739544,1031,43699,457,7478,490145,T
705541934,1401,7,341844,1686,7283,457,4746,490473,F
937514093,1465,19,146500,4955,7753,1372,4542,489542,T
146606907,3717,37,126378,1248,9613,915,10076,489835,T
993572015,1507,104,150700,6867,28275,2288,5489,490214,T
779709678,4334,128,715110,2570,15506,457,7328,490048,T
733767015,3832,37,900520,4253,7510,1830,9681,490271,T
473704644,1592,11,149648,3270,5862,1372,4761,489601,T
148385351,1431,26,180306,2205,10014,915,7819,490053,T
729663086,1572,1,177636,3876,6770,457,7426,490184,T
818518351,3779,1,922076,2626,5168,1372,7705,489790,T
475844897,1428,83,157080,1169,96138,1830,7727,489933,T
817890776,1513,107,60520,1082,48069,1830,4684,489503,T
285747546,1461,103,24837,1401,5401,915,6884,490080,T
676325735,1515,105,195435,5401,96138,2288,9166,489974,T
281814133,1573,106,209209,1511,16023,915,7285,490483,T
615910888,1536,1,322560,5059,10924,457,6814,489565,T
401121723,1501,1,357238,1994,21849,457,4682,490173,F
998750341,3823,31,844883,1112,10924,457,6964,489828,T
340568685,1512,1,263088,3908,28275,915,4915,489594,T
892755998,4465,53,620635,2415,53410,915,4891,489986,T
410316231,3860,14,613740,983,60086,1372,7377,490193,T
338412696,3783,7,714987,6770,5462,2288,9511,489777,T
553426609,3749,39,569848,983,7630,915,7764,490108,T
335490756,3797,21,455640,2490,5113,915,7389,490015,T
923567073,1458,1,246402,1447,5934,457,10036,490116,F
293552215,1458,17,67068,5462,9069,457,7334,490104,T
513803620,1552,82,119504,3908,10014,1830,5228,490164,T
343571963,1470,25,318990,5525,5862,915,4610,489979,T
901528492,1550,17,203050,2503,6324,457,9464,489914,T
361106977,1479,88,193749,4955,4855,1830,5111,490009,T
209021577,3913,3,129129,1198,9810,1830,9893,489627,T
299231327,1559,75,26503,4073,11178,1372,6955,489676,T
175646389,3797,21,167068,999,25299,457,7198,490044,T
858207287,3849,1,892968,1204,9613,457,7104,490314,T
271483969,3719,20,929750,1848,5862,1830,7423,490499,T
340671168,1584,100,26928,969,11178,1372,5576,490296,T
850275547,3720,30,230640,1686,30043,915,5040,490444,T
787419278,1494,4,300294,2931,5722,1372,7418,490280,T
337074505,1545,22,372345,1094,19227,915,4563,489802,F
305527362,1475,1,340725,3908,9244,1830,4935,489693,T
362679667,1527,1,381750,1863,6584,457,7504,490371,F
478874058,1559,80,207347,1271,21849,2288,7315,489848,T
787363932,3846,11,357678,1885,8901,2288,9911,489922,T
221765778,3838,8,57570,3292,6242,457,5103,490004,T
221902733,4346,118,417216,2379,60086,457,7830,489960,T
221159393,3864,1,490728,1602,9244,1830,9489,489993,T
159430180,1614,100,129120,2700,7395,1830,6852,489692,T
628325660,3788,28,325768,1149,17167,915,5169,490181,T
618598655,1556,4,115144,1001,10682,457,4978,489529,F
518099085,3723,1,532389,1295,5401,1830,9400,489808,T
621662739,3869,31,615171,1773,6867,1372,5146,490158,T
440960118,1618,86,97080,5224,80115,1830,7469,490206,T
494007130,4381,108,70096,1786,80115,915,9839,489918,T
099330048,4299,147,348219,2415,96138,1372,7706,490499,T
342584896,1588,13,254080,1003,25299,457,4921,489660,F
255786057,4285,134,612755,2126,68670,1830,10080,490344,T
567513366,1477,21,230412,3784,7395,457,5075,489749,T
661624204,3868,26,112172,995,5007,2288,4676,490454,T
440399254,3752,10,829192,3292,11178,457,5146,489748,T
468423097,4371,77,1027185,2452,6409,457,5545,490487,T
538436121,3882,17,361026,2415,5282,1830,5270,489771,T
812871043,3896,17,841536,1035,32046,457,10005,489584,T
970041894,3767,6,414370,2827,32046,915,7751,490464,T
983328362,3880,7,419040,1264,5589,457,4931,489781,T
066206183,1448,107,218648,1741,14137,1830,7022,489883,T
358251516,1473,31,114894,3361,6770,915,5566,489854,T
345006066,3867,40,139212,1686,48069,915,5567,489890,T
075310039,1530,90,310590,1570,22890,1830,5287,489613,T
119333898,3905,38,109340,1545,5462,2288,5524,489834,T
423603050,1529,15,195712,3458,17167,915,4978,490167,T
556695112,1505,82,117390,1149,9069,1372,7806,490363,T
104275604,1540,1,152460,3815,7395,915,4700,490298,T
926525464,3779,16,86917,2931,6770,1830,6972,490160,T
080541469,3853,6,805277,3292,5282,1372,7714,489906,T
512756739,4313,137,565003,4108,22890,915,4860,490433,T
499218435,3817,39,687060,4369,7395,1830,7206,490247,T
258248536,4359,75,636414,1899,80115,457,7080,489606,T
793635750,3794,21,428722,1962,4905,457,4802,489613,T
475121575,3802,27,596914,1377,16575,915,9441,490252,T
533129645,3844,29,292144,993,5401,1830,7163,490349,T
589624090,3855,17,289125,3338,7880,1372,9782,490205,T
282895336,1398,19,250242,1264,13352,915,7524,490275,F
679335436,4402,117,986048,1232,60086,457,9910,489597,T
095041991,3870,3,119970,1710,6867,457,9640,489608,T
343799369,1508,26,266916,1027,30043,457,9497,489635,F
113328569,3860,29,660060,1848,12017,1372,6860,490436,T
305036147,3803,29,836660,4578,5722,2288,6996,489823,T
368859047,1480,25,201280,1220,17167,915,7776,490037,F
782786371,1483,97,229865,2184,10014,1372,7118,490057,T
241864305,3904,1,50752,1607,6162,2288,7117,490019,T
943459426,3907,11,328188,2205,10682,1372,4653,489936,T
473652740,3751,26,142538,2598,6324,915,7166,490192,T
257246570,1493,1,67185,1172,21849,457,9268,490122,F
911690150,3791,11,37910,1870,16575,1830,10055,489756,T
698201863,1581,5,319362,4073,6584,915,7166,490243,T
910540729,1406,1,281200,1443,5722,1372,5447,489777,F
072199899,1511,11,333931,2477,16575,915,9752,489772,T
955890238,1397,29,121539,1892,6966,457,5341,489636,F
732998429,1615,90,109820,3204,25299,2288,4675,490274,T
090383106,3834,33,847314,6008,13352,915,7435,489923,T
273048215,1469,10,265889,3587,10449,915,7607,489962,T
004271843,1423,21,72573,2913,7283,1830,5504,489551,T
