userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
813259923,3768,41,135648,1070,3560,1830,9202,489852,T
046366125,1484,14,65296,1070,1063,915,5242,489563,F
444919554,3971,13,111188,1070,3726,1830,7262,489541,T
073618392,1414,31,60802,1070,1461,457,4748,489926,F
037557808,1617,1,77616,1070,3433,457,5479,490095,F
782532858,3775,68,377500,1070,1640,915,4620,489636,T
762679650,3941,7,102466,1070,3560,2288,10097,490043,T
686817852,1594,60,114768,1070,3042,915,7014,490384,F
586641603,1612,7,99944,1070,1047,457,5021,490109,F
733398986,3874,27,166582,1070,4578,2288,5388,489996,T
603769198,3975,45,139125,1070,1120,1372,7158,490502,T
819212181,1544,9,94184,1070,2827,457,7292,490004,F
457419164,3977,35,202827,1070,1629,915,7159,490005,T
659654321,1503,45,142785,1070,3338,1372,5050,490209,F
708390148,3814,36,354702,1070,1591,457,4720,489992,T
677444871,1551,54,125631,1070,28275,915,4924,489660,F
967205977,3773,1,105644,1070,12649,1830,9865,490394,T
033483438,1397,26,110363,1070,1754,457,9105,489931,F
540557971,3768,43,203472,1070,1232,915,6909,489915,T
017421189,1653,1,39672,1070,7395,915,4558,489850,F
214510904,3990,15,159600,1070,1306,457,9339,489749,T
870692775,1660,30,147740,1070,1629,457,5535,489644,F
117442170,1530,131,74970,1070,967,1372,5365,489607,T
312894831,1404,1,67392,1070,28275,457,7247,490382,F
277465957,3785,1,113550,1070,3183,915,4579,490309,T
291477435,1582,1,85428,1070,1657,457,9184,489865,F
547839786,1617,127,53361,1070,13734,1830,7102,490175,T
860874319,1588,25,131804,1070,1288,457,5342,489815,F
097386862,1678,1,80544,1070,2099,1372,4573,489685,F
878375932,3932,50,220192,1070,1245,1372,9874,489919,T
882649498,1680,28,144480,1070,1863,915,6966,490054,F
635738652,1665,130,41625,1070,17167,2288,4678,490313,T
989629694,3814,42,240282,1070,4216,1372,5284,489579,T
327558736,1440,33,72000,1070,5722,457,4867,490180,F
412848375,3811,36,156251,1070,19227,1830,7307,489815,T
099532335,1664,1,129792,1070,6324,1372,5341,490311,F
435598449,1507,123,114532,1070,6324,2288,7378,490231,T
232757754,1408,15,132352,1070,2477,457,7784,489802,F
137960149,3820,69,259760,1070,1248,1372,9740,489876,T
131101372,1556,10,59128,1070,1576,457,7006,489716,F
857181915,1614,25,51648,1070,1946,915,5081,490214,F
214191563,3995,8,191760,1070,1361,2288,5391,490392,T
851063331,1513,1,140709,1070,1223,915,6943,489905,F
816610585,3992,8,99800,1070,1161,1372,9302,489990,T
289174513,1483,22,124572,1070,1092,1372,5132,489580,F
649680101,3778,41,94450,1070,1430,457,9669,490005,T
391077093,4002,36,368184,1070,22890,1830,7218,490294,T
902108601,1446,57,85314,1070,5722,915,5344,490246,F
021674047,1665,114,141525,1070,1409,1830,7675,490375,T
234929432,1483,43,90463,1070,11724,457,9591,490118,F
311532102,3845,46,119195,1070,1068,457,4803,489714,T
041467873,1539,46,123120,1070,7510,457,7608,490104,F
643553448,1442,49,129780,1070,2584,457,6916,489892,F
353022110,3873,28,243999,1070,1220,457,7366,489507,T
743446350,1467,17,71883,1070,28275,1372,4655,489548,F
480615677,3836,15,303044,1070,4492,915,7281,490209,T
668160068,1463,128,59983,1070,1946,1830,5005,490511,T
623991843,1650,17,158400,1070,4578,457,7577,490414,F
298065971,3796,1,315068,1070,1258,2288,9740,490410,T
760748977,1471,14,50014,1070,3385,1372,4597,489591,F
942029269,3838,28,92112,1070,24034,1830,5236,489618,T
693711168,1529,12,47399,1070,1117,457,7155,490366,F
452649020,3870,12,108360,1070,1031,457,7386,490136,T
828720137,1552,1,55872,1070,3508,457,7342,490494,F
299242430,1594,79,84482,1070,999,1372,7441,489537,T
523095510,1396,10,79572,1070,1094,1372,4728,490135,F
927799553,3824,11,275328,1070,1389,1830,4567,490054,T
059790609,1640,40,103320,1070,1201,457,7526,490282,F
925920789,1428,44,34272,1070,967,915,7566,489653,F
594457084,1584,110,61776,1070,4806,2288,7714,489822,T
286866890,3889,7,365566,1070,3315,457,7592,490291,T
075045653,1521,61,59319,1070,2028,457,7031,490264,F
863948465,1712,126,107856,1070,1090,2288,7320,489769,T
386571394,1588,43,109572,1070,1038,915,5319,490388,F
952778156,1474,62,48642,1070,1680,915,4971,490162,F
112856366,3830,51,195330,1070,1009,1830,9103,490274,T
336243285,3805,39,243520,1070,2071,915,5089,490425,T
727151317,1475,42,45725,1070,1172,915,4959,489602,F
983277545,3774,17,252858,1070,2184,1372,5533,489573,T
354359353,1406,5,115292,1070,1099,457,4610,489589,F
365267223,1527,82,129795,1070,2126,1372,5148,490334,T
614205564,1569,17,106692,1070,1115,457,9145,490397,F
896205440,3897,41,226026,1070,1516,2288,4796,490179,T
073836237,1488,27,47616,1070,6409,915,4976,490489,F
311239200,3915,67,90045,1070,989,457,5545,490484,T
844412512,1533,12,55188,1070,1207,1372,5216,489506,F
415471835,3753,1,292734,1070,3614,915,7858,490167,T
124638167,1678,6,166122,1070,2108,457,9185,489959,F
199953749,4009,60,188423,1070,1112,457,9758,490378,T
800915335,1693,55,157449,1070,1613,457,7117,489998,F
441706336,1686,1,47208,1070,2071,457,9292,490404,F
867112506,3922,3,168646,1070,1483,2288,7209,489690,T
900422663,1572,1,99036,1070,4253,915,4811,489968,F
211409002,1579,82,96319,1070,40057,457,7448,490405,T
295071523,3818,13,95450,1070,3101,915,9646,490458,T
706661580,1574,47,140086,1070,4855,457,7189,490476,F
023098661,4000,27,132000,1070,1413,915,4932,489720,T
336177015,1578,41,153066,1070,3183,457,7843,490427,F
067818187,1668,37,33360,1070,1946,1372,4667,490259,F
408760303,3867,37,290025,1070,1175,2288,4860,489685,T
