userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
841772070,4215,38,552165,1316,10740,981,3414,294150,T
177414149,3237,40,738036,631,3835,1471,5848,293679,T
324221753,1548,2,145512,831,3235,1962,2930,294418,T
983304657,3226,17,170978,1167,26850,1471,5277,293596,T
510014978,4226,24,287368,780,3628,490,6085,294460,F
040333123,4256,40,697984,2065,3487,490,5060,294080,T
584680372,4277,36,731367,2533,2796,2452,2894,294366,T
995594851,4347,12,147798,778,9258,490,4548,294238,F
858463570,1470,1,79380,3532,4261,490,4887,294361,T
511735122,3295,18,144980,735,2796,1471,4396,294110,T
514043410,4277,23,1043588,1147,4794,1471,3101,293534,T
412155740,3235,31,268505,599,24409,1471,5324,293855,T
083298444,3238,33,773882,566,9258,981,5323,293844,T
201030594,3151,14,371818,965,24409,1471,2945,294022,T
571778987,4207,34,496426,1754,17900,490,4742,293591,T
542662337,1596,11,73416,1128,4068,1471,4607,294412,T
957716402,3310,19,466710,674,9944,2452,6824,293930,T
500733438,3241,12,742189,821,3678,2452,5841,294430,T
887557057,4162,7,216424,1598,3196,2452,3276,294159,T
862281157,3309,39,476496,990,2856,2452,4911,294073,T
001350031,3249,51,328149,1309,7256,981,6812,294226,T
279904260,3316,37,729520,1349,4007,981,3842,294431,T
108638953,4207,25,424907,710,3274,490,6042,294335,F
760895485,1548,1,184212,2557,3235,1471,3607,293789,T
629600709,1496,1,273768,600,3398,1962,6188,293830,T
369547751,4290,20,141570,1356,15794,490,3741,293901,T
874582738,3321,16,813645,948,19178,2452,6361,293723,T
495965425,3322,24,69762,573,3314,490,6341,294219,T
694856976,3271,15,565883,1826,9944,2452,4506,293735,T
042082892,3203,22,614976,1069,5163,1962,6517,293533,T
093410414,1524,2,16764,942,5837,2452,6684,294076,T
362187208,3150,18,431550,1082,5712,2452,6054,294113,T
334308343,1602,19,43254,904,2950,1962,3022,293503,T
984774736,4186,16,740922,849,4195,490,4887,293521,T
945565028,1581,1,197625,637,3729,1962,6431,293965,T
700103261,4209,26,896517,1177,9589,490,3232,293504,T
428663851,1584,28,172656,1123,3678,1962,6795,293919,T
079518515,3297,17,260463,1069,5163,490,6138,293764,T
244579554,3297,29,148365,2003,2768,2452,2899,293998,T
151458171,3225,21,212850,725,33563,981,3772,294092,T
538987213,3196,35,47940,942,33563,1471,6265,294299,T
918933460,3158,26,176848,990,19178,490,3025,293937,T
861044882,1495,4,22425,880,17900,2452,2974,294480,T
108867240,3295,51,296550,628,4330,1471,5911,293856,T
461083566,3315,44,629850,955,12785,981,5055,293525,T
199674414,3334,44,683470,603,4710,1471,3942,294350,T
347561017,3190,19,79750,550,5593,2452,5865,293983,T
445166457,3198,32,642798,651,38357,2452,5207,294195,T
097070349,3222,48,206208,2950,3781,981,6570,294042,T
693113370,3262,24,786142,599,2768,1962,5361,293553,T
985089219,4187,18,904392,1193,3016,490,6249,294333,T
160261685,3220,18,328440,647,12204,490,6141,294451,T
463599803,4234,24,258274,979,3487,2452,2984,293634,T
040209476,4326,31,419622,2581,5264,490,6636,294194,T
014716260,3289,23,444015,1570,14916,1962,6354,293865,T
857340518,3195,47,447300,1052,2685,1471,6417,293662,T
069702331,1428,8,115668,606,2887,490,3652,293831,T
505025383,1602,18,137772,708,2918,2452,6216,293545,T
863042542,3163,35,436494,3487,44750,1962,3662,294483,T
942785555,1601,1,281776,634,4475,1962,6669,293633,T
107263766,3142,30,590696,621,12204,1962,6178,293921,T
363530220,4272,24,384480,1657,4710,981,6254,294181,T
138983062,4281,44,963225,1790,5966,981,4822,294304,T
397918776,3314,26,735708,2334,3628,1962,3472,293998,T
376376023,3142,21,556134,717,3948,490,4704,293890,T
629202128,3287,19,706705,948,3398,1962,4396,293813,T
412923231,3178,49,171612,566,3729,1962,4463,294483,T
359382816,1461,25,185547,568,3442,2452,5995,294216,T
625607625,3222,48,380196,2658,3274,1471,6278,294149,T
721865632,3226,36,641974,762,2712,1471,6120,294420,T
405271233,1573,23,113256,3235,4710,1962,6177,293932,T
864915798,4776,12,611328,3487,3729,2452,3142,294275,T
676864852,3234,40,368676,537,10327,1471,6192,294075,T
754744279,3192,33,782040,1508,12785,1471,4748,294432,T
381260293,3186,45,586224,877,3781,1962,5197,293507,T
928063627,1586,7,271206,607,4972,981,6320,293950,T
978580793,3193,38,494915,907,9589,1962,5857,293507,T
318119028,4303,24,856297,1405,3356,490,3783,293508,T
240508776,3318,16,102858,808,33563,1471,6101,293745,T
803509575,1404,1,234468,816,3891,2452,5291,294240,T
981722682,3143,42,37716,1214,3532,490,4803,293631,T
569242640,4324,10,376188,919,3891,1962,3318,294247,T
332757687,3191,22,226561,1152,4261,1962,3166,294389,T
895105618,1407,4,125223,2018,9589,2452,5024,294452,T
673683035,4276,43,389116,962,4550,490,4432,294023,T
533367573,1578,4,277728,671,9944,2452,2995,293593,T
160273920,1440,1,51840,1607,3122,1471,4594,293610,T
