userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
807507282,1683,11,58905,599,2148,2452,3610,294488,T
959629643,4401,14,374085,599,1172,490,6535,294281,F
492360408,1693,43,60948,599,610,2452,6077,293881,T
341186541,4413,67,428061,599,550,490,5048,294412,F
705046653,1443,2,88023,599,650,1471,3938,294039,T
590215358,4398,21,131940,599,962,981,3438,293537,F
509690432,3282,60,282252,599,2114,490,6597,293995,T
335285058,4428,23,150552,599,1877,490,3626,293797,F
675280631,1623,1,73035,599,3891,2452,6701,293709,T
312811980,4370,21,139840,599,1057,490,6555,293973,F
911076944,4253,58,174373,599,1451,981,3667,293631,F
271161188,3426,23,308340,599,998,2452,4919,294256,T
738743413,3364,41,259028,599,686,1471,6691,293961,T
781534651,4280,29,231120,599,919,981,2962,293577,F
938557568,3155,54,258710,599,2018,490,4731,293518,T
722474435,4176,17,254736,599,627,490,3411,293848,F
626751466,1689,53,123297,599,841,2452,6040,294091,T
518293274,4186,38,242788,599,10327,490,3827,294115,F
279318150,3254,72,191986,599,2533,1962,6502,294256,T
545259603,4199,47,302328,599,1428,981,3019,294231,F
874347156,1444,22,132848,599,1013,2452,3445,294471,T
814937769,4287,37,420126,599,739,490,3620,293841,F
855364348,1647,9,70821,599,1057,2452,6587,293728,T
696767197,4317,61,189948,599,1243,981,3380,293543,F
756973980,3245,73,207680,599,648,1962,6629,293896,T
123261848,4444,49,142208,599,2533,981,3500,293761,F
268792544,3264,71,124032,599,948,1471,5945,294090,T
277234279,4456,67,236168,599,831,490,5902,293770,F
497841650,1441,50,38907,599,594,2452,6315,294105,T
707068080,4298,67,120344,599,582,981,3542,293725,F
135133012,3301,34,214565,599,6244,490,4849,293951,T
564772946,4440,29,159840,599,1028,981,2941,293693,F
172586215,4416,44,335616,599,2712,981,3794,294091,F
400042339,1490,32,49170,599,857,981,6882,294412,T
381303160,3385,74,253875,599,659,1471,3622,293612,T
654249864,4297,68,313681,599,2355,490,3376,293598,F
519688767,1551,1,62040,599,1508,2452,3616,293528,T
323661143,4250,59,310250,599,1177,981,3704,294100,F
663860273,3184,25,213328,599,620,1962,4672,293832,T
767900016,4341,7,325575,599,1491,490,5027,293731,F
321244516,3320,13,129480,599,607,1471,5262,293683,T
661899936,4306,47,116262,599,549,981,3482,294478,F
562882105,1489,3,92318,599,866,1962,6767,293718,T
013094098,4241,71,377449,599,787,490,3079,293731,F
046219337,1497,47,86826,599,922,1471,6755,293559,T
622385280,4338,33,403434,599,778,490,4914,294302,F
892782414,1542,1,86352,599,1500,490,6294,293699,T
605439788,4268,34,358512,599,560,490,4543,294185,F
855610423,1536,49,59904,599,1790,2452,3473,293793,T
481465665,4325,73,155700,599,615,981,2994,294326,F
461971946,1620,4,64800,599,614,490,4398,294452,T
497322400,4449,8,97878,599,818,490,4854,294150,F
058861544,3407,53,265746,599,1974,1471,5007,294014,T
371110454,4348,57,343492,599,764,981,3826,293900,F
759908152,1637,32,126049,599,636,1962,5861,294512,T
869409489,4429,65,221450,599,2165,490,6598,293795,F
101154400,4213,31,113751,599,2148,490,3733,293507,F
310265979,1517,14,148666,599,1405,2452,5370,294449,T
133648183,3357,56,201420,599,1743,1471,5024,294051,T
165751935,4451,35,155785,599,1988,981,3544,293759,F
574166890,3393,24,254475,599,806,981,3393,293556,T
584440103,4456,73,133680,599,599,490,3905,294476,F
588362778,3234,59,177870,599,2034,490,4718,294318,T
474024891,4319,34,142527,599,688,490,6414,294371,F
885039439,4220,40,244760,599,538,490,3058,294216,F
484513728,1407,7,53466,599,948,2452,5286,293855,T
307990301,3255,37,107415,599,1044,1962,4570,294087,T
646906425,4328,30,194760,599,1231,981,3584,294359,F
641451368,3373,25,303570,599,1420,981,4951,294337,T
375663346,4412,17,375020,599,669,490,5220,293955,F
938081143,3297,77,72534,599,1231,1471,6417,294188,T
553799505,4292,33,107300,599,1128,490,5853,294464,F
612528358,4407,57,304083,599,2355,981,3639,294465,F
610247597,1434,24,106116,599,771,2452,4622,293784,T
065530869,3250,66,68250,599,14916,2452,5285,293936,T
716856239,4314,40,194130,599,1362,490,4911,294297,F
857876944,3187,44,66927,599,2418,2452,5336,294340,T
580434592,4269,47,175029,599,554,490,4863,294194,F
189249505,3165,26,75960,599,598,1471,3018,293904,T
302862457,4396,35,413224,599,8136,490,3579,294229,F
803563005,1586,4,42822,599,799,490,3406,294153,T
619438207,4268,35,379852,599,2018,490,5003,293611,F
729989793,3137,78,210179,599,1369,490,6365,294284,T
274803280,4417,73,189931,599,706,490,3909,293817,F
565658352,3218,74,86886,599,671,1471,3820,293969,T
903703915,4162,41,104050,599,1109,981,3803,294112,F
962751428,3435,27,329760,599,12785,1962,3275,293525,T
184509476,4159,9,407582,599,4794,981,3926,294368,F
807150304,3136,47,72128,599,577,1962,6065,294215,T
121403913,4385,46,127165,599,7256,490,3217,294110,F
868372096,3330,21,229770,599,778,1471,3813,294494,T
627688806,4317,51,384213,599,922,490,3747,293569,F
850638323,3188,75,184904,599,716,1962,5146,293714,T
960578075,4346,27,412870,599,16781,490,3624,294145,F
475937733,3223,23,293293,599,847,490,5084,293803,T
150565107,4456,18,360936,599,762,490,4423,293907,F
794305996,3216,51,128640,599,9589,490,4523,293789,T
793307943,4229,68,202992,599,725,490,5066,294354,F
521958379,1491,32,59640,599,622,2452,6860,294400,T
879795878,4389,9,329175,599,1087,490,5159,294240,F
