userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
019513295,1883,7,205247,936,4312,1858,3699,413003,T
951072356,2145,184,461175,3702,4563,2323,6065,412931,T
819308037,2099,27,157425,824,9126,464,7848,412979,T
016685990,1867,12,261380,998,18688,1394,8157,412296,T
507438655,2128,186,68096,969,6651,1394,3884,412785,T
258423702,2055,211,199335,1274,6651,1394,5623,412992,T
032386339,2075,199,257300,1486,10607,2323,6108,412484,T
881155538,1942,38,186432,2322,8350,1858,3973,412786,T
128876302,2131,177,185397,858,4672,2323,8130,412364,T
827770633,2185,184,61180,2308,56065,929,4555,412576,T
174224108,1875,42,363750,1744,5857,1394,6449,412162,T
650314424,2194,50,109700,3190,4175,464,4063,412048,T
093378813,1844,8,226812,1114,7849,464,8075,412917,T
831146983,1812,42,96036,1877,17839,464,7985,412277,T
934270361,2156,174,114268,996,4220,464,6138,412564,T
824822895,2099,207,83960,921,4967,929,8073,412334,T
841036974,2090,193,135850,2843,5946,1858,4610,412225,T
014242864,2173,186,434600,1792,6433,1394,3821,412894,T
409073446,1815,12,179685,1492,4045,1858,5675,412464,T
989099964,4108,16,1022892,1196,4459,1394,4444,412669,F
307225302,1888,7,211456,1253,5527,2323,5982,412210,T
400862819,4064,33,455168,794,5450,2323,6412,412171,F
441637035,4073,37,916425,3270,78492,2323,4118,412177,T
819096528,4089,9,875046,1621,9572,1858,6491,412672,T
317802928,2013,190,412665,3412,5527,2323,5573,412041,T
232156582,4161,24,183084,4045,21803,2323,6464,412337,T
575582075,2123,8,144364,2378,5232,2323,6344,412378,T
477757938,1804,18,54120,1001,8176,1394,4523,412831,T
932932518,4242,42,848400,2281,14016,929,6367,412036,T
531176025,4162,17,911478,1684,43606,929,7451,412589,T
790220624,2206,15,97064,2706,7135,464,8131,412403,T
390013725,1849,42,164561,1218,5163,464,3979,412760,T
264435247,2094,194,343416,3243,24528,929,8304,412990,T
