userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
944482749,2222,38,66660,887,1027,1858,6215,412144,T
743145343,4286,24,385740,887,1278,2323,5995,412117,F
994450319,2192,174,214816,887,952,464,8372,413012,T
786205676,4059,30,320661,887,1344,2323,6291,412684,F
766895160,2015,47,173290,887,1792,929,8045,412274,T
673003336,4089,16,359832,887,4175,2323,5661,412811,F
552648911,2276,223,118352,887,1055,929,7778,412464,T
099918416,4277,38,397761,887,3139,2323,5932,412345,F
696221199,2046,56,81840,887,28032,1858,6215,412494,T
111755822,4114,29,366146,887,842,2323,5804,412760,F
832693083,1921,51,59551,887,5606,1394,4317,412872,T
393122944,4183,27,242614,887,3042,2323,5748,412436,F
124997820,2140,18,109140,887,2281,1394,6120,412981,T
577528757,4121,18,267865,887,1189,2323,6223,412072,F
243663478,2285,180,207935,887,30189,1394,5646,412371,T
294176730,4086,41,269676,887,2054,2323,5525,412465,F
787107160,2287,61,139507,887,1648,464,3698,412057,T
724267571,4092,22,323268,887,885,2323,6405,412389,F
680571985,2127,14,104223,887,840,2323,7799,412828,T
410510716,4087,34,331047,887,836,2323,6228,412387,F
514079960,2185,64,135470,887,1569,1858,4490,412234,T
402834818,4290,12,377520,887,1662,2323,5648,412176,F
109224664,2002,63,58058,887,15094,1858,4677,412259,T
026258587,4312,17,431200,887,1576,2323,6267,412223,F
549080113,2214,228,188190,887,844,464,3790,412886,T
018291621,4192,11,356320,887,1386,2323,6250,412726,F
974030267,2247,219,217959,887,4265,1858,4142,412303,T
611437332,4155,29,249300,887,1016,2323,6391,412685,F
148658302,2081,44,68673,887,945,1858,6189,412350,T
637732907,4115,46,251015,887,1072,2323,5609,412802,F
372619584,2009,64,120540,887,896,464,4301,412502,T
782326630,4078,19,354786,887,1348,2323,5909,412201,F
120186908,1889,57,183233,887,14535,464,5761,412721,T
659670007,4215,41,349845,887,1038,2323,6056,412274,F
987869822,2259,232,47439,887,1372,929,8418,412445,T
803958732,4341,24,334257,887,17063,2323,6090,412283,F
710621015,1944,41,192456,887,7267,929,4599,412469,T
014941791,4129,12,334449,887,23085,2323,6345,412578,F
734772448,4232,26,241224,887,1295,2323,5919,413031,F
600206061,2251,71,96793,887,3243,929,8356,412565,T
599027233,2240,39,132160,887,824,1858,6223,412905,T
866749619,4110,19,386340,887,829,2323,5655,412794,F
129312851,2197,24,74698,887,1767,929,5879,412975,T
754678053,4066,13,337478,887,1486,2323,5755,412143,F
683695683,2240,184,163520,887,7267,929,8364,412186,T
512947744,4063,44,280347,887,791,2323,5546,412859,F
586771910,2307,175,80745,887,1093,1858,6232,413028,T
639679506,4149,9,377559,887,14016,2323,5526,412796,F
104174451,2117,194,211700,887,3773,2323,8028,412176,T
125587916,4288,52,265856,887,1842,2323,5777,412760,F
775871658,2161,232,114533,887,936,1858,5993,412575,T
162129825,4089,19,310764,887,2255,2323,6221,412480,F
297478332,2305,211,170570,887,1052,1394,5597,412726,T
697291676,4126,35,354836,887,923,2323,5599,412531,F
149381034,2293,53,197198,887,930,929,8019,412697,T
755261444,4339,31,368815,887,4131,2323,6533,412560,F
186559879,2097,48,153081,887,1721,464,6388,412583,T
759662822,4083,48,314391,887,1008,2323,5600,413010,F
403264090,2275,5,70525,887,1008,2323,6077,412267,T
936336762,4151,32,294721,887,1595,2323,6289,412792,F
260362463,2130,230,53250,887,2144,464,3814,412183,T
351252236,4336,31,359888,887,1274,2323,6443,412584,F
877480404,2126,183,153072,887,3702,1394,3863,412928,T
424236669,4314,39,396888,887,1557,2323,5529,412986,F
153047944,2209,3,139167,887,2350,1858,4408,412836,T
176266251,4221,13,400995,887,10607,2323,6086,412798,F
128441384,2272,203,106784,887,5096,464,8414,413009,T
802225145,4296,44,416712,887,988,2323,6145,412165,F
885735639,2084,63,56268,887,1521,929,4131,412237,T
173574583,4261,45,421839,887,4786,2323,6002,412834,F
622626559,2214,219,97416,887,12660,1858,8409,412703,T
040297735,4301,63,408595,887,15698,2323,4449,412822,F
214183938,2263,55,65627,887,1118,929,7456,412800,T
681744949,4073,29,301402,887,2378,2323,5988,412546,F
657271663,2034,190,50850,887,1168,2323,6452,412492,T
356036782,4224,26,308352,887,1203,2323,6017,412369,F
013834171,2096,184,186544,887,840,929,7885,413015,T
742462547,4148,46,298656,887,6433,2323,5841,412712,F
199431132,2199,39,147333,887,4786,929,5550,412084,T
263369320,4139,56,302147,887,1182,2323,5597,412634,F
196447864,2251,32,49522,887,784,929,5999,412634,T
988117001,4216,54,417384,887,1416,2323,5639,412947,F
335140025,2193,236,46053,887,2393,2323,6423,412320,T
034709044,4259,39,349238,887,800,2323,5668,412037,F
050224584,2142,199,81396,887,952,1858,7773,412039,T
840358350,4202,20,373978,887,868,2323,5629,412136,F
741221046,2079,207,114345,887,896,1394,8418,412201,T
094208689,4293,27,274752,887,2950,2323,5967,412229,F
749512573,2154,63,163704,887,1222,1858,4408,412586,T
948471067,4070,30,260480,887,15094,2323,6000,412825,F
577740195,2021,24,173806,887,2168,1858,4428,412788,T
723053388,4083,49,314391,887,4312,2323,5530,412095,F
324203019,2020,225,145440,887,800,1858,5569,412127,T
