userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
732871640,4330,305,779400,1706,19493,1556,8654,550318,T
056925997,2310,149,159390,2626,16894,2075,4569,550714,T
057667742,3256,26,270248,4087,5759,518,8537,550276,T
865197982,2214,154,546858,3228,22035,1037,8978,550580,T
235253928,4568,223,785696,6335,6106,518,6551,550771,T
010014209,2347,151,469400,1435,6415,1556,4178,550916,T
813585393,2328,173,474912,1042,7797,2594,6883,550393,T
496052457,2234,171,382014,3071,9385,2075,9205,550905,T
379837825,4481,277,452581,1598,8738,1037,8306,550640,T
034589415,4449,197,298083,1289,8174,518,6316,550996,T
150852568,3203,58,387563,3378,6582,518,4224,550549,T
579888764,2246,165,399788,2739,6942,1037,6478,550855,T
252743265,2245,167,345730,1619,5279,1556,8594,550367,T
100477993,4462,283,767464,1030,31676,1037,8730,550379,T
442748516,4371,309,813006,3495,9746,518,4961,550700,T
577855108,4433,291,855569,1486,5171,1037,4403,550784,T
679620094,4331,305,1030778,1624,8738,2594,6988,550431,T
515986109,4319,302,894033,2546,5825,1037,4965,550882,T
316071703,2003,6,258387,1157,6106,518,8362,550437,T
940570031,2322,149,88236,1082,7240,518,4243,551024,T
975094435,2366,155,388024,1251,63353,1556,9121,550972,T
048298336,2284,161,564148,1251,21117,2594,8290,550421,T
474889846,3274,26,173522,1448,11786,518,4709,550886,T
005267754,4462,274,990564,1215,6849,518,6191,550566,T
637743259,4462,209,298954,1149,10783,1037,8838,550842,T
467655848,1891,18,189100,1267,101365,2594,8840,550188,T
075525765,2376,143,501336,3053,10783,1556,8557,550189,T
715239257,1989,20,153153,1344,84471,2594,9229,551038,T
579903790,2253,143,261348,2156,8738,2594,9193,550591,T
534053834,4434,298,1037556,1215,10558,518,6412,550606,T
636223802,2032,5,32512,3782,5391,1037,8840,550136,T
554279509,4537,204,372034,1490,9562,518,7053,550962,T
640649657,2265,152,391845,5119,5825,1037,9083,550423,T
871127805,2212,176,77420,1053,20273,2075,5030,550691,T
386925950,2278,149,175406,1071,13698,2075,9129,550559,T
551183305,1941,7,102873,5335,6668,2075,6731,550804,T
537404227,2210,171,327080,1366,12670,518,6345,551049,T
492894671,2229,179,75786,5569,12067,2075,8991,551009,T
000202076,2197,159,39546,1162,9385,518,8593,550915,T
290140376,1933,23,257089,1407,14078,2075,7037,550754,T
919949621,4478,276,528404,2769,10343,1037,6413,550738,T
592968315,2283,163,506826,1062,42235,2075,4415,551106,F
665170612,2327,165,262951,4873,38986,1037,6525,550529,T
319447323,2233,146,334950,3754,14906,1037,9154,550180,T
491453788,2364,170,546084,2912,12361,2075,9060,550798,T
186556079,4360,302,954840,2147,6106,518,8837,551022,T
377717001,2255,147,103730,5068,16894,2594,4742,551123,T
696708006,4614,211,327594,4295,22035,1037,7086,550601,T
135343343,4525,215,493225,1949,12670,518,8603,550524,T
155637660,4555,204,788015,1133,6415,1037,4403,550729,T
268754557,2227,147,469897,1257,10783,1037,6352,550216,T
412983015,4583,223,568292,6942,5119,1037,8979,550571,T
329001914,2252,169,153136,2653,8590,2075,6370,550727,T
918764465,2326,182,455896,1508,29813,2075,4393,550844,T
388894132,4378,309,560384,4649,16349,1556,6904,550239,T
