userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
326005415,3358,71,94024,1062,1645,518,4507,550172,T
912008304,3410,34,109120,1062,3128,1037,4406,550268,F
082699933,2024,28,196328,1062,1503,2594,9001,550745,T
267541824,3302,62,66040,1062,3990,1037,6692,550119,F
718751934,2334,184,186720,1062,1366,1037,4103,550629,T
821899090,3243,37,107019,1062,5279,1037,8853,550756,F
049187389,4663,211,335736,1062,2585,518,7047,550784,T
911901291,3304,48,303968,1062,3447,1037,4135,550261,F
402441060,2448,157,186048,1062,2111,518,8291,550509,T
070417309,3217,44,102944,1062,2800,1037,8274,550512,F
224160367,2222,144,113322,1062,1162,1556,7131,550560,T
662345319,3329,40,139818,1062,1656,1037,8826,550297,F
269181255,1869,47,74760,1062,1118,518,7217,550622,T
812245484,3439,52,151316,1062,4485,1037,6268,550721,F
221369936,3416,71,122976,1062,1218,1037,8718,550579,F
877473301,2282,150,88998,1062,14480,1037,6931,550534,T
575932867,2290,180,64120,1062,1678,1037,5124,550536,T
471592599,3186,48,86022,1062,1706,1037,6321,550492,F
194158545,1852,54,111120,1062,1554,518,9279,550558,T
217425080,3416,90,133224,1062,2472,1037,8636,550727,F
675561592,2019,20,50475,1062,3959,1037,6479,550642,T
986868335,3396,42,112068,1062,1028,1037,8379,550418,F
446900240,2466,200,155358,1062,1233,1037,6596,550819,T
337973094,3182,30,89096,1062,1392,1037,4205,551109,F
174507281,3253,79,260240,1062,3447,518,9027,550678,T
342091868,3389,49,230452,1062,8174,1037,8463,550962,F
012028137,2013,51,134871,1062,2232,1037,8921,550881,T
763345721,3358,54,141036,1062,15358,1037,4627,551090,F
367522641,4629,251,194418,1062,1023,1037,6425,550949,T
786769189,3440,35,123840,1062,2963,1037,4112,550864,F
905345884,1978,46,75164,1062,4607,2075,9113,550847,T
917233598,3253,66,123614,1062,1373,1037,4479,550271,F
083284997,2124,9,63720,1062,15358,2594,8331,550976,T
487618369,3247,53,178585,1062,4445,1037,6466,550205,F
231488055,2016,15,76608,1062,3495,2075,8882,550906,T
281205002,3148,63,107032,1062,1064,1037,4419,550986,F
092777714,1861,3,40942,1062,4649,1037,9029,550176,T
794242113,3398,49,108736,1062,3016,1037,4714,550529,F
857609062,2301,199,64428,1062,3646,518,4322,550541,T
057863736,3280,46,111520,1062,5508,1037,6569,550724,F
019200636,1954,52,125056,1062,2068,2594,8557,550146,T
213558372,3187,45,251773,1062,4407,1037,6403,550315,F
469243149,2430,207,72900,1062,1667,1556,4886,551092,T
562287332,3253,43,156144,1062,1549,1037,8931,550181,F
184804842,2256,13,117312,1062,1092,518,7018,550943,T
896410812,3213,52,115668,1062,4566,1037,6423,550975,F
862107593,2231,199,140553,1062,1522,1556,6568,550485,T
726917657,3147,37,113292,1062,1380,1037,6806,550801,F
702796247,4490,200,107760,1062,3726,1556,7057,551008,T
703975907,3281,49,193579,1062,5893,1037,8343,550886,F
474072301,2271,193,158970,1062,5569,2075,8659,550161,T
923899049,3340,47,197060,1062,12067,1037,8477,550181,F
559148066,3255,37,185535,1062,1071,1037,4630,550672,F
274175759,2449,184,244900,1062,2509,2594,6850,550938,T
958198537,1886,31,118818,1062,1104,1556,8977,550915,T
476196807,3277,45,203174,1062,3424,1037,4182,550948,F
229232736,2331,158,226107,1062,2262,1037,8726,550845,T
291030992,3428,28,287952,1062,1025,1037,6855,550376,F
945564376,2328,191,209520,1062,2472,2075,6732,551068,T
048961606,3421,34,157366,1062,1013,1037,4542,550236,F
625715122,4587,210,389895,1062,1448,518,8720,550247,T
834999355,3363,42,84075,1062,2695,1037,5015,550884,F
959358744,4679,191,425789,1062,1747,1037,4710,550377,T
933052480,3204,47,150588,1062,2165,1037,7154,550783,F
260851932,1837,13,93687,1062,2175,518,9113,550310,T
761977157,3264,60,241536,1062,1473,1037,6356,550391,F
680584789,4508,202,153272,1062,6415,1037,6959,550765,T
603865587,3422,88,140302,1062,2599,1037,8849,550768,F
902229673,4561,239,209806,1062,1019,1556,6513,550835,T
052885885,3238,59,200756,1062,10783,1037,7196,550723,F
961299330,2101,23,90343,1062,3356,2594,6813,550227,T
272906444,3386,50,152370,1062,13698,1037,6616,551003,F
868343498,2007,70,102357,1062,1330,1037,8334,550615,T
331928044,3304,84,135464,1062,17476,1037,6607,550409,F
895500604,3354,49,160992,1062,2425,518,4195,551070,T
036134118,3309,29,109197,1062,4407,1037,4681,550927,F
250875893,4571,221,118846,1062,1431,518,4527,551107,T
588314397,3320,77,159360,1062,5018,1037,8603,551093,F
226108120,4645,218,125415,1062,11786,1037,8332,551067,T
232271715,3438,43,261288,1062,6942,1037,8560,550364,F
064377281,2062,31,158774,1062,5119,1556,6908,551123,T
051458019,3408,72,126096,1062,2572,1037,8892,550558,F
116406399,4602,232,262314,1062,1082,1037,5062,550752,T
448018813,3191,67,137213,1062,5335,1037,6777,550366,F
918300394,4699,247,173863,1062,2085,1556,4798,550611,T
828410174,3313,57,271666,1062,1823,1037,7220,550294,F
267283589,2072,14,147112,1062,1080,2594,6287,550992,T
430136007,3220,80,122360,1062,2585,1037,6838,550799,F
611019842,3175,67,212725,1062,10558,518,4824,550223,T
089514644,3197,39,284533,1062,1141,1037,4630,550463,F
754728625,2009,19,48216,1062,1141,1037,6616,550803,T
357002925,3338,30,133520,1062,1526,1037,6873,550621,F
704925617,1855,48,46375,1062,6849,2594,6441,550368,T
701787722,3259,59,218353,1062,8447,1037,6665,550740,F
044651214,3142,60,150816,1062,1790,1037,4368,550841,F
904103259,1915,42,67025,1062,2379,518,8384,550716,T
271681081,2079,11,187110,1062,1423,518,6204,550164,T
948706329,3400,73,105400,1062,2879,1037,4364,550640,F
930113345,1868,33,95268,1062,4054,518,9202,550734,T
084615495,3225,53,228975,1062,2436,1037,4105,550832,F
