userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
102584254,4075,36,713125,2520,2657,1756,5293,248325,T
334118970,3877,56,58155,1280,3881,878,8779,248277,T
737526427,4028,3,52364,2573,4144,878,9609,247697,T
755712722,3956,31,917792,985,3492,1756,6983,248090,T
318521328,4013,12,814639,759,40750,439,6771,248578,F
316218115,3988,33,985036,873,3649,1317,6660,248042,T
446520388,3970,82,432730,2945,4215,2195,8821,247680,T
100280413,4095,22,462735,650,4890,1317,9597,247875,F
452837055,4096,30,380928,622,7191,1756,4793,248557,F
006484893,3874,71,151086,668,3094,2195,5326,248097,T
892251577,3928,78,742392,2494,2747,1756,5028,248051,T
193559897,4034,9,609134,768,11643,1756,9741,248483,F
690303735,3811,76,861286,1358,2494,2195,5023,248396,T
382741704,3961,61,202011,640,3349,439,4474,248562,T
742696788,3839,84,614240,915,10630,1756,4895,248608,T
898665490,3896,60,354536,662,3304,1756,4359,248221,T
834418092,4088,20,678608,2573,2778,1317,7364,247770,T
708971239,3816,82,362520,981,2494,878,7099,248534,T
971913705,4476,24,71616,1300,3443,439,6763,248540,T
189259630,4062,36,296526,587,4075,1317,4481,248297,F
856178528,3947,81,402594,582,11113,2195,7295,247701,T
769010292,3919,54,364467,823,4794,878,9587,248554,T
700740553,4497,20,157395,2546,27167,1317,5108,247801,T
545685155,3976,25,433384,660,7191,1317,6778,247919,F
445589070,3842,81,837556,764,5821,878,8820,248648,T
170571799,4060,5,950040,1350,14382,1756,4874,248201,T
326996755,3820,89,932080,788,4215,878,7057,247670,T
464275278,3954,72,517974,506,8150,878,9635,248369,T
911425584,3941,61,468979,512,7887,2195,5245,248005,T
590631607,3856,66,362464,536,3094,439,9037,248272,T
499538981,3850,52,427350,725,3543,878,6817,248576,T
453163451,4467,8,616446,2004,3543,439,5317,248464,T
183427095,3833,81,341137,799,6112,1317,8906,247807,T
387869479,3971,54,718751,2163,11113,1756,7425,247733,T
940537591,3898,90,440474,553,3175,1756,8871,248573,T
