userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
741011469,3990,103,83790,565,572,2195,9149,248433,T
322042369,4050,45,174150,565,2810,1317,4646,248089,F
403456200,4171,3,367048,565,714,878,9396,248418,F
460289592,4021,71,249302,565,1175,1756,6606,247780,T
483449694,4149,39,149364,565,1096,878,5316,248285,F
696302350,3870,100,321210,565,511,2195,9681,248364,T
082070523,3867,93,224286,565,645,1756,6741,248227,T
891834116,4166,17,266624,565,556,1317,6720,247750,F
507065391,3905,74,347545,565,4701,878,7220,248173,T
506228950,4169,31,416900,565,1940,878,5041,248599,F
215596943,4560,4,332880,565,673,439,4723,248574,T
138958341,4095,32,393120,565,6269,1317,9091,248562,F
966199617,3946,101,209138,565,524,439,7306,248213,T
782729695,3907,23,347723,565,660,878,5254,248201,F
232730378,4418,21,119286,565,978,439,7189,248115,T
059654559,4202,4,369776,565,659,1317,6965,247854,F
285300325,4199,16,298129,565,801,878,9487,248065,F
768131312,3852,91,331272,565,1630,1317,9221,248517,T
345628653,4019,100,397881,565,494,1756,8964,248196,T
522172057,4095,11,122850,565,2222,878,4755,248160,F
539647088,4012,85,361080,565,655,1756,8896,247877,T
004881837,4073,13,362497,565,1293,1317,7144,247747,F
061588330,4023,101,148851,565,698,439,4588,247914,T
984992652,3938,41,318978,565,593,1317,4745,248664,F
123892258,4029,42,241740,565,1709,878,4875,248120,F
786053923,3969,86,222264,565,2810,1756,9488,247801,T
777763217,3881,99,248384,565,1358,2195,9248,247742,T
597203216,4137,13,318549,565,1181,439,9031,248342,F
517398881,3896,114,335056,565,628,439,6577,248609,T
866069897,4028,18,342380,565,1557,439,6881,248161,F
125033526,4148,21,369172,565,745,878,7316,248122,F
994334132,4440,17,97680,565,717,439,8798,248627,T
838132352,3992,79,383232,565,706,439,8761,248132,T
692693156,3906,8,128898,565,771,878,4957,247983,F
838723888,3798,72,303840,565,510,1317,7161,248262,T
852758636,3949,4,304073,565,3395,1317,5384,247825,F
044417258,3842,111,364990,565,700,1756,5122,248654,T
497786951,4188,29,372732,565,2202,1317,4439,247877,F
409861284,3955,112,142380,565,734,1756,9530,248320,T
251103424,4123,4,177289,565,1397,1756,4620,248050,F
607054431,3808,94,277984,565,771,2195,6829,248277,T
022214500,4063,22,207213,565,1314,439,6583,248523,F
374913390,3811,118,83842,565,1106,439,5352,248378,T
713424140,4196,40,390228,565,799,878,4813,248564,F
531823518,4048,18,319792,565,761,878,7417,247867,F
057125678,4076,101,252712,565,525,878,6669,248571,T
853506119,4076,28,171192,565,653,878,5322,248163,F
968675691,4434,33,270474,565,892,439,4736,248357,T
670312163,4020,77,237180,565,740,878,5105,248311,T
870688361,4128,27,194016,565,2810,1317,4739,248095,F
160757850,3991,75,107757,565,905,1756,6910,248422,T
622811937,4171,8,300312,565,2445,1317,5362,248454,F
465054661,4075,113,305625,565,854,439,8974,248046,T
021255406,4133,23,392635,565,2546,1317,9218,248166,F
173359787,3957,105,193893,565,837,2195,9243,248559,T
412382908,3972,5,297900,565,714,439,4367,247954,F
469694980,4547,9,181880,565,608,439,7179,248043,T
932820493,4153,19,224262,565,734,439,7075,248645,F
820919420,3955,90,87010,565,2397,2195,4772,248669,T
420471454,4010,27,392980,565,786,1317,7296,247709,F
558672254,4064,102,154432,565,690,2195,7477,248570,T
565066071,4058,9,105508,565,1686,439,6598,247856,F
332295877,3924,62,215820,565,503,439,9587,248351,T
324910994,4180,25,263340,565,10187,1317,7328,247713,F
174897241,3884,55,295184,565,1811,878,9371,248602,T
284599142,4162,30,220586,565,3349,439,5308,247748,F
163570890,4013,83,345118,565,1619,1317,9126,247669,T
716537462,4004,8,196196,565,684,1317,4822,248634,F
737941990,4158,3,120582,565,655,878,4999,247848,F
931203058,3849,103,196299,565,1429,439,4920,248131,T
904897676,4068,57,235944,565,497,878,4536,248124,T
870379854,3946,39,299896,565,860,878,5207,248060,F
458121208,3889,97,171116,565,863,878,9534,247869,T
758415143,3939,7,389961,565,5686,439,6845,247966,F
641488617,3863,93,200876,565,3881,439,6637,248562,T
337018772,4076,12,338308,565,556,439,5191,248143,F
626542160,3856,66,77120,565,754,2195,7283,247706,T
243087425,4065,14,166665,565,5686,439,6856,247830,F
355073187,3987,74,354843,565,1709,2195,7447,247782,T
191653813,4143,19,327297,565,573,1317,7222,248526,F
539284322,4073,68,386935,565,2657,2195,6774,248330,T
228641063,4068,35,386460,565,981,878,5037,248047,F
737738380,3984,61,282864,565,882,1756,4522,248104,T
164807221,4118,54,370620,565,3260,1317,4341,248561,F
666363707,3859,95,355028,565,490,2195,9599,247713,T
229108784,4119,22,403662,565,834,878,9281,248425,F
157106423,3909,54,246267,565,902,1756,6766,247989,T
341532361,4088,6,192136,565,993,439,4677,248267,F
507478014,3998,60,163918,565,508,1317,7104,248024,T
164801795,4016,47,216864,565,870,439,4505,248175,F
420919866,3837,110,211035,565,815,2195,4492,248018,T
796231597,3914,32,344432,565,704,1756,5137,248376,F
235664342,3988,70,175472,565,5315,1756,8981,248418,T
375322570,4002,12,248124,565,492,1317,4793,247857,F
718969510,3960,55,198000,565,549,1317,6754,248615,T
550038185,3912,31,301224,565,898,439,4973,248379,F
972618537,4046,63,113288,565,584,1317,6712,248470,T
250338398,3988,16,398800,565,4366,439,6818,248200,F
820747035,4073,76,317694,565,605,2195,4857,247826,T
249931622,4074,34,179256,565,1910,439,4618,247957,F
