userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
092101448,3048,20,749808,869,2848,755,6618,282695,T
741161145,80,8,16160,1705,3043,1887,4384,283431,T
153854996,1181,7,159435,895,5355,377,6570,283056,F
259491867,4800,120,936000,2502,12752,1887,6507,283091,T
972586514,2851,26,564498,898,4184,377,6506,282932,T
682342910,3099,28,356385,3523,2879,1132,6453,282842,T
013257625,4869,153,219105,625,4782,1887,6661,282934,T
237379313,2912,15,378560,3618,6227,377,6311,282775,T
878300381,4849,26,838877,1014,3719,377,3754,282679,T
388259337,136,3,13464,677,3265,755,8506,282843,T
168285762,4811,142,861169,1149,8368,1887,6162,283264,T
978708004,2908,1,241364,1613,19128,755,3907,282642,T
417873355,4742,149,474200,904,12172,377,7736,282663,T
658812348,4840,123,885720,1134,6531,1132,6639,283617,T
937518130,1200,11,261600,1402,6086,755,6296,283063,T
968515893,4832,144,637824,847,24344,1887,7695,283437,T
450361203,4719,140,962676,980,5052,755,8449,282972,T
377096428,2803,27,672720,563,5465,377,5951,282910,T
212758858,139,7,8896,654,4390,755,6497,283333,T
675248827,136,15,23120,684,16737,1887,7931,282915,T
732945435,1244,23,60956,560,4184,377,8152,283629,F
744379642,4763,126,733502,1169,4698,1132,5901,283373,T
569771859,224,1,49280,2975,12172,1510,6225,283275,T
556314910,4851,117,955647,3150,3150,1132,6342,283001,T
683104503,4731,125,946200,1439,10711,1132,8292,283543,T
704589962,1235,43,62985,1603,5465,1510,4398,283357,T
962740942,1112,13,128992,723,8926,377,6308,282797,F
893968854,4799,137,259146,572,12172,1887,6063,283373,T
103291780,216,1,52488,756,5052,1510,3809,283391,T
868257537,1139,23,218688,769,3188,755,4025,283389,F
931613640,1107,20,91881,621,4057,755,4252,282868,F
305507652,4847,124,925777,636,4319,1510,8098,282942,T
934905238,1105,13,92820,599,4538,755,6508,283448,F
045256351,2940,2,479220,1149,4617,1510,4463,283404,T
750726049,139,4,30997,801,5579,1132,4084,283274,T
643228502,4818,129,558888,2075,3433,1132,4098,283005,T
552540448,1138,38,126318,539,2818,755,8033,283180,F
340380075,4784,146,181792,1037,6866,1887,4078,282729,T
345317528,4726,137,907392,3618,15752,1132,7565,283055,T
955333573,3082,34,58558,2213,7876,755,5896,283005,T
087081889,4744,47,569280,809,3226,377,3850,283313,T
847529052,4756,141,1155708,639,4250,1510,8172,283089,T
468972381,170,1,23970,776,3433,1132,7742,283338,T
677824750,1236,29,207648,1200,3226,755,3819,283532,T
367306655,4714,57,810808,823,8926,377,4436,282650,T
516316889,4841,138,309824,612,3523,755,6521,282726,T
618506264,4803,116,1138311,2269,15752,1510,6307,283405,T
200665550,253,30,58696,816,6376,1132,4193,283357,T
935712519,75,1,5475,684,4184,1510,7620,283225,T
977779811,2871,20,545490,1405,19481,403,977,566542,T
428740454,1233,39,217008,727,3881,1132,5658,283142,F
269062778,1163,37,141886,999,12752,1132,4144,282643,F
918856445,1144,37,120120,1809,5821,1132,3819,282833,T
864205986,4814,140,438074,1539,4184,1132,5627,283546,T
865204341,4868,138,715596,2434,14094,1887,7910,283172,T
958290265,1158,30,276762,855,10299,377,8060,283575,F
650269478,133,1,12369,712,12752,1887,8372,282688,T
938133266,4720,139,585280,3523,3306,377,7740,283097,T
992809055,2773,4,537962,904,11643,377,4053,283066,T
887621338,4716,135,1122408,2142,15752,1132,4021,283272,T
674603895,1086,13,147696,2108,3618,1510,7742,282864,T
951260681,272,1,46512,614,16737,1132,8042,283414,T
077363881,3065,2,763185,1912,14094,1132,6004,282810,T
723336430,4881,137,1103106,1234,6531,377,8385,283513,T
714516783,4784,147,760656,1263,5465,1510,5849,283362,T
977811352,1227,46,153375,1287,16737,377,7747,282972,T
868932953,4756,152,299628,1022,8114,377,7755,283250,T
608960366,1262,19,312976,588,3618,1132,4312,283580,F
760890508,4799,125,791835,1018,7438,1510,6146,283547,T
238391409,160,14,15520,677,8926,1510,6291,282986,T
986918991,4811,120,240550,542,2942,1887,7675,282878,T
079473231,4693,58,624169,3113,6376,377,3822,283543,T
814891803,222,18,42624,2108,20599,1510,6537,283230,T
145170755,126,16,5544,901,3618,1510,3949,283372,T
054651038,4752,135,356400,1125,3113,755,8447,283526,T
070079472,3085,13,487430,1022,15752,1510,4478,283417,T
219066819,1196,34,180596,773,3996,377,3745,282693,F
498903279,161,8,8533,563,13389,1510,7513,282974,T
123300282,1194,23,82386,1471,4390,755,4607,283179,T
359666589,76,1,9652,869,12172,755,7768,283418,T
161451654,1142,21,90218,826,3150,755,6150,283171,F
096159048,3050,1,420900,2412,33474,1132,7965,283128,T
359572578,157,14,12246,573,4057,755,4407,283557,T
671884850,4803,122,384240,739,2818,1887,5683,283408,T
225757094,1164,25,109416,1029,3719,377,8052,283479,F
468694268,4786,144,1143854,2231,4319,755,5869,283506,T
746183646,212,1,33920,2159,4184,1887,6293,282660,T
020104769,174,7,9396,769,19128,1510,7661,283593,T
227651681,1082,12,257516,1512,2760,1132,3792,283549,T
696622555,4683,129,571326,2456,4959,1887,4044,283232,T
717451884,142,1,8946,1075,2789,1132,6479,283311,T
346825397,2999,1,296901,717,3825,755,4002,282650,T
114478923,237,17,16827,624,3043,1132,8115,283612,T
168583040,4737,138,696339,910,4119,377,5908,283126,T
594181138,2998,19,488674,2550,3881,1887,4675,283515,T
991037849,4821,145,376038,608,3188,755,5901,283232,T
053352316,1108,29,146256,2550,17852,1510,6313,282924,T
967649544,4845,140,780045,2651,5950,1132,4536,283096,T
065139613,112,4,11984,621,2975,755,4743,282823,T
165198259,226,26,43166,1239,15752,1510,5768,283427,T
525403488,2842,5,628082,1352,10299,377,6494,283236,T
799314805,4776,146,315216,847,2704,377,6596,283067,T
672522767,4747,143,94940,1487,5052,1887,6269,282809,T
795127683,269,29,3766,1275,5579,1887,4084,282736,T
042058108,1227,16,198774,1159,10299,377,4702,283166,T
915665852,4742,153,625944,920,8368,755,7921,283573,T
850476583,1178,25,111910,1727,6866,755,8405,283231,T
577691602,1103,34,210673,792,2879,1132,4018,283079,F
080024751,150,28,26550,567,7047,1887,4683,283539,T
452308513,1192,7,174032,552,2789,755,8382,283470,F
256749554,4708,138,621456,1139,4959,755,8237,282923,T
079195303,4853,122,1111337,643,6531,1132,8403,282815,T
001762465,109,23,10900,569,4868,1510,8020,283077,T
800592722,4705,127,376400,695,33474,755,5811,283303,T
669836668,1222,9,135642,1134,2910,755,7916,283509,T
426283809,221,20,32708,677,14877,1132,4533,283540,T
037748384,1129,31,196446,1154,3668,1132,7948,283578,T
902792976,1240,40,220720,1190,5355,1132,6064,282911,T
457578763,4755,129,523050,804,2975,1887,5780,283226,T
425271320,3058,1,727804,956,5149,1132,4052,283601,T
686672053,4727,124,170172,1521,6866,1887,6380,283616,T
110026668,1141,24,235046,1394,5821,755,3877,282851,T
453705438,4725,116,179550,603,7438,1887,4729,283414,T
012599015,4699,116,234950,970,3078,755,4130,283178,T
160523301,2965,22,332080,923,3881,755,3748,283054,T
302477710,4698,134,413424,745,3719,1510,5629,283140,T
530548902,1240,24,169880,2479,3668,755,5942,283490,T
738451086,4775,146,114600,1159,3347,1510,5880,283603,T
180771767,213,19,9372,1402,8114,1132,7717,282957,T
190941035,4734,147,785844,2677,6866,377,8470,283298,T
718043745,1110,43,105450,1479,3389,1132,8353,282639,T
492398154,1158,31,257076,2125,2975,755,6402,282907,T
555222264,4787,150,224989,852,3188,377,6500,283287,T
314714237,1144,18,17160,631,3825,755,6133,283317,F
515062776,1208,47,115968,634,3719,755,4164,282915,F
642370971,2910,31,40740,1409,14877,1132,4694,283019,T
456897596,1204,19,102340,604,3265,1132,8183,283161,F
717488186,4873,147,838156,537,6694,377,7663,282669,T
961940572,134,20,3484,2391,5697,1510,7640,283254,T
545114922,3032,35,476024,1727,5821,755,4002,283591,T
174982639,2943,29,256041,809,2910,755,5649,283116,T
455064867,4866,133,681240,622,12752,377,5964,283095,T
396343844,191,1,45458,551,53558,1510,6169,282662,T
830261707,4695,135,328650,785,3113,755,6239,283620,T
029370583,2910,24,323010,799,3078,1510,3782,282674,T
657310289,4779,136,1008369,880,2789,755,6635,283016,T
379492239,159,5,39114,1594,3008,1510,5789,282907,T
921730233,1084,43,260160,816,5821,377,5989,283151,F
992894950,3005,18,354590,2098,44323,766,2457,401968,F
841172819,4765,130,204895,599,3881,377,4718,283086,T
079147669,3055,5,119145,3668,17852,377,6363,282724,T
702154404,1154,33,235416,535,4698,377,5639,282899,F
054656672,4762,137,1057164,787,3523,377,4562,283349,T
921101574,1094,38,105024,1496,3719,755,4059,283031,T
144465929,1078,22,215600,2479,5149,377,6123,283363,T
392080731,3030,4,451470,1366,9564,1132,4687,282884,T
504164095,162,20,32238,625,2975,1132,4179,282727,T
828108740,2905,1,490945,2269,14877,755,6185,283309,T
287834156,3014,18,418946,741,53558,755,7811,282766,T
047495057,4735,149,142050,585,3306,1510,8341,282637,T
708948495,4801,132,840175,667,8368,755,8316,283024,T
210013188,1099,13,59346,735,7438,755,4081,283172,F
987098527,4744,143,863408,839,3433,1510,4279,282990,T
268035544,1174,40,56352,2092,3570,1132,6078,282836,T
826714108,220,12,11000,1409,6227,1887,4372,282846,T
782732013,4821,145,1147398,669,7237,1510,4549,282772,T
283569387,4773,133,806637,750,7237,377,8421,283443,T
869446712,176,29,24464,1424,3996,1510,3833,283149,T
555031042,240,4,57840,643,29754,1887,7573,283251,T
457606003,130,15,14820,767,2677,1887,8522,283013,T
502683039,4786,143,789690,1190,3078,377,3756,283262,T
008999571,241,26,14701,1129,2818,1510,3983,283540,T
661319295,4882,117,1010574,2391,7438,755,7861,283137,T
184777384,4703,140,493815,3719,3347,755,6584,282662,T
720186549,196,20,7840,773,4698,1132,6043,282686,T
918728678,4718,53,693546,3008,7438,1132,3756,283031,T
635434227,90,29,8190,671,7651,1132,8305,283313,T
426221956,1161,33,242649,923,2677,1510,5934,283551,F
653844579,117,8,3393,809,7438,755,5831,282840,T
621892743,1162,42,33698,2625,4782,755,4273,282999,T
416896875,4792,134,201264,926,6531,377,4468,283004,T
953281164,4701,136,897891,712,14094,1510,7917,283609,T
316832071,4716,128,448020,1046,5465,1887,7594,283232,T
495451867,4774,140,1174404,1169,5355,1132,8240,282955,T
110506680,2990,18,203320,792,3113,755,3790,282820,T
665116436,4798,116,647730,580,4390,755,4666,283075,T
569439165,2935,20,355135,1332,24344,1510,4449,283081,T
738368227,4696,145,432032,831,3618,1132,7583,283307,T
088425044,3025,6,635250,3043,2704,1132,4097,282934,T
236012679,2916,37,183708,1632,22316,1510,3877,283083,T
682788186,3089,23,444816,1190,4959,1510,4279,282966,T
459661062,4767,138,877128,984,3668,1887,5978,282961,T
389807067,1117,15,214464,577,3078,377,4532,283010,F
136461247,2811,36,542523,1773,15752,377,4273,283096,T
701637977,95,18,5130,717,2789,1132,7801,283310,T
287125512,161,8,2254,1093,4390,1887,5935,282742,T
134738307,1079,12,207168,813,3618,755,7641,283574,F
025922333,251,19,60240,956,3570,1132,3892,282725,T
639419140,94,1,1316,548,4617,755,4529,283278,T
284498894,4780,143,353720,555,3226,1132,8488,282752,T
642728012,95,32,10545,605,7237,1132,6155,283210,T
819980546,4732,127,1012648,1912,6086,1132,8210,282881,T
473404981,253,24,11891,767,3433,1887,5963,282748,T
176286537,4843,118,716764,3618,6531,1887,8239,283235,T
962055829,1108,15,220492,844,3881,1132,5697,282897,F
291607887,143,15,25740,542,3113,1132,6029,283266,T
724575209,1177,15,24717,604,2848,755,8146,283343,F
105806866,4847,129,920930,2369,3433,755,7832,283222,T
047116741,199,9,9552,3825,6531,1132,7966,282701,T
258265202,124,1,14384,1809,3433,1132,7898,283094,T
337244969,4871,120,803715,1899,22316,1132,7574,283624,T
510722777,4766,151,567154,672,3618,755,8509,282670,T
347699351,180,18,10440,636,22316,1887,7519,283210,T
989320136,1103,31,99270,653,6531,377,7609,283020,F
218754242,4738,151,957076,1144,6866,377,4303,283014,T
389064920,4845,143,683145,681,9918,1132,6599,283182,T
632589849,4734,118,809514,557,3771,377,8156,282948,T
574112477,4874,125,341180,1983,33474,755,6055,283478,T
694812213,4746,126,664440,1539,3008,1132,6238,283466,T
624729876,1243,42,19888,866,17852,377,4292,282958,F
943018738,4826,147,279908,645,3618,755,5990,283414,T
818817212,2796,3,450156,631,8926,377,6643,283363,T
963528693,1201,27,160934,1859,22316,755,5848,283077,T
966875070,1265,45,285890,2479,5465,1132,6344,283325,T
827215403,156,22,2496,596,38256,1510,3949,283370,T
454522921,1074,27,204060,737,4390,755,5964,283000,F
900588181,4847,138,1177821,939,3938,755,7682,283422,T
938716892,4730,120,269610,1940,7047,377,6439,283310,T
805912784,4803,137,739662,939,5579,1132,8334,282949,T
676483004,4874,122,131598,821,4463,755,4088,282736,T
687955719,240,1,47760,1352,3668,1887,4422,283012,T
803339326,4866,145,919674,548,7876,755,7903,283152,T
509828352,1120,42,127680,1139,2704,377,8525,283104,T
346738543,1241,40,55845,1504,3043,755,7542,283465,T
781691689,4754,125,1164730,584,3078,377,4125,283207,T
786565883,3083,4,662845,2269,11158,1510,4438,283599,T
982997578,1125,41,169875,844,3771,377,6614,282790,F
