userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
965949204,4942,153,281694,750,592,1887,7571,283596,T
131457425,1200,15,82800,750,7651,1132,4507,283307,F
234378151,4763,119,247676,750,587,377,8460,283613,T
315126423,1079,67,80925,750,3938,377,8287,283252,F
988048435,4870,182,321420,750,2013,1887,4089,283554,T
223730480,1133,23,105369,750,1471,377,4766,283103,F
697019460,1121,75,86317,750,1954,1132,5643,283188,F
369682400,321,38,21828,750,1041,1510,8443,282644,T
246964508,1275,28,93075,750,769,1132,3863,283051,F
327879291,4833,124,372141,750,729,755,4672,282719,T
239842270,347,54,6940,750,716,1510,6244,283300,T
846574947,1202,57,104574,750,942,1132,4496,283462,F
829980012,4753,137,171108,750,12752,1132,3761,283080,T
733397235,1199,36,113905,750,1539,377,6453,282630,F
438963048,4796,152,225412,750,1380,1887,5916,283412,T
662420176,1244,44,31100,750,1969,755,6470,282736,F
132306264,4871,151,209453,750,2391,1132,4174,283458,T
184615371,1170,8,83070,750,762,1132,8331,283275,F
818502705,3083,10,277470,750,2028,1132,3831,283617,T
938559161,1084,32,34688,750,1062,1132,8421,283425,F
011332739,4724,169,444056,750,654,1887,5681,282741,T
727956668,1260,26,39060,750,542,377,4325,283292,F
483669839,1163,43,100018,750,984,755,4299,283315,F
526566679,4883,121,371108,750,2625,1132,5756,283460,T
054753022,3080,54,283360,750,2502,755,4688,283213,T
077331392,1346,71,60570,750,5355,1510,3825,283000,F
635540283,4797,186,374166,750,1149,1132,4119,282949,T
502386086,1238,26,99040,750,1144,755,4255,282871,F
944409974,92,1,6808,750,771,1132,8523,282794,T
738470951,1114,12,59042,750,5579,377,5974,282816,F
042120108,4701,144,329070,750,1773,755,6534,282712,T
068570278,1102,71,62814,750,804,755,3857,283184,F
084736600,78,60,5928,750,2269,1887,4774,283064,T
538109816,1270,32,66040,750,1084,755,7880,283568,F
455186087,1215,10,64395,750,4782,1132,7862,283198,F
649876966,4857,141,208851,750,809,1510,4003,283247,T
678128418,4751,178,251803,750,1809,1887,5637,282781,T
812322311,1102,19,107996,750,2125,755,5835,282967,F
923663489,4890,146,229830,750,605,377,6586,282980,T
764313566,1178,47,82460,750,619,1132,4324,283153,F
267829488,4810,152,317460,750,636,1510,4667,283416,T
345797601,1213,42,76419,750,26779,377,6565,283446,F
857837350,4719,121,471900,750,829,1510,4717,283491,T
745472059,1136,10,99968,750,1632,755,4256,283484,F
876417241,4817,18,394994,750,1738,377,4049,283357,T
201232799,1092,43,38220,750,2651,377,8330,283230,F
985748961,1158,24,30108,750,552,1132,7863,283617,F
067863682,3052,51,296044,750,1281,755,4692,283132,T
363946789,4938,180,286404,750,3226,377,4155,283010,T
936464628,1148,62,76916,750,5052,755,6443,283230,F
327250913,1228,21,42980,750,1037,1132,6436,283241,F
879736870,4792,147,287520,750,10299,1887,8105,283272,T
431657412,4746,117,170856,750,3618,755,4649,282765,T
563478485,1098,18,87840,750,1174,1132,7553,283214,F
010995535,353,25,8119,750,667,1132,4185,282923,T
023680117,1220,19,45140,750,708,377,3890,282667,F
770948086,4764,140,233436,750,547,1132,4581,282699,T
578101379,1119,14,80568,750,794,755,6026,283632,F
365603130,4855,142,223330,750,1041,1510,4141,283272,T
597668018,1366,30,86058,750,7047,755,6227,283364,F
488981036,311,17,23014,750,669,1132,8143,283338,T
186143556,1271,24,57195,750,3043,377,6139,282820,F
058947760,341,7,33418,750,1190,1510,8292,283039,T
934181927,1133,35,65714,750,637,1132,3999,283033,F
093610514,1340,8,71020,750,710,1132,7712,283280,F
662375303,292,18,7884,750,7047,1510,7984,283511,T
523932890,3180,26,267120,750,553,755,6275,283610,T
283865642,1309,18,87703,750,2391,1132,4399,283009,F
257674831,273,33,12831,750,712,1510,7943,283052,T
650199386,1088,9,97920,750,2391,755,8252,283506,F
096794519,1334,27,41354,750,6086,377,6000,282826,F
427977531,4853,159,203826,750,654,1887,4730,282638,T
201162245,4714,167,348836,750,612,377,8366,283142,T
511122360,1133,71,80443,750,7237,377,4110,283007,F
153372855,135,25,13230,750,1373,1510,8053,283254,T
943125939,1187,15,89025,750,587,1132,8271,282831,F
463822080,117,13,9360,750,1018,755,8225,282948,T
182903701,1091,28,91644,750,592,1132,6496,283367,F
437795852,4810,153,399230,750,767,1132,8394,283305,T
685434276,1148,38,22960,750,1325,377,8339,282692,F
080388822,164,55,7380,750,4057,1510,4401,283098,T
544593497,1230,22,29520,750,952,377,5663,283584,F
235848420,80,1,4480,750,669,1510,6394,282850,T
614757275,1235,27,101270,750,2879,377,6063,282882,F
813653588,197,21,6107,750,1632,1510,6017,283536,T
644903133,1090,8,88290,750,1097,755,8124,283527,F
486207973,4768,166,333760,750,804,1132,8522,283013,T
596354719,1083,71,75810,750,3523,377,4311,283465,F
729604215,134,1,3484,750,591,1510,3917,282696,T
323877545,1306,52,56158,750,1387,377,4158,282810,F
771402601,1280,13,119040,750,1071,755,8307,283006,F
584270294,213,45,15123,750,1416,1510,7886,283506,T
585682000,4684,127,341932,750,836,1510,8221,282839,T
010771562,1272,67,113208,750,1275,1132,4417,283251,F
600510752,4748,173,123448,750,959,755,4318,283357,T
586277517,1370,23,127410,750,1228,1132,6230,283562,F
178191541,353,20,24710,750,1281,1132,8313,283432,T
879346655,1357,47,131629,750,621,1132,6440,282722,F
970841565,4790,170,162860,750,535,1510,7777,283577,T
293926475,1127,12,57477,750,1834,1132,6101,283187,F
