userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
674266427,2372,87,56928,3808,19209,1399,7644,483493,T
737210840,2469,83,266652,5522,8033,932,5104,484002,T
679117649,4031,12,665115,3744,4750,932,7141,483378,T
817488569,4037,14,274516,4909,4650,1399,10287,483408,T
763001118,2467,85,318243,1022,5664,1865,7908,483752,T
548626700,4167,17,66672,2496,4602,1399,5069,483278,T
241698612,1658,113,152536,1144,4802,466,5530,483465,T
101475919,2514,113,550566,1207,5522,1865,7937,483550,T
774257502,4072,20,977280,1492,7013,1865,5241,483013,T
330887036,2475,104,141075,2036,11328,2331,4885,483355,T
128735816,1260,8,63000,1351,4802,466,10184,483700,T
248196494,1561,86,268492,930,7126,466,4977,483846,T
853827074,1600,81,131200,5259,7617,466,4733,483649,T
339159359,1150,8,272550,1115,5454,1399,9717,483942,T
142212609,2401,102,396165,1606,4964,1865,10178,483290,T
735317583,2393,98,301518,1372,7363,2331,7547,483557,T
437549668,2432,95,124032,2325,11626,1865,7323,484016,T
660216683,1725,116,22425,1534,5020,466,10138,483798,T
550411021,4170,8,391980,4554,44182,466,7292,483550,T
022387957,1559,116,157459,1732,7488,932,10078,483052,T
883303381,2403,95,247509,1156,12623,1399,9511,483513,T
835819804,4044,39,1011000,1539,4802,932,9330,483423,T
167156782,1243,26,124300,5137,49091,932,9411,483480,T
341971511,1204,19,187824,1085,31558,466,10239,483054,T
478855728,2485,117,559125,4802,6497,1399,9872,483302,T
931533411,4140,43,293940,2045,36818,932,9517,483725,T
612650404,2386,94,298250,2064,21039,1865,7081,483896,T
709414201,2499,79,499800,1141,7617,2331,9669,483902,T
879798845,2341,105,280920,2325,55227,932,9458,483960,T
883142592,4380,7,985500,1251,8663,1865,4691,483829,T
450733772,2364,117,208032,1781,12272,1399,6972,483737,T
984667829,1227,19,13497,1049,8336,1865,5113,483150,T
634234300,4030,27,664950,2289,15779,466,9383,483095,T
660565484,4316,45,686244,5078,7126,1399,5078,483623,T
093935911,1185,31,72285,964,6311,466,9476,483581,T
628733536,2359,100,589750,1213,5197,1865,7650,483341,T
184302418,1189,4,259202,4964,5388,466,9616,483676,T
960539064,2523,100,287622,3297,7126,932,4807,483682,T
952953246,2385,79,424530,971,63117,1865,4859,484005,T
643508045,2355,94,209595,1307,49091,932,6986,483487,T
698940592,4112,14,123360,4053,4855,932,9981,483717,T
958222199,1663,98,156322,960,5592,932,5288,483758,T
281001795,4429,15,730785,3808,8336,1399,9873,483348,T
698657497,1145,35,41220,1636,9204,466,7061,483649,T
879058144,2424,77,101808,1008,8496,1399,7216,483684,T
462632940,4362,41,1086138,932,5454,1399,6954,483403,F
317363901,2407,95,308096,1502,44182,932,4940,483066,T
066437269,2344,103,37504,1334,40165,1399,9355,483134,T
171260984,2482,93,516256,3026,7617,932,5555,483707,T
837398453,4076,36,570640,1624,9818,932,9783,483545,T
134234891,1671,102,158745,2832,5592,932,5160,483934,T
666524314,2515,108,226350,4802,7363,1399,9480,483114,T
675063448,1174,8,118574,4331,11626,466,7978,483396,T
978486436,2370,117,362610,1330,15235,932,9867,483925,T
850154372,2443,91,300489,2832,8836,2331,5358,483200,T
120409730,2371,116,464716,6222,16363,1865,9833,483106,T
113881451,2485,83,352870,1118,5890,932,7460,483817,T
623797285,4304,15,946880,6222,5197,1399,10169,483156,T
693756959,4054,35,604046,2008,13806,1399,5029,483962,T
764830190,1148,30,37884,2254,4909,466,4631,483994,T
366981630,1647,84,103761,1141,4602,932,9430,483188,T
