userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
428056586,1171,26,57379,1037,2744,466,5128,483892,T
049196029,4460,32,374640,1037,6497,1399,9531,483169,F
890223147,1409,27,91585,1037,1135,932,9518,483801,T
711829073,4355,29,383240,1037,1725,1399,9714,483863,F
910658392,1307,23,61429,1037,1213,1865,4703,483020,T
886121632,4462,18,441738,1037,6497,1399,9926,483983,F
650436736,2621,88,256858,1037,1322,1865,7372,483814,T
251215927,4299,22,176259,1037,971,1399,7078,483241,F
080081978,4157,34,145495,1037,1322,466,7735,483852,T
130067358,4324,20,185932,1037,914,1399,9986,483915,F
981368346,2344,79,166424,1037,1096,932,7134,483659,T
264380202,4513,26,333962,1037,1534,1399,7099,483421,F
777606043,4257,12,114939,1037,20082,932,9380,483870,T
155228187,4397,19,435303,1037,1561,1399,9805,483134,F
380649694,2374,102,99708,1037,938,2331,5257,483838,T
878389728,4414,30,256012,1037,910,1399,9670,483411,F
101916026,2383,101,185874,1037,1753,466,9665,483889,T
434815424,4343,26,317039,1037,5813,1399,9486,483766,F
780991688,2410,109,65070,1037,2965,466,9658,483326,T
098626574,4393,29,316296,1037,1127,1399,9654,483218,F
324945524,1359,57,130464,1037,1667,932,9777,483287,T
437803792,4353,19,126237,1037,73636,1399,6982,483053,F
230149678,2346,124,197064,1037,18409,932,4790,483654,T
941314953,4547,24,386495,1037,8181,1399,5212,483842,F
956443504,1288,30,100464,1037,3372,466,7919,483850,T
337359109,4346,26,343334,1037,1774,1399,9454,483283,F
428268781,1302,29,57288,1037,3047,466,9437,483950,T
479613539,4337,25,286242,1037,1082,1399,7622,483785,F
214357386,2365,141,115885,1037,1999,1399,4721,483810,T
212086465,4364,30,322936,1037,1774,1399,9396,483622,F
119574546,2411,118,219401,1037,999,466,7602,483360,T
847586838,4371,26,240405,1037,903,1399,9962,483159,F
939641529,1272,16,57240,1037,2985,466,10079,483593,T
803104761,4305,21,86100,1037,14252,1399,9585,483912,F
947580074,1299,3,88332,1037,7488,1399,4942,483443,T
519411741,4535,30,126980,1037,1096,1399,9928,483898,F
298127211,1440,11,47520,1037,1291,1865,5206,483102,T
266153825,4445,23,137795,1037,1072,1399,7937,483813,F
287104477,1696,97,55968,1037,4964,932,7576,483108,T
834992722,4313,25,392483,1037,934,1399,7858,483890,F
115810576,2497,88,237215,1037,4802,2331,5058,483743,T
319001969,4350,19,413250,1037,1679,1399,10154,483574,F
108384471,1759,142,56288,1037,7242,932,9922,484009,T
929775115,4322,31,220422,1037,88364,932,5059,483272,F
550406576,1789,89,128808,1037,1039,466,9828,483200,T
544465691,4293,28,412128,1037,1667,1399,9597,483110,F
419174685,2462,79,192036,1037,1518,2331,7552,483639,T
904140678,4510,20,121770,1037,2985,1399,10283,483694,F
878429400,1419,43,119196,1037,916,932,4877,483785,T
626481313,4484,24,408044,1037,1760,1399,9842,483798,F
120522478,1794,129,53820,1037,979,466,5023,483726,T
549176005,4470,23,384420,1037,21039,1399,7557,483908,F
770997473,1164,16,61692,1037,5137,466,4921,483803,T
741166358,4459,23,205114,1037,1255,1399,7469,483058,F
505632672,3996,18,147852,1037,1248,932,4753,483250,T
878590800,4336,31,325200,1037,2965,1399,7304,483492,F
250676831,1752,140,112128,1037,1223,932,7925,483443,T
185163712,4287,25,377256,1037,2985,1399,7218,483605,F
234672524,2622,110,183540,1037,1781,1399,10292,483781,T
307864652,4449,21,369267,1037,1322,1399,7376,483498,F
046815505,2377,87,152128,1037,1107,932,4664,483674,T
691437730,4511,21,135330,1037,24545,1399,7980,483360,F
930556504,1713,145,51390,1037,1528,466,9780,483673,T
572162305,4292,21,120176,1037,17672,1399,5597,483155,F
446986374,2472,113,69216,1037,1118,932,7122,483597,T
558410656,4291,30,390481,1037,1513,1399,7151,483129,F
509521148,4251,18,161538,1037,2414,932,7414,484012,T
883622057,4260,26,298200,1037,903,1399,5594,483275,F
357942965,2636,140,208244,1037,992,1399,10246,483908,T
395276299,4405,26,365615,1037,5388,1399,7709,483396,F
460881152,2396,78,55108,1037,2414,932,4954,483321,T
474436921,4336,25,273168,1037,1692,1399,7983,483597,F
764308857,2342,95,199070,1037,1288,932,7469,484007,T
369906096,4400,24,259600,1037,1338,1399,9985,483527,F
193449857,2578,132,82496,1037,1458,2331,5621,483116,T
003951479,4452,18,338352,1037,3592,1399,5478,483163,F
305216228,2583,87,206640,1037,1389,932,7502,483637,T
529634123,4321,28,155556,1037,4700,1399,9866,483667,F
883157869,1403,56,78568,1037,1566,466,4696,483900,T
997250734,4506,19,198264,1037,1096,1399,7970,483889,F
666210928,2410,94,103630,1037,898,466,10177,483240,T
681240907,4525,25,452500,1037,3224,1399,7792,483625,F
247989555,4274,32,282084,1037,8496,466,4881,483859,T
052870408,4288,19,218688,1037,2124,1399,9817,483582,F
417918879,1382,24,34550,1037,2524,1399,4955,483291,T
454938521,4359,32,418464,1037,1241,1399,9617,483251,F
952985688,2532,82,243072,1037,1725,2331,7265,483680,T
765648819,4480,25,273280,1037,2026,1399,5411,483044,F
023834347,1220,60,26840,1037,11941,932,7368,483839,T
440818348,4305,19,193725,1037,1153,1399,9491,483542,F
217564306,1327,50,122084,1037,5890,1399,4639,483719,T
169198214,4486,25,183926,1037,3808,1399,10032,483439,F
571459309,4107,29,332667,1037,8496,466,9526,483574,T
202107639,4409,19,268949,1037,1101,1399,7700,483144,F
413369096,1385,34,42935,1037,1265,1399,7446,483117,T
567990197,4546,31,159110,1037,2144,1399,7052,483735,F
883999410,1614,82,51648,1037,3451,932,5170,483626,T
499969239,4293,20,171720,1037,1380,1399,7432,483767,F
882425559,2517,85,178707,1037,44182,2331,5628,483202,T
381877231,4273,22,397389,1037,2645,1399,7492,483085,F
