userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
174203636,4349,52,360967,1840,10097,466,4272,768322,F
031587940,223,1,2230,2060,8515,1399,4327,768024,T
912977649,2894,579,370432,1581,15038,466,5987,768293,T
665041270,2773,570,673839,1422,15706,932,8012,767691,T
755680872,220,19,15840,1581,8124,466,5581,767486,T
608600279,2841,562,289782,1699,14725,466,4311,768010,T
988166880,4275,71,491625,2078,7139,466,6452,768184,T
157241453,260,1,21840,2579,9551,1399,4584,767938,T
618576427,2873,564,511394,2387,10097,466,6172,768272,T
871019860,4375,55,704375,1460,8031,466,8371,767705,F
951324383,3031,39,703192,1996,17670,466,8171,768105,F
668142952,278,1,21406,2861,17670,466,7762,768044,T
850771716,3058,49,590194,3841,7600,932,7904,767577,F
567257601,2792,579,58632,7068,15038,466,6503,768175,T
262042237,2818,574,414246,7853,33657,932,5920,767392,T
199162011,4370,66,1026950,1826,14725,466,6232,768300,F
578015022,4951,28,1168436,5699,73027,875,2468,1247626,F
062364623,4354,60,1053668,4133,15706,1399,3933,767434,T
008489128,2803,567,229846,2215,47120,466,8353,768240,T
995238849,2772,559,185724,1500,64254,2332,8349,767642,T
265405159,2755,581,90915,1643,7362,1399,6493,768222,T
563645512,131,1,20567,1617,30730,466,6342,767387,T
006314518,2754,569,534276,1647,19633,466,3917,768029,T
843202985,2887,588,687106,2884,23560,1399,4451,768275,T
259272376,4342,67,451568,2048,8218,932,6343,767889,T
199041920,2922,558,216228,2128,10394,1399,8093,767513,T
070333960,2846,575,560662,2896,7139,1399,6155,768025,T
528664954,4421,49,331575,3272,27184,466,8287,767868,T
318534372,4362,76,375132,1451,15706,466,8008,767750,F
721753455,2875,582,117875,2428,33657,1399,8234,768038,T
322719978,4221,19,278586,1798,8725,2332,5815,767600,T
880322410,2864,583,515520,2551,11780,2332,6225,768340,T
230471467,4260,56,340800,1529,19102,1865,6477,768109,T
185879189,223,1,17394,1925,9179,466,7491,768165,T
954517089,4076,19,448360,2920,16828,2332,6451,767358,T
964484861,4247,59,203856,4775,7362,1865,3736,767455,T
790679024,4372,71,148648,5793,141360,466,5881,767645,T
316451981,2887,552,245395,3100,13335,2332,5867,768002,T
077095650,2919,575,420336,2793,18600,1865,7532,768234,T
467328307,2853,586,48501,2471,10097,1399,6208,768256,T
348717419,117,12,25974,1762,15365,1399,4611,767885,T
519955331,4309,49,741148,1560,9424,466,5626,767439,F
974714302,2752,570,35776,2667,8515,1399,7647,767761,T
163236645,2817,574,512694,1536,12621,2332,3936,768117,T
398264516,2853,579,159768,1413,7519,932,4407,767882,T
549760570,4223,26,240711,1963,17239,2332,6567,767364,T
447232876,4234,61,114318,3904,23560,932,6586,767626,T
800188385,4411,67,621951,3948,7767,932,4106,767485,T
170972569,2803,575,426056,5746,7519,1399,7947,767697,T
899751406,231,1,32109,3926,13592,466,7736,767538,T
723836699,187,18,15147,1430,7941,1399,5768,768112,T
987556403,2853,560,425097,1602,7286,932,7815,768330,T
046724134,108,11,10476,1639,8315,932,3819,767831,T
277122872,2752,565,294464,2657,19633,1399,8258,768264,T
721594379,2796,570,271212,1957,16437,466,8297,767366,T
022250242,4397,42,980531,2750,16828,466,3791,767715,T
764681747,4266,44,162108,2598,88350,466,4525,768188,T
661555391,4338,57,520560,1613,8835,1399,5859,767386,F
643530976,154,3,34188,1869,7941,2332,3970,767372,T
212305130,4915,28,304730,5989,58900,932,6012,767709,T
567754080,2877,583,51786,7139,19633,466,5998,767643,T
335583272,268,19,50652,3155,15706,932,6231,768333,T
967366229,2776,551,266496,1457,7362,466,4203,767957,T
263164675,3070,58,488130,5197,8218,466,5969,767616,F
765771094,2777,575,602609,4445,7139,466,6388,767766,T
099986337,4397,52,272614,2135,11979,932,6115,767853,T
324649050,137,1,26715,1947,7139,466,3803,768031,T
164122220,2907,23,473841,8515,117800,932,6498,768229,F
468376829,4247,77,191115,2280,10709,932,7700,767868,T
895112667,2769,554,30459,4589,8124,1399,6362,767839,T
178825435,4264,23,264368,2445,10097,2332,4248,767655,T
372644330,2912,575,203840,3169,9551,2332,8159,767372,T
385972768,2928,36,257664,3862,117800,466,6302,767421,F
239564614,2901,570,205971,2371,8031,466,6129,767642,T
773846376,2756,554,355524,2932,11586,932,6385,767494,T
645115725,4279,49,877195,3516,39266,466,6011,767395,T
956481621,2753,571,357890,5395,10873,466,7620,768243,T
151791934,2921,584,443992,2945,8619,2332,7644,767423,T
707155086,4351,56,313272,2617,35340,466,4304,767942,T
039540542,2764,573,212828,5235,29450,1865,7534,767340,T
409672349,2915,576,422675,1481,7440,466,3908,767620,T
800776234,4297,68,464076,5890,9061,1399,4251,767374,T
153869543,2935,559,264150,3007,44175,1399,7886,767520,T
923327145,2927,571,629305,6998,9424,932,5668,768264,T
058929327,2857,570,431407,2428,33657,1865,6127,767394,T
730549756,212,1,47276,3302,44175,466,3758,768091,T
632663884,194,17,30264,4501,7212,932,4683,767689,T
770409817,4359,52,976416,1732,7600,1399,5584,768277,F
883199921,2825,559,401150,5565,16437,932,3706,768089,T
934854006,2888,553,190608,1570,11400,1865,4417,767707,T
285762530,4384,43,710208,2873,8835,466,6179,767383,T
610533678,2819,559,372108,5841,37200,1865,8075,767786,T
965594616,2780,581,444800,1789,54369,2332,4240,767376,T
932688073,2820,572,408900,4336,7068,2332,8334,767543,T
772997367,4415,48,92715,3227,7212,466,4624,767628,T
022784566,4400,51,994400,2340,10873,2332,4122,767422,T
528294282,2946,583,539118,3820,23560,932,7446,767713,T
960192157,2915,29,163240,9954,8414,1865,7528,767967,T
075538437,160,21,13120,2838,30730,466,8260,768066,T
000541205,4408,76,555408,1889,20788,1865,4381,767651,T
885036497,4408,65,599488,1628,25242,932,7667,767518,F
997407093,4358,62,767008,2718,8515,932,8258,767807,T
717984807,2971,39,668475,9157,16304,379,1283,694683,T
166838585,4290,65,484770,2332,10097,932,8182,767708,T
769537439,2887,562,459033,1560,14424,1865,7468,767977,T
429518536,4174,23,555142,1460,13088,1865,7875,768021,T
230513501,2947,584,397845,3662,35340,1399,3711,767770,T
172708324,187,1,11594,2025,11219,466,5680,768065,T
627328096,4351,54,844094,1484,19633,932,8409,767626,F
171960972,2950,58,103250,6310,11780,1399,6513,767796,F
288997813,4365,74,999585,2827,44175,466,8056,768271,T
522339435,4385,44,622670,1985,8515,1399,7681,768228,T
574382518,2789,569,627525,4775,8946,2332,5735,768222,T
068468157,5035,26,866020,3499,54369,1399,4026,767642,T
184124121,4320,42,820800,2135,10709,932,4129,767784,T
279982302,2910,42,683850,3212,11043,932,4686,768306,F
416123299,2776,571,371984,3287,7139,2332,7426,768070,T
556706852,2860,558,168740,3700,11586,2332,7940,767987,T
796920263,2827,578,158312,3227,70680,2332,4027,767368,T
188530499,4283,76,989373,3499,13335,466,5546,767792,T
093563049,3063,58,695301,2697,44175,466,4130,767567,F
203313535,233,1,46600,1556,70680,466,5696,767937,T
289643861,4272,72,1012464,2428,11780,932,4418,768118,T
952539601,4267,41,76806,1543,7286,2332,6172,767507,T
112117674,4304,56,938272,3349,8315,932,4043,767600,T
289725261,4388,71,188684,2608,9682,1399,4372,767745,T
002152831,2819,583,617361,1636,7212,2332,5828,768038,T
053595326,4323,56,488499,2462,8725,2332,4490,767735,T
725339133,2854,585,496596,7068,7286,1399,7908,767948,T
872145335,2899,571,113061,4743,7212,466,5601,767818,T
514624292,2829,582,684618,1416,25242,466,3956,768070,T
257781922,4279,51,320925,2533,13592,466,8380,767710,T
059938399,2794,553,64262,1816,58900,1865,5769,768040,T
987970613,2999,31,458847,7068,100971,466,5568,767735,F
732966796,2751,574,291606,2174,12850,2332,6301,767389,T
465421420,2798,576,75546,3569,37200,2332,3907,767789,T
