userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
229758872,2999,585,182939,1647,2718,1865,4317,767745,T
495562733,4452,94,97944,1647,5012,1399,4522,768240,F
436485368,4410,75,317520,1647,1686,1399,4716,767621,F
030245030,119,12,11305,1647,2236,466,5942,768025,T
779599401,4151,36,386043,1647,1963,1865,7731,767908,T
813792178,4401,65,369684,1647,6254,1399,4670,767976,F
243496667,3049,568,91470,1647,1591,932,3734,767801,T
730297148,4497,88,175383,1647,1775,932,8101,768169,F
536926254,2773,580,252343,1647,3464,1399,8082,767729,T
111709383,4383,65,118341,1647,7068,1399,4553,767656,F
616294512,2941,593,97053,1647,8315,2332,6020,767906,T
035336848,4367,43,183414,1647,1466,932,4585,768184,F
230360326,2835,606,141750,1647,5890,932,6409,767395,T
801515074,4265,46,302815,1647,54369,1399,4013,767617,F
928684848,4190,35,276540,1647,2815,1865,7749,767682,T
422886379,4445,86,97790,1647,1643,466,5974,768215,F
681298653,4455,53,173745,1647,12186,932,6219,768295,F
148728047,2783,618,261602,1647,26177,1399,5802,767482,T
355994982,2878,598,264776,1647,10549,466,6294,767981,T
498369896,4464,95,93744,1647,2782,932,8439,767949,F
955437244,2960,551,204240,1647,1910,466,4650,767495,T
607251893,4339,95,303730,1647,6667,932,5809,767438,F
060958006,234,23,8190,1647,16063,466,4565,768130,T
125950393,4252,38,140316,1647,2294,466,3710,767343,F
796013571,2974,606,264686,1647,11043,466,8189,767770,T
485517325,4289,73,295941,1647,2135,932,8188,768026,F
117114098,2775,573,160950,1647,1503,932,8377,767361,T
933624995,4380,44,240900,1647,4775,932,4067,767800,F
920514084,4356,54,91476,1647,1674,1865,4395,767666,T
437816110,4439,84,204194,1647,1719,1399,3705,768213,F
079248061,4349,74,300081,1647,1682,932,4315,767379,F
649553183,2941,566,147050,1647,2687,2332,5812,767547,T
376659660,4455,71,427680,1647,2804,466,7661,768314,F
132428375,348,11,33060,1647,13592,932,4192,767543,T
756542591,4367,19,384296,1647,2078,1399,7701,767576,T
483944023,4510,77,108240,1647,37200,466,7933,768206,F
102026757,4402,97,409386,1647,14136,1399,4683,767654,F
308442388,211,10,13504,1647,3883,932,8148,768340,T
454192181,289,3,6936,1647,2141,466,4398,768297,T
573514938,4387,49,434313,1647,2920,1865,4151,767774,F
752272284,384,39,14976,1647,3431,466,5869,767863,T
266216454,4376,105,376336,1647,1703,932,5678,767422,F
580540828,4519,85,289216,1647,5479,932,5930,767655,F
412798831,2852,586,88412,1647,1789,1399,7461,767967,T
776919875,4391,95,166858,1647,2356,466,8376,768319,F
748114209,4258,20,259738,1647,19633,2332,7666,767883,T
061678343,4200,53,189000,1647,3155,2332,6559,768338,T
951676867,4425,64,376125,1647,4942,1399,4147,767817,F
221469799,2878,613,244630,1647,9300,932,8391,767797,T
193976844,4430,38,367690,1647,2122,1399,3977,768022,F
564356963,313,13,30361,1647,2348,466,7800,768155,T
424416585,4420,63,309400,1647,1845,932,5794,768104,F
