userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
080864507,3935,99,582380,424,16531,867,2364,203988,T
050155436,2257,5,390461,1007,4132,433,4228,203852,T
344589285,4066,94,483854,424,39676,2168,2941,203698,F
222108367,2222,28,457732,2576,12398,433,2112,203378,T
352544329,2107,6,391902,1173,2156,1734,3598,204114,F
062261207,2155,27,402985,1209,5361,1734,3295,203366,F
866228325,2130,16,27690,1599,2680,433,3812,203842,T
090828429,2269,9,108912,516,2917,433,2587,203675,T
254780080,2085,10,246030,414,3889,1301,3209,203744,T
143877406,2134,1,74690,918,7085,1301,3871,203742,T
216009910,3925,103,204100,612,24797,2168,2178,203510,F
413351324,2158,1,427284,548,2133,867,2307,203847,T
786277045,4029,115,979047,1187,3252,433,3426,203613,T
472234706,2130,28,255600,508,3252,433,2380,204156,T
135371688,2184,28,463008,623,4613,433,2112,203331,T
851318357,2202,15,156342,870,2204,1301,3504,203293,T
966956777,2206,1,335312,705,2110,867,3581,204164,T
738469825,2200,20,231000,1108,2875,1734,3074,203809,F
126304901,2152,20,73168,705,24797,1734,1744,203728,F
301225146,4068,97,821736,537,13225,2168,2290,203990,F
407026222,2204,8,321784,663,3362,433,3815,203512,T
951071614,3982,92,581372,530,16531,1734,3313,203884,F
418024682,2231,7,223100,873,2228,433,3624,204163,T
360814635,2160,2,187920,1108,2066,867,4403,203347,T
946781137,4010,91,918290,708,3673,433,2577,203715,T
923459215,2243,27,157010,729,13225,1301,3532,203820,T
692051016,2255,2,202950,751,6612,867,3597,203719,T
469911471,2214,1,55350,765,28340,867,2949,203471,T
245507384,2094,30,502560,608,8625,867,2984,203302,T
486489148,2155,6,105595,754,4312,1734,2808,203354,F
002244786,2175,11,67425,1017,2576,867,2584,203841,T
821789705,2176,1,237184,629,2024,433,2162,203534,T
953649579,2172,30,482184,1406,18034,867,2141,203899,T
764477658,4001,105,912228,944,2449,433,2641,204115,T
696865775,2202,5,303876,972,28340,1734,2672,203877,F
121360305,2088,29,45936,870,3420,433,2062,204037,T
864848220,2150,1,513850,436,2479,867,3974,204139,T
749865406,2185,23,72105,1127,2390,1301,3318,203782,T
017084700,4072,80,118088,996,15260,433,3107,203618,T
362165877,2242,17,199538,533,2917,1734,4037,203710,F
901670975,2197,27,48334,621,5361,867,3318,203921,T
702994390,2190,31,192720,1044,3005,1734,3916,203686,F
510824186,2264,29,384880,1695,6840,1301,3088,203523,T
784163010,2148,11,270648,506,7630,1301,2804,203849,T
780377711,2116,11,84640,1964,4959,867,3277,204038,T
574771517,2256,17,115056,444,2306,1734,2746,203962,F
472945076,3916,96,520828,1562,10441,2168,2892,203444,F
564263570,3989,88,311142,1755,19838,2168,2178,203296,F
376809623,2261,14,296191,2204,3420,1734,1833,203622,F
339099034,2184,12,139776,927,3815,433,3426,203532,T
666898504,3939,106,661752,2280,5834,433,4123,204067,T
691186230,2195,1,142675,642,2917,1734,2096,204006,F
609893182,4088,93,609112,1322,3005,433,1959,204026,T
233114917,2216,11,245976,1397,3005,1734,2207,203683,F
751424660,2198,3,204414,1279,2066,433,3928,203992,T
