userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
530927839,2318,57,194712,470,2511,1734,3594,203514,F
457146280,2361,1,73191,470,1090,1301,3384,204131,T
644368134,2122,35,157028,470,434,867,4311,204220,T
842020722,2277,11,102465,470,1725,1734,2613,204042,F
663582169,2253,23,81108,470,796,1734,3544,203792,F
960512723,2311,52,201057,470,580,867,4201,204043,T
683225759,2204,45,134444,470,1871,2168,2019,203887,F
245817270,2159,59,56134,470,486,867,2452,203657,T
918278965,2319,53,118269,470,443,1301,2473,203359,T
846903879,2265,44,99660,470,509,2168,3262,203975,F
532785611,2172,4,67332,470,5510,1734,2624,203949,F
530708820,2165,17,132065,470,557,1301,2034,204058,T
151259839,2187,1,133407,470,434,2168,1729,204208,F
591108113,2335,1,196140,470,819,1301,2446,203381,T
494340013,2195,31,193160,470,6840,2168,2460,204133,F
653626528,2303,58,204967,470,713,867,3776,204218,T
239609452,2227,59,222700,470,425,867,2639,203599,T
079789944,2134,54,89628,470,703,2168,2522,203960,F
300299158,2202,15,79272,470,549,1301,3587,203364,T
013746062,2243,10,71776,470,500,2168,4403,204233,F
742956550,2185,25,216315,470,644,1301,3734,203447,T
877034884,2149,29,107450,470,1033,1734,3900,204044,F
623157332,2374,5,61724,470,819,1301,3019,203939,T
990531759,2132,44,106600,470,851,1734,2794,204057,F
497420788,2200,33,180400,470,399,433,2765,203315,T
012035208,2279,55,97997,470,635,2168,3867,204170,F
875587422,2260,12,198880,470,509,433,3409,203800,T
505978229,2199,12,160527,470,991,2168,2249,203644,F
307643839,2083,59,62490,470,1983,1301,1967,204085,T
484178981,2256,18,223344,470,793,1734,2017,203835,F
716850249,2314,1,187434,470,530,1734,3452,203776,F
121835760,2333,52,86321,470,1514,867,1812,203374,T
144787930,2304,29,184320,470,11021,1734,2686,204013,F
911240938,2240,48,210560,470,445,1301,2671,203423,T
799104982,2253,21,121662,470,803,2168,3688,203796,F
190151411,2158,46,183430,470,467,867,3663,203957,T
074250821,2275,33,193375,470,3052,867,2263,203387,T
276018070,2302,15,181858,470,893,2168,3806,203823,F
034950299,2219,18,110950,470,499,2168,2686,204055,F
956245191,2125,47,95625,470,823,1301,3241,203798,T
193218202,2083,1,177055,470,1448,433,4280,204242,T
480671248,2352,27,197568,470,629,1734,3145,203456,F
619225326,2244,32,179520,470,1448,2168,3024,203695,F
454427969,2087,36,100176,470,1587,1301,3519,203278,T
549632762,2168,32,208128,470,11669,2168,2922,203325,F
231938820,2375,1,213750,470,1740,433,1709,204242,T
172443402,2124,60,210276,470,557,867,4182,203628,T
974688003,2080,1,62400,470,751,2168,4198,203327,F
917627179,2335,49,193805,470,39676,1734,2331,203854,F
791097027,2326,36,188406,470,663,867,3467,203430,T
292998434,2270,25,147550,470,527,867,2349,203304,T
502258587,2201,1,85839,470,583,2168,2445,203508,F
959756136,2283,32,168942,470,398,433,2921,203769,T
428721446,2134,1,46948,470,402,1734,2912,203913,F
935832728,2321,28,109087,470,22042,1734,3621,203332,F
490295149,2367,1,99414,470,486,1301,2664,204152,T
198089142,2278,31,195908,470,537,1301,3945,203648,T
701862285,2081,45,93645,470,5510,2168,4214,203701,F
158726481,2284,36,50248,470,545,1734,3199,203717,F
296046055,2352,60,188160,470,1166,867,2140,203402,T
230062499,4159,96,249540,470,14170,2168,2395,204190,F
127750580,2114,13,139524,470,400,433,3625,203484,T
567750061,2271,39,197577,470,2110,2168,3591,203808,F
380491887,2084,49,108368,470,444,867,3909,204148,T
381271407,2253,1,101385,470,4838,1734,3129,203690,F
198521086,2357,17,143777,470,3199,433,2355,203411,T
455897252,2161,1,142626,470,977,1734,3869,203393,F
536166504,2234,1,125104,470,6840,433,1984,203669,T
062770211,4123,113,404054,470,953,2168,1951,203645,F
319296847,2330,41,51260,470,633,433,2450,203443,T
505344408,2304,31,103680,470,595,2168,2384,203586,F
285164900,2182,7,63278,470,1027,1301,3068,203873,T
599510078,2236,57,102856,470,629,867,2452,203404,T
735707828,4117,139,378764,470,665,1734,1879,204075,F
076085360,3892,139,288008,470,413,433,2275,203736,T
265905685,2160,2,129600,470,414,2168,2339,203510,F
928147025,2108,1,103292,470,652,1734,3654,203555,F
217453483,2233,1,160776,470,637,1301,3487,203356,T
552289636,2198,31,120890,470,2680,1734,2119,203445,F
962720460,2100,29,144900,470,551,433,3596,203259,T
747050920,2311,58,210301,470,708,433,3417,203929,T
334898330,2182,25,85098,470,1090,1734,4095,203962,F
742262505,2238,1,163374,470,1133,1301,1830,203831,T
225820835,2185,47,58995,470,416,1734,2826,203305,F
628229784,2226,27,200340,470,784,867,4452,203403,T
519938229,2234,20,214464,470,511,2168,3763,204181,F
923555420,2273,61,177294,470,408,1734,3239,203969,F
141519310,3964,95,186308,470,11669,433,2773,204046,T
102358904,2356,9,113088,470,6199,1301,3661,203683,T
367163066,2102,51,50448,470,495,1734,2647,204159,F
195971755,2243,16,139066,470,1239,1301,3649,204130,T
797091946,2223,2,220077,470,677,2168,2616,203441,F
446976083,2087,4,108524,470,3815,2168,3525,203274,F
125689143,2334,28,91026,470,399,867,3528,203483,T
688002175,2144,5,94336,470,803,867,2951,203805,T
614428996,2116,21,169280,470,982,1734,3074,203740,F
001558927,2347,56,68063,470,435,2168,1877,203935,F
595096408,3922,125,137270,470,16531,433,4149,203360,T
396009171,2098,56,121684,470,2717,433,3095,203378,T
366818969,2169,59,173520,470,427,2168,2727,203656,F
