userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
769369382,4387,856,421152,3863,14696,571,1209,814161,T
641172480,1242,5,185058,1832,8667,1143,1846,814316,T
484898362,4324,870,1063704,2093,27041,857,1578,815099,T
916604134,2462,53,467780,8244,7953,571,1731,814995,T
001254911,4143,40,211293,4072,8244,1143,1214,814983,F
162466059,4397,873,338569,3101,12519,1143,1657,814920,T
254408293,2540,34,205740,3159,15364,285,1136,814967,T
494909929,2600,43,291200,9521,9521,571,1276,814698,T
515078084,4445,60,351155,1391,19315,857,1585,814901,T
852765381,4321,863,1015435,1354,17334,285,1422,814679,T
230940409,4980,33,672300,5281,7860,285,1124,814696,F
662764370,4282,11,629454,4024,11860,1143,1467,814790,F
277000687,4252,844,55276,2125,10903,285,1151,814272,T
792734352,4109,44,608132,2231,11458,857,1686,814708,T
299846334,5032,36,654160,6760,9941,857,1205,814705,F
663926581,4234,848,944182,2570,9941,857,1001,814136,T
491316261,4278,36,209622,1648,33802,285,1457,814953,T
479416832,4222,40,734628,1564,12291,857,867,814665,T
814600703,4230,873,727560,3219,6969,1428,1438,814308,T
758937903,4237,23,944851,6693,10730,857,1332,814282,T
340195227,4215,872,636465,1648,7191,1428,1795,815055,T
082662158,4249,872,917784,3144,56336,571,648,815070,T
219631337,2631,56,305196,4361,8048,1428,1641,815024,T
056696356,4287,881,141471,1472,37557,857,2094,814233,T
371269141,1324,9,131076,2018,9657,1428,1438,814109,T
117137283,4344,846,903552,4418,24144,285,1681,814976,T
774886922,4162,41,503602,4537,10903,1428,1651,814808,F
829916648,4474,80,456348,1539,16901,1143,1942,815064,T
033073749,4255,27,906315,1411,28168,285,1692,814923,T
009633469,4237,38,576232,1661,8895,285,1053,814819,T
874403542,4393,857,1005997,1755,21126,857,1655,814901,T
179599682,4371,878,974733,2315,15023,1428,1438,814221,T
828424898,2587,47,46566,5930,9013,857,1427,814294,T
086240380,4123,13,86583,2405,13520,857,1513,814143,T
904961086,4213,23,513986,2805,17334,571,866,814556,T
083891908,4203,36,912051,4662,9389,285,1397,814852,T
972200652,4391,861,570830,1629,45069,571,1263,814816,T
934514248,4143,22,497160,1423,42252,571,1728,814654,T
090725948,4183,12,527058,1402,13255,1428,1813,814812,F
077102529,5003,13,400240,4251,11458,1143,1153,814917,F
924066214,4402,859,884802,6500,75115,1143,1153,815081,T
643335394,4237,15,521151,1746,29393,285,1464,814933,T
589855273,4105,13,299665,1399,27041,285,1559,814659,T
045858101,4247,848,832412,2030,9013,285,1314,814227,T
353814714,5043,35,1240578,4147,28168,571,1239,814589,F
478956214,4906,100,662310,1362,94615,2784,8546,758391,F
644324140,4375,881,621250,4694,7595,857,867,814354,T
561684587,4922,21,792442,5729,15721,1428,1708,814193,F
412428614,1235,20,60515,1557,11458,1428,1438,814603,T
459328069,4496,496,1065552,7429,19315,1428,1553,814915,T
995045374,4989,36,404109,5240,11458,1143,1441,814795,F
339811239,4219,37,552689,5633,10563,857,1149,814252,T
784565819,4258,34,153288,1788,16096,285,779,814807,T
058384442,4353,842,187179,1673,7191,1428,1438,815084,T
363556928,4272,41,504096,1543,28168,1143,1522,815021,F
719932418,4098,21,922050,1698,23311,1428,1438,814680,F
083626541,4156,32,87276,1568,11458,571,1895,814177,T
809677944,4242,859,373296,1357,8557,285,1574,814144,T
053569368,4142,28,861536,1872,17334,1428,1512,815030,F
541340896,4330,868,476300,1444,12291,1143,1354,814560,T
850177412,4327,844,354814,5160,37557,1428,1462,814883,T
784957980,4311,871,366435,2682,14383,857,1720,814106,T
672810010,4190,13,687160,2000,6898,285,1138,815059,T
084581529,4307,867,150745,1354,11082,285,1204,814302,T
306522720,4260,860,506940,1489,22534,571,1808,814314,T
232745054,4394,846,944710,2431,96577,1428,1438,814339,T
615550667,4327,860,861073,1354,19883,857,2098,814393,T
073254393,4941,19,1235250,6377,12072,285,1426,814318,T
151997212,4285,858,492775,2926,12072,1428,1438,814277,T
621529326,4259,866,643109,1760,8346,1143,1153,814853,T
938673315,2560,71,92160,3539,14696,1143,1153,814192,T
720092756,4339,879,195255,1690,7682,571,1474,814890,T
174903825,4197,15,516231,4251,6760,1143,1301,814345,F
242765477,4332,871,186276,2209,21126,571,1253,814536,T
059137243,4367,856,598279,7682,10400,1428,1438,815063,T
361770502,4206,27,656136,6036,13520,857,1928,814830,T
847063693,4275,851,42750,3330,13520,1143,1623,815081,T
578432633,2525,71,598425,3976,52003,571,949,815084,T
520382194,4353,845,831423,4760,10400,571,1349,814188,T
952909487,4127,42,800638,1502,6828,285,1183,814600,T
640861185,4897,53,729653,5365,10563,571,1154,814335,F
902959568,5064,21,633000,9657,12755,571,978,814348,T
757375473,4296,30,472560,2000,8450,571,1420,814372,T
389344019,1334,1,61364,2012,9389,1428,1438,814883,T
802410291,4320,871,756000,6145,18271,571,704,814927,T
379354699,1257,1,60336,1733,9013,1428,1438,814864,T
427316633,4189,37,896446,2202,26001,1143,1867,814905,F
946237484,4132,32,392540,2132,18271,1428,1438,814228,F
156838119,2547,59,407520,8779,6969,1143,1293,814282,T
704026251,4315,854,172600,2388,16488,1428,1798,814772,T
672751793,2570,50,313540,9013,12755,1428,1438,814480,T
090482355,4185,5,790965,3885,7042,1428,1438,814393,F
346142748,4214,869,122206,1862,42252,571,2080,814137,T
952472651,2609,50,323516,3250,18778,1143,1153,814395,T
263868268,4269,849,512280,2173,112673,857,1611,814560,T
366439494,4374,858,166212,2901,19883,1143,1153,814456,T
688702148,2620,58,254140,3101,15721,571,1437,814502,T
680692266,4159,6,848436,3466,18271,571,1780,814390,T
981814437,4288,38,192960,3907,19315,1143,1153,814618,F
672407588,5058,18,505800,8895,10243,571,1793,814106,T
611945466,4284,30,694008,4828,29393,857,1417,814308,T
743497017,4217,40,459653,4418,10400,1428,1640,814201,F
588460177,2614,55,216962,5160,9657,1428,1842,814499,T
014971048,2462,58,435774,3250,20486,857,1106,814630,T
923977167,2578,71,304204,8346,14383,1143,1153,814724,T
808405539,4541,509,1094381,1594,8450,1428,1443,814683,T
607202380,2515,39,399885,4225,21126,857,1095,814155,T
001716721,4167,22,887571,9657,9521,285,1631,814834,T
269934711,4270,864,132370,1568,14084,857,1807,814290,T
926863332,4180,22,990660,7429,7191,1428,1438,814250,F
020837562,4367,76,43670,3885,10563,1428,1553,814291,F
326364586,4297,41,64455,3654,8450,1143,1469,814516,F
862698047,4192,11,809056,1847,13000,285,1383,814546,T
987907154,4382,857,779996,1605,7860,1428,1438,814275,T
888286656,4166,14,145810,5587,7429,1428,1677,814872,F
388982131,4244,25,619624,1857,14696,1428,1438,814344,F
410276142,1262,1,150178,2223,13255,1428,1802,815038,T
145629883,4216,20,788392,2926,8346,1428,1824,814610,F
699050536,4240,868,470640,1512,21126,1428,1438,814160,T
915318101,4394,851,452582,1656,10563,571,885,814794,T
207266964,4178,33,246502,2173,7860,1143,1677,814723,F
062510653,4262,873,1044190,4970,84505,285,985,814765,T
516796413,2590,65,300440,5281,67604,1143,1834,814927,T
332944701,4276,12,141108,8557,8450,857,1701,815068,T
982622048,1173,10,263925,1867,12755,1428,1802,814188,T
845685998,4596,516,1139808,4306,14383,1428,1438,814187,T
649882005,4403,852,761719,1872,96577,1143,1439,814917,T
800765390,4262,36,132122,2388,17790,1143,1567,814792,F
712139835,4283,852,937977,1953,7953,1143,1214,814181,T
629591034,4280,13,796080,2209,18778,285,1835,814603,T
132813471,4136,45,41360,1970,39767,1143,1558,814995,F
086862194,4245,860,237720,4147,8895,1428,1668,815006,T
699203945,2477,49,148620,7191,11655,285,1283,814510,T
691012069,4283,872,942260,2864,21807,1428,1438,814956,T
350219564,2540,40,259080,2682,7682,285,925,814763,T
050949519,2555,48,86870,4278,12519,285,1447,814963,T
304740878,4290,36,892320,6202,10563,1143,1336,814146,F
322913768,2539,45,457020,7269,45069,285,1360,814698,T
261280876,2594,66,311280,5930,8450,285,1492,814605,T
079507275,4239,880,305208,2166,35581,571,1622,814511,T
108595881,4217,10,851834,3930,6760,571,1416,814840,T
434745070,4283,848,1053618,1681,15721,285,1814,814665,T
851632756,4221,24,367227,2372,13520,1143,2053,814599,F
680644918,4536,505,961632,8779,6898,1428,1438,814350,T
094090185,5042,30,342856,4306,8346,1143,1746,815016,F
134355467,4277,39,513240,3234,9657,1428,1438,814159,F
829918233,4297,858,81643,2748,28168,571,877,814776,T
729735595,4296,878,279240,6500,20486,1428,1527,814106,T
370883006,1158,2,32424,1965,9260,1428,1438,814614,T
010447989,5000,21,350000,6438,10400,571,1435,814721,T
900624400,2465,49,290870,8450,9941,571,1901,814715,T
797671884,4338,861,989064,3558,33802,857,866,814917,T
787399123,4300,866,881500,3173,30729,571,1531,814908,T
286772052,4361,869,1020474,1450,7860,285,1336,814201,T
866486066,1162,1,180110,2423,14383,1428,1438,814974,T
502309337,4384,864,881184,3250,9521,1428,1524,814847,T
175105975,5023,14,472162,6898,21126,1143,1153,814415,F
927600279,4404,871,876396,1379,8346,857,1184,814659,T
241617231,4268,17,264616,2485,10730,285,1835,814686,T
528202101,4219,34,734106,1529,25038,571,2049,814526,T
398354178,2587,59,377702,4122,12519,571,1381,814189,T
429997105,5065,38,1266250,6036,16901,571,1445,814924,T
477934545,4223,8,658788,5121,18271,1428,1438,814697,F
633820817,4162,35,45782,3755,11458,571,1518,814336,T
243231348,2638,72,263800,5451,13000,571,1777,814285,T
653905801,1224,1,195840,1707,29393,1143,1848,814982,T
832440923,2502,44,372798,5408,39767,285,664,814739,T
255950700,4204,38,298484,2024,33802,571,738,814353,T
691321603,4164,19,66624,1904,10243,571,1631,814391,T
138342607,4318,877,630428,2261,12755,285,1159,814192,T
745383044,4268,841,524964,1489,23311,857,1117,814956,T
100699210,4176,39,968832,6760,37557,1143,1405,814816,T
859069501,4202,35,630300,4024,21807,1143,1363,814725,F
153618156,4263,11,319725,4000,19315,571,1240,814780,T
440421927,2464,46,174944,2805,13520,285,1501,814649,T
906283390,4109,35,168469,3885,33802,1143,1153,815071,F
105037154,4134,28,835068,1822,16096,571,1358,814534,T
780948137,4336,854,351216,2793,13255,1428,1479,814961,T
193382287,4294,30,558220,1733,9260,1428,1438,814344,F
830756343,4215,41,564810,2828,10243,571,1799,814459,T
493528114,5024,31,371776,4225,28168,1143,1153,814108,F
169867987,4111,10,649538,5982,11655,1143,1651,814802,F
769705531,4221,32,447426,2725,14084,1428,1438,814994,F
895607346,4242,878,500556,1495,9941,1428,1974,815063,T
954196672,4223,10,342063,3101,35581,571,1173,814307,T
850843117,4245,845,585810,3129,24144,571,1257,814311,T
888246831,5013,40,822132,4727,48288,285,1437,815039,F
652802343,4309,871,982452,1371,61458,571,1157,814769,T
310924871,4152,5,1033848,3694,9657,857,1148,814451,T
533406535,4191,32,1001649,1374,30729,571,1430,814106,T
008576662,2526,33,373848,3397,24144,857,915,814868,T
354391507,4190,41,858950,2397,8895,571,1840,814656,T
553114989,4505,491,1099220,4122,8244,857,1709,814104,F
498735715,4643,514,1114320,3819,7595,1143,1261,815074,T
068837709,4245,878,802305,2093,10243,1428,2035,814170,T
140648367,2638,43,150366,6969,7770,1428,1438,814638,T
577189579,4289,842,480368,1817,8450,1143,1213,814745,T
403636318,4208,14,744816,4828,21807,571,1079,814968,T
784834945,4401,849,264060,1644,7116,857,1685,814765,T
429220130,4340,863,138880,3129,12519,571,1597,814332,T
936487288,4150,26,161850,1522,20486,1143,1153,814778,F
111391339,4289,30,548992,2600,6760,1428,1438,814782,F
928509574,4105,13,49260,1656,13520,1428,1809,814427,F
030935976,2461,59,391299,4794,8667,1143,1608,814934,T
629556853,4105,44,340715,4278,7269,571,764,814519,T
558840901,4952,49,1000304,4361,35581,857,1612,814177,F
161957346,4564,492,949312,4970,7116,1143,1543,814249,T
424843923,4215,846,206535,2216,7191,857,1110,814271,T
867517658,4980,103,224100,1515,96577,1428,1647,814540,T
141821028,4584,511,114600,4506,9657,1428,1824,814888,T
357163439,2624,71,307008,4333,56336,571,977,814793,T
128277862,4159,44,232904,2600,48288,285,1748,814462,T
127057457,5026,23,1100694,6318,6969,571,1397,814580,T
254332797,4351,858,248007,1575,28168,857,883,814606,T
092436100,4340,843,130200,1441,42252,285,1192,814881,T
534634394,2631,34,107871,8557,9389,285,1215,814822,T
652290438,4261,843,549669,4000,8244,1143,1153,814341,T
421439948,4277,28,786968,2054,21126,571,1973,814324,T
178818480,4268,6,614592,3654,52003,285,670,814431,T
147278535,4482,488,372006,2805,13000,1428,1438,814746,F
258569411,2606,70,26060,7511,12755,285,1476,814342,T
481494739,4360,854,619120,3714,7770,857,1081,814618,T
142363203,4457,90,347646,1715,29393,1428,1438,815070,F
566859890,4186,27,175812,2965,9013,857,867,814978,T
590721324,1172,1,16408,1867,10903,1428,2123,814443,T
247488474,4279,847,577665,2590,7348,285,1074,814618,T
621624816,4283,40,685280,1702,18271,1143,2031,814455,F
814944498,4642,506,134618,3502,15721,1428,1438,814609,T
980142987,4205,30,555060,1536,9389,1143,1153,814553,F
297713157,4394,864,166972,4828,13000,285,1631,814926,T
602463943,4355,880,330980,2299,8450,857,1832,814546,T
497057144,2504,64,215344,4361,10400,285,2013,814969,T
188266462,4516,521,867072,1817,7429,1428,1718,814600,T
727961571,4398,865,549750,1405,11267,285,1409,814745,T
142412436,4205,13,479370,1376,7429,571,1092,814563,T
402111694,4328,862,627560,1456,8895,1428,1438,814831,T
729822839,4244,25,140052,1807,84505,285,1222,814311,T
061418332,4254,22,812514,9260,15721,1143,1471,814319,F
869045006,4386,876,609654,1661,7116,285,1789,814278,T
115839630,4648,496,827344,2590,6969,1143,1158,815070,T
750786783,4334,841,286044,3045,8779,1428,1438,814877,T
067097372,4271,28,538146,1720,9135,571,1731,814462,T
041026417,4539,497,1102977,1505,8346,1428,2031,814835,T
398689688,4345,879,586575,2770,135208,1428,1438,814180,T
323329903,4243,867,190935,1629,28168,285,1010,814337,T
157051662,4355,848,605345,1441,6969,857,867,814457,T
345135910,2547,57,191025,5323,9013,1428,1438,814296,T
099834785,4167,27,91674,4477,28168,1143,1656,814625,F
706922407,4258,880,319350,2793,67604,1428,1484,814645,T
978676505,2473,61,113758,5323,26001,1428,1438,815038,T
978552317,4422,96,402402,1779,45069,1143,1841,814329,T
716376590,4298,854,434098,7191,13520,857,860,814850,T
324677364,4254,32,923118,1893,7595,571,581,814698,T
972506517,4321,865,933336,2876,48288,571,816,814995,T
487825067,4273,33,589674,2620,37557,1143,1640,814284,F
105621960,2616,47,245904,4506,6828,1428,1438,814670,T
883243601,1147,7,216783,2112,84505,1428,1438,815033,T
004220929,4380,874,994260,2828,10243,857,867,814527,T
356396662,4367,841,903969,1466,48288,857,1576,814696,T
823401680,2517,50,35238,2759,7348,285,1461,814459,T
146411197,2524,41,373552,5878,84505,1143,1153,814199,T
906679297,2541,65,525987,4147,9260,571,1427,814692,T
427821407,1264,22,117552,1822,16096,1428,1910,814275,T
807587871,4147,32,149292,2693,10563,1143,1153,814705,F
615350668,4170,23,304410,3654,7269,857,891,814923,T
857313994,4209,29,652395,1550,11860,571,1245,815028,T
244253735,4341,868,1050522,5496,11860,1428,1455,814495,T
707276964,4165,39,999600,5681,10400,571,820,814444,T
320931352,4260,850,847740,1888,84505,285,1809,814967,T
116451014,1162,20,237048,1362,8145,1428,1438,814659,T
238200721,4288,877,313024,2770,27041,857,1117,815049,T
550462485,4490,501,996780,5007,30729,1143,1578,814370,T
382270683,4579,510,865431,1847,9260,857,1318,814620,T
820883935,4228,14,621516,3072,8450,857,1461,814234,T
325004033,4194,8,863964,4333,23311,857,1312,814925,T
583970329,2527,65,35378,4898,9941,571,1809,815013,T
264358688,2457,70,407862,4024,28168,571,911,815097,T
366576003,4174,35,546794,1827,21126,1143,1153,815091,F
403363028,4268,44,866404,1522,84505,857,1108,814102,T
076061445,4277,26,624442,2651,9135,571,1551,814701,T
216021098,4343,855,885972,1502,7511,285,1465,814920,T
136416827,4243,854,738282,8346,9389,1143,1162,814215,T
946315706,4456,85,138136,2640,9013,1143,1459,814842,T
205028989,4543,488,1081234,1648,15721,1428,1438,814467,F
773479838,4632,523,1130208,1904,12519,857,1765,814450,T
812800591,4104,15,968544,4147,8244,571,1269,814795,T
288295662,4200,15,382200,2693,15364,285,1456,814155,T
541935623,4517,500,135510,2048,6760,1428,2137,814093,T
644264619,4127,39,169207,1729,7269,1428,1484,814662,F
106502516,4337,856,633202,1423,16901,571,844,814928,T
046699789,1167,10,37344,3502,7348,1428,1438,814517,T
518087972,4234,862,961118,2276,9521,857,1796,814561,T
507872927,4665,522,1110270,3634,7042,1143,1347,814644,T
772213343,4156,13,411444,3346,8450,285,1622,814388,T
759255025,4275,25,123975,2299,15721,857,1407,814302,T
832797321,4379,865,232087,1550,17790,285,1069,814594,T
651146682,4934,50,88812,3863,13000,1428,1691,814176,F
524683672,4317,842,565527,1926,14084,285,1525,814929,T
721002959,1202,1,79332,1893,16488,1428,2131,814973,T
575908687,4306,861,676042,2852,135208,285,1069,814977,F
059664384,4287,30,986010,6898,37557,571,972,814941,T
570216828,1209,9,157170,1357,26001,1428,1438,814343,T
359979752,4299,880,408405,1707,16488,857,960,814255,T
520075981,4352,853,822528,3595,9013,1143,1920,814999,T
566204154,4209,875,643977,8450,7269,571,1163,814161,T
896357678,2529,41,424872,3615,67604,1143,2110,814114,T
709504732,4326,873,77868,3219,7042,285,1843,814833,T
873962267,1210,1,197230,1357,9013,1428,1715,814243,T
850579040,4361,852,863478,1519,7511,571,1773,814817,T
804693524,1180,6,112100,1354,9260,1428,1438,814219,T
169500154,4190,29,259780,4225,7770,1428,1678,814705,F
738858379,4165,32,978775,3863,39767,285,633,815102,T
303676436,4386,871,758778,1564,7042,285,1719,814796,T
411150880,4294,856,356402,6828,21126,1428,1438,814563,T
617637554,4333,847,272979,3634,7348,857,1369,814598,T
007170195,4215,35,522660,1797,37557,571,1361,814155,T
899151756,4296,38,760392,7269,67604,857,1414,814445,T
790479047,4113,20,929538,3976,18271,285,918,814313,T
939194669,4302,863,765756,1837,12291,285,1308,814600,T
378879022,4278,23,162564,1509,52003,571,1346,814857,T
441442219,4508,520,1054872,2513,13000,1428,1447,814322,T
018700469,4288,5,171520,1393,11267,1428,1438,814631,F
808760627,2574,58,332046,5408,15721,1428,2113,814836,T
927169377,4236,870,271104,6898,11655,285,841,814728,T
953869696,1199,12,116303,2323,21807,1143,1975,815062,T
882441343,4289,878,694818,3431,25038,285,1522,814291,T
164610293,4138,12,968292,3797,8557,285,1682,815099,T
198012151,2481,68,243138,7595,61458,857,1552,815076,T
245736530,2566,38,205280,3129,10903,285,680,814115,T
701388322,4241,41,411377,1505,33802,1143,1694,814284,F
777003274,4297,28,154692,1742,7191,1428,1726,814939,F
128472897,4273,12,705045,2307,11082,1428,1438,814944,F
958171701,4228,7,832916,1926,9657,1428,1438,814821,F
133537056,4232,33,211600,5160,7770,857,1564,814770,T
609330476,4268,879,179256,4251,8667,571,845,814478,T
664501455,4281,858,843357,3634,25038,857,1643,814380,T
699608171,4268,43,174988,1411,9797,285,1204,814900,T
123587251,4148,37,95404,3086,8346,857,1618,815024,T
042865907,4244,7,763920,1707,11082,1143,1199,814814,F
589140580,4476,89,407316,1648,33802,1428,1438,814652,F
434406549,4897,42,690477,8779,13796,1428,1670,814643,F
730262330,4906,46,1005730,7682,11267,857,1541,814344,F
833112168,4493,492,939037,1915,10090,857,1445,814427,T
783297106,4533,525,852204,1354,7042,1428,1438,814440,T
636445746,4387,866,636115,4251,75115,571,1310,814884,T
663567638,4302,877,503334,2485,13796,857,1110,814106,T
245415317,4374,58,402408,5365,7770,857,1944,814186,T
954691920,4276,855,440428,1737,52003,571,1410,814585,T
