userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
718405875,4246,860,106150,2852,3250,1143,1491,814283,T
798179785,4154,14,141236,2852,1590,1428,1280,814820,F
183912274,4350,43,200100,2852,3431,1428,703,814900,F
072197416,4334,843,364056,2852,1505,571,1038,814439,T
637956184,4209,50,180987,2852,1970,1143,1021,814756,F
419321952,4300,34,395600,2852,15721,571,1543,814285,T
034192279,4328,851,151480,2852,4477,857,1898,814187,T
232156389,4330,35,86600,2852,3059,1143,995,814367,F
691816156,4248,57,412056,2852,1982,571,1282,814746,T
966545946,4445,78,133350,2852,2852,1428,1706,814569,F
029122038,4113,73,275571,2852,21807,1428,954,814797,F
957635949,4416,845,247296,2852,2551,285,1573,814935,T
376345128,4403,909,347837,2852,3885,857,1127,814783,T
096211238,4347,22,252126,2852,1429,1428,1117,814342,F
920550795,4329,17,333333,2852,1797,285,1175,815046,T
186551145,4191,48,104775,2852,1609,1143,1996,814749,F
141882495,4532,532,145024,2852,1498,1428,634,815019,T
387236100,4213,62,366531,2852,1469,1143,1591,814998,F
938506653,4310,45,146540,2852,7595,1143,1109,815073,F
732542914,4271,67,367306,2852,6969,857,898,814303,T
946187610,4468,864,433396,2852,7042,1143,1700,814154,T
796846633,4141,53,256742,2852,1729,1428,961,814801,F
690416396,4371,56,201066,2852,3173,285,2102,814231,T
040183573,4288,54,205824,2852,39767,1143,1985,814264,F
545883592,4290,58,107250,2852,2414,857,1221,814092,T
291263114,4300,12,210700,2852,4251,1143,1127,814505,F
873317178,4372,897,393480,2852,7682,1143,528,814420,T
338259482,4168,5,320936,2852,7953,1143,2021,815075,F
697363556,4550,124,286650,2852,5281,1428,1591,814566,F
234858023,4486,80,314020,2852,1435,857,1849,814634,T
566485833,4285,61,428500,2852,3045,1143,1859,814167,F
305811940,4213,863,383383,2852,2476,285,1206,814706,T
455067965,4445,907,164465,2852,4970,1143,1275,814551,T
488058456,4219,47,118132,2852,2672,1143,1055,814784,F
819783785,2527,77,88445,2852,1857,1428,920,815090,T
572715184,4368,61,152880,2852,1665,1428,1799,814531,F
172240903,4225,863,397150,2852,1632,571,1388,814169,T
882069683,4223,72,257603,2852,5827,1428,849,814323,F
837039381,2656,90,156704,2852,1648,285,1073,814509,T
853678219,4324,56,121072,2852,1543,1428,878,814801,F
094433112,4368,886,331968,2852,3330,571,1520,814816,T
149293714,4576,98,219648,2852,1572,1428,1581,814947,F
301183889,4341,881,91161,2852,3219,1143,1271,814262,T
109134066,4359,51,161283,2852,6202,1428,1518,814737,F
646799220,1296,45,93312,2852,2494,1428,1418,814670,T
963547493,4212,51,176904,2852,2299,1428,921,814441,F
329249116,4307,30,292876,2852,4794,571,1242,814689,T
325487497,4181,30,125430,2852,16901,1143,1441,815078,F
470258589,4175,7,187875,2852,17334,1143,603,814603,F
247578018,4687,530,253098,2852,3615,1428,1200,814212,T
368149314,4401,893,88020,2852,39767,285,1123,814141,T
994541494,4430,63,429710,2852,2449,1428,2115,814109,F
879879945,1312,4,49856,2852,2030,1428,1401,814766,T
361294848,4291,7,128730,2852,2099,1428,1854,815082,F
476233914,4490,80,215520,2852,1482,857,1669,814329,T
254075961,4392,46,263520,2852,1522,1143,1237,814480,F
410732486,4410,902,97020,2852,1522,1428,944,814861,T
740899400,4103,65,320034,2852,3250,1143,1773,814582,F
696586621,4499,122,161964,2852,2889,1428,1710,814154,F
289083695,2568,81,174624,2852,5323,285,1100,814420,T
446939370,2710,96,75880,2852,14383,285,641,814702,T
324365769,4294,30,266228,2852,1590,1428,1497,814723,F
875160606,4285,37,389935,2852,2006,571,1721,814476,T
160910754,4295,8,253405,2852,5633,1428,1109,814206,F
504682426,4109,37,316393,2852,2030,1428,1231,814816,F
278052992,4178,75,121162,2852,4898,285,2124,814519,T
105569196,4168,71,212568,2852,10400,571,1946,815079,T
402707583,4393,63,412942,2852,3086,1428,852,814114,F
895055218,4437,867,377145,2852,1598,1428,1845,814186,T
133023040,4380,61,293460,2852,3297,1143,1411,814975,F
224428733,4204,59,142936,2852,2991,1428,1554,814939,F
326819514,4319,99,289373,2852,1360,857,2037,814232,T
100815852,4501,556,225050,2852,1953,1428,1757,815020,T
261327280,4230,23,114210,2852,8667,1143,1719,814945,F
843071379,2614,33,214348,2852,18778,571,739,814628,T
963979045,4358,75,414010,2852,3414,1428,1428,814837,F
577675581,4402,888,250914,2852,19315,285,1748,814583,T
546274281,4527,490,384795,2852,14383,1428,1569,814545,F
789522133,2480,81,141360,2852,20486,285,612,815068,T
559151160,4249,74,161462,2852,2939,1428,1295,814858,F
511328655,2550,85,186150,2852,19883,285,1845,814943,T
023247498,4303,39,120484,2852,2725,1143,827,815002,F
295875625,4606,527,280966,2852,2876,1428,1170,814945,T
374116047,4153,31,406994,2852,1502,1428,830,814693,F
117743770,4446,849,293436,2852,3045,1143,988,815096,T
813745152,4248,49,301608,2852,11458,1143,1626,814710,F
912871201,4271,889,230634,2852,2816,571,1218,814617,T
735221529,4250,50,425000,2852,10243,1143,1247,814824,F
427773510,4288,38,407360,2852,2006,571,1311,814381,T
656912861,4233,6,342873,2852,2725,1428,676,814681,F
341547909,4107,30,299811,2852,2672,1143,1171,815011,F
675918912,4439,71,341803,2852,21807,1143,1728,814741,T
405172906,2636,56,76444,2852,4863,1428,957,814623,T
261372348,4141,36,128371,2852,1550,1143,971,814631,F
865273604,4317,855,263337,2852,2054,285,1810,814318,T
381179491,4376,78,91896,2852,1469,1428,1654,814715,F
772012563,2545,61,50900,2852,16096,285,714,814840,T
077225199,4370,24,240350,2852,4537,1143,848,814981,F
802006663,4247,878,424700,2852,1827,857,995,814820,T
575224811,4288,51,180096,2852,1652,1428,1135,814379,F
