userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
869335694,3392,34,325632,1286,14524,1954,5417,464419,T
697722114,3295,1,434940,3545,6926,1954,7767,465057,T
162202931,3354,10,586950,1220,4690,1954,5112,464455,T
645743077,3572,585,303620,922,32160,977,10076,465004,T
125404482,3172,27,193492,4247,6432,1466,5275,464774,T
046306619,3064,19,235928,1181,10005,2443,5848,464690,T
719108616,3437,18,859250,2680,15008,488,5284,464546,T
876623807,3368,22,586032,2332,8495,1466,7519,464711,T
307753860,3716,608,78036,2217,6341,977,7584,464108,T
834952908,4337,299,78066,2207,5924,1466,5399,464548,F
533963102,3437,17,725207,1830,10981,488,4948,464943,T
676176946,3620,589,619020,1613,4641,488,9726,464169,T
637665261,3157,30,662970,1072,6720,488,8286,464437,T
258849517,3678,591,665718,5296,4947,977,10383,464919,T
869390919,3392,7,491840,1039,64320,488,5528,464470,T
124909120,3386,1,257336,2382,13242,1954,7714,464788,T
396470297,2814,34,78792,3752,9188,488,7464,464811,T
342961979,2953,19,112214,939,10232,488,10437,464073,F
471178465,3600,600,205200,1014,7899,1954,8085,464795,T
340952892,3425,34,818575,3105,7631,1954,10715,465039,T
322113005,4381,327,613340,1066,7146,488,8078,465046,T
003131948,3325,12,362425,2460,21440,488,8133,464345,T
162340956,4329,297,320346,4414,5424,977,7286,464210,T
993080625,3599,621,482266,1552,7504,488,5184,464426,T
561433982,3111,30,174216,4893,5058,2443,10498,464365,T
877051205,3385,8,683770,1213,90048,2443,8202,464766,T
608484920,2891,18,358484,926,7262,488,9724,464127,F
717628664,3344,13,735680,1686,9188,2443,5370,464938,T
497096158,3024,50,553392,3721,7899,977,5628,464262,T
124815788,3710,595,497140,3126,23697,488,9895,464404,T
045049623,3169,14,272534,1268,8828,1954,5834,464166,T
842798140,3015,21,36180,1216,40931,1954,7948,464102,T
598855352,3457,29,649916,1082,5772,1954,10696,465054,T
017202901,4464,309,562464,4594,4502,1954,5861,464885,F
832168171,3543,620,127548,3062,5058,1954,7571,464569,T
899169305,4212,118,370656,5628,19575,977,10130,464118,T
019292022,3359,12,90693,1443,15008,488,5286,464868,T
843045149,3369,28,320055,993,5296,977,5832,464729,T
937026133,4370,328,646760,1293,4947,488,5435,464965,T
078189682,4429,305,850368,1625,6341,488,5536,464381,T
188186320,3633,613,450492,2394,7631,2443,7415,464230,T
761899547,3191,5,220179,2433,5490,2443,8106,465012,T
881315615,3603,599,637731,1268,10720,2443,10312,464809,T
215179252,3728,592,835072,924,4594,488,7978,464661,T
005148812,4375,317,831250,3463,6167,977,5701,464729,T
883469972,3720,599,796080,1983,10470,977,10585,464073,T
345461404,4400,329,576400,955,37520,977,5803,464848,T
306904987,3352,22,392184,1800,10232,1954,5504,464629,T
954396698,4453,302,480924,3463,16080,1954,4905,464301,F
970027503,4409,310,392401,1500,22512,977,10404,464244,T
803090828,3423,26,800982,2664,4502,1954,8120,464932,T
498353120,4483,312,1084886,2175,6341,977,5386,464345,T
707452480,2984,47,647528,1485,13242,488,8202,464315,T
141566336,3287,1,611382,1308,23697,488,5403,465044,T
095590451,3148,17,53516,1254,5490,977,5832,464260,T
837258839,3384,17,554976,900,6525,1954,5165,464797,T
638080015,3344,7,46816,976,4841,977,5221,464167,T
188375686,3296,8,669088,1907,15525,977,9870,464411,T
957107912,4356,326,374616,1316,13643,977,7315,464274,T
025011319,4322,307,959484,3984,11544,488,9726,464154,T
222899562,2846,5,523664,2664,12506,488,8146,464749,T
842601046,3546,617,343962,1125,32160,488,8284,464507,T
065924176,3434,14,844764,1368,9579,977,7530,464863,T
008895641,3594,612,301896,2103,4594,1466,7968,464920,T
070160016,3382,1,537738,905,6821,1466,8308,464152,T
305371670,4346,330,747512,966,12506,488,9847,464312,T
187858775,4216,106,438464,4841,5699,488,7746,464252,T
985104428,4153,102,830600,1051,18009,488,5249,464136,T
677391634,3432,15,453024,1381,20465,488,10756,464557,T
364785402,3267,1,437778,1187,9579,1466,10749,464223,T
603234035,3685,605,187935,3193,30016,1954,10258,464946,T
037426781,3658,622,234112,902,5424,1954,7931,464386,T
126190331,3073,35,356468,2904,4641,1954,5586,464503,T
060037609,4339,334,269018,1389,6253,977,8173,464095,T
137263919,2829,11,212175,3286,8186,488,5275,464585,T
743433753,4122,85,181368,2446,12168,488,5298,464357,T
222679226,4411,331,648417,955,64320,488,5194,464070,T
828541167,3678,616,176544,5296,14524,1954,5127,464510,T
735837985,3729,595,872586,1128,40931,2443,5065,464413,T
369608945,4184,112,615048,1476,5058,488,7900,464340,T
923885156,3704,621,537080,1166,8337,1954,10037,464791,T
937942057,3698,613,362404,3601,8828,2443,10256,464949,T
801275171,3394,1,74668,3310,4502,488,9885,464798,T
979353049,3107,20,62140,922,20465,1466,5638,464726,T
262073498,2979,54,431955,1949,5360,977,10200,464851,T
076612112,3416,1,444080,957,4841,977,10660,464420,T
653661720,3007,3,219511,1148,11848,1954,8246,464528,T
527022870,3353,15,335300,1420,6432,1954,5173,465002,T
787338917,4427,332,159372,1025,10720,488,8249,465051,T
380927452,3697,602,343821,1216,6525,1954,5529,464614,T
407402887,3570,597,535500,2664,5772,488,9737,464127,T
021773367,3725,603,268200,1385,5116,1954,5461,465010,T
834916995,4100,97,299300,4457,5296,488,10045,464092,T
426196619,3403,18,554689,3545,5699,1954,10528,464154,T
497252406,4503,303,801534,1924,7631,977,10271,464758,T
991553529,2932,1,548284,4207,21440,488,10019,464898,T
964529061,4345,326,152075,5175,10005,488,10194,464446,T
676908034,3444,4,568260,2981,4841,488,10393,464952,T
652297727,3080,8,33880,1808,4947,1466,9928,464276,T
764594899,3381,34,158907,1220,28140,977,5460,464322,T
338460088,3544,594,88600,1590,10005,2443,10232,465056,T
310223349,3113,36,239701,2332,13643,1466,5081,464612,T
111185070,4182,118,748578,5628,8658,488,10551,464852,T
148872002,3041,12,243280,1563,5235,2443,5741,464525,T
688305818,3282,17,689220,1602,22512,1466,5769,464771,T
857711258,3022,28,658796,1100,6621,488,5831,464110,T
293740983,4439,322,825654,2320,5490,1954,5284,464501,F
653251041,2799,23,467433,3083,4841,488,10702,464406,T
512372476,2852,2,290904,3915,9188,488,9821,464190,T
147516764,3361,33,628507,2133,8337,1954,7706,464215,T
867339592,3169,2,133098,1515,5235,1954,7403,464431,T
149757650,3679,613,139802,1915,64320,1954,5564,464936,T
956306682,2934,26,108558,993,26484,488,5162,464269,F
545381079,3731,612,440258,1637,75040,977,10032,464577,T
291221433,3611,616,877473,911,25013,977,7603,464101,T
375248238,3597,616,136686,1957,4947,2443,5084,464216,T
912242878,3015,38,162810,4594,6341,977,8270,464574,T
971238766,3725,605,126650,3690,64320,2443,10481,464491,T
857509194,3274,13,419072,1899,75040,977,5033,464858,T
175410071,3723,611,677586,2515,14070,1466,10638,464201,T
560055374,3010,14,117390,909,10232,1954,10370,464123,T
388029957,4450,335,578500,978,6084,977,7867,464175,T
011629053,4206,110,761286,1758,8040,488,7401,464759,T
051379602,3359,20,665082,3690,26484,488,10588,464589,T
521539495,3607,600,447268,1111,5772,977,5460,464092,T
074739587,4451,311,867945,5235,16675,488,7670,464816,T
409166116,4366,312,912494,1332,7381,488,5427,464390,T
479283220,4426,331,632918,1860,7035,977,8165,464787,T
690485759,3025,33,620125,2473,5296,1466,8133,464697,T
395335663,3373,1,97817,5424,8186,488,10520,464933,T
935140815,3377,32,563959,978,4547,488,5796,464789,T
596146834,2888,15,508288,2904,18825,182,725,530571,T
766511906,3579,606,136002,1983,11848,1954,10228,464986,T
858903468,3668,593,517188,1054,4641,2443,7765,464954,T
276886734,3017,35,754250,2617,13643,1466,5869,465038,T
127669369,2996,20,587216,3239,23697,977,7507,464634,T
033973947,4433,298,314743,6167,8495,977,10741,465044,T
259666421,3321,5,43173,1643,15525,488,10495,464836,T
099087590,3075,6,55350,6432,5847,1466,7318,464074,T
479559799,3725,615,149000,1044,4739,1954,8156,464937,T
322235050,3699,605,872964,4207,8040,488,4910,464389,T
563597400,3115,42,778750,5235,5699,977,10551,464867,T
322812065,3149,50,721121,2446,5058,977,5844,464342,T
129323540,3124,1,178068,3216,9004,1954,7437,464668,T
082720818,3204,12,278748,2196,6167,1954,8176,464338,T
463859717,2940,27,176400,2515,16080,488,5068,464150,F
360522531,4456,309,249536,1372,32160,977,10160,464771,T
227936146,3111,2,34221,1364,23697,1466,10709,464659,T
221654449,3404,33,691012,1092,4641,1466,10149,464882,T
980462169,3348,25,642816,3105,4841,2443,7979,465012,T
156249229,3102,16,325710,2297,10470,2443,8273,464536,T
244649051,3089,24,729004,2728,4789,977,10239,464374,T
770792407,3672,611,583848,1233,7899,1466,5127,464963,T
518070712,3324,17,392232,4594,5772,2443,5237,464219,T
711137850,3388,2,98252,1407,16675,1466,10401,464600,T
252862678,3588,613,401856,949,26484,2443,5823,464410,T
634745624,3671,610,576347,1655,20465,977,8202,464246,T
354238668,4495,295,593340,902,5699,1466,8108,464454,F
689135589,4448,323,822880,1069,5058,977,5595,464366,T
388844934,3677,591,191204,1526,18009,2443,4983,464101,T
279035527,3057,37,660312,2974,14673,912,3069,678590,F
531610504,3725,586,316625,2046,5847,488,10415,464378,T
609377151,3536,587,190944,2433,26484,2443,10741,464749,T
636797330,4178,83,129518,1197,23697,488,5120,464594,T
214333344,4426,310,1053388,1148,5235,488,7292,464590,T
216915741,2894,14,118654,5558,7381,488,9992,465039,T
689986017,4361,324,619262,1103,5360,488,8248,464326,T
471122324,3726,614,771282,1500,7262,2443,10741,464845,T
669975287,3004,27,39052,2796,8337,977,10282,464894,T
511410881,3683,595,136271,2529,6720,977,10759,464528,T
002448571,3566,595,121244,3984,45024,1466,10077,464823,T
207140161,3639,616,553128,1868,23697,977,4933,464394,T
226670788,3157,18,722953,2904,6003,488,8051,464428,T
352721310,3698,608,680432,2796,10005,488,10604,464439,T
087749364,4160,106,307840,2273,7262,977,5665,464454,T
997389206,3050,24,70150,3573,6720,2443,9937,465034,T
009021026,3457,29,743255,1082,4789,1466,8095,464585,T
808414529,3364,34,413772,1608,19575,2443,5584,464717,T
265325589,4119,109,1025631,1579,4841,488,10640,464677,T
655849735,3376,11,351104,1332,6926,488,5064,464058,T
423449274,3601,598,637377,947,6167,977,7455,464249,T
176660756,3716,595,929000,1066,4789,2443,10492,464426,T
466732469,3611,622,64998,1125,10720,488,5400,464994,T
909860243,4490,322,314300,1243,16675,488,10177,464738,T
281807573,4322,317,1037280,1949,8040,1954,5678,464504,F
964864539,2947,1,50099,2617,6621,488,7613,464098,T
559812543,3704,616,681536,1095,6341,1954,5499,464712,T
599617113,3638,612,356524,1297,4502,1954,7464,464894,T
639147574,4362,295,994536,1552,7762,977,7550,464952,T
392568491,4439,309,412827,1899,4947,488,5633,464121,T
891569552,4195,95,205555,2696,21440,977,10342,464356,T
865557624,3274,1,582772,1142,17317,1466,10210,464817,T
947590583,4151,83,1008693,2962,6525,488,7334,464744,T
223846752,3048,9,124968,945,9380,488,8149,464432,T
129632231,3575,607,886600,1793,75040,1466,5175,464073,T
147660629,4517,319,474285,1181,6341,1466,5527,464150,F
051294258,4394,299,131820,976,7631,488,8069,465016,T
974355406,3001,43,297099,1069,5058,977,5002,464153,T
907200937,4041,96,165681,1035,64320,488,8308,464922,T
190569106,3577,586,432817,920,4893,488,5082,465048,T
306186511,3601,598,288080,2113,6253,2443,9982,464352,T
714277272,4377,301,1032972,902,28140,488,5747,464470,T
440779930,3665,620,656035,1699,34634,488,9991,464689,T
622106361,3641,618,236665,1128,16675,2443,5360,464574,T
332687663,4477,326,340252,2010,45024,1954,5250,464779,F
930304603,4421,303,212208,1166,7262,1466,7548,464457,F
338838116,3644,618,812612,1424,10981,488,7325,464355,T
512261485,3659,586,95134,4288,25013,1954,9990,464881,T
757892540,4390,308,144870,1027,17317,977,8100,465034,T
771126839,4452,303,111300,1336,7899,977,10244,464953,T
027734371,2945,4,73625,1312,22512,488,7398,464056,F
995270282,3563,608,780297,976,15008,2443,10391,464212,T
894719887,3416,20,676368,1579,5116,488,10442,464408,T
698265364,2810,33,143310,938,10981,488,5679,464912,F
682370597,4464,322,633888,993,10981,488,7477,464491,T
476180770,4036,89,867740,1579,6720,488,7776,464267,T
878254800,3629,585,500802,1966,5772,488,9999,464176,T
804828259,2963,16,352597,5628,19575,488,5118,464732,T
237247158,3394,1,570192,2065,16080,1954,5652,464911,T
572952966,4414,320,662100,1447,20465,1466,5006,464724,F
919869627,3096,12,253872,1084,7035,1954,10028,464832,T
056450251,3637,620,200035,3915,7899,977,10605,464288,T
601589604,3731,619,432796,2543,6253,2443,10280,464886,T
270695900,3307,14,634944,1023,6432,977,10612,464594,T
338219804,3139,14,382958,1187,19575,1954,4865,464503,T
679652527,2858,22,160048,1268,7504,488,5371,464901,F
071545535,3277,35,635738,1899,11256,977,10595,464225,T
211787423,3364,3,225388,2297,64320,488,5810,464601,T
334242263,3289,14,434148,934,6003,977,5309,464536,T
300338982,3121,14,149808,1151,5296,1954,4996,464518,T
649848632,3549,619,599781,960,90048,488,7567,464377,T
116857282,3315,8,228735,2382,5360,977,7361,464568,T
076137617,3632,623,43584,1686,5424,1954,9928,464814,T
953753269,3587,616,165002,1254,11256,1954,5502,464564,T
390364430,3722,616,398254,1122,4789,1954,10453,464900,T
270460511,4389,317,601293,1837,9380,1466,4978,464638,F
405627040,3042,34,702702,3286,13643,2443,5121,464058,T
231379321,3585,610,286800,1655,8186,1466,7286,464380,T
364967976,3318,27,537516,1667,5235,977,5607,464957,T
287781214,3300,1,495000,1160,5924,1954,8140,464231,T
558191120,3571,617,592786,991,20465,977,5224,464814,T
927303207,3703,606,818363,1619,9787,2443,5617,464233,T
789697188,3547,588,74487,2762,5058,1954,5407,464254,T
826363614,4515,297,853335,2297,14524,488,7632,464653,T
568115133,3019,49,691351,2019,4893,2443,8059,464423,T
548582841,3188,18,207220,943,5424,1954,4836,464153,T
460828993,3268,10,549024,934,13643,488,7712,464128,T
483102790,3298,1,798116,1098,4841,2443,8165,464199,T
916942381,3428,1,349656,993,11544,1954,5217,464800,T
148672069,3631,601,352207,4457,5002,2443,5534,464372,T
363793171,3067,21,610333,3601,11848,1954,8165,464854,T
016323245,3112,35,161824,1047,5175,1954,7921,464428,T
825199844,4347,299,734643,1466,30016,977,5760,464772,T
887074403,4083,86,375636,1178,40931,488,10627,465032,T
841914162,3630,603,853050,1336,5924,1466,10365,464840,T
981066970,3057,29,709224,5235,22512,1466,10161,464432,T
960241747,3591,586,761292,3752,6926,2443,7588,464422,T
