userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
661769570,1210,1,139150,1131,7854,1382,6368,280135,T
443071323,4056,152,973440,561,3159,460,6440,279385,T
381276564,1724,19,189640,2454,3617,460,6430,279427,F
961628776,4487,31,839069,1302,6704,1843,3855,280129,F
276622001,4149,129,535221,971,13090,1843,6294,279734,T
181188067,111,1,16650,1216,7234,1843,7643,279862,T
418030460,1732,28,311760,2893,3927,1382,5717,280239,F
095755493,110,1,23320,690,7429,1843,8302,279485,T
951469634,4086,136,404514,629,5498,2304,4007,280171,T
935423041,1269,13,214461,668,3714,1382,7665,279835,T
649896839,131,1,7336,806,54980,1382,3963,280230,T
149186330,1213,1,58224,845,4433,921,6192,279357,T
232602433,113,1,21922,1686,3714,460,6217,279932,T
144884525,4108,136,414908,564,8590,1382,5890,280038,T
482932852,4020,115,253260,639,3984,1843,4621,279318,T
268500514,1231,5,71398,1082,8590,460,3781,279339,T
800847475,4145,152,364760,1402,3088,1843,3942,280039,T
885462453,4180,113,1007380,629,3524,1843,7674,279501,T
849854179,4040,129,282800,1216,3927,921,8095,279322,T
103098894,1176,1,22344,1211,5186,2304,4061,279600,T
073148831,1809,1,226125,925,5498,460,3943,280156,T
263384113,133,1,6251,1033,3054,2304,7847,279284,T
849434139,87,9,4959,651,9163,1843,4339,279588,T
912973108,4022,144,120660,978,7636,2304,6191,279505,T
562217970,4125,148,490875,1579,2924,460,8234,280255,T
406083112,4116,137,790272,978,3272,1382,5628,279643,T
602885712,1701,13,23814,2721,4739,1843,4389,279385,F
242678374,1739,12,166944,572,5090,460,4193,279598,F
846523846,4080,114,322320,2893,4295,1382,7956,280004,T
231078941,4167,152,758394,1718,3617,921,4234,280053,T
885441380,4264,78,861328,3054,5848,921,7478,279617,T
511393762,1761,8,151446,737,3123,460,5896,279634,T
208804073,1267,1,300279,840,2863,1382,4312,279568,T
626675570,4093,124,315161,1205,6393,1382,3677,279875,T
382968564,1213,16,114022,1431,16170,460,6499,279974,T
721453632,1143,1,214884,778,3479,1382,4221,279583,T
116590719,1174,5,100964,1485,3352,460,4288,279982,T
325282906,1240,21,142600,731,3088,1382,8142,279977,T
762873087,4147,54,646932,1029,4581,1382,3799,279363,T
310509464,1868,29,297012,2924,10181,460,5591,279694,F
164365096,4083,121,600201,629,4506,2304,6263,279762,T
753289147,4319,69,937223,1082,14468,921,5550,279442,T
837385887,4194,60,931068,2021,2893,1843,4340,280101,T
773128914,35,1,6405,556,8590,2304,6104,280032,T
120823232,4097,150,815303,1018,9479,2304,5627,279407,T
381873557,4197,68,339957,2955,21146,2304,5494,280169,T
274212965,228,1,41952,910,9163,1382,3680,279944,T
617356314,4217,60,759060,630,19635,460,6151,279292,T
380372715,159,13,37683,1485,15272,2304,4105,279643,T
655820510,4193,132,264159,1200,4908,921,7745,279577,T
637757386,1164,1,76824,1135,3088,2304,3760,280136,T
280087893,1226,1,106662,584,19635,921,4116,279418,T
001364588,1868,20,160648,985,13745,460,7923,279985,T
758381085,1743,20,188244,614,11454,460,6125,279817,F
215218284,1173,10,175950,838,4042,1382,8250,279425,T
947023889,1203,1,209322,941,11454,460,8247,279678,T
591264319,1203,19,137142,2114,3054,921,7937,279945,T
343698984,4153,117,240874,2805,3054,1843,6316,279539,T
337812853,68,1,9860,578,3159,921,4161,279535,T
916800402,4133,73,607551,1949,10996,1382,4571,280160,T
887363410,4016,112,285136,815,5848,460,5653,279901,T
872114685,4324,68,678868,2721,10573,1382,4668,279696,T
417135167,1207,19,31382,1510,3524,921,6316,279704,T
795308142,1195,14,150570,810,3570,1843,6390,280141,T
403272923,4297,81,455482,792,2988,460,4150,279349,T
918786487,4073,134,672045,941,22908,1843,6155,279802,T
505090232,105,9,18585,657,3765,1843,8229,279345,T
727328450,1260,6,65520,796,9817,460,3923,280075,T
138823635,1190,8,124950,1126,8085,460,7359,279963,T
072902041,4072,115,166952,685,3570,1843,4512,279703,T
393912012,4013,141,349131,749,4822,921,6075,279822,T
584944018,47,1,10199,2131,4042,1382,4013,280159,T
170337187,1137,3,197838,780,3020,1843,7941,279509,T
870387564,1180,1,56640,1290,3765,460,6238,279522,T
582547051,1293,25,87924,2082,10181,1382,4060,279368,T
393284145,4062,131,203100,565,2805,1382,7919,279724,T
894630528,4164,129,786996,664,4103,1382,8148,280201,T
290446913,1103,2,70592,2147,3818,921,7564,279658,T
400542837,4155,119,706350,867,4581,460,8067,279668,T
782345467,4106,141,845836,1290,6108,1382,4608,279772,T
543720533,1783,22,224658,595,9817,460,5622,279751,F
580342402,94,1,1316,575,3312,1843,4240,279802,T
648224487,4171,126,496349,1485,8085,2304,7931,279542,T
974662497,1122,1,253572,895,3020,460,6066,280265,T
636788263,4038,135,791448,1018,2863,1382,8022,279846,T
439726367,81,1,15066,1145,4295,921,5578,280184,T
633083086,4007,124,468819,2021,3393,1843,5641,279574,T
172585935,1194,14,274620,2432,3352,1843,4245,279939,T
642368312,1721,6,130796,598,3871,460,5715,280070,F
866476395,121,4,24926,637,3312,460,4454,280088,T
554803294,80,20,3600,3352,5498,2304,4569,279818,T
364402398,205,3,42230,1003,6872,2304,6010,280189,T
772464101,4133,134,884462,727,14468,2304,7582,279522,T
888779254,115,1,26680,1334,13745,1382,6061,279324,T
816797366,112,15,2240,1636,5090,2304,7532,279718,T
225085601,116,13,11832,840,12495,1382,5814,279645,T
463863577,1139,12,48977,640,8085,2304,7636,279547,T
596964552,1830,1,333060,3123,54980,1382,5835,279490,T
975120780,1712,1,407456,2893,6704,460,6299,279353,F
676613913,34,1,6970,971,10573,1382,8178,279298,T
820671874,1161,18,136998,967,4229,921,3772,280076,T
381105259,4180,139,221540,815,9817,1843,4656,280026,T
461947453,4122,115,292662,2545,4822,1382,4140,279957,T
287207160,4042,121,687140,1636,16170,2304,7462,279649,T
807851991,4111,112,764646,2098,3123,2304,8331,279611,T
550850570,1282,21,253836,690,22908,2304,6000,279937,T
830796726,4031,115,753797,646,3020,2304,7810,279456,T
202007756,105,1,23835,1636,14468,1382,5508,279440,T
273476993,100,12,22700,621,14468,1382,5836,280012,T
419105653,4159,128,840118,763,12495,1843,4652,279469,T
767489941,1191,24,116718,892,17181,1843,5520,279952,T
369423209,4174,140,492532,566,6704,921,7454,279303,T
383788403,4026,114,756888,558,27490,921,5531,279456,T
367123561,4181,77,246679,2695,2893,460,5781,279851,T
163490246,1258,1,86802,954,18326,2304,7951,279763,T
944958868,4202,112,979066,3234,11454,1382,5970,280022,T
774054441,4065,145,247965,597,3123,2304,4265,279594,T
284737109,1253,1,156625,636,4581,1843,7683,279943,T
933542319,1180,25,102660,561,5727,921,7774,280135,T
247876743,4014,120,545904,974,5090,921,8282,279572,T
622885624,1200,18,154800,1025,2924,1382,3695,279322,T
400576730,4440,26,874680,954,4506,1382,4290,279673,F
678378843,144,1,31104,588,2893,1843,7470,280103,T
526851170,4042,124,994332,2147,11952,2304,7441,280185,T
318497551,4109,117,110943,901,3196,460,8085,279699,T
606209563,4063,121,369733,851,5976,460,7723,280037,T
533332560,4101,148,434706,733,3020,2304,7567,279482,T
822072313,1292,3,112404,1895,21146,2304,3863,279935,T
921786464,1141,12,146048,1739,34362,460,7373,279372,T
628330549,4034,117,233972,1112,54980,921,8347,280041,T
402280938,4063,116,410363,1895,6704,1382,7608,280272,T
712145563,131,1,28427,1535,3159,2304,4599,279489,T
275458561,4149,73,742671,2310,3617,1382,6088,279938,T
808407475,4181,132,367928,589,17181,460,4201,279519,T
929103213,1106,16,35392,935,2863,1382,4055,279328,T
661842987,137,7,28359,1082,24991,2304,7422,279373,T
488854452,1216,24,29184,763,13745,1382,6367,279918,T
957252698,1757,28,223139,931,2749,460,7674,279863,T
055753108,4320,85,738720,2569,18326,1382,4597,279794,T
684595808,1689,24,420561,633,6704,460,7919,280072,T
219970342,168,8,28224,747,4659,1843,4425,279413,T
946942714,4043,141,493246,601,5610,2304,5923,280232,T
925843371,1119,4,233871,657,3524,2304,3765,280002,T
806096201,1134,18,27216,2805,2805,2304,3895,279387,T
426215087,1289,17,230731,1190,3088,921,4368,279776,T
005067017,192,21,35136,1033,14468,1382,6165,279778,T
050154561,1287,1,302445,1844,2776,921,5507,279855,T
207947543,4018,150,482160,967,4581,1843,7557,279971,T
059914407,4459,49,1007734,1446,9479,1382,4579,279695,F
816927706,4071,147,940401,1882,2834,1843,4446,279284,T
287573931,4140,139,517500,595,34362,921,4215,279595,T
672230265,1830,31,219600,2329,3714,460,6516,280156,T
298658643,1709,5,285403,867,2893,460,8101,279947,T
275948749,4083,144,506292,665,2834,1843,4585,279402,T
412451445,4198,134,323246,755,3665,460,3882,280160,T
395620021,4143,145,783027,619,9479,460,5504,280222,T
258237828,1203,6,299547,762,9662,815,2203,310839,T
384471851,62,1,9796,770,3765,2304,6129,279813,T
580752064,101,1,23028,1261,5286,921,6319,279478,T
149947669,1219,2,179193,3054,6247,1843,7997,279584,T
349197379,167,13,39245,627,4581,1843,4346,279682,T
320338041,4113,151,991233,1857,3123,2304,6487,280144,T
119895886,4190,51,322630,967,5090,460,4412,279995,T
777301962,1281,1,184464,898,4042,460,5637,280129,T
296719118,1206,13,106128,1646,11454,1843,4173,279596,T
038067769,4194,85,624906,2924,3436,1843,3959,279353,T
863506383,1194,2,287754,593,2834,921,4224,279551,T
925056838,95,2,6460,573,3984,1843,7790,279879,T
393693344,1231,1,224042,1598,15272,460,7510,279810,T
503557497,1170,1,77220,729,13090,2304,3951,279811,T
000596684,1807,1,332488,1315,3088,460,5728,279898,T
274969917,4141,121,285729,564,10573,2304,5858,279389,T
959616539,4249,66,573615,789,4739,1382,3919,279989,T
288683759,71,20,3834,630,24991,1843,7480,279752,T
717018966,4236,77,851436,1494,8590,921,5840,279994,T
100128928,4164,140,137412,619,11952,460,8205,280095,T
370660580,1195,11,174470,602,22908,1382,7584,279826,T
067813324,4130,146,780570,825,3352,1382,6332,279610,T
362975178,4052,143,960324,563,11454,1382,4213,280161,T
936196759,4097,116,622744,2522,4998,1843,8087,279700,T
680943862,4073,121,374716,665,3665,460,4177,280203,T
400051535,4164,151,158232,1315,45816,2304,4451,279374,T
314600451,4274,51,850526,3352,4739,460,4634,279515,T
679549884,4142,123,281656,597,7048,1843,4090,280272,T
719185144,206,6,23896,1439,15272,2304,7402,280228,T
716896529,4027,130,898021,549,7429,2304,5638,279375,T
656955541,1718,32,111670,578,3765,460,7822,279658,F
769528555,192,13,21312,3312,7048,2304,4464,279627,T
554952417,4292,72,536500,697,27490,460,6513,279783,T
506029932,1181,1,106290,1844,5976,2304,8259,279434,T
783484185,1775,3,344350,3818,2776,460,5746,279950,T
278861901,1772,7,166568,992,5976,460,3925,279919,T
222910429,1118,13,96148,616,6872,1843,6138,279973,T
527298291,87,20,16182,1367,3765,1843,6518,280255,T
922615379,4179,135,451332,783,4822,921,4462,279553,T
031681737,4185,140,824445,602,7636,1843,3760,279945,T
850346095,96,1,15648,810,3196,1843,4240,279373,T
741224096,138,7,18078,2545,3927,1382,6404,279356,T
999845389,4051,112,52663,697,3570,921,4029,279768,T
068708960,53,1,4558,799,3984,1843,4293,280225,T
370647252,224,1,10528,1395,8590,2304,4377,279362,T
952877082,1218,6,181482,695,5090,921,6041,280028,T
604579099,60,21,2100,614,27490,2304,8019,279412,T
488805814,4006,122,120180,859,5498,1843,7566,279262,T
879685901,4158,114,977130,1179,14468,2304,8298,279970,T
262171045,4020,136,566820,1272,10573,2304,6211,279349,T
222562378,1264,2,235104,753,4908,1382,6032,279586,T
063901872,4244,48,135808,2776,3020,921,4219,279527,T
960584274,4195,126,197165,1169,9817,921,8116,279531,T
454315521,1735,23,27760,3123,8330,1382,4465,279780,T
606632050,4192,86,524000,1065,8330,460,4145,279588,T
278228241,1170,11,148590,2893,3714,1382,7825,279597,T
597411560,121,8,23716,697,7429,2304,4112,280082,T
223770018,4003,144,800600,621,2988,460,6492,279536,T
665404471,1218,26,277704,595,3984,921,7742,279867,T
924632256,1238,1,56948,823,19635,921,6208,280230,T
433055518,4087,152,420961,2776,4103,921,5886,279394,T
130304398,228,11,39900,1589,10996,2304,5603,279407,T
