userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
422226187,1928,25,455008,1228,91908,694,4096,473792,T
671903502,2222,193,231088,2785,21882,1736,3428,473693,T
115266961,2298,197,62046,3534,5163,1389,7914,473492,T
252332011,2251,187,72032,1083,5673,347,7269,473885,T
267490001,467,36,29421,4641,6757,347,4286,473393,T
406545026,2261,170,284886,934,12765,1389,4092,473936,T
081492268,2255,187,103730,2320,4737,1389,5389,474046,T
177585804,1906,8,20966,1898,9378,1041,7829,473466,T
797063919,2139,169,367908,1049,4595,1389,3962,474009,T
649823450,1936,10,58080,1972,9777,1041,6192,474171,T
738649290,2178,172,189486,957,32824,694,3866,473906,T
836161934,2204,169,368068,2177,13515,347,3720,473639,T
114974081,2037,30,224070,1269,18381,1389,3983,474260,T
494481866,2190,177,497130,2070,4786,347,4187,473677,T
082542882,1963,23,478972,969,6046,347,5989,474198,T
749373862,596,21,54236,1078,6757,347,4398,474287,T
346847376,2293,190,119236,4837,38295,347,4097,473337,T
033288686,2138,173,262974,1760,11783,1041,5177,473661,T
982646022,1909,15,209990,5816,12420,347,4381,473520,T
228247318,2280,182,29640,1658,7411,1736,3911,473879,T
227040214,2039,19,468970,1222,20888,1041,7416,473957,T
090932232,540,37,23760,1809,57442,694,3535,473518,T
031439366,1898,8,472602,3169,12093,1736,6074,473771,T
241529269,4995,65,979020,2088,32824,1041,5532,473928,F
873662335,1908,18,269028,3354,6382,1389,5242,474273,T
901433321,2049,5,407751,1405,13515,694,3709,474166,T
582142733,2297,168,294016,1351,4786,1736,4438,474011,T
628761491,2164,188,56264,1166,15318,1389,3997,474186,T
688675045,2165,180,248975,1076,25530,347,5888,473938,T
162879627,2279,181,275759,1094,13129,1389,4042,474033,T
752041435,616,20,90552,1542,5049,1041,3565,474102,T
656413282,4384,63,946944,1025,4595,694,3636,473554,F
702196053,544,31,133824,5049,19980,347,5271,473362,T
660723563,2055,21,184950,2751,19147,347,3808,473907,T
761024796,2194,181,326906,2070,17020,1389,3620,473364,T
791051157,2189,204,295515,2393,7069,1736,4041,474021,T
971054583,1963,33,104039,930,65648,694,6070,473474,T
968902913,2049,36,270468,3378,24186,1389,7013,473737,T
394498483,561,26,58905,1218,25530,694,3872,474123,T
676904372,2209,195,48598,1396,5536,1389,3437,473918,T
670141977,4363,44,999127,1134,16412,347,6917,473436,F
015494110,633,25,144957,1339,14360,347,3862,473796,T
646830722,2022,26,135474,2511,14823,1389,4233,474253,T
599440490,2024,32,384560,1431,5282,694,4020,473959,T
753440393,1928,29,389456,1521,7069,694,4250,474155,T
135192026,1907,9,335632,3736,5406,1736,6016,474235,T
250286050,2121,173,466620,5222,6295,694,4075,474230,T
925700866,2193,193,364038,924,10686,347,5306,473473,T
816743570,622,3,83348,1140,65648,347,5555,473343,T
024861861,2039,32,169237,1028,7180,1041,4101,474179,T
691055433,2143,179,77148,4140,7411,1389,4108,473508,T
677817552,2075,12,288425,3404,7923,694,7280,474158,T
214630356,2012,20,492940,934,4786,1389,5835,474259,T
600117691,538,24,94150,1007,11783,347,5176,473546,T
086594073,2248,196,92168,1016,7294,1736,5284,473320,T
827602003,2244,187,439824,3003,65648,1041,4270,474051,T
817785843,2021,34,167743,1363,6382,1041,5336,474301,T
187541688,1955,34,463335,922,22977,347,7161,473343,T
020365838,2020,14,34340,1190,16412,694,5723,473597,T
910750165,1911,29,200655,2964,4641,694,7314,474313,T
997336413,2060,16,298700,1891,15318,347,5179,474223,T
792937561,2069,10,62070,1396,19980,1041,4440,473320,T
502645557,4380,46,915420,1088,20888,347,7896,473354,F
783973093,2085,26,100080,1601,7411,1389,5220,474023,T
385942184,2079,30,209979,4941,6757,1736,4169,474256,T
732311102,2089,29,465847,1753,5891,347,3467,473848,T
293001520,1969,36,108295,1590,9777,1389,3734,473441,T
730718546,5029,42,990713,2107,45954,1041,4143,473568,F
293308207,1909,28,179446,1774,7294,694,6998,473479,T
825986400,2091,6,422382,1989,24186,1041,7057,473339,T
263145602,621,3,116748,1102,5163,347,4182,473560,T
274246907,4364,60,802976,1601,5282,347,3581,473489,T
966945147,1968,26,417216,1891,5282,694,6042,474132,T
788105413,2069,8,360006,1016,5049,1041,7102,474044,T
338044822,4327,34,882708,1118,13515,347,6049,473728,F
100847512,2303,181,175028,1140,6472,1041,5895,473637,T
521643528,2049,11,200802,2070,6127,1389,5757,473479,T
907789817,2030,28,223300,2033,9010,1389,5379,473954,T
707631392,4205,32,1004995,984,4595,694,4047,474111,F
016209804,4245,63,959370,2611,13515,694,5713,473980,T
016493761,4308,32,766824,2060,13129,694,4312,473527,T
068521206,2121,165,38178,1215,7659,1041,5852,473403,T
885343107,2028,13,243360,1009,28721,1041,5955,473593,T
498736135,2077,24,490172,2751,25530,1041,3519,473464,T
006831659,2248,191,150616,3562,10686,1389,5750,473555,T
080059318,2298,186,25278,1875,7411,694,7808,473959,T
092283050,2297,176,218215,4505,7294,347,5926,474224,T
993183473,485,30,102335,1206,13515,694,4465,473472,T
173209078,2012,34,333992,1283,7788,1736,5236,473686,T
262968241,2144,202,351616,1677,5604,347,3927,474246,T
610723465,2263,166,540857,1413,17020,347,3821,473903,T
690006155,4208,34,875264,6472,32824,347,5832,473451,T
062389494,1937,11,402896,2198,17020,1041,5197,473858,T
375824067,1998,20,377622,4549,28721,1389,7102,473949,T
301820080,2146,185,231768,1767,6660,694,5567,474119,T
