userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
041896886,2103,4,69399,1363,3404,1389,4333,473917,T
184052384,4327,57,194715,1363,10941,347,3816,473567,F
491619762,2065,61,154875,1363,999,1736,3976,474212,T
723918742,4347,46,121716,1363,1225,347,4079,474047,F
472348798,2116,208,135424,1363,2006,1736,5677,473679,T
381209847,4310,82,90510,1363,1118,347,3967,473669,F
799675500,2037,42,95739,1363,11783,347,5860,474109,T
778315436,4376,86,196920,1363,1955,347,3884,473900,F
571690069,2013,64,94611,1363,1413,694,5421,473425,T
394919964,4481,52,120987,1363,1384,694,3536,474246,F
495856625,2073,44,186570,1363,1003,694,4141,473908,T
492312055,4392,48,171288,1363,1601,347,4107,473810,F
210053516,2132,52,106600,1363,1058,1736,5569,473482,T
900532617,4368,73,161616,1363,2927,347,4149,474304,F
198881514,661,65,40982,1363,957,347,5993,473895,T
047047951,4457,68,276334,1363,1328,347,3605,473664,F
850718280,2193,53,67983,1363,3330,694,7302,473586,T
292688401,4329,89,186147,1363,1112,347,3732,474242,F
684973972,2187,52,157464,1363,6472,1736,6175,473330,T
448528994,4265,89,196190,1363,2167,347,3871,473841,F
074607452,2118,66,154614,1363,3306,347,4426,474054,T
063729223,4297,41,262117,1363,955,347,4233,473632,F
558158941,4367,97,174680,1363,7069,694,3618,473345,F
052636206,2347,211,145514,1363,4641,694,4353,473586,T
674998238,2031,35,203100,1363,1823,347,7706,473913,T
821750513,4305,39,142065,1363,7659,347,3489,474206,F
395363825,1906,43,118172,1363,2405,1041,7004,473354,T
583100179,4306,44,357398,1363,1140,694,3550,473882,F
079123996,2219,183,175301,1363,7923,694,5818,473718,T
079331273,4279,94,329483,1363,1671,694,3710,474097,F
949359374,2293,216,132994,1363,1042,1041,4237,473313,T
768384388,4434,57,93114,1363,1181,347,3694,473684,F
604863524,2377,226,204422,1363,1324,694,7700,473929,T
389094072,4452,84,129108,1363,1930,347,3667,473899,F
879320663,1930,67,187210,1363,5470,694,7713,474002,T
219767974,4404,70,264240,1363,930,347,3592,473718,F
469221237,2272,181,134048,1363,5106,347,5845,473886,T
444541813,4447,54,262373,1363,1018,347,3796,473629,F
100851670,2135,180,91805,1363,6046,1041,7080,473411,T
147678099,4245,57,314130,1363,5816,347,3801,473791,F
823290731,2390,196,198370,1363,76590,1736,4180,474261,T
172961937,4322,87,164236,1363,1367,347,4028,474093,F
787930037,1968,16,194832,1363,1606,1041,3859,473906,T
652102400,4312,98,267344,1363,3961,694,3775,474165,F
340133278,1904,25,79968,1363,3927,1041,5247,474053,T
264854896,4289,29,248762,1363,1914,347,3657,473917,F
066704720,1961,17,121582,1363,1007,1389,3815,473372,T
557207914,4228,82,270592,1363,6757,347,3613,474007,F
149387266,2266,208,224334,1363,924,1389,7841,474182,T
762752643,4488,79,242352,1363,2042,347,3761,474206,F
086958006,1936,30,65824,1363,1355,1041,4271,473761,T
164981589,4475,46,102925,1363,975,347,4046,474025,F
400258660,2217,232,97548,1363,969,1736,3827,473736,T
967725974,4373,28,380451,1363,3961,347,3583,473883,F
109482998,501,34,35571,1363,1795,1041,3611,473396,T
738738360,4323,95,237765,1363,12420,347,3848,473359,F
774995611,2139,17,156147,1363,1225,694,5362,474146,T
603816651,4313,88,301910,1363,1228,347,3488,473404,F
144608465,1998,36,55944,1363,2381,1389,4421,473625,T
948875161,4373,87,411062,1363,6564,694,3479,473762,F
355333422,1916,72,122624,1363,4689,1041,7484,473513,T
336844226,4248,51,331344,1363,1612,347,3677,473855,F
050267327,1958,9,191884,1363,1039,694,7886,473982,T
112524604,4393,61,92253,1363,1053,347,4252,474125,F
398519099,1899,60,170910,1363,1526,1736,6062,474063,T
212176941,4313,44,306223,1363,1468,347,4244,474235,F
022978044,1953,24,140616,1363,2263,1041,3675,473407,T
