userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
321942154,3584,16,723968,2002,32394,970,2370,662792,T
167840957,3693,56,417309,4917,9834,1455,2694,662251,T
276434138,3792,59,523296,3164,27535,1940,2572,662472,T
541873829,3650,64,481800,2838,6187,970,4862,662722,T
941139477,3691,66,719745,1152,9661,1455,4597,662286,T
277181415,3438,7,446940,2247,6403,2425,4133,662692,T
447382147,1858,20,83610,1817,27535,970,2788,662792,T
237435591,3711,51,315435,3721,5796,1455,3979,662653,T
991405797,3804,57,441264,2436,10012,1940,2822,663122,T
945344938,3681,59,728838,1121,10012,2425,3818,663090,T
284630152,1841,29,355313,1101,5985,1940,3616,662860,F
528247629,1823,1,244282,3297,18989,1940,2055,662662,F
909561598,1743,17,97608,6258,6798,2425,2932,662717,F
926503863,3748,76,97448,1980,15734,1940,2926,662482,T
634737861,1731,23,164445,1226,5736,485,2555,662240,T
827964191,3656,54,636144,2809,6258,1940,4352,662440,T
288800744,1765,15,97075,1199,61189,1940,4629,662681,F
657382784,3682,71,633304,3441,5736,1940,2473,662328,T
246448838,3800,58,41800,6970,110141,485,3246,662242,T
846043410,1694,6,164318,1945,16688,1455,3270,662338,T
525318766,1864,7,337384,1257,21181,1455,2802,662494,T
221885676,3798,57,600084,2824,42362,970,4497,663038,T
827475400,3762,51,511632,1142,19668,485,4808,662351,T
025454226,1804,33,223696,1277,6187,2425,3681,662863,F
227812221,1667,19,66680,1765,8472,1940,3771,662941,F
292771639,3627,73,670995,3530,8741,970,1916,663153,T
554742329,1715,5,66885,1383,16197,485,4717,662933,T
316580420,1747,3,246327,1460,32394,1455,2613,662453,T
729319720,3796,65,216372,7867,6258,970,4083,662294,T
504463074,1706,10,76770,1449,27535,2425,4022,663009,F
659246330,3448,13,251704,4269,8344,2425,3024,662582,T
135769442,3793,78,87239,1939,23943,1455,2895,663061,T
653979287,1745,1,205910,1174,21181,2425,2435,662367,F
667654661,3701,79,140638,2561,22028,970,3119,662900,T
598259519,3550,11,887500,1995,8882,970,3877,662853,T
956693338,3447,21,372276,7756,6635,2425,3713,662972,T
854950949,3809,67,152360,4830,8098,2425,4320,662957,T
260396450,1665,1,49950,1390,26224,1455,2409,662519,T
560833936,1817,1,379753,1237,61189,2425,2548,662227,F
253746684,3719,64,531817,3797,8098,1455,4185,662279,T
968082196,3416,13,396256,1639,6715,1940,3961,662416,T
621729143,3644,74,495584,1323,32394,970,4448,662316,T
643159840,3521,18,147882,1356,13431,1940,2824,662664,T
067050884,3546,39,815580,1101,7543,2425,3595,662216,T
355157139,1777,12,53310,2384,50064,1940,2059,662770,F
601535525,3731,71,447720,1720,27535,2425,3651,662826,T
662235168,1776,1,56832,1169,26224,1940,2548,662961,F
260335112,3798,79,524124,1988,6798,1455,3923,662971,T
628348353,1789,1,311286,4049,7867,1455,2267,662708,T
297663042,3751,62,581405,1658,12807,1455,3035,662809,T
211418767,1800,1,268200,1624,17209,970,4607,662333,T
803937010,3697,44,643278,1401,8344,1455,4126,662567,T
734326912,1740,2,144420,3093,36713,1455,3787,662476,T
333951721,1715,8,236670,1508,9494,485,3792,662383,T
131206744,1728,14,32832,1101,23943,485,2631,663152,T
634617641,1764,13,160524,450,1744,1088,2594,163252,T
784783659,3769,76,384438,5452,12516,1940,3111,662505,T
631043128,1836,1,361692,4873,6403,1455,4353,662333,T
892561748,4299,29,601860,5244,9028,1455,4695,662983,T
832775152,3531,15,688545,2622,5507,970,1979,662423,T
454052368,3756,75,191556,2767,8472,970,3142,662320,T
466276996,1805,1,23465,5858,10590,1940,4002,662558,F
612152216,3500,25,773500,2699,34419,1455,2324,662945,T
