userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
225422605,3682,108,110460,1366,3076,1940,3848,662567,T
388666595,1763,34,58179,1366,1577,1940,2142,662987,F
366510295,3592,7,118536,1366,1123,485,3869,662673,T
025250339,1902,3,70374,1366,2929,2425,3587,662232,F
927547806,3611,21,234715,1366,1194,970,2515,662307,T
865780402,1713,40,85650,1366,1105,1940,3403,663137,F
185105739,3696,80,273504,1366,3317,1940,2552,662475,T
252684222,1933,61,38660,1366,6258,1940,2317,662957,F
364987691,3738,73,313992,1366,4049,1455,2335,663201,T
472756116,1897,1,68292,1366,1363,1940,2872,662369,F
613356853,3672,61,238680,1366,1480,1940,2228,662458,T
719697916,1760,45,126720,1366,1126,1940,4595,662213,F
057329162,3782,90,162626,1366,11014,1940,3120,662671,T
299075560,1879,1,129651,1366,2247,2425,3010,663040,F
455121221,3644,99,174912,1366,1147,485,3903,662797,T
597952848,1689,44,130053,1366,11238,2425,4759,662566,F
251699542,1921,15,128707,1366,20396,970,2613,662660,T
351633104,1802,33,68476,1366,2634,1940,1904,662236,F
519628845,3749,60,262430,1366,2458,1455,4180,662869,T
823579153,1892,27,54868,1366,2394,1940,3574,662907,F
564626627,1919,41,145844,1366,1123,1455,4298,662716,T
273741544,1883,50,73437,1366,6051,1940,1921,662442,F
176921971,1837,59,145123,1366,1793,970,2263,663188,T
952376848,1787,28,173339,1366,1573,1940,2060,662585,F
059585401,3905,62,285065,1366,1194,2425,2833,662538,T
439839189,1887,55,147186,1366,1546,1940,4473,662323,F
479389971,3869,111,174105,1366,1123,1455,4843,662647,T
418601598,1935,59,127710,1366,3317,2425,2897,662475,F
693573301,1762,58,125102,1366,1286,1455,2416,662981,T
695477018,1811,14,85117,1366,7442,1940,2431,663198,F
934408068,1775,16,138450,1366,1925,1940,2167,663141,F
003293409,3443,21,161821,1366,9028,1940,3174,662623,T
417856211,3681,58,77301,1366,1251,485,4597,662574,T
961154598,1932,13,171948,1366,1159,2425,2595,662527,F
618576624,3821,109,236902,1366,1629,485,2486,663186,T
458332632,1681,15,105903,1366,3797,2425,4676,662404,F
533111728,3495,15,349500,1366,1542,1455,2681,662381,T
720734638,1908,15,120204,1366,3647,1940,3099,662525,F
710612938,1869,19,57939,1366,1197,485,4416,662247,T
413422750,1701,2,153090,1366,4203,1940,3854,662425,F
789726516,3641,64,98307,1366,7246,485,2619,663029,T
692875924,1798,1,100688,1366,3220,1940,2670,663188,F
876706714,3779,76,343889,1366,1359,2425,4747,662860,T
771062489,1728,57,100224,1366,1251,1940,3093,662299,F
179807884,3396,28,149424,1366,8604,1455,3274,662561,T
768733262,1849,43,61017,1366,10798,1940,2779,663068,F
288911401,1845,9,184500,1366,2343,2425,3686,662779,F
972175115,3664,5,219840,1366,10012,2425,2280,662548,T
560908034,1839,8,132408,1366,9834,1455,2417,662821,T
136760590,1794,6,80730,1366,1283,1940,2903,662529,F
155194911,3690,25,147600,1366,1376,2425,2936,662817,T
540067522,1871,1,50517,1366,9661,1940,2234,663179,F
560043945,1904,11,89488,1366,5099,970,4813,663058,T
806628188,1759,53,112576,1366,2002,1940,3083,662813,F
554775663,1946,1,180978,1366,1199,970,2189,662723,T
950665548,1780,1,65860,1366,2168,1940,2665,663056,F
154269849,3663,45,238095,1366,42362,2425,2577,662261,T
232007412,1825,50,113150,1366,2086,1940,4628,662564,F
492387438,1681,24,100860,1366,2929,1455,1954,662671,T
740763404,1682,33,100920,1366,1159,2425,4232,662723,F
389080577,1697,1,110305,1366,3399,970,2245,663164,T
434000991,1904,12,116144,1366,1274,1940,2807,662966,F
430252027,3503,19,245210,1366,1263,1455,3722,662708,T
269802070,1725,19,162150,1366,4747,1940,4760,662624,F
644969552,3448,36,262048,1366,5985,485,2910,663095,T
790026138,1674,42,157356,1366,1137,2425,3962,662707,F
488548549,3815,57,366240,1366,5146,2425,3741,663003,T
545962036,1956,1,43032,1366,1397,2425,3286,662208,F
765515239,1757,58,40411,1366,1257,1455,2020,662886,T
283007880,1926,22,59706,1366,7867,1940,2011,662706,F
132438476,3595,15,150990,1366,2238,1940,3649,662471,T
453511688,1683,39,100980,1366,3093,1940,2234,663089,F
820233008,1869,6,50463,1366,7060,970,4724,662830,T
364387373,1754,16,40342,1366,8472,1940,4811,663144,F
805974501,3770,56,275210,1366,1542,2425,2023,662798,T
691357220,1902,1,93198,1366,1529,1940,3423,662272,F
170453027,1834,30,130214,1366,12516,1455,2679,662703,T
988388288,1910,1,103140,1366,1245,1940,4595,662634,F
232226401,1781,49,58773,1366,1731,485,2455,663147,T
029561413,1779,21,46254,1366,1128,1940,4854,663109,F
486235167,3651,33,215409,1366,2699,2425,3046,663207,T
834172958,1709,1,157228,1366,20396,2425,4514,662997,F
114138868,1841,33,110460,1366,1879,485,3376,662783,T
378628022,1794,22,159666,1366,5507,1940,4188,663207,F
463437561,3732,109,231384,1366,1753,1455,4322,662905,T
766819462,1955,38,103615,1366,2343,1940,2942,663126,F
311105905,1732,55,58888,1366,3420,1940,3958,663010,F
477376753,3412,23,320728,1366,1271,2425,3043,662288,T
786172528,1936,1,125840,1366,1356,485,4212,663112,T
581441214,1760,36,102080,1366,1596,1940,4551,662589,F
859151871,3582,24,146862,1366,2585,485,3153,663049,T
290129566,1868,54,168120,1366,2753,2425,4501,663139,F
024848314,3450,27,345000,1366,1346,2425,3181,662228,T
837405707,1942,40,174780,1366,1356,1940,3441,662250,F
095230683,3687,9,335517,1366,1147,1940,4551,662362,T
825948475,1904,50,100912,1366,1218,1940,3598,662465,F
690292666,1867,7,104552,1366,1892,2425,2199,663194,F
672657148,3814,85,350888,1366,1456,2425,2467,663118,T
299020298,1870,4,170170,1366,1805,485,3448,662960,T
841055392,1916,42,180104,1366,1166,1940,3610,662926,F
