userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
123087549,607,73,9712,1209,1801,2940,11751,212583,F
604962450,601,71,101569,621,10387,2352,9249,212447,T
912380679,1437,17,250038,1337,35318,1176,9374,212820,T
523542023,4606,120,156604,390,1783,2352,6208,212480,T
763123422,1439,13,69072,1070,19621,2940,6040,213027,T
123465690,4612,110,1079208,468,4647,1764,8916,213110,T
812275609,4449,144,436002,1348,12613,588,12285,212794,T
570459329,4614,128,945870,409,7358,588,9423,213158,T
228725170,719,91,162494,447,7063,2940,9162,212840,F
232231808,687,71,128469,714,2559,2352,11948,212445,T
040944227,4585,123,651070,391,3098,588,9551,213030,T
469493463,4608,114,331776,439,13584,2940,6109,212426,T
137211123,4590,112,656370,1317,3396,1176,9481,212535,T
806853203,1358,1,225428,2386,3679,2940,9580,212747,T
155309909,4482,137,44820,986,1898,588,11806,213057,T
971021583,1387,16,287109,478,4528,588,9608,213188,T
395532844,638,94,92510,656,6306,1764,6492,213053,T
103243566,4522,117,85918,606,5045,2352,8776,212441,T
707801792,4486,122,331964,530,2180,2940,9425,212366,T
185925313,1348,1,186024,1358,3462,588,9040,213187,T
388384477,4463,122,647135,592,4013,1764,9706,212895,T
871677179,4448,119,667200,374,2522,1176,9475,212584,T
313549094,4591,130,964110,455,6792,1176,12105,212794,T
259495457,1374,1,45342,1209,4307,588,12054,212454,T
571128069,754,105,188500,1984,2522,1176,6078,213149,T
740478254,1430,7,343200,2386,2006,2940,12156,212791,T
351289397,699,91,16776,1261,4204,1176,6632,212293,T
607440599,4500,137,252000,1650,2127,588,9082,212740,T
836363550,1500,29,360000,479,3153,1176,9342,212494,T
148972620,606,73,73326,1076,2635,1764,6315,212517,T
105438914,4470,134,335250,825,1940,1176,9012,212470,T
170278293,1435,1,176505,356,4414,1176,9675,212324,T
846925034,4573,119,813994,514,2323,2352,9651,212993,T
608662502,1470,13,232260,1765,3679,1764,8898,212304,T
776840866,1504,21,48128,1698,22074,1176,12016,212882,T
529971183,1363,1,50431,910,1962,588,6256,212676,T
114169218,1383,1,260004,751,4905,1764,9239,212702,T
785700471,4544,123,568000,522,1783,2352,9622,212566,T
402320210,4488,122,426360,1154,4013,1764,11843,212541,T
045140647,1491,24,348894,810,3462,2352,11867,212434,T
193371178,4454,119,908616,748,3924,2940,6202,212713,T
531743227,697,92,105944,571,2894,1764,12750,212618,T
740924419,721,101,139153,401,1858,588,12190,212282,T
072953791,666,91,65934,560,9810,1764,11889,213021,T
626567931,680,103,160480,1635,3757,1764,6002,213144,T
526113854,680,100,100640,396,19621,2352,11972,212995,T
468184872,1445,10,154615,1090,1940,588,9771,212521,T
195560642,4666,52,914536,2354,3153,2352,6531,212388,F
437884601,1434,27,219402,361,14716,1176,6729,213272,T
800429025,4638,41,1140948,919,6306,2352,5899,212676,F
571733548,602,88,52374,566,3044,1764,6596,212503,T
604111386,1463,1,301378,676,2419,1176,5960,212518,T
580990554,4544,116,295360,353,1839,2940,8911,212434,T
544362925,1509,1,132792,754,4307,2940,5866,212334,T
840186278,669,85,103026,2264,2848,2940,9048,213102,F
559740924,4528,134,606752,791,1858,2352,6815,213056,T
479128671,4449,144,502737,639,3679,2352,6000,212389,T
539473783,602,90,84882,434,2675,1176,12593,213147,T
898917484,735,84,94080,430,2487,2352,8972,213178,T
895532184,781,101,128084,380,2419,2940,11829,212289,F
265399204,588,65,14700,478,5193,2940,6571,212544,F
166311072,1451,1,26118,450,2943,588,9811,213132,T
807859107,1442,1,333102,2077,5351,2940,6067,212959,T
609285579,4459,142,214032,496,3396,2940,9413,212305,T
995052633,4607,140,363953,630,13584,2352,6396,213065,T
751449195,4576,129,361504,1390,2894,2940,11899,213134,T
629708045,616,87,91784,882,1820,2352,6086,212589,T
580387071,4495,114,395560,450,12613,1176,9018,212293,T
951321976,1504,1,157920,1083,5351,2940,6420,212804,T
075928553,778,65,147042,456,1765,2352,9273,212360,T
146896458,649,93,128502,356,2153,1176,9648,213093,T
397470668,4618,108,115450,891,1940,1176,11805,212475,T
112543630,4512,108,248160,751,1801,2940,6822,213205,T
656926425,1395,1,332010,490,6540,2352,6687,212660,T
253002814,733,72,181051,430,3153,2352,6780,212869,T
680956531,668,65,44756,477,29432,1176,12057,212449,T
232789468,4497,114,193371,456,3757,1176,9333,212393,T
201828563,1407,1,337680,384,5351,1176,6565,213072,T
068808287,4586,125,1027264,381,3210,1764,9168,212747,T
125479253,4496,119,1025088,550,3153,2940,12653,213169,T
795592768,1474,1,263846,1298,3396,2940,9453,212366,T
615965954,4570,127,530120,774,2207,2352,5891,212637,T
436998090,4815,34,1049670,1090,7677,1176,12007,212559,F
461699389,4528,124,511664,430,1919,588,11830,212755,T
586239447,4487,121,341012,2180,2323,2352,8771,213025,T
502512374,1485,9,230175,1605,11037,2352,11931,213115,T
552650729,4463,135,111575,522,35318,1764,9351,212974,T
119498862,1523,1,344198,654,2293,2940,6329,212511,T
226416252,611,75,71487,1535,2207,1176,6622,212361,T
628183073,690,77,22080,362,1940,1764,12702,212636,T
717239429,4750,48,745750,1940,6792,588,8991,213140,F
442869895,721,97,25235,411,3603,588,12487,212269,T
837623970,627,69,40128,548,1783,2352,5861,212345,T
075598706,4625,110,286750,649,1820,1176,12672,213256,T
142400372,4429,130,248024,487,5696,1176,12337,212495,T
269845153,4562,137,953458,364,2153,2940,9556,213216,T
706081685,1411,6,66317,975,4204,1176,11855,212334,T
579569170,656,65,62976,415,3331,2940,12747,212868,F
674638438,1384,9,134248,2053,4772,2940,12053,213104,T
134843021,4558,120,168646,456,2894,588,9278,212918,T
103821718,4438,142,230776,992,8409,1764,11749,212723,T
804133396,4505,115,1049665,410,2386,1176,9175,212980,T
553032229,4601,140,1090437,513,9294,1764,9291,212708,T
227733496,655,94,117245,1070,8829,1176,9636,212482,T
500511970,1477,27,135884,2235,2943,1176,11812,212448,T
145932156,698,66,135412,420,2293,1764,6352,212531,T
542363614,777,79,11655,1390,3270,2352,6154,213250,T
664657589,1357,11,255116,1288,2029,2352,6042,212984,T
837923233,590,82,50150,577,2323,1176,5960,212342,T
123388752,1541,4,254265,624,5518,1176,6230,212625,T
243565922,1521,1,135369,684,12613,1764,12263,212667,T
716972666,4586,139,357708,817,4204,2940,12661,212634,T
928625759,4558,122,592540,720,8409,1764,6708,212909,T
579578034,699,105,120927,501,4307,2940,5955,213071,F
206796574,681,79,111003,806,1801,2352,9174,213151,T
275520127,608,67,29792,1308,25227,2352,9069,212346,T
903888931,615,66,70110,1327,3098,588,6690,212361,T
963681417,1499,14,346269,1562,4307,1176,6396,213223,T
604149288,4671,40,1153737,1090,1878,1764,6400,212895,F
931839244,4623,143,175674,1765,2803,1764,9185,212728,T
923644701,1353,10,148830,590,3396,1176,12692,213178,T
752301724,781,103,178068,1783,3924,2352,12000,212764,T
257047590,1410,1,321480,799,2354,1764,5878,212651,T
562543822,717,90,149136,844,2596,2352,6130,212320,T
843471839,4583,114,847855,383,3396,1176,9769,212704,T
362831383,4601,115,777569,709,2943,588,11771,212561,T
238847333,4518,142,433728,377,17659,588,12021,212278,T
