userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
769040187,808,128,32320,362,2323,588,6205,212531,T
223971180,651,67,42966,362,569,2940,6598,213229,F
731952889,784,81,19600,362,463,2940,11874,212278,F
506732771,743,107,49781,362,10387,1176,12571,213165,T
884957393,622,79,40430,362,596,1764,6528,212615,T
995060720,692,88,67124,362,1044,2940,11835,213257,F
069867589,730,69,48910,362,5886,2940,9301,212753,F
230429677,4544,107,95424,362,394,2352,9321,212286,T
405017200,4573,174,233223,362,2127,2352,6701,212728,T
744442286,749,130,67410,362,441,2940,5939,212865,F
190729454,4654,153,153582,362,1839,588,12093,212490,T
543092635,767,67,67496,362,400,2940,6663,212445,F
960297855,853,90,40944,362,788,2352,6079,212893,T
508241783,837,96,72819,362,919,2940,11900,212597,F
286828110,4440,171,284160,362,1185,2940,6780,212305,T
424778296,657,75,28908,362,1124,2940,6234,212562,F
173675391,588,73,35280,362,1070,1764,11763,212545,T
630010269,849,113,25470,362,2180,2940,6193,212953,F
477617189,867,66,78897,362,543,588,6255,212412,T
246261760,759,120,69069,362,1576,2940,9015,212415,F
979886456,731,83,36550,362,520,1764,8890,212598,T
964853619,703,72,35150,362,806,2940,6191,212385,F
131924589,605,66,21175,362,2759,2352,8933,213000,T
922526973,650,133,22100,362,853,2940,12131,212753,F
679322377,4576,127,118976,362,1748,588,12671,213191,T
741108895,662,86,26480,362,384,2940,11934,212435,F
559577780,4533,139,394371,362,353,2940,9048,212401,T
763963013,705,94,48645,362,3331,2940,6127,212555,F
419905799,680,77,53720,362,367,1764,9725,212960,T
955287338,725,80,15950,362,1620,2940,9752,212813,F
031049474,4448,148,293568,362,447,588,11714,212922,T
356011516,862,106,74132,362,448,2940,6137,213144,F
045967354,4549,136,282038,362,580,588,8986,212317,T
580357145,614,111,27016,362,2386,2940,9494,212787,F
423721715,4650,141,139500,362,456,2940,6152,212805,T
403716253,633,100,55704,362,519,2940,11807,212459,F
866859181,661,93,21813,362,1014,1764,9215,213136,T
546956826,664,85,44488,362,2006,2940,6218,212415,F
072707553,4605,172,345375,362,9294,588,12304,212725,T
041940845,670,121,24790,362,2077,2940,12669,213197,F
880933335,1391,1,47294,362,411,588,9309,213056,T
632953292,610,91,37210,362,392,2940,9740,213166,F
945010600,705,133,56400,362,887,2352,8807,212817,T
015797766,702,134,61074,362,857,2940,6725,212698,F
242159222,786,117,34584,362,2675,2940,11998,213073,F
244276187,763,130,31283,362,356,2352,11834,212703,T
253837843,4676,154,350700,362,757,2940,12004,212682,T
123389355,640,90,23680,362,2635,2940,6257,212810,F
061597575,659,87,54697,362,857,588,12756,213221,T
672747224,858,102,73788,362,458,2940,12419,212393,F
894899267,1440,3,95040,362,732,588,6178,212639,T
876920394,742,123,31906,362,642,2940,12161,212788,F
639179992,598,128,37076,362,372,1176,12473,212425,T
193614732,838,123,26816,362,5351,2940,5840,212297,F
263211941,659,98,34927,362,453,2352,9739,212421,T
416503293,660,121,43560,362,536,2940,9136,212977,F
484600327,873,119,64602,362,3679,588,6209,212609,T
100830864,600,86,31200,362,538,2940,6617,212314,F
071370963,4525,127,389150,362,1650,1764,12301,212949,T
514862074,872,135,60168,362,635,2940,6541,212661,F
074352055,4574,111,352198,362,388,2940,5991,212936,T
053036506,839,128,51179,362,575,2940,9390,212798,F
345891251,874,88,41952,362,1605,588,6225,213163,T
519660448,811,132,73801,362,949,2940,11822,212320,F
306346184,4480,132,448000,362,358,2352,9585,213086,T
314130686,790,82,23700,362,489,2940,9163,212745,F
587189030,4473,160,371259,362,516,2940,9723,212447,T
155954933,782,93,25806,362,405,2940,6826,212739,F
667047665,655,134,46505,362,451,1764,9760,213202,T
976656824,638,124,50402,362,461,2940,12081,212963,F
134362778,698,100,37692,362,813,588,12202,212684,T
215783340,883,66,48565,362,382,2940,9390,212859,F
962491425,799,74,48739,362,545,1764,6582,212612,T
052736918,697,90,67609,362,467,2940,6037,212581,F
756392284,673,128,36342,362,829,588,6658,213149,T
605794159,763,66,75537,362,714,2940,12713,212718,F
582010001,4661,125,205084,362,392,588,8782,212846,T
648857121,751,82,54072,362,1270,2940,6632,212451,F
326718736,723,124,21690,362,571,588,12269,212789,T
047497073,654,83,50358,362,4106,2940,6708,212861,F
008130945,713,132,37789,362,519,588,12394,212561,T
786491359,602,83,32508,362,408,2940,6553,212359,F
731657424,4583,124,274980,362,396,588,9466,212628,T
348241248,724,66,32580,362,751,2940,9652,213226,F
063285654,4552,129,268568,362,577,588,12348,212305,T
494574976,666,91,34632,362,401,2940,9772,212284,F
556905870,729,83,19683,362,6792,1176,12135,212926,T
113833057,658,92,51982,362,644,2940,6441,212688,F
280428366,4637,159,421967,362,1270,2352,5847,212971,T
211957834,628,124,48356,362,642,2940,9034,212836,F
673201801,4462,165,138322,362,748,1176,9632,213014,T
025242708,745,105,49915,362,5045,2940,9553,213024,F
416669899,668,129,62792,362,376,1764,8919,213047,T
341395277,739,78,34733,362,2848,2940,9356,212535,F
502301300,4430,119,425280,362,2386,2352,6384,212506,T
039501254,617,107,25914,362,370,2940,9111,212417,F
926217877,750,73,35250,362,380,2352,11948,212365,T
895555193,605,71,12705,362,405,2940,9199,212330,F
628683325,1401,2,40629,362,369,588,9333,212773,T
532382767,751,109,21779,362,729,2940,12236,213152,F
