userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
767571564,3153,46,766179,1744,7807,1871,4715,484224,T
638720040,3316,44,159168,1349,6435,935,4727,483755,T
296849770,3219,643,96570,3935,4810,467,6964,484481,T
685544357,3159,33,454896,1700,13229,2338,5542,484174,T
921234658,3384,103,595584,4535,4909,467,10017,483851,T
562634730,1198,1,63494,1144,5176,935,4993,484468,T
979471618,3331,664,739482,4909,6105,1403,7743,484441,T
830425615,3183,13,343764,2721,21647,1403,9729,483780,T
715214129,1187,1,195855,1694,7681,935,7449,484080,T
802257237,3355,665,191235,1270,95250,1871,4700,483634,T
034430262,3233,666,623969,3935,7807,1403,7733,483702,T
448779100,1240,2,140120,2070,5953,467,4992,483687,T
507338846,3318,659,759822,1026,5537,2338,5123,484177,T
420258631,3234,9,326634,1750,8355,935,10050,484230,T
882270346,3356,639,664488,5474,5879,467,9953,484485,T
177784045,3361,653,840250,5233,34018,1871,5644,483941,T
433497638,3196,649,278052,964,5013,2338,9597,483799,T
455954711,3201,648,428934,3750,5066,2338,9359,484411,T
960746487,3156,38,451308,1211,36634,1403,7632,483843,T
493346638,3255,668,608685,1011,15875,467,9475,483721,T
825778377,3361,642,423486,2126,6707,1871,5577,484391,T
892262139,3172,670,161772,5176,31750,1871,4674,483788,T
623918324,3250,32,165750,1270,6435,935,9992,483967,T
370263034,3360,647,57120,1341,12532,2338,5464,484410,T
378603015,3226,653,322600,1731,6350,935,9572,483661,T
324933118,3218,31,270312,1077,5807,1871,7784,483858,T
842655341,3186,20,223020,1364,4909,935,4781,484279,T
450277659,3321,41,126198,3401,12211,1403,7331,484411,T
092000813,3269,41,274596,2602,8211,1403,5437,484580,T
772454382,3448,137,775800,1912,5066,1403,7285,484323,T
738356253,3275,637,465050,2381,17009,935,7549,484174,T
328851380,3301,670,75923,1479,10353,2338,9583,483852,T
599308176,3306,666,178524,1334,5953,2338,5118,484126,T
442553615,3568,118,335392,2107,16422,935,9562,484270,T
963858784,3283,36,410375,1976,4859,1403,5586,483645,T
791744469,3313,657,212032,3903,22678,1403,8014,483702,T
423447905,3206,658,109004,4960,12211,1871,7689,483635,T
537179720,3166,27,433742,3810,7326,2338,7749,484282,T
233651821,3305,32,644475,1659,6902,1403,5156,483642,T
182268117,3324,667,727956,5737,10133,1403,4766,483988,T
053786084,3193,45,54281,1790,5602,935,5362,484154,T
379827461,3229,644,171137,2801,10823,1871,7070,484453,T
473110907,3169,650,351759,3014,95250,467,6991,484447,T
896729260,3463,136,806879,1920,8211,935,5017,484274,T
389927422,3153,11,327912,1273,6266,935,10242,484218,T
972501892,3435,121,312585,1659,9158,935,7529,483958,T
221483904,3529,109,215269,2052,5411,935,9827,483882,T
421255611,3356,645,637640,4492,7215,467,7604,484080,T
771910607,3323,656,714445,1810,25065,2338,5661,483975,T
693305698,3327,24,153042,1211,14882,935,5034,484109,T
419955632,3342,34,213888,1184,95250,1403,7056,483859,T
254318703,1208,1,260928,1033,6350,467,9449,483990,T
867499719,3346,32,699314,1253,8819,1403,9916,483989,T
738410397,3423,121,670908,2323,8355,935,5046,484401,T
733354880,1114,14,43446,1315,52916,935,7130,483975,T
034787157,3165,35,272190,1037,19843,1871,5429,484051,T
321588136,3258,642,693954,2851,20706,1403,5244,483662,T
904478470,3262,44,658924,1253,9921,935,7949,484037,T
421157385,3174,643,215832,1013,14007,1871,7730,484117,T
562365394,3233,664,533445,5120,6185,1871,5048,483676,T
