userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
581058758,3825,46,355725,418,1995,439,3866,192215,F
159459078,3931,9,829441,2016,4307,1319,4241,191905,T
931347144,1344,1,81984,861,3790,439,7449,192388,T
464831877,3856,36,200512,1914,2256,439,3507,192689,T
022928940,1228,1,270160,665,2106,1319,3883,191940,T
311507907,3844,18,538160,594,4623,439,7993,192704,F
442514041,3800,34,399000,559,5574,1759,7863,191894,F
614340147,3742,42,130970,579,4623,879,7358,192747,F
974065392,3772,44,584660,1035,2430,2198,6186,192125,T
103223198,1307,1,261400,2596,3446,879,6022,192548,T
297358997,1181,7,209037,567,3868,1319,7167,192186,T
081232283,3766,46,659050,484,6318,879,6195,192470,F
874156617,3920,15,595840,1822,1995,2198,7061,192128,T
739673905,1312,20,102336,438,7290,879,7523,192518,T
305103980,1184,7,197728,393,7290,879,4494,192232,T
367289402,1324,20,170796,551,2204,1759,5581,192721,T
233235134,1322,1,112370,972,2494,2198,7685,192012,T
115447975,3741,21,542445,418,27077,439,7586,192454,F
349003059,1273,18,222775,389,14580,879,7203,192005,T
521365197,1396,41,37692,1504,2229,879,4231,192596,T
802941285,3747,31,659472,1263,4032,1759,6199,192837,T
243527318,1257,13,108102,731,2961,439,6014,192266,T
896095663,1215,1,255150,902,15795,1319,5649,192299,T
250308683,1261,9,31525,491,3325,439,7914,192560,T
403721216,1233,1,28359,1858,4860,1759,6098,191942,T
160713262,1206,9,118188,422,2256,1319,7929,192315,T
681397021,3917,28,591467,2106,6536,879,7956,192864,T
305591664,3843,16,880047,476,21060,439,7260,192258,F
469262475,1282,17,288450,665,3212,879,4370,192550,T
868200089,3821,42,817694,502,2016,1319,5905,192748,F
873728890,1162,18,270746,451,23693,2198,3578,192319,T
933516966,3792,40,929040,689,2153,439,3962,192834,T
636762027,1314,1,247032,799,2178,879,6190,192325,T
523800818,1270,9,262890,857,2016,2198,5495,191934,T
411915706,1411,23,193307,2106,3716,439,5765,192111,T
956112307,1328,1,273568,2129,4860,2198,3830,192089,T
964531190,1328,11,14608,789,2204,879,3945,192575,T
215686216,3772,22,686504,1272,2229,879,7408,192846,T
