userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
352336035,1480,22,63640,437,392,439,4044,192040,T
082315174,3772,23,218776,437,615,879,4398,192484,F
183999266,1467,19,80685,437,873,439,5757,192131,T
416296862,3937,38,389763,437,1041,2198,4313,192784,F
399071984,3856,55,273776,437,662,2198,3533,192491,F
053425956,1226,1,34328,437,676,439,7522,191890,T
723225011,3866,10,286084,437,440,1319,5274,192231,F
956917043,1242,1,117990,437,1076,879,3479,192130,T
842599408,1274,20,42042,437,1435,1759,6177,192688,T
720650234,3739,43,153299,437,3325,1319,3542,191889,F
963569665,3882,59,128106,437,3107,439,7252,192174,F
375610944,1180,44,74340,437,633,1319,7621,192408,T
006337862,3869,56,386900,437,1114,439,7595,192749,F
146392261,1569,14,75312,437,421,439,4381,192169,T
136827684,1357,60,112631,437,4032,439,4114,192368,T
143273152,3757,60,131495,437,380,1759,3529,192431,F
817423569,1187,35,58163,437,2916,2198,3674,192599,T
318491864,3860,11,250900,437,557,879,5632,192270,F
971423069,1507,59,96448,437,442,1319,3813,192424,T
636826449,4002,44,288144,437,447,2198,4400,192842,F
071009347,1353,54,28413,437,472,2198,3614,192458,T
123757385,3883,47,213565,437,1222,1759,4496,192020,F
510164263,1454,53,141038,437,405,879,3641,192070,T
476252577,3853,40,96325,437,638,439,4209,192624,F
491182146,3990,51,171570,437,482,1759,3957,192847,F
661073629,1357,48,88205,437,1184,879,5706,191894,T
978284244,1424,57,58384,437,516,879,7755,192284,T
143124600,3811,75,236282,437,493,439,6223,192315,F
575078072,3794,17,87262,437,441,1319,5903,192022,F
688326279,1277,25,126423,437,546,1319,7455,192358,T
264050590,1218,6,57246,437,5743,1319,4125,192573,T
384913212,4015,57,264990,437,11846,1319,5455,191922,F
864725789,3934,61,212436,437,813,439,4101,192235,F
730628935,1409,26,50724,437,529,879,3836,192128,T
759928348,3747,52,194844,437,390,879,7013,192397,F
112543054,1407,15,70350,437,491,1759,6217,192310,T
430349966,1353,49,66297,437,1230,879,3791,192567,T
225701288,3864,47,77280,437,2787,1759,5771,192019,F
588317679,1382,27,105032,437,1755,1319,5427,192755,T
918823340,3820,15,129880,437,383,439,3862,192387,F
721166869,3749,44,322414,437,394,1759,5748,192702,F
586054017,1150,18,100050,437,586,879,5880,191983,T
547521959,3857,72,215992,437,2204,1759,4198,192302,F
296189590,1259,21,104497,437,409,1759,7388,192706,T
557274387,3777,73,124641,437,479,879,4510,192416,F
813078481,1430,12,114400,437,3212,2198,7786,192419,T
509056743,4033,19,181485,437,1606,1759,4207,192277,F
187839048,1264,45,111232,437,4738,1319,6109,192866,T
368841539,1400,1,36400,437,1414,2198,5966,192301,T
139630058,4035,29,189645,437,565,439,3971,192572,F
439961982,1392,51,34800,437,1102,879,5440,192560,T
779149390,3985,34,386545,437,1064,2198,5859,192823,F
040874557,3977,11,143172,437,7290,439,4299,192330,F
843424374,1396,1,29316,437,417,879,3723,192822,T
967514859,1151,48,96684,437,967,2198,3854,192118,T
988492487,3925,62,302225,437,395,2198,4100,192177,F
989145494,3876,40,236436,437,5574,1319,6998,192059,F
466428921,1226,12,41684,437,570,2198,5350,191900,T
335667653,1413,10,105975,437,479,1759,4128,192887,T
228133346,3838,58,249470,437,861,2198,4265,192323,F
180983290,1376,1,86688,437,597,879,6252,192187,T
619384062,3916,21,203632,437,4623,2198,3724,192344,F
895557123,1210,1,102850,437,12636,2198,5963,192276,T
712401525,3815,15,305200,437,431,439,7350,191968,F
772705080,4001,44,92023,437,408,2198,4442,192057,F
752806097,1431,72,61533,437,1102,439,3556,192134,T
266976083,1494,30,101592,437,463,439,5700,191950,T
381862841,3815,27,175490,437,609,1319,5302,192466,F
290669928,1215,54,52245,437,662,1759,7057,191978,T
573085475,3844,58,176824,437,2461,1759,4213,192410,F
773904438,3740,70,314160,437,1579,1319,7353,192445,F
256750825,1383,56,52554,437,577,1319,6006,192083,T
288330775,4006,45,228342,437,691,439,5591,192444,F
519381520,1599,25,47970,437,402,439,6070,191914,T
093391736,1303,32,92513,437,552,1759,4344,191894,T
593411926,3912,71,383376,437,2430,439,6093,192888,F
636123002,1191,29,103617,437,2283,879,7640,192341,T
372815893,3892,71,97300,437,640,2198,4304,192378,F
703063344,1279,1,31975,437,1008,879,7607,191906,T
522116720,3872,57,336864,437,527,1319,7171,192278,F
668602825,3859,19,231540,437,4623,439,4313,192805,F
686358397,1215,39,106920,437,2129,1319,7882,192519,T
915112162,1616,41,150288,437,1480,879,4183,192505,T
905541981,3807,72,228420,437,1102,1759,4003,192548,F
264869839,1160,17,109040,437,674,2198,6003,192507,T
723027323,3758,70,131530,437,1177,1319,4144,192726,F
708384523,1301,26,57244,437,644,879,7953,192443,T
850912637,3873,30,356316,437,5574,2198,7184,192751,F
930513291,3838,54,218766,437,1089,1759,5800,191938,F
197569022,1446,1,96882,437,957,1319,7479,192865,T
452643227,3959,71,387982,437,607,1759,5591,192510,F
997523603,1372,41,85064,437,679,439,5419,192535,T
421552484,1497,33,110778,437,585,439,4029,192206,T
283107569,3836,40,180292,437,557,1319,7350,192456,F
643790158,4018,27,353584,437,796,2198,4435,192356,F
109244107,1155,1,100485,437,522,1759,5873,192274,T
179206241,3988,44,155532,437,877,1319,6145,192171,F
552526267,1155,1,95865,437,1298,2198,7179,192574,T
444572170,1446,21,76638,437,515,2198,7080,192801,T
562299469,3819,6,217683,437,740,439,5239,191954,F
