userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
979116900,2659,61,116996,1057,10577,1814,7597,247211,T
219736592,2583,51,299628,856,4123,907,6047,246668,T
561714341,938,1,133196,1081,2703,1360,5418,246394,T
184463217,969,22,23256,1210,2508,1360,4336,246876,T
214673983,969,1,168606,546,16219,453,7635,246383,T
329794413,5013,186,847197,824,4194,2268,6275,247271,T
769634103,2707,23,192197,1414,2931,1360,7310,247078,T
050989062,3348,76,599292,1030,6951,453,3745,247263,T
795055257,2615,41,177820,841,11058,907,5638,246593,T
003547475,1068,5,33108,550,8688,453,6342,247302,T
989362095,4854,208,859158,2172,4505,1814,8234,247290,T
805543274,3383,57,345066,721,2644,453,5775,247323,F
383059433,4947,212,677739,1234,12804,907,7256,246889,T
730234050,2709,22,354879,677,3475,2268,3911,246362,T
599057278,3492,23,590148,1267,24328,907,3589,246365,T
281184419,908,2,200668,3119,2862,1360,3625,246856,T
443771559,4848,202,1207152,914,5406,2268,6274,246388,T
032972235,2554,23,112376,1374,2432,1814,8108,246672,T
844271520,2648,51,116512,2966,2482,453,7235,247181,T
882848381,4953,206,1005459,1802,8109,2268,4434,247061,T
453622492,3316,71,79584,533,3079,907,5414,246620,F
898593505,2573,31,398815,1158,48657,2268,7950,247018,T
227379219,5016,180,1163712,691,2828,2268,4598,246422,T
573409818,2572,35,609564,689,2560,907,4364,246656,T
043879309,4856,195,937208,614,3801,1360,5562,246610,T
516705520,4939,202,1126092,891,9010,2268,7823,247091,T
305593645,2702,28,408002,525,24328,1814,6259,247309,T
944983866,2603,42,421686,1829,3119,453,7236,246993,T
927088165,4943,206,677191,591,4123,2268,5983,247366,T
636806001,4948,195,1227104,1775,4423,2268,6142,247078,T
765845290,3492,27,670464,2828,4194,907,4006,246857,T
168678348,2610,40,300150,1351,4054,2268,5890,246780,T
569606203,3203,63,717472,1017,3475,453,6154,246460,T
094606105,2639,61,606970,878,5657,1814,5958,247336,T
007254986,2650,26,651900,555,2560,1814,7407,247046,T
077254117,4880,207,976000,707,3041,907,6206,246967,T
587802556,2603,39,382641,2232,2432,453,7754,247294,T
791140410,2583,29,446859,911,5288,1814,7259,246997,T
351733060,2690,45,459990,1750,3079,907,7449,246925,T
268312667,5026,189,1015252,946,6951,1814,8183,247250,T
861608220,2651,52,506341,1977,40548,1360,3641,246736,T
482132033,3185,71,767585,1465,4770,453,8091,246523,T
916391596,3285,73,259515,1535,3089,345,1513,265098,T
315669848,3254,82,247304,1301,6402,907,5531,246840,T
714444678,4907,188,549584,1885,4123,1360,4599,246830,T
781457984,4966,197,486668,1095,6951,1360,4566,246713,T
667759591,5023,200,1240681,897,6238,453,6310,247032,T
388002804,3288,92,32880,1247,4590,453,7912,247121,T
374881128,877,2,103486,568,3201,453,4255,246680,T
633971080,4996,187,799360,757,3801,1814,5605,246767,T
519212020,1047,13,81666,713,17377,453,3823,246745,T
262049404,2687,46,548148,728,4194,453,7348,246792,T
852739202,5025,205,623100,2862,5068,2268,4273,246896,T
686378548,4867,201,1153479,795,5176,907,5771,247115,T
548158776,4863,213,958011,499,13516,1814,3609,247134,T
723398253,940,14,214320,627,4590,1360,4416,247037,T
812499756,2530,52,422510,865,12804,1814,7949,246440,T
730971902,2616,47,303456,921,34755,2268,7994,247193,T
408345901,2518,27,350002,697,4423,907,5846,246435,T
132692863,2590,59,383320,495,2703,1814,3611,246680,T
055618958,978,1,62592,1067,4865,1360,4455,246495,T
614872336,876,4,126144,2273,3003,1360,3589,246750,T
388845053,2586,35,501684,808,2896,453,6392,246661,T
263603168,2564,40,505108,2588,2764,2268,7608,247264,T
548706320,2556,26,181476,1590,3332,2268,3845,247310,T
110401972,4916,191,1229000,757,13516,1814,6219,246661,T
353093304,2606,24,440414,641,2896,453,6402,246803,T
101203442,2588,39,307972,957,12804,2268,7997,246358,T
204826110,1008,1,187488,486,4423,453,4126,246730,T
438897759,2547,59,259794,737,2703,907,5700,246999,T
971499602,997,1,234295,784,10137,453,7456,246605,T
696079471,930,15,218550,506,2673,1360,3961,246779,T
736381385,989,1,225492,615,17377,453,7990,246460,T
556177728,1042,1,62520,531,5176,1360,4274,246542,T
094460738,929,12,121699,797,2432,453,7749,246414,T
038023688,5031,195,804960,519,34755,453,7287,247218,T
755826636,2708,32,568680,543,2457,453,8221,247133,T
660666872,3372,85,829512,2211,4194,1360,3951,246477,T
976156927,1058,1,52900,687,10137,453,4323,246752,T
378246030,4848,188,1202304,554,4590,1360,7339,247133,T
701484578,4995,184,1043955,544,14311,453,6354,246803,T
777149533,880,1,16720,631,3079,907,4312,246894,T
168524541,2578,35,270690,593,4770,1814,6169,246675,T
370181167,4846,212,978892,579,2862,907,4593,247043,T
473470803,3284,67,111656,1009,5792,907,4296,246670,T
428656735,2593,37,611948,779,27032,453,6135,247143,T
041047370,2535,47,177450,623,24328,453,7915,247060,T
122952936,2655,44,273465,1802,3287,453,7692,247327,T
909318905,2628,24,273312,779,4423,2268,4529,246602,T
000205737,2669,22,136119,726,8389,1360,7616,247295,T
510014270,970,1,14550,612,17377,907,5779,246660,T
329768949,2649,34,362913,1136,2703,907,6360,247141,T
402537274,3235,77,537010,961,13516,907,4151,247348,F
736956456,1027,1,182806,1169,7372,1360,3872,246746,T
458008894,2539,53,561119,1294,2588,453,7412,246691,T
890347637,3324,10,535164,2252,11058,907,5892,246673,T
806469258,1006,1,138828,741,2931,453,7360,246432,T
