userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
495940400,1094,23,52512,545,547,1360,4047,246648,T
655683866,3432,114,308880,545,561,453,5844,247219,F
926362097,2520,71,70560,545,875,2268,6011,247356,T
921092192,3369,61,232461,545,748,453,4353,246656,F
376662959,2735,30,120340,545,685,1360,8142,247169,T
457747121,3426,88,250098,545,1351,1360,3771,247319,F
286191257,936,27,23400,545,617,453,4102,246429,T
528176101,3213,110,195993,545,728,453,6072,246838,F
786733572,2627,58,107707,545,2252,1360,7814,246851,T
801399161,3451,112,110432,545,726,907,4470,247272,F
492259058,1152,35,49536,545,518,1360,3929,247148,T
648278468,3315,76,72930,545,1081,907,5536,246707,F
420561523,2531,41,232852,545,1465,2268,4474,246931,T
824515117,3371,66,141582,545,792,453,4318,246930,F
868457007,2714,81,141128,545,654,453,7863,247124,T
726187931,3428,69,202252,545,505,453,5967,246397,F
102315958,3420,114,290700,545,1315,907,4430,247210,F
365344728,2642,52,166446,545,13516,2268,5531,247300,T
992877596,2627,46,107707,545,2644,1814,4491,246372,T
456787812,3381,60,304290,545,808,453,4512,246944,F
870196208,2709,61,100233,545,1351,1360,4246,246489,T
787701258,3226,99,135492,545,571,453,5915,246593,F
665877997,5052,217,500148,545,24328,2268,7483,246456,T
217714249,3352,106,305032,545,875,453,3898,246452,F
839857006,2625,47,202125,545,872,453,5788,246428,T
037780068,3398,66,333004,545,2273,907,4496,247062,F
376524860,2723,76,201502,545,942,1814,5840,246387,T
211243119,3436,58,120260,545,2616,453,4434,246555,F
478273221,2748,37,200604,545,3686,1814,8043,246746,T
846087006,3462,107,162714,545,1559,453,5594,246550,F
008295184,2529,39,156798,545,746,907,6045,246890,T
387948038,3385,88,71085,545,1241,907,4460,247073,F
074064958,1020,54,95880,545,20274,453,3678,247093,T
890689516,3462,99,335814,545,1422,1360,3702,246947,F
789687557,2556,54,230040,545,1930,1814,6182,246632,T
901586636,3408,59,289680,545,1308,453,3756,246459,F
665560880,3484,114,219492,545,10577,907,3916,246758,F
968111740,2726,59,158108,545,856,907,4388,247261,T
412913586,2786,60,61292,545,641,1360,6401,247268,T
330847473,3350,63,321600,545,1590,453,3808,246570,F
986416380,987,1,49350,545,589,907,4169,246500,T
578647449,3394,60,190064,545,568,453,6360,246645,F
582941985,3276,101,190008,545,512,453,4440,247023,F
184370602,2650,27,140450,545,997,453,7787,246457,T
835944534,2577,67,198429,545,503,453,7285,246519,T
084706522,3469,115,208140,545,1994,1360,3890,246561,F
856348488,972,8,94284,545,3801,2268,3614,247137,T
209910201,3448,100,341352,545,635,453,5962,247366,F
330059344,3191,111,261662,545,784,1360,3770,246969,F
168537204,2754,51,261630,545,1110,907,4616,246589,T
601514288,904,41,58760,545,683,453,5730,247171,T
152473409,3427,104,167923,545,6238,1360,3856,246382,F
275248994,928,1,91872,545,965,453,7514,246516,T
174753312,3396,108,95088,545,5933,453,5594,246466,F
920350244,3401,70,98629,545,2673,907,4416,247065,F
811238969,2525,66,53025,545,3243,907,8086,247105,T
277881921,2532,73,131664,545,2862,1360,6134,246733,T
358093944,3237,76,304278,545,538,453,3753,247069,F
876839672,1111,38,39996,545,648,907,3907,246960,T
641568234,3205,113,301270,545,862,453,6168,246838,F
906842749,2650,32,63600,545,1448,2268,4150,246886,T
069959279,3197,69,268548,545,703,453,5554,247306,F
666773109,1056,20,73920,545,2931,907,5588,247192,T
875452893,3274,95,88398,545,1930,907,3799,246989,F
582237151,2562,46,166530,545,628,907,5932,246428,T
512745793,3214,60,221766,545,1198,453,6382,246865,F
046314168,2721,51,236727,545,2362,1814,7826,246837,T
136910733,3393,119,285012,545,1474,1360,3589,246888,F
542730079,2542,52,101680,545,988,907,7577,247351,T
893146081,3424,61,260224,545,514,453,4375,246666,F
275505640,2524,24,176680,545,2931,453,8029,246506,T
185760125,3304,87,320488,545,1057,907,4528,247091,F
457285465,2717,50,211926,545,753,1814,7293,246986,T
194143981,3291,99,236952,545,891,1360,3777,246462,F
809955325,2539,86,246283,545,977,1814,5497,246827,T
762099898,3215,93,147890,545,830,453,4358,246504,F
039846033,2618,73,251328,545,1081,1814,7996,246400,T
826541088,3295,92,230650,545,685,453,4155,246443,F
106995644,2564,78,99996,545,516,1360,4060,247005,T
056304680,3347,71,240984,545,872,453,4045,246439,F
624783458,3308,89,231560,545,662,453,6199,246469,F
800262954,2535,73,121680,545,904,2268,6196,246800,T
025066982,3338,64,180252,545,520,453,3923,246825,F
643089637,2761,92,63503,545,565,1814,6007,246853,T
631644807,2753,25,209228,545,5288,1814,3963,247323,T
156609241,3392,90,139072,545,10577,1360,3930,246695,F
132782878,968,1,96800,545,1053,1360,3896,246949,T
416274547,3353,68,214592,545,512,453,5853,246448,F
287656933,2801,69,70025,545,1013,2268,5515,246581,T
882776004,3306,108,327294,545,4423,907,3893,247036,F
407583369,3372,101,263016,545,491,1360,3994,246466,F
572113880,2550,35,170850,545,550,2268,3589,246668,T
431632474,904,6,77744,545,573,453,4325,247073,T
579876560,3306,80,281010,545,580,453,7206,247293,F
324145812,2571,84,190254,545,534,1814,7610,246428,T
455973226,3388,91,179564,545,532,453,3711,247075,F
825330194,3217,76,273445,545,1267,453,4385,246664,F
917365492,2652,77,206856,545,821,2268,4584,247157,T
499455027,2777,85,161066,545,1422,1360,7664,247302,T
902552073,3306,118,148770,545,650,907,3748,247106,F
