userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
360615899,1513,62,316217,607,7073,1395,4079,267317,T
871154542,2941,7,679371,790,3115,348,5882,267337,T
470005991,3047,16,588071,607,13085,1395,5768,267444,T
678547633,1458,61,295974,1006,8442,1395,5185,267977,T
752720137,4894,68,1154984,830,52342,348,5376,267911,F
407462051,1455,57,14550,1038,6542,1046,7015,267856,T
383563068,1483,76,17796,535,2814,1744,3931,267848,T
877512344,4941,57,583038,1195,16357,697,5335,267646,T
471777772,1404,80,102492,608,3398,1744,5515,267627,T
918310848,2909,19,372352,1168,3398,697,7869,267935,T
201203496,2924,13,581876,2468,4361,1046,7437,267836,T
242619671,1429,48,97172,1142,6231,1395,3629,267135,T
132960913,1545,74,106605,752,11378,697,5963,267619,T
565673287,2969,13,706622,797,4758,1046,7159,267685,T
156896039,4810,54,841750,758,3355,348,7703,268003,F
098727703,3064,4,67408,535,29079,1046,7401,267730,T
201239654,4881,74,449052,3008,4435,348,7100,267900,T
777786935,2955,11,481665,1437,12462,1395,7049,267271,T
448956771,1398,81,32154,676,5234,697,5595,267639,T
804684739,1535,75,38375,878,4026,697,3705,267669,T
383785571,2995,14,572045,1384,43618,348,6161,267584,T
669016786,1389,67,262521,1328,2875,1744,4014,267841,T
437940741,4893,49,601839,568,17447,697,6950,267123,F
878533403,1503,60,210420,747,5948,1395,5345,268048,T
204993154,1584,44,95040,538,2974,1395,6176,267261,T
297070258,4929,71,502758,1085,8442,348,7890,267776,T
846499193,1537,76,141404,652,5234,348,5979,267266,T
684159252,1537,61,70702,828,2974,1046,5850,267421,T
664145221,4764,39,295368,1147,3489,348,5721,267682,T
541856157,3156,65,495492,1042,43618,697,3558,267192,F
566479239,1412,81,231568,976,2974,1395,7263,267804,T
154835692,3187,50,38244,2875,18693,1046,3569,267715,F
708051105,1489,68,56582,589,7073,1046,3624,267714,T
526210879,2979,4,494514,1152,3231,697,7118,267278,T
165472791,1499,73,46469,1147,4758,1744,4057,267441,T
759976960,4786,35,100506,1252,12462,1046,3992,267079,T
380681744,1390,81,282170,1034,3536,1744,6123,267765,T
771508632,1399,73,145496,807,3792,1744,7569,267264,T
767075659,1456,77,27664,2316,7073,1046,3439,267834,T
118886901,4849,36,1018290,2256,3398,697,4022,267720,T
189694810,1546,53,17006,1768,17447,1046,4113,267766,T
223843330,2930,30,527400,3634,4026,697,5523,267273,T
182584756,4914,72,442260,1756,3906,348,5222,267142,T
315336456,1416,72,303024,681,3489,1046,5454,267676,T
141728506,1418,75,167324,536,5815,697,5826,267918,T
606917887,3014,15,515394,1142,3153,697,5198,267077,T
858283171,4799,37,158367,688,4435,697,4414,267973,F
618872516,1541,67,124821,608,2844,1744,7223,267283,T
251973991,3065,4,567025,2013,26171,1395,7825,267976,T
612140204,2881,7,602129,1010,8723,348,7496,267639,T
474082022,1539,68,98496,1077,16357,697,5887,268061,T
468977302,1524,45,274320,918,6710,1046,5537,267596,T
243726758,1508,67,203580,662,21809,1046,5529,267638,T
963043564,3039,21,695931,1173,5341,697,5432,268026,T
821930799,1512,65,127008,2060,3355,1046,4432,268051,T
422215889,1496,44,112200,2275,4435,1395,7955,267494,T
905872077,3163,63,363745,3489,3906,697,4347,267710,T
572681089,3067,67,193221,2492,5689,348,3924,267367,F
731896468,4931,52,867856,1445,2726,697,7226,267871,T
087650898,3020,27,374480,2162,4846,348,5244,267975,T
463704814,1421,81,129311,709,6542,1744,4181,267291,T
729217796,1539,71,273942,863,4435,697,4106,267429,T
002549970,1547,80,280007,579,4937,1395,6130,267800,T
030440111,1407,50,226527,1128,2940,1744,7223,267318,T
304777486,4804,38,739816,524,2698,697,7944,267901,F
838256070,1475,46,247800,836,8178,348,4368,268047,T
636204105,1508,65,226200,545,11896,348,7972,267912,T
157313868,1435,71,353010,3355,17447,1046,3727,267527,T
189243049,4761,60,304704,1059,2754,348,3940,267675,T
344672330,1578,82,389766,705,4435,348,5721,268008,T
827922210,3008,8,676800,1635,7930,1046,3926,267357,T
962882574,2989,29,427427,1710,2726,1046,6226,267503,T
902172351,1555,70,65310,3231,20131,1046,5922,267393,T
116785305,1444,59,358112,1445,3906,1046,7310,267101,T
592405696,1421,53,86681,550,2940,348,4093,267396,T
573319336,1570,59,50240,1521,5568,1744,3731,267369,T
489959958,4910,44,1188220,1804,4937,697,7537,267176,T
747809661,4845,36,92055,1392,3078,697,3980,267426,T
264581700,1418,44,89334,790,3634,1395,4148,267081,T
634275602,1514,67,83270,614,10065,697,7074,267119,T
255442491,4892,68,317980,1168,3792,1046,7931,267210,T
226619129,4839,43,546807,1615,2940,1395,3570,267593,T
975949217,3048,9,728472,1010,4221,697,3700,267079,T
758127675,2877,16,152481,1710,29079,697,6201,267670,T
603654092,1549,52,120822,2379,43618,1046,7792,267353,T
918950221,4798,70,902024,2180,4089,1046,3820,267582,T
156706401,2957,42,739250,1699,7477,697,7972,268019,T
680620056,1524,83,288036,1059,37387,348,7069,267224,T
463614914,1474,81,336072,2060,7477,697,5370,267134,T
091568992,1512,72,267624,951,2974,1046,5392,267208,T
867896861,1419,80,24123,1051,20131,1046,3595,267867,T
856903998,1466,70,280006,1377,5131,348,3514,267144,T
916646218,2962,8,429490,1137,6887,697,4175,267544,T
265772022,4862,59,199342,844,7073,697,7736,267977,F
531221212,4822,74,48220,623,2814,348,7748,267951,F
603484814,3058,13,330264,671,29079,697,7176,267669,T
010041678,4816,73,105952,2077,8442,697,3894,267543,T
722207355,1438,84,126544,872,3271,1744,4002,267942,T
014280000,1392,46,324336,958,2814,697,5239,267570,T
255147881,4837,61,270872,1095,4361,348,3641,267527,T
618434724,1421,63,260043,604,3585,1395,5628,267970,T
110608482,4920,51,806880,539,3271,1046,7884,268046,F
357757167,4874,37,872446,830,4026,1046,7403,267948,F
759658506,1430,74,164450,944,23792,348,3586,267236,T
154801859,1427,45,184083,584,43618,1046,7738,267763,T
558447212,1421,54,292726,795,7269,1744,3468,267255,T
007541820,1519,80,249116,1437,4673,697,5550,267780,T
659234324,1500,78,103500,707,5452,1744,7473,267128,T
329657464,1564,51,23460,2670,2875,1395,3555,267785,T
476809355,1464,63,36600,711,3398,1046,5810,267371,T
303256708,1445,54,169065,1635,10904,1744,7368,267594,T
522799388,1432,70,38664,649,6231,1395,5883,267098,T
136249085,4791,73,689904,860,3271,697,3584,267130,F
976282107,2909,32,398533,2445,16357,348,7639,267874,T
035527713,1532,82,111836,951,2814,348,3733,268054,T
426685400,1569,58,323214,632,3043,1744,7788,267349,T
209424166,1441,51,223355,1530,10468,1395,3930,267068,T
746852130,1568,75,288512,1997,14539,697,4063,267916,T
472686031,1422,55,334170,2698,13085,1744,4254,267956,T
830357390,4864,58,194560,1222,9024,697,6079,267624,T
853176982,4865,63,330820,2336,5948,697,3667,267619,T
897093670,1436,67,221144,991,2754,348,5239,267309,T
770330388,1503,74,287073,3078,5948,348,3693,268067,T
788342437,1579,48,372644,620,4361,1744,7676,267213,T
271686249,1497,49,258981,828,4290,1046,7071,267763,T
138452509,2880,16,489600,2670,4512,1395,6007,267789,T
376424478,1497,53,62874,951,4591,1744,5770,267859,T
014222966,1576,77,113472,667,3634,348,7829,267833,T
518779989,1508,45,289536,1407,52342,697,7433,267476,T
922052808,1391,52,237861,594,15394,1395,4424,267163,T
911547261,1497,73,302394,1370,3489,1744,5726,267136,T
385653235,1560,66,283920,1688,3043,697,5394,267497,T
428401270,3105,58,562005,603,52342,348,6104,267249,F
311044923,1472,79,325312,701,4846,1395,3469,267863,T
986869657,4925,34,709200,1002,4361,697,3523,267556,T
325247478,1448,72,20272,817,3398,697,5661,267316,T
065424697,4873,41,643236,731,3792,697,5932,267988,F
014098117,2944,21,521088,579,5948,1046,3918,267640,T
450189890,1425,63,125400,1430,8442,697,7519,267528,T
216722716,1506,46,367464,703,3906,348,5592,267924,T
843541330,4842,54,1128186,636,20131,348,5690,267103,F
629520407,1514,45,211960,1055,2875,1046,7210,267978,T
422129365,2946,30,612768,536,4361,697,5809,267467,T
176033575,4878,50,321948,915,13085,348,7729,267219,F
604026803,3086,87,370320,3271,10468,697,4134,267287,F
190306738,4753,51,912576,763,2875,348,6152,267608,F
179798412,1404,75,231660,2468,6887,1744,7933,267755,T
578771963,4934,54,518070,1055,14539,697,7907,267530,T
135673215,4865,37,87570,632,8178,1046,7906,267088,F
012383327,1499,76,19487,644,7697,1046,5438,267304,T
748222371,1428,76,111384,1924,5568,697,3715,267141,T
956210599,1421,61,25578,1059,3585,1395,6160,267204,T
905603792,1389,65,148623,643,3191,1395,3905,267914,T
570646553,1440,82,250560,875,16357,1744,7488,267648,T
534876272,1463,71,200431,570,26171,1744,7533,267758,T
571543590,1565,67,363080,2357,4512,1744,7326,267729,T
255456826,1459,66,195506,707,3355,1046,5690,267295,T
985199883,1561,67,384006,671,3965,1046,7050,267734,T
230309021,1495,44,216775,1046,5568,1744,5331,267723,T
259780689,3028,11,420892,1206,7930,348,5833,267632,T
416371197,2997,20,743256,550,17447,697,7631,267315,T
003800146,1544,52,125064,624,7269,348,3780,267877,T
971116488,4786,66,172296,1168,6231,1046,6998,267644,T
842236240,1453,54,331284,1264,2844,1395,7045,267389,T
301489508,4749,38,897561,778,2974,697,7125,267412,F
503632087,1480,57,140600,830,6231,348,5535,267545,T
049450380,1508,51,269932,2643,3398,1395,5503,267348,T
436560092,4883,48,620141,1487,3489,697,3763,267384,T
156687766,2939,32,493752,1982,10468,1046,7524,267217,T
526445137,3071,68,122840,2844,17447,348,7704,268019,F
873783198,1544,70,231600,896,3686,1046,6156,267636,T
679544899,4905,47,1005525,2591,20131,348,7158,267317,T
699062688,2979,8,238320,2445,4361,1046,4263,267778,T
660175958,1561,81,160783,1982,5452,1395,6957,267276,T
638689268,1512,81,122472,711,5568,697,6080,267726,T
695982596,4785,44,445005,1478,2940,1046,3893,267247,T
494494769,1418,63,207028,1392,5341,1395,5586,267928,T
917371055,1557,78,24912,623,8723,1046,6060,267117,T
201055417,1525,66,184525,2401,21809,1395,6078,267805,T
184948818,3010,36,526750,2379,6710,697,7835,268062,T
368725099,3066,33,671454,1200,5131,1046,6014,267533,T
528951696,2922,29,90582,2875,7477,697,7666,267986,T
933316767,1471,74,339801,1414,17447,348,5398,267814,T
951976192,1447,44,134571,1022,5948,348,5821,267619,T
541073740,1583,59,140887,1195,3043,697,3467,267194,T
205092886,1547,44,326417,756,3008,348,3957,267798,T
775169696,1514,68,257380,1586,13774,348,4378,267159,T
462014714,1419,44,93654,703,2940,348,7119,267310,T
142550690,4752,59,864864,2907,3443,697,5695,267127,T
102593964,4867,44,768986,649,2670,1046,3907,267230,F
853770440,1580,62,58460,969,3271,1395,7243,267812,T
322556395,1564,45,217396,644,26171,348,5346,267116,T
067070652,4759,65,52349,1656,6383,348,7183,267569,T
757837099,1473,48,58920,2565,6231,1046,5253,267726,T
821513134,1475,59,61950,713,3008,697,7373,267615,T
037512797,1485,57,201960,699,3848,348,5256,268006,T
963618214,1507,76,24112,1462,43618,1395,5881,267686,T
768590718,4800,46,504000,598,6383,697,4454,267638,F
313938534,1438,77,76214,575,7697,697,5192,267860,T
358594147,1538,52,53830,579,11896,1046,3546,267964,T
905158279,1392,76,286752,1453,3078,1046,7110,267728,T
542130297,1407,70,322203,570,2670,1395,3880,268022,T
686150637,2988,4,702180,643,5234,348,6126,267483,T
764703137,1586,72,207766,1342,4673,1744,7183,267757,T
330111654,1533,68,144102,2591,3965,1046,7525,267226,T
425944747,1407,70,240597,1085,2907,697,6152,267144,T
051227742,1506,45,87348,2974,2940,697,3483,267065,T
370457678,1451,60,140747,626,4435,1744,7321,267212,T
572496555,4870,60,336030,778,9346,348,3811,267821,F
897081624,2931,31,677061,530,17447,697,4367,267328,T
854332105,1505,72,37625,610,3355,348,7311,267309,T
723477440,4783,62,506998,577,3792,697,3608,267096,F
360129562,1526,74,103768,570,5452,1395,3772,267153,T
504216000,2973,26,184326,1768,3043,697,4297,267555,T
724970024,3066,34,738906,1302,8723,348,7166,267179,T
058227100,1537,44,239772,2028,6887,1744,6972,267464,T
492286186,4882,64,292920,987,4758,348,5781,267627,T
431833391,4941,34,647271,540,3115,697,7653,267232,F
376592384,1516,80,118248,3536,3443,697,4006,267561,T
135385449,2932,6,630380,1072,7697,348,3614,267671,T
566535784,1531,84,131666,2316,43618,1744,7851,267382,T
388803817,1582,74,242046,1557,2698,1046,4456,267377,T
945970909,3121,53,421335,2698,8723,697,5523,267444,F
324858565,1458,83,32076,1363,4154,348,7662,268036,T
725811345,3035,26,746610,1168,7477,697,5519,267223,T
841187525,1586,50,149084,955,4435,1395,7140,267765,T
914862143,3004,9,459612,1289,8178,1046,7196,267745,T
353643454,4765,56,443145,568,13085,348,3798,267552,F
940293915,4940,64,983060,555,5815,697,7736,267913,F
142727475,1432,82,60144,614,4221,697,3487,267337,T
240809321,1550,76,257300,1046,4290,1046,5770,267845,T
498899356,2903,5,484801,2093,5948,1046,7426,267427,T
755469432,2912,20,605696,1462,3585,1395,5507,267984,T
010536304,4836,52,778596,863,3686,1046,3484,267828,F
544702295,4833,49,198153,699,2907,697,7659,267978,F
173947257,1420,79,109340,951,3008,348,5496,267527,T
979981266,4769,42,596125,1721,12462,348,4181,267318,T
877820275,1433,79,123238,555,2844,348,3778,267326,T
372083886,4851,57,1106028,690,2907,1046,3536,267339,F
391552335,1436,81,354692,962,7269,1744,5640,267758,T
533291556,1541,59,300495,696,2844,1744,3811,267372,T
441195914,4882,72,234336,579,3271,348,7069,267734,F
923538436,2958,3,94656,2336,2907,697,7510,267387,T
016403189,2930,37,439500,1910,3078,348,7961,267855,T
198248194,3033,10,709722,1211,5568,1046,5761,267529,T
114217738,1412,62,74836,1222,10065,697,5346,268049,T
197283865,3049,19,521379,972,37387,697,7263,267743,T
413861042,4767,38,896196,1200,2754,348,4292,267319,T
984510503,1562,62,343640,1042,3906,697,4258,267682,T
770261377,4947,49,1088340,529,8442,1046,6939,267286,F
855349695,3039,23,653385,846,32714,697,7171,267603,T
043316796,1502,65,184746,531,10468,1744,3713,267065,T
726166440,4929,45,571764,1780,13085,348,7751,267148,T
439963705,4778,57,750146,1147,6383,348,4190,267773,T
421960050,4819,67,771040,3489,6086,1046,3949,267926,T
382721258,4907,72,1025563,726,2670,697,5604,267993,F
562014052,1387,65,109573,688,29079,1744,3734,267367,T
633069243,4872,47,1047480,696,2907,1046,5583,267121,F
446966931,1416,63,94872,554,4154,1744,7096,267708,T
961975035,3188,84,647164,2617,3585,697,3671,268015,F
650014050,3025,80,508200,3043,10468,348,3965,267688,F
332006126,4933,37,73995,2162,20131,348,4082,267782,T
442324323,1477,59,47264,2468,7697,1046,5973,267912,T
921705191,4859,50,830889,2044,4512,348,7027,267227,T
484916498,1427,63,77058,1104,3271,1046,7670,267411,T
330110585,4876,71,984952,941,2670,697,5964,267957,F
580010746,4793,45,100653,1321,2754,697,5705,267313,T
339371530,4930,35,364820,2357,2814,697,3893,267373,T
427454809,3151,61,787750,2617,5948,697,3723,267190,F
600270317,1471,61,235360,1830,26171,1744,5608,267577,T
522215784,1486,62,228844,776,10468,697,6034,267284,T
960300552,2914,8,512864,731,5568,697,4187,267991,T
652256599,1438,59,76214,991,3043,1395,3509,267157,T
502274824,4754,65,865228,611,2617,348,6215,267553,F
824632257,4925,54,1083500,1938,7697,348,5285,267405,T
643847764,3041,9,705512,875,9024,1046,5320,267353,T
372266354,1510,64,16610,1289,18693,348,4132,267186,T
622430592,3127,81,231398,3271,2844,348,5788,267902,F
960959787,1405,60,22480,560,10904,1395,6093,267856,T
116762150,1540,67,355740,797,2698,348,3885,267942,T
462886119,1463,79,301378,724,4089,1046,5691,268038,T
462696840,2979,4,548136,2875,9693,1046,7224,267293,T
