userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
436023881,388,14,65960,5670,14581,1033,5769,584837,T
306895118,462,6,103950,3448,6300,2067,6141,584787,T
929274697,2945,47,376960,1695,8649,1550,8566,585321,T
626407708,542,11,62330,2804,9278,1550,11209,584697,T
143017913,2726,545,406174,1453,6460,516,10643,585172,T
095503977,472,1,87792,1492,6075,516,10643,585012,T
398032433,537,1,32757,1869,7290,1033,8253,585057,T
954883734,2959,56,216007,2330,22188,1033,10838,585004,T
262765631,2964,43,130416,1052,5866,1033,8560,585060,F
326222561,2901,63,78327,1970,6379,1033,8472,584489,T
590603369,434,1,42532,4050,10006,516,5297,584755,T
690182006,485,1,72750,1275,7617,516,5808,584497,T
539953208,2962,57,441338,2171,5670,516,10692,584636,T
852400935,2926,54,593978,1282,10858,1550,7723,585374,T
017305876,502,13,11546,1684,12151,2067,8111,584402,T
050541555,2453,22,127556,2526,16462,2584,10588,585276,T
366131635,531,23,21240,1904,15464,516,5698,585310,T
056116319,2781,544,91773,1220,7974,2067,8236,584814,T
561362413,542,12,94308,5429,15010,1033,5147,584744,T
709437001,2957,66,712637,1295,6300,1550,10856,584825,T
560064291,2960,60,275280,6379,20413,1550,6083,584500,T
239478336,2435,19,591705,1181,39257,2067,10365,585275,T
286864843,2985,47,95520,1292,9814,1033,11312,584660,T
452799456,2436,36,341040,1718,6627,2584,10497,584464,T
705138261,559,12,71552,5316,20413,516,7984,585336,T
075970152,549,21,17568,1078,16462,1033,10295,584922,T
585043101,547,2,30632,2617,5429,2067,5942,584387,T
744850113,2487,27,179064,1796,5261,2067,7711,584412,T
099689040,543,8,94482,1088,5429,2584,5482,585215,T
185563727,3001,74,552184,2773,14581,2584,5837,584959,F
617155939,481,20,104377,1102,8953,1033,5697,585346,T
712296412,2876,68,664356,1063,13430,1550,7863,584685,F
882314894,2913,64,291300,4516,8505,2067,8510,584418,F
633613364,2982,40,92442,1474,6148,2067,7920,584535,F
362276823,1809,5,54270,1072,7088,516,8555,585018,T
594870838,2793,543,94962,3130,8100,1033,6118,585125,T
915624008,2904,77,185856,1058,39257,2067,5257,585202,F
605704870,2438,24,258428,1394,7974,1550,11329,584968,T
663632450,478,13,31070,2319,8231,516,8103,584547,T
017562342,2898,41,307188,1232,8799,1550,8506,585158,T
808370783,2492,5,152012,2835,26860,2584,7782,584654,T
