userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
430267424,2785,540,116970,1131,1985,2067,5897,584432,T
896502309,2966,88,154232,1131,2362,2067,5496,585160,F
703383753,2924,577,70176,1131,2418,1550,10680,585221,T
285356333,2962,100,74050,1131,1058,2067,5698,584696,F
199940615,2808,533,272376,1131,1200,2067,5509,584752,T
591546679,2985,99,164175,1131,2658,2067,6059,584805,F
730840283,2712,531,84072,1131,2268,1033,10372,585229,T
013633849,2967,50,160218,1131,5316,2067,5976,585161,F
335317963,2940,48,164640,1131,15948,2067,6100,584975,F
193580002,606,51,12120,1131,1350,1033,10882,584554,T
582470070,3059,52,214130,1131,1124,516,7818,584603,T
413022565,3141,98,72243,1131,1933,2584,5453,585073,F
493048074,535,46,48150,1131,2603,1550,5450,585322,T
112542894,1935,13,46440,1131,1483,2067,5838,585318,F
861152135,2731,571,155667,1131,1329,516,5448,584993,T
150081700,3130,61,222230,1131,1667,2584,5315,584417,F
671452767,422,1,34604,1131,11598,1550,8555,585353,T
527563498,3158,109,113688,1131,1119,2067,5630,584576,F
342829285,2630,530,163060,1131,2309,2067,7784,584435,T
017645954,2868,53,146268,1131,6627,2584,5235,585302,F
988727647,2556,42,199368,1131,1045,2584,10523,585192,T
889485814,2879,105,218804,1131,12447,2584,5324,584491,F
383014105,2504,15,175280,1131,3780,2584,8414,584937,T
652131632,2931,79,243273,1131,6627,2067,6068,584966,F
551014903,2740,530,197280,1131,4115,2067,8151,584745,T
062466475,3124,91,268664,1131,1729,2584,5285,585197,F
733124030,536,7,53064,1131,4476,2584,5253,584583,T
856988841,2988,47,182268,1131,2835,2067,5293,584421,F
433269569,2002,23,158158,1131,1479,516,8083,584395,T
422596157,2939,103,229242,1131,1090,2067,5930,584841,F
960118580,2875,74,276000,1131,3074,1550,7922,584915,T
517182521,3029,69,215059,1131,1350,2067,5917,585124,F
929152332,2917,587,221692,1131,1911,1550,5192,584857,T
890831607,2992,70,215424,1131,3074,2584,5480,584915,F
313863407,2915,536,102025,1131,3471,1550,5406,584505,T
957748666,3080,89,277200,1131,2083,2067,5566,584600,F
864016935,2494,1,102254,1131,1678,2584,10550,584668,T
347742636,3064,48,101112,1131,2117,2067,5854,584519,F
624445493,2844,556,142200,1131,2218,1033,11244,585312,T
922164276,2945,102,129580,1131,3619,2067,5394,585235,F
432514461,2910,62,256080,1131,7187,1550,7715,584455,T
180219261,3006,57,222444,1131,10206,2584,5218,584503,F
888788199,2681,585,96516,1131,3271,1033,6081,584995,T
908194670,3062,68,241898,1131,1054,2067,5551,585329,F
799261261,2775,538,166500,1131,1555,2584,6127,584790,T
975676052,2987,105,197142,1131,2033,2067,5678,584630,F
470692569,3141,52,201024,1131,2671,516,10939,584918,T
370694614,3044,56,301356,1131,1043,2067,7790,584791,F
714625382,2712,587,108480,1131,3593,2584,5369,584582,T
883724741,1782,23,81972,1131,2577,2067,5887,585157,F
440929266,564,20,44556,1131,1238,1033,8449,584553,T
903044249,2905,46,212065,1131,2144,2067,5774,585332,F
734448810,2913,591,93216,1131,1599,516,10581,584589,T
602172983,3120,45,308880,1131,1689,2067,6151,585040,F
990548572,476,36,41412,1131,2819,1550,10289,585169,T
615581642,2950,107,174050,1131,1141,2067,5483,584549,F
892079542,441,1,12348,1131,1509,516,8280,584547,T
084091807,3076,97,126116,1131,4183,2584,5405,584667,F
700050441,564,52,18612,1131,6896,1550,8253,584667,T
710392985,3136,99,65856,1131,1301,2067,7814,585260,F
064867229,536,33,30016,1131,1712,516,7937,584882,T
217112055,2949,76,58980,1131,2066,2067,5892,584564,F
116520536,2771,564,116382,1131,1390,2584,5696,584482,T
106425040,3036,39,291456,1131,1119,2067,5380,584688,F
467186971,2944,51,64768,1131,1288,1033,10782,584512,T
684143152,3065,39,217615,1131,9278,2584,5469,585195,F
145741230,2718,581,133182,1131,2278,1550,5638,584535,T
203353903,2965,74,189760,1131,2819,2067,5265,585146,F
227961408,2533,47,111452,1131,2278,2584,11154,585046,T
805372411,3105,70,149040,1131,1615,2067,7929,585099,F
546098989,395,1,37920,1131,3189,516,10984,585129,T
723237943,2981,59,274252,1131,9629,2067,6030,584750,F
637457099,3023,94,60460,1131,1275,2584,5237,584408,F
022832938,2904,560,153912,1131,1305,1033,5795,584459,T
895653146,2554,32,130254,1131,2362,2584,11099,584997,T
671919817,3052,72,213640,1131,1842,2067,6111,584534,F
071718645,605,41,20570,1131,4639,1033,11328,584454,T
089658914,2951,66,224276,1131,1379,2584,5251,584407,F
674556246,2437,12,80421,1131,2514,2584,10985,584433,T
554372975,3163,101,196106,1131,1170,2067,5437,584468,F
843699794,1907,19,101071,1131,1033,516,7950,584546,T
227547619,3044,62,237432,1131,1580,2584,5300,584689,F
563053653,2020,32,66660,1131,3055,516,8709,584875,T
997479993,3085,87,126485,1131,1784,2067,5566,584764,F
792205750,2860,560,220220,1131,3671,2584,5912,584624,T
043524032,3126,39,93780,1131,1238,2067,5468,584502,F
509941683,429,1,28314,1131,1305,516,10617,584869,T
910396394,3132,74,175392,1131,1335,2067,7708,584851,F
909474493,631,14,48587,1131,1835,1550,10574,584442,T
261630373,2980,99,104300,1131,1433,2067,7809,585063,F
692589737,3005,87,273455,1131,3335,1033,8011,585123,T
187595433,3112,79,199168,1131,4115,2067,5127,584446,F
262420733,2696,559,107840,1131,1911,1550,7842,584967,T
106901430,2928,99,64416,1131,1061,2584,5700,584402,F
367426293,371,41,27454,1131,2773,1550,7982,584937,T
569852457,3072,65,92160,1131,2384,2067,5798,584575,F
515984461,2993,103,191552,1131,1809,1550,7911,584596,T
426184752,3066,64,279006,1131,15464,2067,7828,584506,F
600199363,511,40,48545,1131,2630,516,8026,584511,T
