userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
608578914,3938,54,952996,1608,16386,1190,4022,532861,T
553895416,1916,371,333384,3429,5085,1586,2432,532606,T
261859139,1202,14,100968,1741,6411,1983,1993,532892,T
330899427,1882,375,111038,1095,17696,1586,2422,533229,T
535216225,1253,23,121541,1348,13012,1190,2586,532663,T
575372852,3417,195,211854,4213,7022,793,2379,533149,T
911787364,1895,399,356260,1557,7252,793,3356,532639,T
340575483,3931,68,888406,919,5745,1586,3198,532514,F
572766417,1143,11,101727,2077,8347,396,2422,532491,T
107551854,1866,362,153012,5600,8347,1190,2391,532897,T
740488003,1250,1,43750,2929,6060,1983,2389,533241,T
228732569,1246,2,291564,2747,5330,1983,2866,532895,T
507100634,3776,38,834496,1114,7252,1586,2267,533186,F
875028645,1249,22,196093,912,5395,1983,4018,532259,T
761306374,1873,370,170443,1301,26024,1586,3238,532921,T
763626837,1972,361,185368,1464,9029,1983,3319,532496,T
095614677,1825,399,182500,1858,7373,1190,2185,532926,T
523812052,1912,399,240912,1282,23285,1586,3783,532753,T
645015902,1079,11,71214,1111,10790,793,1934,532374,T
072505345,1113,11,50085,974,5204,1586,2092,532370,T
295282140,3953,53,802459,1755,16386,1983,3152,532869,T
921672538,1197,23,244188,1404,7373,1190,2603,533024,T
378693376,1164,6,62856,921,20110,1983,2600,532572,T
578331271,2004,380,128256,4608,11957,396,3653,532422,T
059459644,1181,1,75584,1404,6411,396,2147,532399,T
909739124,1146,4,203988,998,9413,1983,3343,532464,T
686089886,1195,27,295165,953,8848,1983,2409,532650,T
978896481,3891,34,463029,2800,13012,1586,2247,532275,T
537168702,1195,1,224660,4424,5898,1586,3265,532847,T
851629753,1212,27,50904,1066,15800,396,3229,532966,T
042881334,1074,1,67662,1734,24579,793,3198,533043,T
853437239,1144,11,60632,1043,5530,1586,2261,533154,T
638113855,3868,33,386800,2168,5027,1983,3214,532649,T
147512541,1819,363,23647,899,73737,396,3822,532457,T
907969221,1148,15,190568,1021,20110,396,2946,532811,T
170918790,1205,23,285585,2910,24579,1190,3475,533096,T
757275468,1898,368,294190,1843,7900,1983,3997,532842,T
846560750,3899,34,448385,1983,34032,1586,2663,532557,T
436939727,3930,45,428370,2011,9217,1983,1993,532460,T
787361995,3408,210,545280,1474,6231,396,2497,532451,T
317523127,1098,5,88938,897,55303,1586,2664,532280,T
670718690,1077,1,157242,1140,6912,1190,2771,533246,T
328652962,1807,361,74087,3093,23285,793,1976,532928,T
749531829,1918,363,76720,3301,10533,1190,1604,533064,T
543439202,1095,19,81030,2353,4861,396,3453,532876,T
545728984,1127,7,236670,3229,4514,1190,2257,533138,T
330548935,1972,370,266220,2891,8674,793,2399,532775,T
202449194,3858,35,169752,4808,40220,1983,1993,532753,T
003010918,3483,195,567729,1597,27651,396,2147,533235,T
502449097,3938,38,606452,1755,8193,1586,3710,532723,T
905453379,1198,18,156938,1404,11957,1190,2294,533095,T
060484947,1244,1,33588,1714,15256,1190,3363,532276,T
757977420,3832,48,954168,1079,5745,1586,2952,532683,F
540442596,1898,394,201188,1923,40220,396,2369,533073,T
226763919,3477,194,678015,1494,4514,1190,2918,533076,T
126205822,1201,13,58849,908,24579,396,2988,532573,T
217796273,1190,3,255850,1915,63203,1983,3909,532791,T
271447017,3827,51,551088,1638,7900,1983,3052,532898,T
536606487,1816,397,116224,937,20110,793,2400,532534,T
314009275,1890,397,117180,1541,5745,793,2790,532870,T
586436618,1172,1,152360,3429,4915,1983,1993,532346,T
471386587,1233,26,305784,929,6060,793,3654,533200,T
406712374,1950,397,208650,1464,8674,1190,2024,532868,T
681103634,1896,365,322320,1632,10790,1190,2968,532275,T
936491258,3300,188,475200,2969,5745,793,2241,533228,T
217909259,3345,198,782730,1650,16386,1586,4012,532910,T
229896026,1266,10,27852,1202,6912,1586,2940,532810,T
542839608,1913,386,464859,1063,8508,1983,1993,532824,T
219123039,1218,26,28014,2681,6320,1983,3014,532686,T
638310206,1111,14,237754,3277,5085,1190,3867,532706,T
376748710,1114,1,114742,1158,7252,793,3957,532276,T
937949623,3370,205,556050,904,4561,396,2915,532399,T
663953701,3441,186,657231,1076,5395,396,3361,532270,T
487714391,1104,28,26496,1418,11060,1983,3308,532849,T
218431472,1936,380,27104,3253,8848,793,2924,532628,T
263236254,1978,362,449006,5821,4424,1586,1622,533192,T
180348479,3474,204,625320,943,7135,396,3174,532756,T
477846206,1851,390,131421,1128,31601,1190,3002,532830,T
215530180,1266,1,151920,910,5978,1586,2586,532933,T
179319834,1874,370,121810,1650,55303,793,2892,533177,T
641448974,1891,380,336598,1271,6144,396,3199,532456,T
688121078,1091,23,63278,4254,10288,1190,1681,532865,T
895746886,1978,389,350106,1114,4561,1190,2984,532895,T
778879883,1121,10,141246,4915,17016,793,3420,532543,T
283362139,3945,56,240645,2304,6806,1983,3577,533084,T
347700092,1927,388,329517,1170,5204,793,3327,532890,T
946821809,1915,396,329380,1179,5462,396,2427,533023,T
521537035,1861,374,292177,1328,26024,1190,2531,532656,T
372293748,3469,211,759711,1798,11344,1190,1691,533086,T
163919090,3804,42,220632,2268,36868,1586,2151,533132,T
348932066,3474,182,291816,4424,4657,396,3596,532482,T
437571302,1962,386,72594,1714,12289,793,2410,532853,T
380968148,1212,9,72720,1340,4424,1586,3309,532272,T
561882602,1217,31,188635,2365,55303,1983,2813,533238,T
077589165,1213,7,287481,1253,18434,1983,1993,533064,T
811667012,1087,13,69568,1348,20110,396,3873,532574,T
460126059,1926,398,385200,998,40220,793,2517,532409,T
678781064,1829,365,117056,3539,10055,1190,3169,532588,T
039165910,1265,29,156860,2731,6060,1190,3071,533072,T
668044256,1823,365,339078,2304,73737,1586,3378,532977,T
744021324,1965,385,170955,1134,5266,1586,4169,533114,T
908571499,1974,394,29610,1391,19235,1190,2482,532294,T
875990567,2006,380,298894,1239,6703,396,2990,532904,T
429025787,1855,382,346885,1031,12640,1586,3956,533165,T
180024048,1171,28,115929,1128,14271,1190,3133,532647,T
193698675,3485,215,763215,1152,5978,1983,1993,532823,T
178305791,3412,209,668752,5672,19235,396,3861,532699,T
325328179,1189,11,186673,931,5266,1190,2349,532419,T
606538640,1820,368,89180,1242,7628,793,1920,533233,T
239629447,1897,369,22764,2665,11344,396,2914,533097,T
260062690,3892,52,930188,2471,5978,1190,3765,532831,T
542942214,1151,1,42587,2038,55303,1190,2116,533185,T
534967102,1838,396,55140,1408,14271,793,1633,533162,T
853118575,3869,55,410114,1632,6060,1983,3819,532445,T
831321643,1266,1,20256,4058,10790,1586,3505,533216,T
171936052,3942,58,607068,1164,8508,1586,3928,532787,F
454686629,1231,14,17234,1992,21067,1190,2069,532957,T
517858144,1888,361,303968,1120,4514,793,3243,533002,T
076000175,3401,216,789032,1728,10790,1586,2782,533251,T
220912660,1268,7,129336,3781,7498,793,1554,533164,T
409106331,3396,210,210552,5821,12289,1586,2587,532788,T
669896657,1846,366,167986,1422,9029,1190,3732,532786,T
101032989,1934,382,278496,1182,5144,793,3327,533099,T
436148860,1172,12,212132,812,2828,1064,3035,216129,F
642497601,1896,393,72048,2444,4808,396,3238,532493,T
046046998,3446,218,158516,5978,12289,1983,3306,532645,T
899696457,1179,15,73098,901,5530,793,2544,532577,T
269549954,1122,6,255816,904,6603,1190,3483,532683,T
979295809,1164,5,107088,1563,13825,396,1717,533215,T
344942675,3368,192,579296,1992,5204,396,3455,532964,T
299833672,1826,396,251988,4657,22121,1190,2305,532436,T
000118461,3378,183,743160,1369,34032,1586,1832,532555,T
322014256,1189,24,105821,886,12640,1586,3496,532347,T
251734271,1883,399,369068,951,5144,1586,2963,532807,T
430833460,1947,391,95403,1149,11060,1586,3325,532883,T
662102389,1816,393,139832,2001,22121,396,3231,532919,T
311943996,3299,196,458561,6060,5266,793,3098,532303,T
625578824,3314,211,447390,2234,5085,396,2324,533204,T
912897625,1892,383,79464,1186,49158,1586,2727,532728,T
475910304,1081,11,62698,1373,4561,1983,2095,532921,T
041953705,3310,192,155570,3539,5330,1983,2400,532807,T
385488295,1850,374,407000,927,8508,793,1823,532384,T
814831693,2004,388,242484,1701,5462,1586,3817,533234,T
141190558,3406,205,681200,2747,14747,1586,1853,532373,T
680725104,3385,218,551755,2714,17016,1586,2055,533101,T
534676063,1849,387,49923,1395,8508,1190,2290,532484,T
808827133,1194,26,120594,3277,7373,1190,4157,533005,T
835466947,1820,374,116480,3137,8193,1983,2082,532364,T
266968807,1923,397,430752,945,4757,1586,2018,532942,T
459515642,3339,195,340578,4295,8848,1586,3909,532835,T
320688286,3458,180,805714,2147,7498,1983,2153,532300,T
889930496,1950,383,401700,4808,5462,396,2792,532706,T
142510429,1895,393,210345,2268,4608,793,2568,533158,T
971158079,1903,369,268323,1007,44242,1586,3915,532942,T
968072750,1924,399,455988,1066,73737,396,3295,532248,T
131948320,3404,179,309764,3781,23285,1190,2350,532964,T
326121056,1102,23,22040,929,7498,396,3762,533236,T
522955217,1105,29,266305,949,4424,793,2636,532588,T
940411020,1924,390,200096,1043,27651,1190,3457,532958,T
661263234,1231,15,306519,1246,17016,1983,1993,532486,T
513705427,1266,1,192432,1274,13406,1983,1993,532660,T
