userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
008963337,1325,3,71550,1344,11957,396,2965,532283,T
237473186,3991,98,207532,1344,44242,1983,1787,533002,F
449003473,1996,417,85828,1344,7252,1586,2445,532586,T
259936323,3949,91,355410,1344,937,1983,3790,532286,F
901570037,1848,389,92400,1344,2057,793,2131,532405,T
443103037,4019,91,365729,1344,5672,1983,2073,532992,F
908338755,1146,49,84804,1344,8044,1586,1948,532560,T
618540624,3978,77,298350,1344,5745,1983,4136,533236,F
099323621,2029,378,105508,1344,970,1983,4145,532544,T
018039944,3946,49,363032,1344,2485,1983,3374,532969,F
855889552,1157,37,27768,1344,3686,396,3395,532811,T
263128482,3892,77,354172,1344,983,1983,3886,532577,F
945377546,1211,44,94458,1344,14271,1586,4139,532479,T
348175141,4007,63,376658,1344,1260,1983,3490,532500,F
391628096,1309,5,94248,1344,1520,1190,1765,532316,T
866514186,3872,74,166496,1344,17016,1983,4103,532679,F
299911323,1947,391,146025,1344,2782,793,3345,532923,T
976971281,3983,56,330589,1344,34032,1983,3499,533168,F
690821873,1293,1,46548,1344,1340,1586,2088,532581,T
335371758,3952,43,324064,1344,1983,1983,3831,532564,F
668649408,1876,410,174468,1344,4380,793,3361,532904,T
885246156,3935,44,354150,1344,2430,1983,4078,532270,F
793895768,1846,406,101530,1344,8674,793,2677,532452,T
343677872,3914,87,352260,1344,12640,1983,2008,532958,F
424932207,1990,414,199000,1344,1494,793,2076,533220,T
328971062,3783,71,366951,1344,1798,1983,3879,532711,F
211167944,1923,403,111534,1344,2077,396,3021,533098,T
876972360,4008,97,344688,1344,2340,1983,3528,532906,F
749776351,1157,5,52065,1344,1682,1983,2557,532825,T
890820520,3861,81,343629,1344,12640,1983,3630,532267,F
676489865,1922,375,115320,1344,88484,1190,3319,532473,T
583567706,4022,83,249364,1344,23285,1983,3979,532336,F
089062883,1145,5,75570,1344,49158,396,2347,532514,T
801101000,3920,69,364560,1344,14747,1983,3548,532734,F
104944954,2042,379,193990,1344,2404,1983,1778,532838,T
416268515,3812,76,87676,1344,44242,1983,2488,532560,F
556602657,2042,378,132730,1344,1271,1983,1940,532277,T
858155203,3872,96,104544,1344,21067,1983,3421,532527,F
472212025,1912,395,133840,1344,1340,396,2432,532425,T
414771732,3911,86,164262,1344,22121,1983,3797,532758,F
602436290,1978,416,130548,1344,921,396,2979,533072,T
226795156,4007,61,396693,1344,3915,1983,2353,532648,F
246949450,1297,41,25940,1344,3985,1586,2266,532661,T
430516254,3787,90,355978,1344,1828,1983,3526,532961,F
798134187,1915,427,70855,1344,1714,396,3087,532312,T
420961088,3971,84,305767,1344,5462,1983,3689,532268,F
880467793,2077,409,182776,1344,5144,396,3743,532522,T
985411396,4026,67,362340,1344,7761,1983,1810,532881,F
864259844,1885,367,175305,1344,1058,1586,4038,532962,T
870823687,3965,48,392535,1344,1137,1983,3165,533210,F
814812666,2007,364,118413,1344,933,1190,3851,532566,T
844368325,3989,71,355021,1344,1131,1983,3907,532889,F
478645510,1987,389,192739,1344,1489,1586,3179,533106,T
296127148,3985,35,298875,1344,36868,1983,2775,533141,F
060973311,1176,6,99960,1344,2800,1190,3142,532803,T
861088950,4053,84,385035,1344,1320,1983,3228,533030,F
943124877,1325,60,86125,1344,1028,1190,2490,532599,T
130925524,4032,85,387072,1344,3429,1983,3212,532709,F
679478440,1203,50,119097,1344,888,793,2034,532985,T
678551267,3993,71,147741,1344,16386,1983,3931,532580,F
484022622,1949,362,62368,1344,2417,793,3108,532538,T
475377838,3965,58,261690,1344,1235,1983,4157,532347,F
180299206,1084,31,31436,1344,7022,793,2090,533239,T
845852745,3971,49,393129,1344,2096,1983,2504,532848,F
684669047,1263,16,50520,1344,1134,396,2724,533224,T
627405149,3862,75,366890,1344,1441,1983,4155,532553,F
