userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
604413975,1508,1,274456,1028,5230,704,6116,448213,T
543710080,4014,275,104364,3808,72360,704,3728,448845,T
566019223,1486,5,72814,1432,12060,704,3773,448812,T
812950189,3475,55,802725,1912,4618,704,6122,448202,F
895899165,4112,283,333072,1299,11734,1056,5788,448605,T
323105040,3985,265,75715,1964,4878,1761,6247,448275,T
299908244,1484,15,86072,1428,4933,1761,3949,448358,T
622571117,1503,1,356211,4668,18090,704,3663,448669,T
311827146,1543,5,373406,2107,16698,704,4387,448241,T
538612157,1552,19,127264,2019,12404,1056,7151,448202,T
280559699,3972,249,897672,1373,4824,1761,7254,448827,T
828060299,4095,277,556920,5495,9867,352,7802,449055,T
335033187,1578,4,378720,2730,28944,1056,5560,448960,T
592680318,3399,69,689997,4385,9867,352,6275,449121,T
124757205,1612,9,301444,1107,7002,1056,4303,448969,T
608722325,4555,228,223195,3445,72360,1056,3492,449025,T
234826146,3954,266,458664,2149,62022,704,4474,448318,T
830744850,4091,251,859110,1212,7358,1409,3882,448833,T
820816974,1527,24,164916,1361,4522,1409,5914,449049,T
641771617,3441,56,498945,2663,4878,1409,5789,448659,T
998280744,1604,3,197292,933,11132,1056,6269,448234,T
647315316,1497,1,232035,1222,4475,1409,7891,448395,T
235871717,4111,287,156218,2439,6030,1761,5575,448737,T
031861315,3449,52,231083,2466,6202,1409,6140,448781,T
427640370,4111,269,587873,1254,6679,1056,3614,448855,T
856062047,4571,260,146272,1212,4522,704,3511,448732,F
680970106,4072,259,529360,1002,5566,352,7415,448414,T
558154867,1626,18,347964,1053,7117,1056,7356,448905,T
830097266,4115,266,510260,4990,9648,704,7335,448675,T
698326965,1456,1,117936,3169,4770,352,3810,448958,T
142506153,1601,14,128080,3123,4933,1409,3809,448389,T
392092360,1522,1,243520,3445,22850,352,7419,448430,T
138765103,3936,254,940704,954,8512,1409,4153,448914,T
486003931,1451,1,298906,1000,9438,1409,5817,449127,T
611557242,1615,1,300390,1160,5230,1409,7697,448389,T
907629999,3993,279,219615,3314,4770,352,7298,448866,T
082650506,4086,251,931608,1053,5048,1761,3554,448860,T
132773043,4544,242,1099648,1567,8683,352,3706,448217,F
956320974,1446,1,202440,1136,9648,352,4208,449174,T
867503866,1472,16,356224,1323,12060,352,4487,448500,T
283840760,4046,262,129472,1432,72360,1056,4441,448493,T
308188381,4014,266,509778,1182,5712,352,8007,448951,T
467860457,4610,241,788310,3946,8683,704,4330,448373,T
778682965,3362,68,763174,898,4878,1409,6032,448862,F
121722673,1533,1,328062,962,9237,1056,7000,448438,T
128150388,1555,27,203705,1481,7117,1056,5764,448988,T
900018848,1542,1,354660,988,54270,1761,7188,448634,T
521132536,3955,256,874055,1352,6783,1409,5755,449078,T
096311472,3920,254,756560,1216,36180,704,4227,448356,T
116048803,3929,276,856522,1391,5867,352,5751,449135,T
737146040,3955,255,98875,878,6030,704,5984,448420,T
099209158,1457,4,225835,1382,4990,704,4399,448825,T
265365085,4066,281,801002,1409,33396,1056,5801,448596,T
079146862,1535,15,376075,1142,13156,352,5606,448571,T
791915856,4609,249,940236,6030,5230,704,3553,448561,T
831387953,4025,249,760725,1130,11132,1056,7856,448591,T
237495955,1439,1,250386,1053,36180,704,7350,448327,T
687161673,4720,237,70800,1973,4990,1056,3813,448586,T
510389842,3998,287,395802,2047,6292,1409,7200,449032,T
986699398,1455,10,288090,3123,14005,704,5380,448697,T
297655343,1455,1,160050,4570,6578,352,4398,448595,T
197495300,1630,15,189080,1428,4475,1761,6084,448658,T
721751378,3183,64,203712,1471,5360,704,3679,448493,T
861961182,1523,25,191898,1212,27135,1409,6211,448269,T
325426227,1507,11,52745,1650,8512,704,6179,448500,T
764433292,4036,280,577148,1387,7236,1056,3531,449056,T
393718668,1536,1,155136,1247,12769,1056,7624,448278,T
646701838,3379,43,692695,3057,20674,1056,5838,448493,T
391232980,1458,1,344088,3618,7117,1409,5240,449094,T
060164450,3976,288,365792,1043,31011,1056,4049,448891,T
109412559,1586,1,369538,877,10589,704,7660,448471,T
012040509,1581,13,233988,1550,4341,352,5680,448321,T
427643769,1515,24,256035,2439,13567,1056,7993,448922,T
747743372,4044,286,893724,1613,39469,1409,4035,448764,T
777340154,1441,1,219032,4570,4824,704,6228,448880,T
943625437,1585,8,163255,1074,5168,1409,7395,448681,T
379663819,1625,1,368875,1096,15505,1056,5884,448733,T
497706256,1559,1,275943,1311,7485,352,7811,448458,T
