userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
139895653,1705,46,170500,1273,935,1409,3628,448933,T
545174316,4785,237,114840,1273,1046,1056,3623,448369,F
762793778,4158,252,282744,1273,2894,352,6091,448938,T
633234101,4689,250,112536,1273,43416,352,3954,448990,F
243547760,4080,275,318240,1273,1074,352,7249,448508,T
067158804,4652,252,130256,1273,24120,352,3838,448920,F
148721803,4137,266,355782,1273,4719,1056,4224,448811,T
188786746,4548,257,127344,1273,1626,352,4509,448349,F
320181997,4174,286,346442,1273,1676,1056,7348,448399,T
066313502,4826,241,144780,1273,1182,352,6165,448441,F
450451446,1695,15,127125,1273,1296,352,7854,449113,T
675964876,4819,250,207217,1273,4719,352,5530,448231,F
482606105,1514,2,104466,1273,7616,1056,5706,448517,T
552905125,4559,270,127652,1273,1461,352,4434,448952,F
555366844,1699,1,54368,1273,3876,1761,5869,448955,T
315892618,4702,261,277418,1273,915,352,5716,448587,F
040961821,1526,26,35098,1273,1929,704,5861,448896,T
093476902,4615,277,383045,1273,2097,352,3867,448816,F
777790188,4163,257,412137,1273,937,1761,4012,448852,T
823115915,4670,246,359590,1273,1247,352,4372,448388,F
895101537,3948,311,150024,1273,900,1409,3741,448647,T
435639031,4766,285,281194,1273,1369,704,4062,448533,F
281027055,4178,256,179654,1273,1991,1409,5900,448374,T
269736211,4563,249,424359,1273,5495,352,3679,448360,F
495669249,4072,310,280968,1273,1863,1409,4070,448641,T
421379995,4733,262,459101,1273,962,352,3892,448350,F
981310412,1603,48,150682,1273,3240,1056,4513,448276,T
763385490,4636,286,231800,1273,2346,352,5468,449150,F
309682860,4745,253,265720,1273,4215,352,3502,448402,F
687694502,1632,26,114240,1273,3775,1409,7007,448696,T
132470173,1547,51,122213,1273,1262,1409,7669,448704,T
224654875,4581,242,224469,1273,3015,352,5594,448823,F
849534387,4167,298,175014,1273,14472,1761,3550,449069,T
278025002,4572,264,146304,1273,3742,352,3885,448572,F
609917313,4100,273,209100,1273,1236,1056,7166,448377,T
686182519,4789,266,162826,1273,8191,352,5318,448466,F
193615960,1522,50,130892,1273,2466,1056,4035,448241,T
339901164,4651,282,232550,1273,1176,704,4306,448728,F
515369136,4147,269,136851,1273,1303,352,7039,448245,T
168705408,4537,284,167869,1273,11425,352,4111,448722,F
489551022,1664,1,164736,1273,1276,704,6278,449182,T
752469708,4627,245,171199,1273,1000,352,5414,449115,F
540359189,4004,296,180180,1273,1226,1761,6074,448730,T
204982824,4823,293,419601,1273,1292,352,4367,449094,F
776112934,1535,14,53725,1273,2321,1409,6009,449079,T
482439407,4579,257,380057,1273,1676,352,4146,448763,F
553900687,4001,293,92023,1273,1442,1056,3779,448603,T
943697734,4738,238,298494,1273,2128,352,6028,448657,F
494847500,3941,271,141876,1273,1226,1761,3718,448214,T
639689495,4748,261,322864,1273,4095,352,4267,448637,F
532218231,1559,17,121602,1273,3742,1409,3862,448347,T
763046308,4565,275,100430,1273,1163,352,5330,449068,F
464359880,1540,1,106260,1273,1244,1056,3701,448808,T
177419067,4770,291,333900,1273,1262,352,3790,449031,F
627197336,1718,54,96208,1273,950,704,5581,449163,T
759758945,4819,293,245769,1273,1160,352,4479,448383,F
456034111,1441,37,53317,1273,1863,1761,5499,448458,T
243679261,4568,268,242104,1273,3015,352,3581,449190,F
004100543,1656,35,99360,1273,875,1056,4259,449154,T
673876274,4717,281,462266,1273,3710,352,3858,448947,F
783175434,4825,234,246075,1273,2894,704,4142,448353,T
314842651,4751,277,185289,1273,1014,352,4384,448432,F
432286766,1614,17,112980,1273,6292,352,7657,449009,T
664586450,4736,242,388352,1273,2047,704,3872,449040,F
681062115,1688,42,55704,1273,2181,1761,5521,448227,T
383982075,4785,273,129195,1273,4215,352,4074,448367,F
018827171,4015,288,381425,1273,1219,352,4508,449174,T
888695719,4822,273,482200,1273,2495,352,3784,448261,F
405255481,4822,265,308608,1273,2138,704,3633,449194,F
345920436,3937,288,334645,1273,5566,1761,6135,449099,T
982898013,4777,290,372606,1273,898,352,3990,448953,F
502778670,1501,1,102068,1273,973,1761,3811,448897,T
519084141,4097,291,340051,1273,2801,1056,5731,448758,T
485912086,4588,239,371628,1273,1130,704,3748,448215,F
614158997,1543,39,114182,1273,1400,1409,7952,449023,T
206223315,4586,274,110064,1273,870,704,3981,448530,F
661748799,1466,43,33718,1273,1921,352,4377,448673,T
439229622,4813,260,182894,1273,906,352,5662,449184,F
333588013,4146,302,335826,1273,1199,352,4380,448756,T
403967769,4672,252,191552,1273,882,352,3997,448193,F
945784673,4165,270,124950,1273,931,1761,7194,448724,T
135803878,4734,271,231966,1273,1061,704,4158,448587,F
506656767,1707,31,151923,1273,1722,704,7881,448977,T
987030190,4616,245,276960,1273,1048,704,3498,448836,F
320145999,4098,297,106548,1273,1442,1056,7132,449010,T
144824215,4830,255,260820,1273,1026,352,3953,449200,F
827559645,4092,285,204600,1273,995,352,5691,448631,T
773281806,4683,261,327810,1273,1130,352,4129,448859,F
820829586,1718,53,92772,1273,14005,1761,6114,448484,T
630022394,4832,277,473536,1273,998,352,4249,448774,F
730319996,4089,317,204450,1273,3473,704,4227,448527,T
122014768,4574,259,205830,1273,1005,352,4422,448371,F
036070172,1635,1,117720,1273,1352,352,6233,448365,T
051426542,4703,288,319804,1273,1127,352,3731,448343,F
268126809,3251,83,139793,1273,1518,352,3647,448606,T
039028721,4761,245,433251,1273,2038,352,3856,449094,F
007111231,1592,49,98704,1273,984,1761,7947,448834,T
503912803,4748,278,261140,1273,1023,704,3844,449020,F
153363079,1502,47,66088,1273,1743,352,3791,448578,T
971865197,4789,249,95780,1273,4298,704,3874,449173,F
