userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
941184847,1493,17,268740,552,2578,485,4566,257110,T
231761371,564,1,112800,825,2947,485,8551,256386,T
164258006,1603,13,22442,583,4671,1456,4075,256778,T
359487629,1523,16,376181,847,3133,971,6737,257047,T
948787499,1656,24,304704,868,41262,971,8477,256780,T
681370291,1515,1,234825,754,6189,1456,6697,256589,T
122419825,2752,9,473344,2427,4126,971,4848,256542,T
889767473,1664,20,297856,2500,3300,971,6687,256435,T
019882360,1622,31,319534,552,5757,971,4060,256539,T
804718256,1673,1,379771,2403,2526,2427,8616,257291,T
206357031,1581,13,265608,2878,2606,1942,4145,256701,T
289038438,1581,21,60078,526,4854,2427,3934,256421,T
738696439,2743,12,246870,1557,3993,485,4371,257243,T
472038863,1488,31,133920,1820,3391,971,6743,257062,T
362550767,1613,12,114523,1597,2813,2427,5787,257273,T
334879782,1584,33,17424,1219,10764,971,5877,257208,T
724723526,1673,25,163954,501,3536,1942,8708,256536,T
269171200,1666,34,116620,1331,3438,485,8212,257311,T
227671808,1492,1,99964,2750,8252,971,8184,256391,T
448770674,1544,11,234688,1414,6189,485,4356,256423,T
800204498,1514,25,370930,2171,3257,1456,8729,257024,T
480544529,1547,14,139230,1509,4196,1942,8030,256807,T
427914135,1558,32,361456,1006,13754,1456,4553,256565,T
658874003,1671,19,50130,941,8536,2427,4368,256688,T
783815747,1570,33,158570,542,4854,1456,5909,257122,T
090986551,1659,32,267099,830,6189,2427,4160,256931,T
172684311,569,7,20484,654,3536,485,6180,257132,T
042485907,1500,13,148500,654,3536,485,4624,256416,T
419360788,1490,18,230950,1528,5157,971,4004,256701,T
761532752,1536,12,342528,562,5267,1456,8094,257033,T
183606952,1656,6,283176,507,3215,1942,8028,256424,T
370361916,1672,8,193952,2012,5157,485,8581,256989,T
469250220,1494,28,149400,2578,5382,971,6649,256551,T
170524400,2693,1,646320,2633,4058,1456,6067,256793,T
608591389,1675,19,274700,768,8841,1456,8671,257017,T
504150614,1615,28,71060,967,2781,1456,6022,257206,T
549258877,1610,29,64400,512,3133,1456,6135,257015,T
