userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
177475146,2890,138,274550,367,5115,1530,6170,112364,T
566741973,2833,106,478777,967,5371,1020,6272,111802,T
090080117,649,1,12331,291,5968,510,4388,111764,T
429095323,2855,131,579565,268,1732,510,9162,112454,T
538202618,525,1,108675,332,1142,1020,8895,111550,T
462786458,2839,130,417333,1249,4883,510,6089,111622,T
701935832,582,1,134442,379,4131,1530,4500,111596,T
123099213,661,15,157979,826,1732,2551,4745,112163,T
055802750,567,20,125874,635,2026,2041,4545,112063,T
171693907,615,10,31365,720,21485,1530,8943,112046,T
018446787,2748,142,203352,268,8263,2041,4364,111835,T
575775472,2863,109,123109,985,2685,2041,6189,112313,T
233921644,2753,114,685497,826,2148,2041,8215,111929,T
176099539,1719,2,173619,587,11936,2551,6769,112000,F
889302374,2729,125,422995,587,1395,1530,6694,111780,T
906248109,564,1,45684,315,1249,2551,5039,111819,T
752103197,2889,126,413127,910,2148,1530,6718,111976,T
983087803,637,24,75166,845,1820,2041,7031,112472,T
818455759,1742,7,372788,895,1953,2551,4910,111575,T
355543602,573,2,139239,697,1130,1020,6971,111612,T
496304675,654,11,123606,245,3978,2041,6734,112089,T
309166926,2781,135,152955,291,3357,2551,4038,112349,T
647122533,507,1,70473,475,4131,1020,8576,112310,T
103577587,566,1,68486,1310,1359,2041,8911,112261,T
439194408,517,1,73414,251,1413,1020,4171,112450,T
756424635,2920,116,493480,887,1705,1530,4437,111765,T
055680677,2548,31,608972,509,4883,510,4534,112226,T
299210029,660,20,17820,274,2335,1530,8209,112073,T
952644560,2775,107,244200,596,3255,2551,4169,112043,T
231588519,2900,133,139200,735,1377,1530,8823,111598,T
626554128,1741,1,334272,1180,5654,510,6651,111553,T
322425745,2859,130,82911,778,1167,510,4520,111580,T
465501270,637,1,77714,820,3978,510,6333,111556,T
970102519,2831,126,379354,298,4297,2551,8808,112379,T
824853953,544,17,79968,465,3255,2041,8843,112036,T
043533502,2848,142,515488,985,1732,2041,4380,112123,T
084334192,622,1,33588,373,1130,510,8860,111833,T
172328717,2784,136,400896,347,9766,1530,4196,111797,T
160205752,550,13,114950,556,1193,1530,6103,112292,T
535612654,2885,130,652010,746,8952,2041,8130,112289,T
065192894,2732,130,560060,985,1451,1530,6916,112000,T
219141035,2843,112,534484,373,1579,1530,8671,111948,T
640761307,2898,111,701316,506,1652,1530,6258,112344,T
876102767,528,14,113520,240,6319,1020,6833,111727,T
200927369,2775,141,427350,329,6319,2041,8541,111643,T
698065503,615,7,128535,436,1884,1020,7082,111552,T
