userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
580705927,980,1,56840,1550,9690,1485,10826,437452,T
687974715,1001,21,100100,966,10399,1980,7674,437614,T
559533374,1113,19,102396,2197,5537,1485,9954,438127,T
631980561,1084,25,252572,877,9916,2475,5916,437341,T
999993058,3295,19,678770,1712,28426,1485,9926,437830,T
981260016,3276,11,406224,1740,5076,1980,5832,437396,T
493429194,3150,3,56700,4790,20304,1980,5523,437280,T
545897479,3147,13,446874,870,4634,1980,5314,437271,T
805769164,3445,683,799240,852,13754,2475,5008,437964,T
402201236,2621,36,36694,1853,12182,990,5331,437761,T
799904362,3506,679,844946,3254,11524,495,10409,437710,T
921763403,3518,718,569916,2142,17055,2475,7740,438164,T
318979794,3213,10,417690,892,12920,990,7598,437655,T
691215783,3451,689,334747,3911,7106,495,4968,437582,T
474543335,3493,698,143213,1149,7752,1980,5230,437252,T
908811541,3408,696,351024,2523,4901,2475,7801,438168,T
264626703,1076,20,106524,1187,10399,495,10281,437352,T
053858749,3564,699,356400,2823,7106,2475,5009,437982,T
769869504,2655,25,448695,933,4350,990,8116,437806,T
462175242,3270,17,696510,3675,9690,2475,4939,438010,T
720091142,3423,713,554526,1107,5329,1485,10675,437973,T
100726812,3397,705,492565,877,4845,990,7436,437518,T
844056560,2589,38,328803,1303,47376,495,10485,437833,T
133382566,3576,709,53640,2538,9475,990,5524,437670,T
716360886,965,9,20265,868,9269,2475,5206,437696,T
482586841,2636,22,395400,873,12920,495,10261,437804,T
990124267,3220,21,788900,1830,12724,1757,6217,804059,F
171739223,1008,1,128016,2698,7752,1980,10750,437460,T
435835446,1075,17,97825,897,17766,1980,8157,437863,T
321295917,1117,1,27925,915,7614,2475,8113,438155,T
461433795,3478,691,441706,1090,4634,2475,5734,437511,T
568912910,3572,708,689396,2881,4634,990,5515,437387,T
039573211,3573,699,736038,1652,5537,1485,5685,437993,T
494203188,3488,716,320896,1269,5397,990,5796,437680,T
451395963,3431,711,809716,1257,42639,495,5775,437596,T
973356604,3399,709,734184,1272,42639,990,5573,437958,T
331791463,3148,8,239248,4263,13754,2475,5479,437924,T
417266973,3201,12,774642,1411,15228,1485,8105,437927,T
526825568,3171,14,551754,1087,9916,990,7741,437853,T
230264786,3218,1,762666,1920,14703,1980,5568,437242,T
969650655,989,25,104834,945,7614,1485,5573,437370,T
