userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
862486170,2245,12,404100,1011,7475,897,7866,250790,T
994208580,2216,1,458712,1957,3575,1794,5805,250412,T
148016142,1485,132,313335,683,3795,448,6147,250829,T
350226567,1482,134,115596,1284,2902,897,7278,250499,T
092626348,2100,1,365400,897,2868,1346,4056,250700,T
870698266,1384,137,249120,659,3289,1794,8155,251125,T
110448741,1336,147,60120,597,9488,448,5916,250680,T
853145629,1348,154,43136,749,3289,448,3938,251040,T
939440320,1349,128,36423,1426,5737,448,6276,251108,T
113302755,1417,160,194129,798,5034,897,5665,250358,T
549897688,2136,36,457104,539,3474,448,4518,250661,F
326462199,1369,154,318977,621,10279,897,5428,250656,T
728894425,311,1,7153,1067,27410,1794,3794,250623,T
973031093,294,16,21756,963,3854,448,7396,251134,T
090999515,1441,122,347281,1393,7475,2243,7394,250916,T
911116036,1472,130,29440,642,10726,1346,8147,251030,T
540331818,1353,142,163713,1581,2803,1346,7756,250457,T
068197217,1400,158,212800,516,4485,1346,3548,250270,T
870062344,2190,19,392010,545,17621,1794,4150,250614,T
101820259,317,1,40893,495,2624,1346,4377,251095,T
432064830,1360,134,131920,934,3737,1794,7257,250929,T
060032307,1336,127,167000,512,2491,2243,5688,250915,T
284268351,1343,125,334407,1417,3203,1794,3737,251212,T
224688449,288,1,53280,1666,17621,1794,3951,250586,T
888757229,1373,148,216934,715,2466,448,4402,250599,T
861860389,1327,152,315826,2327,2466,2243,6057,250719,T
753585917,323,3,26809,539,2710,1346,5375,250376,T
014061080,2246,1,521072,622,3575,1346,3952,250602,T
895277745,1461,159,18993,591,49339,2243,3548,250321,T
758957913,1396,155,205212,519,3162,448,7491,250996,T
296818436,2167,4,255706,1319,10726,448,3696,250535,T
975171805,2237,1,416082,654,4933,1346,3954,250539,T
182332188,2074,33,348432,1291,41116,897,6352,251078,T
719635790,2167,27,309881,1644,2596,897,5583,251245,T
704211529,1487,142,286991,830,2803,1794,3567,251135,T
827966226,1407,153,68943,1561,2972,2243,3802,250280,T
603597750,1495,125,182390,910,24669,897,7695,250620,T
568743649,204,1,35292,543,35242,897,8171,250376,T
589557543,397,1,30172,850,3627,2243,3682,250362,T
760646287,286,1,29172,1378,12984,897,7585,250293,T
548328937,299,1,23322,1111,3008,1794,4367,250415,T
690896174,1411,122,335818,1644,2652,448,3836,250901,T
634029969,1449,149,362250,606,11213,2243,7625,251247,T
170029881,2123,11,242022,604,14511,1346,3694,251253,T
993338011,1479,152,346086,1495,2771,897,5879,250508,T
688974949,241,19,16870,788,6492,897,7244,250382,T
150693333,261,1,49851,783,5482,448,6157,250448,T
995536492,394,1,20488,990,6852,1346,4569,251199,T
109816970,2106,9,431730,1813,2771,448,7157,250481,T
520876209,1453,135,273164,2517,7709,897,5665,250744,T
021337072,2163,30,519120,3122,6667,897,4122,250629,T
097983282,2134,1,418264,1868,49339,1794,3965,250622,T
209386363,1404,136,221832,528,3737,1794,5884,250594,T
746479239,1399,148,190264,917,4405,1794,4371,250757,T
560692960,1409,133,164853,672,3426,1346,4256,250273,T
406301838,330,1,51150,506,10279,1346,4562,251154,T
467290244,1381,156,139481,1116,3795,2243,3948,250589,T
636327433,2119,37,207662,1378,18976,448,7258,251157,T
937612084,2188,1,85332,756,4485,1794,4037,250528,T
784918954,2117,18,425517,2395,12984,1346,5508,251125,T
720424635,2105,1,408370,567,2491,897,4033,251186,T
646588373,2019,26,177672,1040,8810,897,3807,251250,T
000334022,1432,147,269216,679,49339,897,3864,251178,T
531088303,1326,127,196248,2835,4933,448,5503,250777,T
484614465,1460,152,255500,1091,7475,897,7197,251055,T
223243370,1331,127,292820,708,2936,448,5835,251096,T
897327278,1397,141,326898,1245,6167,448,7182,251101,T
431673867,1500,129,16500,668,4744,1346,5335,250552,T
513672952,1336,126,137608,754,4744,2243,7160,250355,T
715869518,2206,6,536058,766,30837,448,7805,250412,F
127512972,1422,127,197658,715,4744,448,7157,250868,T
359442788,1439,123,195704,580,9136,2243,5640,250865,T
442268734,2184,12,497952,2517,2596,1346,4379,250384,T
535780267,2186,10,301668,661,3289,1346,3571,250709,T
228141670,1385,147,222985,679,2596,1346,7870,250522,T
502882799,2216,2,498600,529,27410,2243,7207,250842,T
654261378,1501,143,271681,923,3289,2243,4149,250653,T
408175141,293,16,56842,1077,41116,1794,3685,250307,T
560967958,334,7,15030,715,3426,1346,6110,251188,T
626168392,252,1,38808,1897,2741,897,6358,250430,T
753237063,1396,156,67008,3083,7958,1346,7444,250538,T
664652020,1450,134,359600,819,4568,2243,7288,250861,T
268948238,1428,145,82824,634,5606,448,3892,250593,T
657750385,2113,15,221865,503,4328,1794,3573,250359,T
508668120,1375,146,114125,2624,3203,448,6314,250393,T
304504894,1441,123,354486,2771,14511,897,5639,250420,T
719106659,2088,12,451008,1749,4253,1346,5332,250694,T
270571699,2042,29,67386,2164,8223,897,3845,250548,T
853069838,2076,3,485784,2108,9136,448,3702,250600,T
526346591,2230,27,450460,3426,3979,1346,5787,250356,T
450837178,1491,157,95424,532,2972,2243,5525,250389,T
894239103,251,15,32379,1239,6167,448,7875,250749,T
270236250,1326,162,275808,556,49339,448,5883,250635,T
378001281,1431,144,22896,600,3289,1346,3683,250352,T
634488303,1360,155,194480,1002,2835,2243,7918,250593,T
172550676,392,8,32144,721,10726,1346,5496,250785,T
016015820,1392,160,289536,637,49339,1346,7882,250380,T
941579659,217,19,21483,1271,14511,448,3979,250494,T
848024108,226,1,42488,1131,2936,897,5984,250720,T
238993417,1461,123,124185,664,6167,448,6243,251189,T
472880946,1351,135,71603,595,3162,1794,4046,250746,T
825614962,258,8,25800,1096,3008,2243,4053,250912,T
136464651,1461,159,108114,3474,2569,897,4383,250427,T
334371658,245,1,41405,591,35242,897,4021,250907,T
202099676,2045,1,490800,523,2710,448,7987,250988,F
473731524,336,1,16464,524,3979,897,5944,250868,T
558071846,2122,35,87002,3122,10726,448,7855,250534,T
653971998,2114,1,399546,1101,10279,897,6209,250530,T
663723099,237,1,55458,2090,4744,897,7432,250663,T
633859734,2099,14,459681,1209,3246,897,5933,250735,T
436719436,1520,158,117040,1027,6017,1794,7761,250757,T
465448432,314,1,16328,1725,22427,897,5970,251265,T
391751684,392,1,16072,783,5139,897,5385,250260,T
699254871,371,1,17437,527,4044,448,7985,250351,T
908333453,1501,159,117078,1015,2596,897,5612,250562,T
937613035,1437,139,34488,1897,2710,2243,5770,250742,T
916500917,2194,1,522172,1096,3289,1346,4406,250794,T
993489495,2071,1,194674,827,2517,448,5348,250686,F
502130042,1350,162,178200,1045,3575,448,5449,250893,T
226703716,2128,11,493696,507,2624,1346,7749,251145,T
483787838,2098,18,35666,629,7475,2243,3605,250583,T
137872843,1338,135,169926,561,6017,1346,3569,251259,T
287311182,379,3,76558,639,2652,897,4522,251049,T
812954709,1387,134,140087,1006,10726,2243,3775,250502,T
736634767,1383,145,276600,518,4111,1346,7278,251026,T
871006845,235,14,58045,975,14511,1346,3721,250702,T
188534391,212,1,29892,736,2741,448,3889,250301,T
056015341,1392,128,66816,717,3289,448,7135,251058,T
167360492,335,11,65325,516,11747,897,7944,250710,T
