userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
253297099,1436,147,130676,559,719,1346,3640,250556,T
115783110,2260,21,67800,559,27410,448,4071,250259,F
367344110,500,1,48500,559,2569,1346,4428,251042,T
287957092,2208,14,75072,559,22427,448,6153,250892,F
988998718,1523,183,147731,559,547,897,3961,251066,T
245821199,2315,5,134270,559,8223,448,5470,250526,F
659407021,1351,170,104027,559,4328,1794,7615,250407,T
874603209,2286,45,91440,559,3474,448,3754,250586,F
823236627,1438,135,73338,559,531,1794,3736,250716,T
446350686,2172,11,119460,559,674,448,4205,250433,F
909590777,1452,185,101640,559,677,448,7356,250968,T
077505197,2118,29,110136,559,535,448,3847,250555,F
151885191,417,20,27939,559,1227,448,7334,251021,T
094760211,2112,56,152064,559,2569,448,3667,251171,F
409703894,312,23,25584,559,830,448,4484,250986,T
455733660,2079,30,205821,559,3162,448,4341,251000,F
540731098,212,11,15900,559,1027,897,7147,250669,T
319655061,2037,33,181293,559,5873,448,4105,251095,F
741667046,1615,176,93670,559,1058,1346,3756,250975,T
254724336,2228,23,218344,559,532,448,3778,250374,F
313057988,1503,186,147294,559,5873,1794,4162,250847,T
266020092,2132,40,202540,559,990,448,3998,250863,F
294963952,452,13,11752,559,1655,448,8070,251207,T
770173517,2123,42,104027,559,1072,448,3665,250672,F
074386255,219,1,12045,559,2242,1346,5938,250938,T
304444332,2186,47,142090,559,15418,897,3622,251189,F
901490151,1465,147,38090,559,998,448,4234,251086,T
005389604,2035,1,160765,559,1121,448,4188,250912,F
863150448,397,12,12307,559,600,448,4239,251074,T
220507034,2164,31,157972,559,927,448,4037,250442,F
883183734,493,1,47328,559,2022,897,3746,250900,T
870663078,2265,38,97395,559,610,448,4509,250895,F
078133676,304,20,11552,559,5606,448,3712,250392,T
810421365,2178,26,204732,559,5363,448,4391,251161,F
729326196,217,31,13888,559,587,897,5443,251146,T
120705078,2217,13,97548,559,740,448,4164,250955,F
911521224,2328,10,169944,559,515,2243,3693,251208,T
976193889,2110,24,164580,559,1319,448,4240,251123,F
332639887,1625,128,45500,559,640,448,5836,250823,T
677469065,2028,1,158184,559,24669,448,7853,250263,F
064789702,210,5,8820,559,7255,897,7778,250460,T
974678950,2222,24,222200,559,35242,448,7343,251022,F
924552337,1591,127,57276,559,1019,1794,7528,250356,T
108885465,2103,16,206094,559,634,448,4575,250430,F
830550839,1365,122,32760,559,1049,1794,7204,251017,T
951409805,2136,20,145248,559,512,448,4543,250359,F
228206535,1480,164,139120,559,538,448,4012,250276,T
003812499,2213,1,219087,559,2517,448,4020,250863,F
212273576,1524,134,143256,559,710,448,6218,250899,T
447153137,2042,38,116394,559,573,448,3798,251031,F
937257026,2131,28,183266,559,696,448,4351,250712,F
155102230,326,19,30644,559,956,448,3913,250915,T
918081858,1606,126,123662,559,4328,1346,7781,250562,T
654869465,2290,45,52670,559,1989,448,4256,250914,F
225313251,1411,164,55029,559,803,448,6163,250817,T
487329152,2187,31,166212,559,1612,448,3935,250767,F
438308068,2224,30,140112,559,5139,448,4486,251261,F
484422116,1468,140,133588,559,1897,897,3706,250455,T
845450285,347,1,13880,559,1197,448,7684,250583,T
412949594,2153,36,148557,559,16446,897,3799,250786,F
356568563,1539,163,129276,559,1291,1346,8046,250654,T
377849948,2033,40,199234,559,548,448,3826,250261,F
605406574,1544,123,140504,559,577,1346,7475,250728,T
970188390,2107,24,90601,559,1355,448,3898,250703,F
163571175,1539,137,33858,559,20558,897,7984,250611,T
846511711,2045,28,171780,559,612,448,3552,250966,F
166337067,1409,170,67632,559,612,448,4236,251151,T
767004306,2077,58,141236,559,1426,448,3653,250689,F
856053089,1619,153,131139,559,7255,2243,5478,250700,T
434078302,2032,9,142240,559,618,448,4262,250340,F
433658203,1328,139,107568,559,20558,2243,7730,250599,T
370531685,2304,23,163584,559,704,448,3563,251255,F
075710311,1451,176,123335,559,1678,448,6066,251253,T
988901669,2196,39,164700,559,971,448,3801,251094,F
932260600,364,9,16380,559,5363,448,4518,250295,T
267555315,2258,39,97094,559,1362,448,3668,250970,F
750247265,1527,176,82458,559,923,1794,5663,251126,T
272978496,2283,21,91320,559,10726,448,7165,250590,F
432197337,281,22,21075,559,588,448,4138,250893,T
404824427,2296,20,89544,559,519,448,3759,250880,F
389369200,1446,160,89652,559,2972,1346,6261,250329,T
316091326,2098,3,79724,559,10279,448,5509,250861,F
653216620,335,1,29145,559,1333,897,8133,251115,T
537365148,2157,17,194130,559,3682,448,4125,250745,F
633037464,291,25,24153,559,811,2243,4204,250408,T
304558807,2095,1,96370,559,7709,448,7609,251208,F
336360573,2064,24,179568,559,900,448,4157,250724,F
283762496,1539,138,83106,559,503,448,5687,250301,T
312992365,1548,190,130032,559,3524,897,4094,250731,T
934581183,2191,1,170898,559,1973,448,5659,250669,F
392042455,1595,165,63800,559,2305,897,7890,250515,T
037483877,2210,65,61880,559,27410,448,3992,250583,F
239961733,2313,22,152658,559,4253,448,5494,250951,F
686537024,1517,170,150183,559,1340,1794,5575,250446,T
021427148,1488,168,63984,559,2372,1346,7464,250619,T
434968763,2280,54,212040,559,499,448,3654,250961,F
954285846,1491,180,111825,559,577,1794,8117,251230,T
938292492,2167,3,195030,559,5873,448,7895,250555,F
862065606,1587,161,53958,559,517,2243,5583,250557,T
413852903,2295,6,156060,559,747,448,5594,250374,F
