userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
945595315,4059,32,535788,2038,14021,1618,5822,506513,T
271920282,875,151,65625,1159,5318,1618,6934,506861,T
684124801,822,166,77268,2224,6009,1618,7132,506225,T
692961662,2792,140,603072,2257,30848,1618,3402,506777,T
574046940,3975,45,588300,2599,57840,2023,6840,506603,T
637437197,764,145,66468,2705,21032,2023,3732,506410,T
096423581,3913,52,696514,5443,5784,404,6991,506715,T
500448706,882,181,120834,4245,7118,2023,6840,506694,T
583897818,4050,50,923400,2029,30848,2023,7291,506978,T
627370481,2087,1,502967,2856,11568,1618,3830,506110,T
582853546,797,146,28692,1584,9845,1618,6897,506913,T
710706543,3959,29,815554,3824,5642,1618,3969,506277,T
229038242,2856,139,511224,1148,4721,404,3707,506340,F
012301361,2113,1,477538,6009,5712,809,6584,506368,T
426514910,913,170,183513,6253,8413,1618,5389,506931,T
972097952,820,181,141040,1247,6009,809,6680,506547,T
914491456,2036,19,38684,5443,4673,809,4805,506153,T
216531698,901,180,52258,1139,5443,1213,5804,506213,T
641072562,826,183,189980,1896,8413,2023,4888,506171,T
927286342,753,176,125751,1373,5029,1213,4941,506745,T
375250871,2850,127,598500,1563,77120,809,3810,506316,F
347667222,3899,46,729113,2162,7585,404,5076,506062,T
039502990,891,170,34749,2112,10516,1618,3604,506177,T
715234970,907,163,76188,4922,7585,2023,3491,506451,T
088550002,819,165,108108,1214,17797,2023,3506,507024,T
739457278,731,176,111843,966,8117,1213,6509,506871,T
986021191,4039,38,876463,1512,7842,809,6459,506465,T
016550376,2037,1,158886,1168,17797,404,6949,506144,T
243908792,3907,50,519631,1021,35594,809,3318,506746,T
452990000,724,157,79640,1814,33051,2023,7265,506574,T
562253334,827,180,41350,1415,11017,2023,4077,507019,T
677777799,2026,14,158028,1547,9073,404,6892,506446,T
186095702,2032,17,298704,1028,8730,1213,6662,506251,T
574940201,3945,62,205140,1096,5574,2023,5689,506687,T
803324172,4036,65,565040,3305,4922,1213,5385,506183,T
686193971,2128,1,442624,2172,10282,404,4221,506797,T
792278867,2884,118,198996,6088,4627,1213,3905,506467,T
359888805,2017,27,96816,1658,18508,1213,4157,506167,T
057749143,739,165,50252,2599,10761,1213,6661,506264,T
054914623,2104,22,216712,1177,30848,1213,3297,506696,T
811071303,814,176,100122,1145,6253,1618,5560,506828,T
191340634,4047,25,52611,1800,23136,2023,5698,507038,T
580357319,2019,14,266508,976,23136,809,3435,506793,T
886903234,3973,34,794600,1329,28920,809,7020,506046,T
187073856,3911,55,484964,1165,77120,1618,5273,506578,T
235452681,2126,1,123308,3643,9443,2023,5250,506101,T
280562016,2156,28,463540,5258,14460,809,3569,506912,T
370836628,791,167,94129,1125,5784,2023,4916,506921,T
766923369,2046,27,474672,1904,4673,809,7435,506695,T
711869217,756,152,96012,1201,5784,1213,7406,506521,T
545269977,788,182,34672,1393,7118,1618,4140,506895,T
795815446,4027,34,809427,1595,28920,2023,5497,506053,T
059775797,4228,18,1018948,2038,13609,809,5108,506471,T
763065825,3961,45,51493,2690,25706,1618,5770,506538,T
308797292,2003,18,488732,1793,15424,809,5723,506904,T
711113642,889,144,31115,2003,5084,2023,6480,506217,T
155579522,2139,30,198927,2279,11864,404,3569,507006,T
022610797,4053,28,887607,1617,6426,1213,3543,506158,T
393579887,858,179,212784,1260,4627,809,7055,506616,T
344716174,2838,127,51084,1579,17797,404,7014,506289,F
559094753,2072,29,89096,1260,21032,1618,3942,506085,T
035965979,745,145,125160,2235,4627,1618,6581,506226,T
556578304,2811,134,511602,1579,10282,1213,3437,507019,F
386197245,801,164,144180,4206,7010,1618,7392,506886,T
776734105,3911,59,301147,1341,5784,1213,7435,506653,T
617885448,4075,52,904650,1606,5857,809,7369,506469,T
962955324,3925,28,486700,2056,6253,1213,4113,506111,T
072641033,811,165,118406,1944,14926,1213,4921,506572,T
224604492,2794,110,692912,1389,10059,404,5459,506113,F
237307347,767,162,56758,1739,9640,1618,5840,507002,T
654716987,2120,21,275600,1389,8730,2023,5584,506937,T
324973617,752,148,75200,1278,38560,2023,6807,506106,T
362801225,4063,48,885734,925,6088,2023,3638,506175,T
806493578,2816,138,667392,1341,10761,1618,3350,506863,F
451646270,3895,41,424555,932,6706,2023,6515,506438,T
339356684,2129,9,402381,1369,5084,404,4055,506493,T
770719143,4012,34,236708,1664,4870,1213,5485,506137,T
045744810,2793,102,480396,1224,6253,404,3300,506683,F
441159047,895,163,15215,1406,5574,1213,6756,506983,T
019295061,4045,38,651245,3044,6088,1213,3816,506181,T
478974399,3919,35,697582,1174,12506,1618,7122,506673,T
831013981,2145,21,510510,1025,7344,1213,3833,506913,T
215971814,742,177,17808,1183,8117,1618,6861,506438,T
027833248,4084,25,457408,1037,4627,1618,6983,506248,T
435541361,4057,31,929053,1640,6804,404,5594,506458,T
899181677,2794,115,653796,1240,4870,404,7087,506849,F
223762238,820,178,136940,2290,35594,2023,6894,506746,T
